ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B3F81K65,59262754,SGLO,GBP,2019-01-02,84.53,85.08,84.53,85.055,3415,7,84.679
IE00B3F81K65,59262754,SGLO,GBP,2019-01-03,85.73,85.89,85.42,85.475,5572,10,85.538
IE00B3F81K65,59262754,SGLO,GBP,2019-01-04,84.98,85.03,84.4,84.565,1000,13,84.5405
IE00B3F81K65,59262754,SGLO,GBP,2019-01-07,84.5,84.62,84.31,84.355,584,8,84.4255
IE00B3F81K65,59262754,SGLO,GBP,2019-01-08,83.93,84.33,83.93,84.255,24414,8,84.21
IE00B3F81K65,59262754,SGLO,GBP,2019-01-09,84.05,84.41,84.05,84.33,722,7,84.166
IE00B3F81K65,59262754,SGLO,GBP,2019-01-10,84.45,84.55,84.19,84.265,96,9,84.43
IE00B3F81K65,59262754,SGLO,GBP,2019-01-11,84.54,84.66,83.875,83.875,12569,15,84.1335
IE00B3F81K65,59262754,SGLO,GBP,2019-01-14,84.06,84.06,83.42,83.49,432,12,83.6785
IE00B3F81K65,59262754,SGLO,GBP,2019-01-15,83.68,84.105,83.68,84.105,614,5,83.7335
IE00B3F81K65,59262754,SGLO,GBP,2019-01-16,83.45,83.45,83.39,83.435,72,4,83.4235
IE00B3F81K65,59262754,SGLO,GBP,2019-01-17,83.12,83.12,82.38,82.38,3565,9,82.728
IE00B3F81K65,59262754,SGLO,GBP,2019-01-18,82.25,82.4,82.25,82.27,873,3,82.398
IE00B3F81K65,59262754,SGLO,GBP,2019-01-21,82.4,82.4,82.3,82.385,178,2,82.35
IE00B3F81K65,59262754,SGLO,GBP,2019-01-22,82.33,82.33,82.09,82.17,545,5,82.2075
IE00B3F81K65,59262754,SGLO,GBP,2019-01-23,81.98,81.98,81.47,81.575,3096,7,81.7285
IE00B3F81K65,59262754,SGLO,GBP,2019-01-24,81.95,81.96,81.83,81.875,398,6,81.912
IE00B3F81K65,59262754,SGLO,GBP,2019-01-25,81.54,81.55,81.13,81.155,224,5,81.4155
IE00B3F81K65,59262754,SGLO,GBP,2019-01-28,81.23,81.4,81.18,81.33,605,9,81.296
IE00B3F81K65,59262754,SGLO,GBP,2019-01-29,81.34,81.52,81.29,81.445,261,5,81.4015
IE00B3F81K65,59262754,SGLO,GBP,2019-01-30,81.78,81.97,81.69,81.89,21445,123,81.819
IE00B3F81K65,59262754,SGLO,GBP,2019-01-31,81.97,82.12,81.81,81.89,2756,11,81.855
IE00B3F81K65,59262754,SGLO,GBP,2019-02-01,82.06,82.44,81.91,81.955,2659,21,82.109
IE00B3F81K65,59262754,SGLO,GBP,2019-02-04,81.82,82.02,81.78,81.855,1496,8,81.8555
IE00B3F81K65,59262754,SGLO,GBP,2019-02-05,82.08,82.67,82.08,82.67,783,8,82.381
IE00B3F81K65,59262754,SGLO,GBP,2019-02-06,82.47,82.64,82.47,82.555,549,7,82.5115
IE00B3F81K65,59262754,SGLO,GBP,2019-02-07,82.77,82.77,82.48,82.48,956,6,82.6955
IE00B3F81K65,59262754,SGLO,GBP,2019-02-08,82.5,82.72,82.5,82.72,1662,7,82.657
IE00B3F81K65,59262754,SGLO,GBP,2019-02-11,82.77,82.96,82.77,82.885,400,6,82.868
IE00B3F81K65,59262754,SGLO,GBP,2019-02-12,82.69,82.93,82.67,82.73,1340,8,82.792
IE00B3F81K65,59262754,SGLO,GBP,2019-02-13,82.51,82.74,82.47,82.725,16756,43,82.6255
IE00B3F81K65,59262754,SGLO,GBP,2019-02-14,83.02,83.42,82.93,83.37,766,5,83.3105
IE00B3F81K65,59262754,SGLO,GBP,2019-02-15,83.33,83.33,82.975,82.975,649,6,83.1385
IE00B3F81K65,59262754,SGLO,GBP,2019-02-18,82.76,82.77,82.52,82.55,391,7,82.6805
IE00B3F81K65,59262754,SGLO,GBP,2019-02-19,82.61,82.61,81.95,82.045,134,6,82.14
IE00B3F81K65,59262754,SGLO,GBP,2019-02-20,82.06,82.15,81.75,81.825,7055,13,82.0155
IE00B3F81K65,59262754,SGLO,GBP,2019-02-21,81.82,81.98,81.72,81.83,463,6,81.86
IE00B3F81K65,59262754,SGLO,GBP,2019-02-22,82.01,82.22,81.83,81.87,5981,11,82.2
IE00B3F81K65,59262754,SGLO,GBP,2019-02-25,81.89,81.89,81.65,81.785,1278,15,81.7695
IE00B3F81K65,59262754,SGLO,GBP,2019-02-26,81.11,81.11,80.8,80.82,1594,13,80.951
IE00B3F81K65,59262754,SGLO,GBP,2019-02-27,80.83,80.83,80.18,80.285,348,6,80.6075
IE00B3F81K65,59262754,SGLO,GBP,2019-02-28,80.48,80.48,80.16,80.195,487,4,80.228
IE00B3F81K65,59262754,SGLO,GBP,2019-03-01,80.2,80.44,80.15,80.44,9083,9,80.2405
IE00B3F81K65,59262754,SGLO,GBP,2019-03-04,80.26,80.69,80.26,80.69,2777,8,80.391
IE00B3F81K65,59262754,SGLO,GBP,2019-03-05,80.9,81.02,80.68,80.815,614,8,80.894
IE00B3F81K65,59262754,SGLO,GBP,2019-03-06,80.84,81.16,80.83,81.16,1585,6,81.1095
IE00B3F81K65,59262754,SGLO,GBP,2019-03-07,81.0,81.52,80.97,81.52,1101,13,81.083
IE00B3F81K65,59262754,SGLO,GBP,2019-03-08,81.75,82.05,81.66,82.01,3198,8,81.9695
IE00B3F81K65,59262754,SGLO,GBP,2019-03-11,82.18,82.26,81.48,81.535,10622,11,82.1765
IE00B3F81K65,59262754,SGLO,GBP,2019-03-12,80.91,81.9,80.91,81.765,865,4,81.035
IE00B3F81K65,59262754,SGLO,GBP,2019-03-13,81.4,81.4,81.02,81.07,5398,8,81.2915
IE00B3F81K65,59262754,SGLO,GBP,2019-03-14,80.8,80.8,80.54,80.635,1876,5,80.6585
IE00B3F81K65,59262754,SGLO,GBP,2019-03-15,80.81,80.9,80.62,80.62,10349,6,80.7895
IE00B3F81K65,59262754,SGLO,GBP,2019-03-18,81.18,81.2,81.04,81.13,3634,7,81.1765
IE00B3F81K65,59262754,SGLO,GBP,2019-03-19,80.78,81.03,80.78,80.94,356,4,80.9895
IE00B3F81K65,59262754,SGLO,GBP,2019-03-20,81.27,81.54,81.27,81.28,5382,7,81.5085
IE00B3F81K65,59262754,SGLO,GBP,2019-03-21,82.43,82.795,82.43,82.795,325,3,82.454
IE00B3F81K65,59262754,SGLO,GBP,2019-03-22,82.26,82.31,82.09,82.11,872,11,82.1705
IE00B3F81K65,59262754,SGLO,GBP,2019-03-25,82.07,82.375,81.95,82.375,5348,6,81.963
IE00B3F81K65,59262754,SGLO,GBP,2019-03-26,81.975,81.975,81.975,81.975,0,0,81.975
IE00B3F81K65,59262754,SGLO,GBP,2019-03-27,82.17,82.24,82.03,82.03,5145,5,82.1715
IE00B3F81K65,59262754,SGLO,GBP,2019-03-28,82.67,82.88,82.46,82.855,10564,10,82.682
IE00B3F81K65,59262754,SGLO,GBP,2019-03-29,83.14,83.17,82.53,82.92,15690,12,82.9195
IE00B3F81K65,59262754,SGLO,GBP,2019-04-01,82.64,82.64,82.05,82.125,7399,6,82.3965
IE00B3F81K65,59262754,SGLO,GBP,2019-04-02,82.55,82.66,82.55,82.65,30,2,82.605
IE00B3F81K65,59262754,SGLO,GBP,2019-04-03,81.47,81.92,81.47,81.83,29135,15,81.645
IE00B3F81K65,59262754,SGLO,GBP,2019-04-04,81.78,82.31,81.69,82.255,612,6,82.01
IE00B3F81K65,59262754,SGLO,GBP,2019-04-05,82.12,82.63,82.12,82.535,12875,15,82.486
IE00B3F81K65,59262754,SGLO,GBP,2019-04-08,82.55,82.59,82.505,82.505,98,3,82.5735
IE00B3F81K65,59262754,SGLO,GBP,2019-04-09,82.58,82.59,82.52,82.59,5128,2,82.5785
IE00B3F81K65,59262754,SGLO,GBP,2019-04-10,82.49,82.61,82.31,82.515,15451,12,82.4555
IE00B3F81K65,59262754,SGLO,GBP,2019-04-11,82.59,82.59,82.38,82.44,2013,13,82.4505
IE00B3F81K65,59262754,SGLO,GBP,2019-04-12,82.5,82.5,81.92,81.99,7242,9,82.0415
IE00B3F81K65,59262754,SGLO,GBP,2019-04-15,81.95,81.95,81.84,81.91,265,5,81.845
IE00B3F81K65,59262754,SGLO,GBP,2019-04-16,82.1,82.24,81.96,82.14,688,11,82.109
IE00B3F81K65,59262754,SGLO,GBP,2019-04-17,82.11,82.25,82.09,82.16,1284,12,82.133
IE00B3F81K65,59262754,SGLO,GBP,2019-04-18,82.46,82.54,82.46,82.475,670,10,82.5215
IE00B3F81K65,59262754,SGLO,GBP,2019-04-23,82.43,82.72,82.37,82.72,291,6,82.409
IE00B3F81K65,59262754,SGLO,GBP,2019-04-24,82.92,82.92,82.79,82.865,223,7,82.862
IE00B3F81K65,59262754,SGLO,GBP,2019-04-25,83.19,83.19,83.025,83.025,38,2,83.13
IE00B3F81K65,59262754,SGLO,GBP,2019-04-26,83.07,83.11,83.0,83.08,5449,5,83.1045
IE00B3F81K65,59262754,SGLO,GBP,2019-04-29,83.01,83.16,82.94,83.0,2332,12,82.954
IE00B3F81K65,59262754,SGLO,GBP,2019-04-30,83.13,83.13,82.51,82.555,32,2,82.5295
IE00B3F81K65,59262754,SGLO,GBP,2019-05-01,82.47,82.63,82.3,82.455,328,8,82.432
IE00B3F81K65,59262754,SGLO,GBP,2019-05-02,82.47,82.52,82.405,82.405,1761,5,82.435
IE00B3F81K65,59262754,SGLO,GBP,2019-05-03,82.55,82.55,81.79,81.81,491,5,82.3755
IE00B3F81K65,59262754,SGLO,GBP,2019-05-07,82.23,82.78,82.19,82.72,1037,18,82.5805
IE00B3F81K65,59262754,SGLO,GBP,2019-05-08,82.85,83.16,82.72,83.06,544,11,83.038
IE00B3F81K65,59262754,SGLO,GBP,2019-05-09,83.37,83.37,83.215,83.215,22,2,83.295
IE00B3F81K65,59262754,SGLO,GBP,2019-05-10,83.25,83.28,83.1,83.145,3578,29,83.2015
IE00B3F81K65,59262754,SGLO,GBP,2019-05-13,83.25,83.79,83.11,83.755,5444,10,83.289
IE00B3F81K65,59262754,SGLO,GBP,2019-05-14,83.85,83.86,83.755,83.755,525,3,83.858
IE00B3F81K65,59262754,SGLO,GBP,2019-05-15,83.88,84.36,83.88,84.19,1215,7,84.0455
IE00B3F81K65,59262754,SGLO,GBP,2019-05-16,84.6,84.97,84.55,84.595,25740,12,84.6795
