ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-02,4505.0,4505.0,4493.2,4493.2,36,1,4505.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-03,4539.4,4539.6,4510.4,4510.4,2518,4,4537.82
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-04,4654.4,4656.0,4646.0,4656.0,527,2,4648.04
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-07,4665.6,4699.0,4665.4,4699.0,60,1,4665.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-08,4734.0,4734.0,4723.6,4723.6,530,1,4734.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-09,4733.0,4733.0,4733.0,4733.0,0,0,4733.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-10,4690.0,4756.6,4690.0,4742.0,568,2,4694.44
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-11,4717.0,4717.0,4717.0,4717.0,0,0,4717.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-14,4680.2,4680.4,4680.2,4680.2,0,0,4680.2
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-15,4680.0,4689.8,4680.0,4689.8,1811,2,4681.38
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-16,4699.4,4815.8,4699.4,4815.8,2421,4,4744.46
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-17,4752.0,4752.0,4693.2,4693.2,120,1,4752.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-18,4789.4,4789.6,4788.0,4788.4,1147,2,4788.16
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-21,4770.0,4770.0,4766.2,4766.2,2,1,4770.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-22,4694.0,4704.6,4690.0,4697.4,3241,4,4699.08
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-23,4683.0,4738.6,4683.0,4718.0,3982,7,4707.74
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-24,4729.0,4755.6,4644.0,4685.4,10867,18,4714.06
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-25,4732.0,4778.8,4730.4,4778.8,2909,4,4736.2
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-28,4745.4,4745.6,4715.0,4726.4,589,2,4740.9
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-29,4705.0,4725.6,4703.4,4710.2,263,3,4709.88
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-30,4738.0,4738.0,4711.0,4725.8,1138,5,4712.52
IE00B3Q19T94,171876095,S7XP,GBP,2019-01-31,4726.6,4766.0,4579.4,4590.8,8085,13,4643.04
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-01,4566.0,4575.0,4566.0,4575.0,14,1,4566.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-04,4560.4,4560.6,4471.4,4496.8,6894,14,4535.38
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-05,4501.0,4614.6,4501.0,4614.6,1165,3,4544.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-06,4691.4,4696.2,4691.4,4696.2,572,2,4691.76
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-07,4709.4,4738.6,4549.2,4549.2,14025,21,4670.94
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-08,4518.0,4533.6,4463.4,4493.0,5038,8,4499.74
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-11,4565.6,4583.6,4553.0,4563.4,1181,3,4572.66
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-12,4579.0,4626.0,4577.4,4621.4,5150,6,4610.26
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-13,4588.4,4608.4,4588.4,4608.4,530,1,4588.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-14,4618.0,4618.0,4555.0,4571.2,5300,10,4577.36
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-15,4585.4,4704.4,4585.4,4704.4,1406,3,4625.1
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-18,4748.4,4748.6,4733.0,4733.0,1052,2,4735.1
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-19,4664.4,4675.6,4664.4,4675.6,1468,3,4669.28
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-20,4673.4,4708.8,4673.4,4708.8,1040,2,4679.26
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-21,4695.4,4695.6,4636.4,4647.8,3980,5,4675.06
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-22,4671.0,4714.0,4663.8,4663.8,1602,4,4690.62
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-25,4692.4,4742.0,4692.4,4737.0,3480,4,4707.64
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-26,4671.0,4690.0,4671.0,4685.4,3050,3,4674.36
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-27,4696.0,4763.0,4696.0,4763.0,1647,5,4745.32
IE00B3Q19T94,171876095,S7XP,GBP,2019-02-28,4760.4,4876.0,4760.4,4868.0,8477,8,4800.86
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-01,4904.0,4904.6,4874.8,4874.8,2959,5,4900.1
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-04,4878.0,4878.0,4850.2,4850.2,1117,3,4862.86
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-05,4889.0,4889.0,4815.4,4815.4,4353,5,4858.7
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-06,4797.0,4834.8,4782.4,4834.8,3429,6,4811.06
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-07,4804.0,4812.0,4617.4,4652.0,15829,29,4694.22
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-08,4573.0,4600.0,4573.0,4600.0,1086,4,4575.74
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-11,4672.6,4678.0,4666.6,4666.6,1363,3,4672.84
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-12,4689.0,4689.0,4658.0,4687.0,4279,9,4672.64
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-13,4689.4,4707.6,4689.4,4706.4,1173,4,4691.68
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-14,4720.4,4720.6,4720.2,4720.2,552,1,4720.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-15,4763.0,4764.6,4763.0,4764.6,20,1,4763.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-18,4865.6,4875.0,4865.4,4875.0,655,1,4865.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-19,4881.4,4881.6,4879.0,4879.0,373,1,4881.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-20,4830.2,4830.4,4830.2,4830.2,0,0,4830.2
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-21,4811.0,4818.0,4811.0,4818.0,32,1,4811.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-22,4567.2,4567.4,4567.2,4567.2,0,0,4567.2
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-25,4558.0,4582.2,4558.0,4582.2,2085,2,4558.6
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-26,4542.0,4575.6,4529.4,4532.0,1602,4,4552.2
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-27,4596.0,4607.6,4596.0,4607.6,63,3,4596.84
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-28,4572.6,4592.0,4572.4,4590.2,543,2,4573.68
IE00B3Q19T94,171876095,S7XP,GBP,2019-03-29,4639.4,4642.2,4639.4,4642.2,74,1,4639.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-01,4709.4,4755.0,4709.4,4750.0,1085,2,4712.56
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-02,4750.4,4794.0,4750.4,4778.0,3199,8,4777.18
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-03,4796.4,4832.2,4796.4,4832.2,985,1,4796.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-04,4881.4,4887.0,4881.4,4887.0,476,1,4881.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-05,4907.4,4907.6,4895.2,4895.2,82,1,4907.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-08,4861.0,4861.0,4861.0,4861.0,0,0,4861.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-09,4876.0,4888.8,4876.0,4888.8,34,1,4876.0
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-10,4875.4,4875.6,4824.4,4824.4,976,1,4875.5
IE00B3Q19T94,171876095,S7XP,GBP,2019-04-11,4931.0,4931.0,4931.0,4931.0,0,0,4931.0
