ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B46G8275,86281326,HIDR,GBP,2019-01-02,6505.0,6505.0,6505.0,6505.0,695,1,6505.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-03,6387.0,6451.5,6387.0,6451.5,29,1,6387.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-04,6573.0,6615.5,6569.0,6615.5,439,3,6570.85
IE00B46G8275,86281326,HIDR,GBP,2019-01-07,6592.0,6628.0,6592.0,6628.0,130,1,6592.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-08,6613.5,6613.5,6613.5,6613.5,0,0,6613.5
IE00B46G8275,86281326,HIDR,GBP,2019-01-09,6656.0,6656.0,6656.0,6656.0,0,0,6656.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-10,6696.0,6696.0,6696.0,6696.0,0,0,6696.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-11,6720.0,6720.0,6672.5,6672.5,44,1,6720.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-14,6552.0,6622.0,6552.0,6588.0,148,4,6582.55
IE00B46G8275,86281326,HIDR,GBP,2019-01-15,6651.0,6708.5,6651.0,6708.5,90,3,6662.75
IE00B46G8275,86281326,HIDR,GBP,2019-01-16,6740.0,6740.0,6740.0,6740.0,0,0,6740.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-17,6696.0,6696.5,6696.0,6696.5,34,1,6696.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-18,6772.0,6772.0,6772.0,6772.0,0,0,6772.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-21,6765.0,6771.0,6725.0,6745.0,1673,7,6747.1
IE00B46G8275,86281326,HIDR,GBP,2019-01-22,6673.5,6673.5,6673.5,6673.5,0,0,6673.5
IE00B46G8275,86281326,HIDR,GBP,2019-01-23,6640.0,6666.0,6639.0,6642.0,103,3,6647.2
IE00B46G8275,86281326,HIDR,GBP,2019-01-24,6706.0,6706.0,6689.5,6689.5,13,1,6706.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-25,6661.0,6663.5,6661.0,6663.5,35,2,6661.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-28,6569.5,6569.5,6569.5,6569.5,0,0,6569.5
IE00B46G8275,86281326,HIDR,GBP,2019-01-29,6538.5,6538.5,6538.5,6538.5,0,0,6538.5
IE00B46G8275,86281326,HIDR,GBP,2019-01-30,6576.0,6576.0,6562.5,6562.5,60,1,6576.0
IE00B46G8275,86281326,HIDR,GBP,2019-01-31,6775.0,6778.0,6764.0,6764.0,73,4,6776.0
IE00B46G8275,86281326,HIDR,GBP,2019-02-01,6777.0,6777.0,6739.5,6739.5,142,6,6760.15
IE00B46G8275,86281326,HIDR,GBP,2019-02-04,6721.0,6721.0,6721.0,6721.0,0,0,6721.0
IE00B46G8275,86281326,HIDR,GBP,2019-02-05,6749.0,6819.0,6729.0,6819.0,1586,8,6749.65
