ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-02,103.715,103.715,103.715,103.715,0,0,103.715
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-03,103.83,103.83,103.83,103.83,0,0,103.83
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-04,103.22,103.22,102.83,102.83,376,3,103.1825
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-07,102.86,102.935,102.77,102.935,101,2,102.859
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-08,102.815,102.815,102.815,102.815,0,0,102.815
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-09,103.575,103.575,103.575,103.575,0,0,103.575
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-10,103.385,103.385,103.385,103.385,0,0,103.385
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-11,102.715,102.715,102.715,102.715,0,0,102.715
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-14,102.29,102.29,102.185,102.185,100,1,102.29
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-15,102.705,102.705,102.705,102.705,0,0,102.705
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-16,101.89,102.14,101.89,102.14,125,2,102.018
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-17,100.675,100.675,100.675,100.675,0,0,100.675
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-18,100.58,100.89,100.58,100.785,225,3,100.738
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-21,100.93,100.93,100.93,100.93,0,0,100.93
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-22,100.91,100.91,100.47,100.475,110,2,100.87
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-23,99.99,99.99,99.88,99.88,124,1,99.99
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-24,100.12,100.12,99.995,99.995,85,2,100.0425
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-25,99.52,99.52,99.455,99.455,100,1,99.52
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-28,99.76,99.76,99.76,99.76,0,0,99.76
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-29,99.76,99.76,99.64,99.76,300,3,99.6965
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-30,100.4,100.455,100.4,100.455,100,1,100.4
IE00B4L5ZG21,69169645,EEXF,GBP,2019-01-31,100.67,101.02,100.67,100.685,165,2,100.882
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-01,101.27,101.27,101.24,101.24,1,1,101.27
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-04,101.07,101.07,101.07,101.07,0,0,101.07
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-05,101.99,102.215,101.95,102.215,200,2,101.97
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-06,101.89,101.945,101.89,101.945,101,2,101.8905
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-07,101.52,101.58,101.52,101.58,1,1,101.52
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-08,101.525,101.525,101.525,101.525,0,0,101.525
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-11,101.605,101.605,101.605,101.605,0,0,101.605
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-12,101.73,101.795,101.73,101.795,100,1,101.73
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-13,101.76,101.805,101.76,101.805,2,1,101.76
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-14,102.47,102.47,102.47,102.47,0,0,102.47
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-15,101.945,101.945,101.945,101.945,0,0,101.945
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-18,101.725,101.725,101.725,101.725,0,0,101.725
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-19,101.115,101.115,101.115,101.115,0,0,101.115
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-20,101.0,101.045,101.0,101.045,85,1,101.0
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-21,100.83,100.83,100.83,100.83,0,0,100.83
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-22,100.885,100.885,100.885,100.885,0,0,100.885
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-25,100.9,100.955,100.9,100.955,100,1,100.9
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-26,99.665,99.665,99.665,99.665,0,0,99.665
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-27,99.26,99.26,99.26,99.26,0,0,99.26
IE00B4L5ZG21,69169645,EEXF,GBP,2019-02-28,99.525,99.525,99.525,99.525,0,0,99.525
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-01,99.38,100.005,99.38,100.005,114,2,99.8275
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-04,99.97,100.065,99.97,100.065,100,1,99.97
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-05,100.29,100.29,100.03,100.075,200,2,100.16
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-06,100.08,100.29,100.08,100.285,400,4,100.2375
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-07,100.02,100.02,99.975,99.975,200,2,100.02
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-08,99.98,100.375,99.98,100.375,100,1,99.98
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-11,100.82,100.99,99.835,99.835,800,8,100.384
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-12,99.54,100.74,99.54,100.74,80,1,99.54
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-13,100.22,100.22,99.965,99.965,614,3,100.161
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-14,99.65,99.65,99.65,99.65,0,0,99.65
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-15,99.735,99.735,99.735,99.735,0,0,99.735
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-18,100.44,100.44,100.44,100.44,0,0,100.44
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-19,100.3,100.31,100.3,100.31,40,1,100.3
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-20,100.91,100.91,100.715,100.715,29,1,100.91
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-21,102.385,102.385,102.385,102.385,0,0,102.385
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-22,100.49,100.49,100.49,100.49,0,0,100.49
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-25,100.42,100.845,100.42,100.845,10000,2,100.42
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-26,100.37,100.37,100.37,100.37,0,0,100.37
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-27,100.325,100.325,100.325,100.325,0,0,100.325
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-28,100.78,101.175,100.78,101.175,100,1,100.78
IE00B4L5ZG21,69169645,EEXF,GBP,2019-03-29,101.42,101.72,101.42,101.675,1103,4,101.6665
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-01,101.46,101.46,100.895,100.895,300,3,101.4265
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-02,101.4,101.4,101.4,101.4,0,0,101.4
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-03,100.735,100.735,100.735,100.735,0,0,100.735
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-04,100.73,101.195,100.73,101.195,1,1,100.73
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-05,101.59,101.59,101.59,101.59,0,0,101.59
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-08,101.3,101.775,101.3,101.775,100,1,101.3
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-09,101.815,101.815,101.815,101.815,0,0,101.815
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-10,101.51,101.59,101.51,101.59,100,1,101.51
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-11,101.745,101.745,101.745,101.745,0,0,101.745
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-12,101.715,101.715,101.715,101.715,0,0,101.715
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-15,101.715,101.715,101.715,101.715,0,0,101.715
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-16,102.09,102.09,102.09,102.09,0,0,102.09
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-17,102.215,102.215,102.215,102.215,0,0,102.215
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-18,102.28,102.28,102.28,102.28,0,0,102.28
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-23,102.47,102.47,102.47,102.47,0,0,102.47
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-24,102.575,102.575,102.575,102.575,0,0,102.575
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-25,102.395,102.395,102.395,102.395,0,0,102.395
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-26,102.525,102.525,102.525,102.525,0,0,102.525
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-29,102.595,102.595,102.595,102.595,0,0,102.595
IE00B4L5ZG21,69169645,EEXF,GBP,2019-04-30,102.175,102.175,102.175,102.175,0,0,102.175
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-01,102.18,102.18,102.13,102.13,200,2,102.155
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-02,101.85,102.05,101.82,101.92,300,3,101.9065
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-03,101.095,101.095,101.095,101.095,0,0,101.095
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-07,101.47,101.785,101.47,101.785,100,1,101.47
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-08,102.04,102.04,102.01,102.01,70,1,102.04
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-09,102.1,102.1,102.1,102.1,0,0,102.1
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-10,102.105,102.105,102.105,102.105,0,0,102.105
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-13,102.525,102.525,102.525,102.525,0,0,102.525
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-14,102.74,102.77,102.63,102.63,250,2,102.758
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-15,103.03,103.055,103.03,103.055,147,1,103.03
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-16,103.53,103.6,103.53,103.565,362,4,103.5685
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-17,103.8,103.915,103.8,103.915,20,1,103.8
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-20,103.76,103.945,103.76,103.945,100,1,103.76
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-21,103.525,103.525,103.525,103.525,0,0,103.525
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-22,104.18,104.38,104.18,104.27,200,2,104.28
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-23,104.155,104.155,104.155,104.155,0,0,104.155
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-24,104.29,104.45,104.29,104.45,100,1,104.29
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-28,104.63,104.67,104.435,104.435,150,2,104.6435
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-29,104.355,104.355,104.355,104.355,0,0,104.355
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-30,104.61,104.61,104.61,104.61,0,0,104.61
IE00B4L5ZG21,69169645,EEXF,GBP,2019-05-31,104.63,104.63,104.63,104.63,0,0,104.63
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-03,105.015,105.015,105.015,105.015,0,0,105.015
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-04,105.075,105.075,105.075,105.075,0,0,105.075
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-05,105.16,105.16,105.15,105.15,200,2,105.16
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-06,105.605,105.605,105.605,105.605,0,0,105.605
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-07,106.04,106.04,106.04,106.04,0,0,106.04
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-10,106.245,106.245,106.245,106.245,0,0,106.245
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-11,106.17,106.22,106.08,106.08,150,2,106.1865
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-12,106.0,106.0,106.0,106.0,0,0,106.0
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-13,106.24,106.24,105.93,105.93,100,1,106.24
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-14,106.225,106.225,106.225,106.225,0,0,106.225
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-17,106.715,106.715,106.715,106.715,0,0,106.715
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-18,107.205,107.205,107.205,107.205,0,0,107.205
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-19,107.16,107.16,106.67,106.67,100,1,107.16
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-20,107.05,107.05,107.05,107.05,0,0,107.05
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-21,107.515,107.515,107.515,107.515,0,0,107.515
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-24,107.95,107.95,107.95,107.95,0,0,107.95
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-25,107.57,107.905,107.57,107.905,599,2,107.57
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-26,107.83,107.945,107.79,107.945,100,2,107.81
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-27,108.01,108.01,108.01,108.01,0,0,108.01
IE00B4L5ZG21,69169645,EEXF,GBP,2019-06-28,107.915,107.915,107.915,107.915,0,0,107.915
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-01,108.07,108.07,108.07,108.07,0,0,108.07
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-02,107.98,108.345,107.98,108.345,282,3,108.0675
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-03,108.625,108.625,108.625,108.625,0,0,108.625
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-04,108.705,108.705,108.705,108.705,0,0,108.705
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-05,108.81,108.81,108.53,108.53,100,1,108.81
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-08,108.515,108.515,108.515,108.515,0,0,108.515
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-09,108.56,108.73,108.56,108.73,160,3,108.56
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-10,108.37,108.655,108.37,108.655,100,1,108.37
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-11,108.0,108.0,107.57,107.57,100,1,108.0
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-12,107.455,107.455,107.455,107.455,0,0,107.455
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-15,108.075,108.075,108.075,108.075,0,0,108.075
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-16,108.49,108.725,108.49,108.725,300,3,108.5035
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-17,108.72,108.735,108.72,108.735,90,1,108.72
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-18,108.225,108.225,108.225,108.225,0,0,108.225
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-19,108.46,108.46,108.24,108.24,20,1,108.46
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-22,108.46,108.46,108.46,108.46,0,0,108.46
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-23,108.69,108.69,108.385,108.385,200,2,108.67
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-24,108.27,108.27,108.18,108.215,200,2,108.225
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-25,108.46,108.46,108.46,108.46,0,0,108.46
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-26,108.81,109.02,108.81,109.02,101,2,108.8595
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-29,110.69,110.69,110.69,110.69,0,0,110.69
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-30,111.41,111.41,111.32,111.32,100,1,111.41
IE00B4L5ZG21,69169645,EEXF,GBP,2019-07-31,111.17,111.21,110.63,110.63,400,4,111.1875
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-01,110.79,110.79,110.79,110.79,0,0,110.79
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-02,110.99,111.16,110.99,111.16,100,1,110.99
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-05,111.27,111.56,111.27,111.56,40,1,111.27
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-06,111.71,111.71,111.71,111.71,0,0,111.71
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-07,111.93,112.24,111.93,112.24,100,1,111.93
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-08,112.4,112.4,112.4,112.4,0,0,112.4
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-09,112.93,112.93,112.93,112.93,0,0,112.93
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-12,113.06,113.19,113.06,113.19,64,1,113.06
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-13,112.83,113.195,112.83,113.195,504,3,112.9115
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-14,112.78,112.78,112.65,112.65,200,2,112.78
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-15,111.99,111.99,111.99,111.99,0,0,111.99
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-16,111.25,111.515,111.25,111.515,100,1,111.25
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-19,111.65,111.69,111.54,111.54,189,2,111.669
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-20,111.505,111.505,111.505,111.505,0,0,111.505
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-21,111.67,111.67,111.62,111.62,100,1,111.67
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-22,110.49,110.49,110.49,110.49,0,0,110.49
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-23,110.78,110.78,110.78,110.78,0,0,110.78
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-27,111.26,111.26,110.295,110.295,27,1,111.26
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-28,110.43,110.8,110.43,110.665,117,2,110.746
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-29,110.77,110.77,110.77,110.77,0,0,110.77
IE00B4L5ZG21,69169645,EEXF,GBP,2019-08-30,110.26,110.26,110.26,110.26,0,0,110.26
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-02,110.32,111.03,110.32,111.03,34,1,110.32
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-03,110.665,110.665,110.665,110.665,0,0,110.665
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-04,110.25,110.25,110.155,110.155,100,1,110.25
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-05,108.705,108.705,108.705,108.705,0,0,108.705
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-06,109.125,109.125,109.125,109.125,0,0,109.125
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-09,108.515,108.515,108.515,108.515,0,0,108.515
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-10,108.0,108.2,108.0,108.2,100,1,108.0
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-11,107.72,107.785,107.63,107.785,137,2,107.6955
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-12,108.28,108.515,108.28,108.515,100,1,108.28
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-13,107.76,107.76,107.56,107.56,100,1,107.76
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-16,107.19,107.19,107.19,107.19,0,0,107.19
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-17,107.34,107.34,106.885,106.885,100,1,107.34
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-18,107.04,107.04,106.97,106.97,1,1,107.04
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-19,107.0,107.0,106.865,106.865,333,2,107.0
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-20,106.33,106.33,106.33,106.33,0,0,106.33
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-23,106.84,106.95,106.84,106.95,200,2,106.865
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-24,106.63,106.86,106.63,106.86,300,3,106.6865
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-25,106.97,107.14,106.96,107.14,211,3,106.979
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-26,107.18,107.18,107.18,107.18,0,0,107.18
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-27,107.66,107.66,107.66,107.66,0,0,107.66
IE00B4L5ZG21,69169645,EEXF,GBP,2019-09-30,107.455,107.455,107.455,107.455,0,0,107.455
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-01,108.185,108.185,108.185,108.185,0,0,108.185
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-02,107.735,107.735,107.735,107.735,0,0,107.735
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-03,107.77,107.77,107.345,107.345,100,1,107.77
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-04,108.105,108.105,108.105,108.105,0,0,108.105
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-07,108.08,108.08,108.08,108.08,0,0,108.08
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-08,108.725,108.725,108.725,108.725,0,0,108.725
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-09,108.53,108.755,108.53,108.755,10200,5,108.7475
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-10,107.81,107.81,107.81,107.81,0,0,107.81
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-11,106.44,106.44,105.125,105.125,10000,4,106.44
IE00B4L5ZG21,69169645,EEXF,GBP,2019-10-14,105.755,105.755,105.755,105.755,0,0,105.755
