ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B5L01S80,90129279,HPRO,GBP,2019-01-02,1707.5,1707.5,1693.5,1701.5,3415,8,1698.5
IE00B5L01S80,90129279,HPRO,GBP,2019-01-03,1694.5,1710.5,1694.5,1710.5,2847,5,1706.875
IE00B5L01S80,90129279,HPRO,GBP,2019-01-04,1712.0,1729.5,1712.0,1720.75,3376,4,1724.75
IE00B5L01S80,90129279,HPRO,GBP,2019-01-07,1714.5,1727.5,1714.5,1725.75,1460,4,1721.575
IE00B5L01S80,90129279,HPRO,GBP,2019-01-08,1743.0,1750.0,1743.0,1750.0,499,4,1747.025
IE00B5L01S80,90129279,HPRO,GBP,2019-01-09,1748.0,1754.0,1748.0,1754.0,123,2,1751.6
IE00B5L01S80,90129279,HPRO,GBP,2019-01-10,1758.5,1763.5,1758.5,1763.5,643,3,1758.95
IE00B5L01S80,90129279,HPRO,GBP,2019-01-11,1780.0,1780.0,1768.0,1771.0,1132,3,1775.15
IE00B5L01S80,90129279,HPRO,GBP,2019-01-14,1767.0,1767.0,1759.0,1759.0,12,1,1767.0
IE00B5L01S80,90129279,HPRO,GBP,2019-01-15,1775.0,1786.25,1775.0,1786.25,82,1,1775.0
IE00B5L01S80,90129279,HPRO,GBP,2019-01-16,1770.5,1779.25,1770.5,1779.25,239,2,1770.9
IE00B5L01S80,90129279,HPRO,GBP,2019-01-17,1776.0,1781.5,1776.0,1777.0,19800,12,1778.325
IE00B5L01S80,90129279,HPRO,GBP,2019-01-18,1791.0,1791.0,1786.0,1786.25,28888,21,1787.2
IE00B5L01S80,90129279,HPRO,GBP,2019-01-21,1796.0,1796.0,1786.5,1787.5,536,4,1791.725
IE00B5L01S80,90129279,HPRO,GBP,2019-01-22,1785.0,1785.0,1772.5,1776.25,219,2,1778.825
IE00B5L01S80,90129279,HPRO,GBP,2019-01-23,1764.5,1764.5,1762.75,1762.75,61,1,1764.5
IE00B5L01S80,90129279,HPRO,GBP,2019-01-24,1774.0,1776.0,1773.25,1773.25,433,2,1775.85
IE00B5L01S80,90129279,HPRO,GBP,2019-01-25,1773.0,1779.0,1772.5,1778.0,3187,8,1774.3
IE00B5L01S80,90129279,HPRO,GBP,2019-01-28,1784.0,1785.5,1782.0,1785.5,160,2,1783.0
IE00B5L01S80,90129279,HPRO,GBP,2019-01-29,1807.0,1809.5,1806.75,1806.75,538,3,1807.85
IE00B5L01S80,90129279,HPRO,GBP,2019-01-30,1831.5,1831.5,1830.5,1831.5,122,2,1831.0
IE00B5L01S80,90129279,HPRO,GBP,2019-01-31,1819.0,1819.0,1813.0,1816.25,3208,4,1816.425
IE00B5L01S80,90129279,HPRO,GBP,2019-02-01,1822.0,1831.5,1803.5,1805.0,3075,8,1821.35
IE00B5L01S80,90129279,HPRO,GBP,2019-02-04,1820.5,1823.5,1810.0,1818.75,6204,7,1815.3
IE00B5L01S80,90129279,HPRO,GBP,2019-02-05,1835.0,1848.25,1835.0,1848.25,676,2,1843.325
IE00B5L01S80,90129279,HPRO,GBP,2019-02-06,1850.0,1850.0,1843.25,1843.25,953,3,1847.775
IE00B5L01S80,90129279,HPRO,GBP,2019-02-07,1848.0,1848.0,1835.0,1842.5,6263,5,1847.075
IE00B5L01S80,90129279,HPRO,GBP,2019-02-08,1846.0,1847.0,1840.0,1845.0,3901,7,1844.775
IE00B5L01S80,90129279,HPRO,GBP,2019-02-11,1859.5,1867.5,1856.5,1865.0,495,3,1863.625
