ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B60SX394,78040801,SC0J,EUR,2019-01-02,45.925,46.715,45.264,46.37,5683,30,45.6739
IE00B60SX394,78040801,SC0J,EUR,2019-01-03,45.893,46.135,45.495,45.495,14309,36,45.8564
IE00B60SX394,78040801,SC0J,EUR,2019-01-04,46.011,46.91,45.595,46.91,1897,21,46.1252
IE00B60SX394,78040801,SC0J,EUR,2019-01-07,47.075,47.205,46.674,46.995,9483,34,46.859
IE00B60SX394,78040801,SC0J,EUR,2019-01-08,47.2,47.615,47.085,47.435,5360,18,47.4934
IE00B60SX394,78040801,SC0J,EUR,2019-01-09,47.572,47.697,47.305,47.305,2558,8,47.5837
IE00B60SX394,78040801,SC0J,EUR,2019-01-10,47.097,47.77,47.061,47.77,5301,22,47.3481
IE00B60SX394,78040801,SC0J,EUR,2019-01-11,47.76,47.82,47.53,47.82,13170,20,47.6013
IE00B60SX394,78040801,SC0J,EUR,2019-01-14,47.615,47.85,47.435,47.57,2202,16,47.5972
IE00B60SX394,78040801,SC0J,EUR,2019-01-15,47.89,48.35,47.773,48.225,13070,12,47.8314
IE00B60SX394,78040801,SC0J,EUR,2019-01-16,48.34,48.58,48.34,48.455,603,9,48.5066
IE00B60SX394,78040801,SC0J,EUR,2019-01-17,48.204,48.665,48.175,48.665,3702,12,48.2376
IE00B60SX394,78040801,SC0J,EUR,2019-01-18,48.825,49.48,48.825,49.375,4747,12,49.2686
IE00B60SX394,78040801,SC0J,EUR,2019-01-21,49.475,49.475,49.227,49.29,4765,18,49.2943
IE00B60SX394,78040801,SC0J,EUR,2019-01-22,49.166,49.216,48.645,48.645,17729,26,49.0431
IE00B60SX394,78040801,SC0J,EUR,2019-01-23,48.776,49.149,48.455,48.76,2369,17,48.7801
IE00B60SX394,78040801,SC0J,EUR,2019-01-24,48.824,49.15,48.824,49.15,17463,29,49.0422
IE00B60SX394,78040801,SC0J,EUR,2019-01-25,49.303,49.38,49.18,49.18,3984,14,49.3452
IE00B60SX394,78040801,SC0J,EUR,2019-01-28,49.16,49.16,48.648,48.755,1513,14,48.9322
IE00B60SX394,78040801,SC0J,EUR,2019-01-29,48.775,49.048,48.665,48.8,8200,20,48.7756
IE00B60SX394,78040801,SC0J,EUR,2019-01-30,49.005,49.435,49.005,49.265,1242,11,49.1667
IE00B60SX394,78040801,SC0J,EUR,2019-01-31,49.418,49.755,49.173,49.715,1995,18,49.4379
IE00B60SX394,78040801,SC0J,EUR,2019-02-01,49.795,49.82,49.528,49.635,16794,29,49.7622
IE00B60SX394,78040801,SC0J,EUR,2019-02-04,49.75,49.99,49.684,49.99,15478,19,49.693
IE00B60SX394,78040801,SC0J,EUR,2019-02-05,50.1,50.56,50.07,50.45,4882,15,50.2425
IE00B60SX394,78040801,SC0J,EUR,2019-02-06,50.4,50.61,50.33,50.53,5080,20,50.4741
IE00B60SX394,78040801,SC0J,EUR,2019-02-07,50.458,50.5,49.855,50.06,5314,32,50.3399
IE00B60SX394,78040801,SC0J,EUR,2019-02-08,50.04,50.04,49.757,50.03,993,15,49.8493
IE00B60SX394,78040801,SC0J,EUR,2019-02-11,50.13,50.51,50.12,50.37,12403,39,50.3196
IE00B60SX394,78040801,SC0J,EUR,2019-02-12,50.64,50.832,50.64,50.72,9978,27,50.6891
IE00B60SX394,78040801,SC0J,EUR,2019-02-13,51.0,51.26,50.902,51.13,2761,12,50.9519
IE00B60SX394,78040801,SC0J,EUR,2019-02-14,51.368,51.368,50.744,50.96,1739,18,51.0781
IE00B60SX394,78040801,SC0J,EUR,2019-02-15,50.85,51.566,50.85,51.49,9336,24,51.1294
IE00B60SX394,78040801,SC0J,EUR,2019-02-18,51.47,51.7,51.34,51.5,2391,23,51.4898
IE00B60SX394,78040801,SC0J,EUR,2019-02-19,51.54,51.57,51.36,51.48,842,19,51.4623
IE00B60SX394,78040801,SC0J,EUR,2019-02-20,51.53,51.61,51.432,51.59,1996,14,51.508
IE00B60SX394,78040801,SC0J,EUR,2019-02-21,51.736,51.736,51.4,51.4,1628,22,51.5621
IE00B60SX394,78040801,SC0J,EUR,2019-02-22,51.496,51.748,51.47,51.72,5570,18,51.6428
IE00B60SX394,78040801,SC0J,EUR,2019-02-25,52.01,52.084,51.74,51.74,6666,30,51.8937
IE00B60SX394,78040801,SC0J,EUR,2019-02-26,51.67,51.89,51.634,51.69,10654,24,51.6554
IE00B60SX394,78040801,SC0J,EUR,2019-02-27,51.616,51.69,51.45,51.65,28434,79,51.5652
IE00B60SX394,78040801,SC0J,EUR,2019-02-28,51.516,51.67,51.436,51.56,3855,17,51.5694
IE00B60SX394,78040801,SC0J,EUR,2019-03-01,51.914,51.93,51.684,51.89,2109,17,51.8289
IE00B60SX394,78040801,SC0J,EUR,2019-03-04,52.3,52.3,51.72,51.77,3974,24,52.0852
IE00B60SX394,78040801,SC0J,EUR,2019-03-05,51.912,52.11,51.832,52.01,4219,20,51.9412
IE00B60SX394,78040801,SC0J,EUR,2019-03-06,51.93,51.996,51.67,51.67,3380,19,51.8907
IE00B60SX394,78040801,SC0J,EUR,2019-03-07,51.73,51.93,51.49,51.72,2656,16,51.59
IE00B60SX394,78040801,SC0J,EUR,2019-03-08,51.464,51.51,51.11,51.41,6638,26,51.3209
IE00B60SX394,78040801,SC0J,EUR,2019-03-11,51.52,52.16,51.43,52.08,8470,28,51.5306
IE00B60SX394,78040801,SC0J,EUR,2019-03-12,52.034,52.082,51.914,51.97,4810,25,52.0058
IE00B60SX394,78040801,SC0J,EUR,2019-03-13,51.902,52.27,51.892,52.21,8283,16,52.0353
IE00B60SX394,78040801,SC0J,EUR,2019-03-14,52.19,52.342,52.14,52.2,5176,25,52.2234
IE00B60SX394,78040801,SC0J,EUR,2019-03-15,52.242,52.588,52.22,52.49,4288,26,52.3183
IE00B60SX394,78040801,SC0J,EUR,2019-03-18,52.61,52.65,52.418,52.64,9428,32,52.5102
IE00B60SX394,78040801,SC0J,EUR,2019-03-19,52.656,52.804,52.52,52.52,4623,20,52.7588
IE00B60SX394,78040801,SC0J,EUR,2019-03-20,52.62,52.62,52.05,52.05,13698,14,52.255
IE00B60SX394,78040801,SC0J,EUR,2019-03-21,52.08,52.82,52.02,52.73,3327,13,52.5134
IE00B60SX394,78040801,SC0J,EUR,2019-03-22,52.748,52.9,52.12,52.12,3658,16,52.7184
IE00B60SX394,78040801,SC0J,EUR,2019-03-25,52.18,52.18,51.85,52.07,16701,31,52.0597
IE00B60SX394,78040801,SC0J,EUR,2019-03-26,52.25,52.638,52.24,52.56,6146,16,52.4735
IE00B60SX394,78040801,SC0J,EUR,2019-03-27,52.77,52.77,52.194,52.44,3424,18,52.4254
IE00B60SX394,78040801,SC0J,EUR,2019-03-28,52.54,52.748,52.47,52.69,6232,19,52.6278
IE00B60SX394,78040801,SC0J,EUR,2019-03-29,52.842,53.02,52.804,53.02,35762,20,52.8496
IE00B60SX394,78040801,SC0J,EUR,2019-04-01,53.28,53.65,53.28,53.65,8238,34,53.3786
IE00B60SX394,78040801,SC0J,EUR,2019-04-02,53.56,53.78,53.56,53.7,13379,31,53.7049
IE00B60SX394,78040801,SC0J,EUR,2019-04-03,53.934,53.956,53.74,53.74,5172,29,53.8737
