ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B6R52036,94435142,IAUP,USD,2019-01-02,8.898,8.96,8.83,8.943,104891,40,8.9171
IE00B6R52036,94435142,IAUP,USD,2019-01-03,8.9875,9.04,8.905,8.9925,112837,25,8.978
IE00B6R52036,94435142,IAUP,USD,2019-01-04,9.12,9.1225,8.9775,8.9775,48672,12,9.07925
IE00B6R52036,94435142,IAUP,USD,2019-01-07,9.135,9.135,8.985,8.99,48398,19,9.07275
IE00B6R52036,94435142,IAUP,USD,2019-01-08,8.8875,8.8925,8.8225,8.8225,48736,16,8.86125
IE00B6R52036,94435142,IAUP,USD,2019-01-09,8.82,9.0125,8.815,8.99,10439,8,8.93675
IE00B6R52036,94435142,IAUP,USD,2019-01-10,9.06,9.06,8.925,8.94,50147,19,9.00125
IE00B6R52036,94435142,IAUP,USD,2019-01-11,8.985,9.03,8.925,8.9475,80745,18,8.9625
IE00B6R52036,94435142,IAUP,USD,2019-01-14,9.015,9.035,8.885,8.8875,214898,82,8.9765
IE00B6R52036,94435142,IAUP,USD,2019-01-15,8.885,8.895,8.795,8.795,11960,9,8.86225
IE00B6R52036,94435142,IAUP,USD,2019-01-16,8.75,8.8025,8.7,8.7925,68102,20,8.733
IE00B6R52036,94435142,IAUP,USD,2019-01-17,8.785,8.8,8.7075,8.795,150465,26,8.777
IE00B6R52036,94435142,IAUP,USD,2019-01-18,8.825,8.825,8.66,8.7325,140545,22,8.69675
IE00B6R52036,94435142,IAUP,USD,2019-01-21,8.6975,8.7,8.5325,8.6025,426157,116,8.56625
IE00B6R52036,94435142,IAUP,USD,2019-01-22,8.6025,8.6825,8.6,8.6425,88991,30,8.65725
IE00B6R52036,94435142,IAUP,USD,2019-01-23,8.7225,8.74,8.61,8.72,13798,13,8.71925
IE00B6R52036,94435142,IAUP,USD,2019-01-24,8.68,8.7225,8.62,8.7025,71410,27,8.6635
IE00B6R52036,94435142,IAUP,USD,2019-01-25,8.7575,8.9975,8.755,8.9975,79502,22,8.80375
IE00B6R52036,94435142,IAUP,USD,2019-01-28,9.0625,9.0825,9.02,9.0825,11735,9,9.045
IE00B6R52036,94435142,IAUP,USD,2019-01-29,9.15,9.265,9.135,9.265,109966,38,9.19075
IE00B6R52036,94435142,IAUP,USD,2019-01-30,9.3875,9.3875,9.195,9.29,1568199,1976,9.26525
IE00B6R52036,94435142,IAUP,USD,2019-01-31,9.48,9.52,9.43,9.4975,15408,9,9.4895
IE00B6R52036,94435142,IAUP,USD,2019-02-01,9.515,9.5925,9.4375,9.4925,153225,72,9.5475
IE00B6R52036,94435142,IAUP,USD,2019-02-04,9.4575,9.51,9.4,9.505,149526,35,9.47675
IE00B6R52036,94435142,IAUP,USD,2019-02-05,9.515,9.575,9.4575,9.4575,73846,27,9.523
IE00B6R52036,94435142,IAUP,USD,2019-02-06,9.52,9.5575,9.48,9.54,69070,20,9.5395
IE00B6R52036,94435142,IAUP,USD,2019-02-07,9.4,9.4775,9.3475,9.3475,49145,33,9.4055
IE00B6R52036,94435142,IAUP,USD,2019-02-08,9.35,9.45,9.3125,9.405,17224,19,9.363
IE00B6R52036,94435142,IAUP,USD,2019-02-11,9.3525,9.425,9.33,9.3975,68143,17,9.3775
IE00B6R52036,94435142,IAUP,USD,2019-02-12,9.4325,9.47,9.355,9.355,52971,16,9.4315
IE00B6R52036,94435142,IAUP,USD,2019-02-13,9.37,9.42,9.3275,9.365,22340,9,9.341
IE00B6R52036,94435142,IAUP,USD,2019-02-14,9.31,9.365,9.235,9.345,156740,35,9.27
IE00B6R52036,94435142,IAUP,USD,2019-02-15,9.3625,9.4775,9.3525,9.3525,123125,29,9.4395
IE00B6R52036,94435142,IAUP,USD,2019-02-18,9.5,9.555,9.5,9.5475,37320,22,9.5425
IE00B6R52036,94435142,IAUP,USD,2019-02-19,9.5375,9.77,9.53,9.7425,75386,37,9.59575
IE00B6R52036,94435142,IAUP,USD,2019-02-20,9.8,9.97,9.8,9.97,164861,48,9.913
IE00B6R52036,94435142,IAUP,USD,2019-02-21,9.8925,9.8925,9.75,9.75,289499,34,9.85775
IE00B6R52036,94435142,IAUP,USD,2019-02-22,9.8475,9.88,9.77,9.88,111266,39,9.82575
IE00B6R52036,94435142,IAUP,USD,2019-02-25,9.8325,9.8325,9.705,9.7125,59476,28,9.73375
IE00B6R52036,94435142,IAUP,USD,2019-02-26,9.5925,9.64,9.56,9.56,35950,10,9.6265
IE00B6R52036,94435142,IAUP,USD,2019-02-27,9.595,9.6025,9.465,9.4675,74987,25,9.539
IE00B6R52036,94435142,IAUP,USD,2019-02-28,9.4825,9.52,9.425,9.425,70603,19,9.454
IE00B6R52036,94435142,IAUP,USD,2019-03-01,9.4025,9.4325,9.3125,9.3425,550676,46,9.33575
IE00B6R52036,94435142,IAUP,USD,2019-03-04,9.15,9.1825,9.135,9.1525,86952,26,9.1555
IE00B6R52036,94435142,IAUP,USD,2019-03-05,9.19,9.265,9.1875,9.225,90283,24,9.206
IE00B6R52036,94435142,IAUP,USD,2019-03-06,9.3275,9.33,9.1925,9.2025,8085,20,9.26775
IE00B6R52036,94435142,IAUP,USD,2019-03-07,9.0875,9.245,9.0875,9.225,98134,26,9.1545
IE00B6R52036,94435142,IAUP,USD,2019-03-08,9.3225,9.5025,9.305,9.3975,86926,31,9.37925
IE00B6R52036,94435142,IAUP,USD,2019-03-11,9.4625,9.49,9.395,9.4025,12645,13,9.4765
IE00B6R52036,94435142,IAUP,USD,2019-03-12,9.495,9.565,9.49,9.54,74893,18,9.51025
IE00B6R52036,94435142,IAUP,USD,2019-03-13,9.625,9.75,9.625,9.645,71623,39,9.7095
IE00B6R52036,94435142,IAUP,USD,2019-03-14,9.545,9.575,9.455,9.4675,32146,17,9.51375
IE00B6R52036,94435142,IAUP,USD,2019-03-15,9.52,9.575,9.47,9.47,12287,10,9.55675
IE00B6R52036,94435142,IAUP,USD,2019-03-18,9.52,9.54,9.415,9.415,10630,8,9.51375
IE00B6R52036,94435142,IAUP,USD,2019-03-19,9.43,9.47,9.39,9.47,27726,22,9.43525
IE00B6R52036,94435142,IAUP,USD,2019-03-20,9.3475,9.42,9.2775,9.3175,24766,24,9.3505
IE00B6R52036,94435142,IAUP,USD,2019-03-21,9.6375,9.67,9.505,9.505,70605,28,9.60875
IE00B6R52036,94435142,IAUP,USD,2019-03-22,9.63,9.66,9.555,9.6025,65605,23,9.577
IE00B6R52036,94435142,IAUP,USD,2019-03-25,9.73,9.84,9.695,9.8275,25425,22,9.74725
IE00B6R52036,94435142,IAUP,USD,2019-03-26,9.8,9.84,9.7425,9.825,25480,26,9.7985
IE00B6R52036,94435142,IAUP,USD,2019-03-27,9.835,9.8875,9.76,9.7725,40964,17,9.844
IE00B6R52036,94435142,IAUP,USD,2019-03-28,9.75,9.7625,9.4425,9.4425,52750,25,9.5845
IE00B6R52036,94435142,IAUP,USD,2019-03-29,9.5075,9.6,9.505,9.5925,14958,10,9.551
IE00B6R52036,94435142,IAUP,USD,2019-04-01,9.455,9.555,9.385,9.385,31739,19,9.48375
IE00B6R52036,94435142,IAUP,USD,2019-04-02,9.315,9.38,9.315,9.3675,4678,14,9.3595
IE00B6R52036,94435142,IAUP,USD,2019-04-03,9.4175,9.445,9.33,9.4025,73080,20,9.357
IE00B6R52036,94435142,IAUP,USD,2019-04-04,9.37,9.4,9.2725,9.39,6674,14,9.3295
IE00B6R52036,94435142,IAUP,USD,2019-04-05,9.54,9.5575,9.47,9.5125,67262,51,9.512
IE00B6R52036,94435142,IAUP,USD,2019-04-08,9.6,9.685,9.575,9.595,33507,25,9.6155
IE00B6R52036,94435142,IAUP,USD,2019-04-09,9.655,9.7,9.635,9.65,10497,12,9.651
IE00B6R52036,94435142,IAUP,USD,2019-04-10,9.7,9.715,9.655,9.6875,16068,18,9.69
IE00B6R52036,94435142,IAUP,USD,2019-04-11,9.54,9.57,9.46,9.4775,73544,31,9.50625
IE00B6R52036,94435142,IAUP,USD,2019-04-12,9.5,9.5,9.44,9.4775,34196,9,9.461
IE00B6R52036,94435142,IAUP,USD,2019-04-15,9.355,9.4075,9.335,9.4075,94460,16,9.349
IE00B6R52036,94435142,IAUP,USD,2019-04-16,9.3675,9.37,9.28,9.2825,52849,13,9.32175
IE00B6R52036,94435142,IAUP,USD,2019-04-17,9.2325,9.285,9.2275,9.2275,18484,9,9.26025
IE00B6R52036,94435142,IAUP,USD,2019-04-18,9.1825,9.24,9.13,9.1475,17705,23,9.2005
IE00B6R52036,94435142,IAUP,USD,2019-04-23,8.9675,8.9675,8.81,8.87,64094,20,8.929
IE00B6R52036,94435142,IAUP,USD,2019-04-24,8.8475,8.92,8.7975,8.9,153381,51,8.83575
IE00B6R52036,94435142,IAUP,USD,2019-04-25,8.91,8.985,8.905,8.905,31641,15,8.92675
IE00B6R52036,94435142,IAUP,USD,2019-04-26,8.895,9.0825,8.895,9.06,22782,24,8.94175
IE00B6R52036,94435142,IAUP,USD,2019-04-29,9.0075,9.0425,8.865,8.875,134607,33,9.00225
IE00B6R52036,94435142,IAUP,USD,2019-04-30,8.88,8.9325,8.87,8.9175,33918,17,8.8865
IE00B6R52036,94435142,IAUP,USD,2019-05-01,8.8675,8.8925,8.76,8.77,37076,10,8.82425
IE00B6R52036,94435142,IAUP,USD,2019-05-02,8.7,8.735,8.595,8.7225,47990,22,8.68275
