ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-02,51.13,51.18,51.09,51.1,881,7,51.1125
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-03,51.12,51.18,51.1,51.18,844,5,51.142
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-04,51.06,51.065,51.03,51.065,532,5,51.0445
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-07,51.0,51.2,51.0,51.08,548,7,51.0575
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-08,51.0,51.07,51.0,51.07,494,5,51.032
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-09,51.02,51.12,51.02,51.09,646,10,51.072
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-10,51.07,51.09,51.02,51.02,1929,10,51.045
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-11,51.1,51.1,50.99,51.015,1080,13,51.023
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-14,51.03,51.09,50.97,51.0,2548,15,51.0165
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-15,50.99,51.06,50.99,51.01,11850,16,51.0165
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-16,51.01,51.01,50.94,50.99,1310,10,50.988
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-17,51.03,51.16,50.96,50.985,4744,15,51.003
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-18,50.88,50.985,50.88,50.985,479,7,50.962
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-21,51.1,51.1,50.98,51.02,460,7,51.002
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-22,51.04,51.07,50.99,51.025,2166,17,51.0395
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-23,50.99,51.04,50.98,51.015,775,9,50.9855
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-24,51.01,51.1,51.0,51.065,40877,31,51.056
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-25,51.06,51.07,50.99,51.02,1678,16,51.043
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-28,51.05,51.08,51.0,51.065,5114,11,51.049
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-29,51.08,51.09,51.03,51.04,8283,16,51.055
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-30,51.04,51.08,51.04,51.06,635,7,51.0655
IE00B6YX5K17,107485984,GLTS,GBP,2019-01-31,51.19,51.19,51.07,51.095,1352,6,51.119
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-01,50.97,51.06,50.92,50.945,2158,12,51.006
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-04,50.97,50.97,50.89,50.915,13353,12,50.9585
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-05,50.91,51.02,50.91,50.98,254,8,50.9595
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-06,51.0,51.02,50.99,50.995,959,6,51.016
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-07,51.0,51.05,51.0,51.01,3271,22,51.037
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-08,51.07,51.08,51.02,51.055,726,4,51.052
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-11,51.06,51.06,51.025,51.025,761,6,51.055
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-12,51.12,51.12,51.025,51.025,84,3,51.069
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-13,50.93,51.06,50.93,51.025,1698,10,51.0115
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-14,51.08,51.14,51.04,51.04,521,5,51.0795
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-15,50.96,51.06,50.96,51.025,2117,6,51.0465
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-18,51.24,51.24,51.0,51.05,578,5,51.031
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-19,50.94,51.025,50.94,51.025,75,3,50.9845
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-20,51.05,51.05,50.98,51.01,2687,6,51.019
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-21,50.94,51.01,50.94,50.99,1784,7,50.986
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-22,51.06,51.07,51.0,51.015,32035,85,51.012
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-25,51.1,51.1,50.98,51.01,1257,9,51.0055
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-26,51.0,51.0,50.95,50.95,1453,5,50.9525
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-27,50.89,50.97,50.85,50.885,1045,6,50.9015
IE00B6YX5K17,107485984,GLTS,GBP,2019-02-28,50.99,50.99,50.88,50.92,3988,13,50.9275
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-01,50.9,50.96,50.9,50.935,963,6,50.9275
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-04,50.94,50.98,50.9,50.96,564,7,50.949
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-05,50.95,51.03,50.94,51.03,2721,8,50.973
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-06,50.87,51.02,50.87,50.995,1832,11,50.9715
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-07,51.07,51.07,50.97,51.06,434,5,51.023
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-08,51.11,51.11,50.99,51.005,470,5,51.039
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-11,51.05,51.07,51.03,51.045,1278,8,51.0595
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-12,50.99,51.07,50.99,51.055,1034,4,51.0375
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-13,51.24,51.24,50.99,50.99,424,5,51.0135
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-14,50.94,51.02,50.94,51.01,11632,29,51.0155
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-15,51.04,51.04,50.98,50.98,5511,10,50.993
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-18,50.99,51.05,50.99,51.025,9688,12,51.0475
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-19,50.94,51.03,50.94,51.015,2460,12,50.997
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-20,51.06,51.08,51.03,51.03,2041,7,51.0595
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-21,51.07,51.15,51.07,51.1,1286,6,51.1085
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-22,51.17,51.22,51.17,51.22,18190,32,51.1735
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-25,51.08,51.21,51.08,51.195,920,6,51.173
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-26,51.18,51.2,51.14,51.15,2789,10,51.1855
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-27,51.2,51.21,51.14,51.14,5507,17,51.199
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-28,51.33,51.33,51.175,51.175,1699,7,51.2185
IE00B6YX5K17,107485984,GLTS,GBP,2019-03-29,51.0,51.31,51.0,51.31,3665,7,51.281
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-01,51.23,51.24,51.16,51.17,885,11,51.21
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-02,51.25,51.26,51.21,51.225,1169,5,51.246
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-03,51.16,51.18,51.12,51.145,1392,8,51.146
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-04,51.21,51.21,51.1,51.105,2959,8,51.142
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-05,51.11,51.11,51.03,51.1,2004,12,51.0895
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-08,51.1,51.13,51.05,51.12,1741,12,51.0805
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-09,51.12,51.12,51.07,51.105,6402,5,51.072
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-10,51.11,51.12,51.1,51.12,19,2,51.1005
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-11,51.12,51.13,51.05,51.11,1289,9,51.0715
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-12,51.14,51.14,51.0,51.015,1496,8,51.034
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-15,51.01,51.02,50.99,51.005,2317,3,51.0105
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-16,51.02,51.02,50.98,50.98,1620,8,50.9995
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-17,50.95,51.01,50.95,51.0,973,8,50.9835
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-18,51.02,51.06,51.02,51.06,673,5,51.042
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-23,51.03,51.03,50.98,50.98,1364,9,51.0105
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-24,51.06,51.16,51.03,51.07,34,5,51.143
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-25,50.99,51.085,50.99,51.085,601,3,51.0395
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-26,51.18,51.18,51.1,51.13,706,8,51.1255
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-29,51.09,51.11,51.07,51.095,3002,8,51.0845
IE00B6YX5K17,107485984,GLTS,GBP,2019-04-30,50.98,51.12,50.98,51.09,3187,8,51.083
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-01,51.08,51.12,51.03,51.11,160,3,51.099
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-02,51.29,51.29,51.01,51.01,877,8,51.1135
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-03,51.25,51.25,50.98,50.98,1743,13,51.044
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-07,51.13,51.13,51.03,51.065,951,4,51.0955
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-08,51.16,51.16,51.08,51.08,877,4,51.1125
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-09,51.2,51.2,51.1,51.105,3734,10,51.1535
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-10,51.19,51.19,51.115,51.115,1298,4,51.1375
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-13,51.21,51.21,51.12,51.12,887,5,51.152
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-14,51.1,51.17,51.1,51.11,3159,6,51.167
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-15,51.16,51.2,51.14,51.19,6247,12,51.1725
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-16,51.21,51.21,51.145,51.145,226,1,51.21
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-17,51.27,51.27,51.18,51.185,3762,9,51.1935
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-20,51.14,51.155,51.13,51.155,60,2,51.135
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-21,51.18,51.19,51.1,51.1,6181,8,51.183
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-22,51.16,51.21,51.14,51.195,4175,10,51.183
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-23,51.02,51.3,51.01,51.29,1788,8,51.1915
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-24,51.28,51.3,51.25,51.27,1537,6,51.263
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-28,51.33,51.34,51.3,51.32,1710,11,51.3225
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-29,51.44,51.44,51.345,51.345,325,4,51.3985
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-30,51.35,51.35,51.29,51.29,744,3,51.3495
IE00B6YX5K17,107485984,GLTS,GBP,2019-05-31,51.47,51.47,51.32,51.32,2493,13,51.3925
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-03,51.45,51.45,51.39,51.395,4496,5,51.403
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-04,51.38,51.38,51.33,51.38,456,4,51.3615
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-05,51.42,51.42,51.395,51.395,298,4,51.415
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-06,51.32,51.45,51.32,51.425,3163,12,51.417
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-07,51.41,51.49,51.41,51.47,3206,8,51.439
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-10,51.435,51.435,51.435,51.435,0,0,51.435
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-11,51.45,51.45,51.395,51.395,439,5,51.415
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-12,51.38,51.38,51.33,51.345,1912,7,51.3505
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-13,51.41,51.42,51.41,51.41,1029,4,51.413
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-14,51.57,51.57,51.35,51.375,2022,9,51.41
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-17,51.35,51.4,51.34,51.37,3492,9,51.3855
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-18,51.48,51.52,51.44,51.52,386,5,51.4775
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-19,51.33,51.44,51.33,51.355,181,4,51.4035
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-20,51.39,51.44,51.35,51.385,1654,7,51.422
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-21,51.41,51.41,51.35,51.37,2044,7,51.3705
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-24,51.42,51.44,51.38,51.405,1316,5,51.426
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-25,51.4,51.47,51.4,51.45,1336,4,51.465
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-26,51.43,51.43,51.37,51.385,281,3,51.41
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-27,51.5,51.5,51.33,51.365,8671,16,51.376
IE00B6YX5K17,107485984,GLTS,GBP,2019-06-28,51.29,51.4,51.29,51.365,3556,8,51.3735
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-01,51.42,51.42,51.385,51.385,1671,3,51.4145
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-02,51.43,51.52,51.42,51.52,1539,8,51.489
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-03,51.56,51.59,51.545,51.545,1089,6,51.569
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-04,51.49,51.56,51.49,51.56,927,6,51.537
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-05,51.55,51.55,51.43,51.45,1641,5,51.4885
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-08,51.59,51.59,51.47,51.495,1589,7,51.526
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-09,51.52,51.53,51.48,51.5,70108,209,51.501
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-10,51.48,51.55,51.43,51.455,68575,49,51.439
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-11,51.38,51.47,51.36,51.38,2230,10,51.3985
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-12,51.42,51.42,51.37,51.39,46,2,51.4165
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-15,51.45,51.45,51.44,51.44,111,1,51.45
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-16,51.42,51.53,51.42,51.435,2877,4,51.505
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-17,51.49,51.51,51.47,51.49,841,4,51.492
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-18,51.53,51.53,51.49,51.51,1896,6,51.517
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-19,51.54,51.54,51.53,51.54,815,3,51.53
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-22,51.55,51.58,51.53,51.55,1799,6,51.567
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-23,51.6,51.6,51.585,51.585,818,2,51.6
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-24,51.59,51.61,51.59,51.595,1378,6,51.595
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-25,51.54,51.565,51.54,51.565,196,1,51.54
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-26,51.54,51.61,51.54,51.585,496,5,51.575
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-29,51.63,51.67,51.615,51.615,137,4,51.6445
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-30,51.78,51.78,51.6,51.645,544,5,51.68
IE00B6YX5K17,107485984,GLTS,GBP,2019-07-31,51.69,51.69,51.64,51.685,1466,13,51.6485
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-01,51.46,51.545,51.4,51.545,1218,11,51.502
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-02,51.55,51.6,51.53,51.535,4916,106,51.575
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-05,51.62,51.62,51.53,51.555,185,4,51.5385
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-06,51.51,51.56,51.51,51.54,214,4,51.5425
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-07,51.6,51.6,51.535,51.535,1440,5,51.5815
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-08,51.51,51.51,51.46,51.51,8723,17,51.5025
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-09,51.5,51.56,51.5,51.545,2546,7,51.5515
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-12,51.49,51.56,51.49,51.53,268,6,51.5115
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-13,51.59,51.59,51.48,51.49,986,6,51.5045
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-14,51.51,51.55,51.51,51.525,1026,2,51.5415
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-15,51.53,51.55,51.46,51.52,6940,19,51.524
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-16,51.53,51.53,51.43,51.46,1340,11,51.452
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-19,51.46,51.48,51.44,51.45,188,3,51.468
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-20,51.5,51.55,51.46,51.465,353,7,51.5095
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-21,51.42,51.48,51.42,51.465,255,4,51.447
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-22,51.43,51.46,51.43,51.43,1178,3,51.4475
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-23,51.43,51.48,51.39,51.48,580,7,51.426
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-27,51.57,51.57,51.52,51.56,98,5,51.5255
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-28,51.59,51.63,51.55,51.6,2736,11,51.578
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-29,51.56,51.94,51.55,51.585,5106,9,51.5645
IE00B6YX5K17,107485984,GLTS,GBP,2019-08-30,51.6,51.6,51.55,51.555,7882,51,51.5825
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-02,51.61,51.625,51.58,51.625,242,3,51.5945
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-03,51.68,51.73,51.62,51.655,2973,6,51.6755
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-04,51.62,51.7,51.53,51.575,45747,166,51.568
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-05,51.54,51.54,51.42,51.44,409,6,51.472
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-06,51.51,51.56,51.48,51.56,2382,12,51.521
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-09,51.49,51.49,51.45,51.47,5716,10,51.48
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-10,51.49,51.49,51.42,51.425,4711,10,51.4475
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-11,51.42,51.44,51.35,51.43,3391,13,51.412
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-12,51.44,51.44,51.345,51.345,880,8,51.3655
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-13,51.36,51.36,51.26,51.29,5223,13,51.2895
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-16,51.28,51.37,51.28,51.36,276,4,51.339
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-17,51.35,51.41,51.32,51.35,699,7,51.3575
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-18,51.38,51.4,51.35,51.39,845,7,51.3655
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-19,51.33,51.42,51.33,51.36,321,6,51.3655
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-20,51.37,51.39,51.33,51.38,8682,69,51.3645
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-23,51.41,51.48,51.41,51.465,296,6,51.442
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-24,51.48,51.5,51.4,51.46,3705,13,51.4485
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-25,51.51,51.52,51.46,51.47,3480,7,51.4865
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-26,51.48,51.53,51.48,51.51,5476,11,51.512
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-27,51.55,51.6,51.52,51.58,3827,14,51.564
IE00B6YX5K17,107485984,GLTS,GBP,2019-09-30,51.6,51.68,51.55,51.575,1274,7,51.6055
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-01,51.6,51.7,51.47,51.675,10478,11,51.4755
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-02,51.63,51.63,51.56,51.605,13881,9,51.5675
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-03,51.63,51.65,51.61,51.615,2471,12,51.6405
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-04,51.63,51.72,51.59,51.65,931,5,51.6705
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-07,51.72,51.73,51.65,51.65,223,5,51.7065
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-08,51.61,51.7,51.61,51.695,1224,4,51.6535
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-09,51.67,51.74,51.635,51.635,1462,5,51.7345
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-10,51.64,51.64,51.5,51.515,1211,7,51.5715
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-11,51.37,51.37,51.28,51.295,3701,9,51.296
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-14,51.39,51.39,51.3,51.3,342,5,51.3295
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-15,51.36,51.41,51.3,51.33,7293,9,51.3715
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-16,51.3,51.32,51.3,51.31,420,3,51.318
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-17,51.31,51.36,51.17,51.355,4890,9,51.277
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-18,51.34,51.34,51.27,51.325,7276,15,51.325
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-21,51.19,51.29,51.19,51.27,845,7,51.278
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-22,51.28,51.36,51.26,51.33,1070,5,51.3195
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-23,51.32,51.35,51.32,51.35,924,2,51.324
IE00B6YX5K17,107485984,GLTS,GBP,2019-10-24,51.4,51.41,51.29,51.4,4867,18,51.3055
