ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-02,72.484,72.484,72.11,72.11,56,2,72.3229
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-03,72.0,72.285,72.0,72.285,153,1,72.0
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-04,72.37,72.37,71.97,71.97,25,1,72.37
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-07,72.135,72.135,72.135,72.135,0,0,72.135
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-08,72.608,72.608,72.15,72.15,1,1,72.608
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-09,71.895,71.895,71.895,71.895,0,0,71.895
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-10,71.76,71.76,71.76,71.76,0,0,71.76
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-11,72.122,72.122,72.04,72.04,700,1,72.122
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-14,72.842,72.842,72.24,72.24,700,1,72.842
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-15,73.335,73.335,73.335,73.335,0,0,73.335
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-16,73.086,73.086,72.965,72.965,700,1,73.086
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-17,73.572,73.572,73.005,73.005,20,1,73.572
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-18,72.31,72.31,72.31,72.31,0,0,72.31
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-21,72.885,72.885,72.885,72.885,0,0,72.885
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-22,73.285,73.285,73.285,73.285,0,0,73.285
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-23,74.124,74.124,74.025,74.025,23,1,74.124
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-24,75.26,75.26,75.26,75.26,0,0,75.26
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-25,75.02,75.02,75.02,75.02,0,0,75.02
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-28,75.28,75.28,75.28,75.28,0,0,75.28
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-29,75.6,75.6,74.66,74.66,6,1,75.6
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-30,74.78,74.78,74.78,74.78,0,0,74.78
IE00B6YX5L24,107442861,SYBL,EUR,2019-01-31,75.245,75.245,75.245,75.245,0,0,75.245
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-01,75.366,75.366,73.86,73.86,8,2,75.0457
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-04,73.48,73.48,73.48,73.48,0,0,73.48
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-05,74.162,74.2,73.885,73.885,110,2,74.181
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-06,74.62,74.62,74.62,74.62,0,0,74.62
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-07,75.195,75.195,75.195,75.195,0,0,75.195
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-08,75.57,75.57,75.57,75.57,0,0,75.57
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-11,75.37,75.402,75.255,75.255,106,2,75.3718
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-12,74.94,74.94,74.94,74.94,0,0,74.94
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-13,75.21,75.21,75.21,75.21,0,0,75.21
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-14,75.102,75.102,74.985,74.985,700,1,75.102
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-15,75.415,75.415,75.415,75.415,0,0,75.415
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-18,75.24,75.48,75.24,75.48,6,1,75.24
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-19,75.845,75.845,75.845,75.845,0,0,75.845
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-20,75.71,75.71,75.71,75.71,0,0,75.71
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-21,75.61,75.61,75.61,75.61,0,0,75.61
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-22,76.11,76.11,76.11,76.11,0,0,76.11
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-25,75.735,75.735,75.735,75.735,0,0,75.735
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-26,75.97,75.97,75.97,75.97,0,0,75.97
IE00B6YX5L24,107442861,SYBL,EUR,2019-02-27,76.218,76.218,75.555,75.555,700,1,76.218
