ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-02,54.33,54.47,54.165,54.165,10656,17,54.3966
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-03,54.322,54.322,54.09,54.09,4829,16,54.2293
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-04,54.13,54.42,54.13,54.285,3895,13,54.2884
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-07,54.4,54.59,54.4,54.42,76693,29,54.4286
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-08,54.536,54.76,54.536,54.64,15395,13,54.5921
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-09,55.05,55.168,55.03,55.03,11143,92,55.1005
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-10,55.118,55.118,54.954,54.965,16358,51,55.0087
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-11,55.134,55.264,55.078,55.18,18106,53,55.1944
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-14,55.15,55.15,55.015,55.015,8936,23,55.0829
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-15,55.166,55.25,55.12,55.12,17414,16,55.1718
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-16,55.396,55.538,55.396,55.46,13301,70,55.4635
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-17,55.488,55.51,55.365,55.365,6726,16,55.4766
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-18,55.59,55.68,55.48,55.545,6026,13,55.5716
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-21,55.75,55.75,55.574,55.595,19919,16,55.6324
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-22,55.532,55.6,55.41,55.41,20289,14,55.5454
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-23,55.394,55.478,55.35,55.35,3257,11,55.4693
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-24,55.518,55.53,55.43,55.43,4270,11,55.5215
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-25,55.618,55.63,55.49,55.49,4620,15,55.5936
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-28,55.698,55.698,55.495,55.495,5639,19,55.5731
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-29,55.524,55.574,55.485,55.485,1436,4,55.5701
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-30,55.634,55.67,55.57,55.57,10329,12,55.6074
IE00B6YX5M31,101894590,SYBJ,EUR,2019-01-31,55.98,55.98,55.78,55.9,8760,19,55.8612
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-01,55.058,55.15,54.98,54.98,15333,21,55.0846
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-04,55.078,55.1,55.0,55.0,8087,28,55.0456
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-05,55.156,55.46,55.156,55.32,21695,13,55.357
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-06,55.49,55.55,55.28,55.28,10247,18,55.4333
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-07,55.446,55.446,55.1,55.1,545,10,55.3351
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-08,55.18,55.21,54.97,54.97,5608,20,55.1078
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-11,55.12,55.15,55.016,55.05,3023,25,55.1032
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-12,55.184,55.3,55.14,55.16,3225,14,55.1924
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-13,55.23,55.41,55.23,55.3,8136,11,55.3059
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-14,55.302,55.36,55.19,55.19,6748,14,55.3186
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-15,55.324,55.55,55.23,55.465,65695,29,55.4244
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-18,55.48,55.58,55.46,55.475,11008,14,55.5117
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-19,55.574,55.62,55.485,55.485,12786,45,55.5325
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-20,55.568,55.69,55.51,55.57,8962,11,55.6335
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-21,55.648,55.77,55.648,55.695,4202,14,55.7485
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-22,55.712,55.86,55.7,55.715,4639,11,55.7844
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-25,55.88,56.02,55.77,55.935,27993,20,55.9514
IE00B6YX5M31,101894590,SYBJ,EUR,2019-02-26,56.02,56.138,55.986,56.03,5152,13,56.0828
