ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-02,9.27,9.513,9.27,9.437,442,7,9.42755
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-03,9.556,9.722,9.5,9.722,16812,13,9.59405
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-04,9.834,9.863,9.641,9.641,1590,5,9.79405
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-07,9.802,9.802,9.443,9.443,48001,22,9.69055
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-08,9.5,9.5,9.363,9.451,6747,4,9.4342
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-09,9.501,9.551,9.378,9.445,2055,5,9.45795
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-10,9.552,9.58,9.365,9.365,3435,9,9.4941
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-11,9.519,9.519,9.309,9.309,16812,9,9.4385
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-14,9.45,9.464,9.313,9.313,1322,4,9.419
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-15,9.414,9.471,9.293,9.293,2886,8,9.416
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-16,9.282,9.282,9.259,9.259,3,1,9.282
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-17,9.33,9.33,9.308,9.308,320,1,9.33
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-18,9.151,9.226,9.036,9.036,5651,5,9.179
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-21,9.133,9.14,8.951,9.017,6248,6,9.138
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-22,9.189,9.189,9.189,9.189,0,0,9.189
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-23,9.26,9.3,9.114,9.225,8024,10,9.2418
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-24,9.203,9.305,9.13,9.305,6583,7,9.2434
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-25,9.443,9.588,9.35,9.465,1020,5,9.481
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-28,9.673,9.673,9.551,9.621,2020,9,9.5804
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-29,9.738,9.86,9.69,9.851,3644,7,9.8296
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-30,9.939,10.0,9.86,9.953,36449,15,9.9192
IE00B7KMNP07,121329938,UBUD,EUR,2019-01-31,10.06,10.164,9.95,10.122,2600,6,9.9949
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-01,10.052,10.188,9.933,10.088,5550,16,10.1058
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-04,10.086,10.086,10.01,10.032,1648,4,10.0225
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-05,10.128,10.172,10.006,10.11,1703,6,10.0612
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-06,10.086,10.246,9.996,9.996,5280,5,10.2221
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-07,9.99,10.072,9.859,9.859,8755,9,9.9777
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-08,9.94,10.032,9.916,10.03,2168,3,9.9269
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-11,10.224,10.224,9.932,9.958,18876,16,10.0003
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-12,10.028,10.028,9.868,9.868,3858,3,9.8812
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-13,9.949,10.022,9.91,9.993,37509,12,9.9156
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-14,9.986,10.08,9.986,10.026,4571,3,10.0583
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-15,10.144,10.276,10.106,10.2,26226,25,10.1527
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-18,10.394,10.394,10.3,10.334,4003,7,10.3371
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-19,10.4,10.758,10.36,10.618,12091,18,10.5581
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-20,10.752,11.108,10.702,10.826,41772,32,10.8253
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-21,10.932,10.932,10.646,10.646,23623,15,10.7505
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-22,10.778,10.778,10.6,10.66,5698,8,10.6788
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-25,10.872,10.872,10.41,10.41,22521,13,10.5556
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-26,10.398,10.488,10.24,10.35,773,7,10.3637
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-27,10.382,10.386,10.152,10.152,1541,3,10.2792
IE00B7KMNP07,121329938,UBUD,EUR,2019-02-28,10.292,10.308,10.13,10.22,6068,10,10.237
IE00B7KMNP07,121329938,UBUD,EUR,2019-03-01,10.058,10.228,10.0,10.0,601,7,10.1367
IE00B7KMNP07,121329938,UBUD,EUR,2019-03-04,9.9,10.042,9.666,9.802,68794,42,9.8064
IE00B7KMNP07,121329938,UBUD,EUR,2019-03-05,9.744,9.98,9.744,9.98,28338,11,9.8018
IE00B7KMNP07,121329938,UBUD,EUR,2019-03-06,10.022,10.036,9.748,9.748,9626,11,9.9328
IE00B7KMNP07,121329938,UBUD,EUR,2019-03-07,9.778,9.976,9.778,9.898,710,4,9.8278
