ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B99FL386,134813166,SYBK,EUR,2019-01-02,39.376,39.801,39.376,39.715,472,3,39.5792
IE00B99FL386,134813166,SYBK,EUR,2019-01-03,39.623,39.631,39.375,39.375,3802,9,39.48835
IE00B99FL386,134813166,SYBK,EUR,2019-01-04,39.779,39.91,39.779,39.91,135,2,39.80085
IE00B99FL386,134813166,SYBK,EUR,2019-01-07,39.985,39.985,39.985,39.985,0,0,39.985
IE00B99FL386,134813166,SYBK,EUR,2019-01-08,40.162,40.27,40.056,40.27,35,2,40.0651
IE00B99FL386,134813166,SYBK,EUR,2019-01-09,40.095,40.095,40.095,40.095,0,0,40.095
IE00B99FL386,134813166,SYBK,EUR,2019-01-10,40.065,40.065,40.065,40.065,0,0,40.065
IE00B99FL386,134813166,SYBK,EUR,2019-01-11,40.046,40.364,40.046,40.31,500,4,40.1572
IE00B99FL386,134813166,SYBK,EUR,2019-01-14,40.509,40.509,40.16,40.16,79,2,40.4699
IE00B99FL386,134813166,SYBK,EUR,2019-01-15,40.392,40.56,40.392,40.56,500,1,40.392
IE00B99FL386,134813166,SYBK,EUR,2019-01-16,40.615,40.615,40.615,40.615,0,0,40.615
IE00B99FL386,134813166,SYBK,EUR,2019-01-17,40.779,40.779,40.705,40.705,275,1,40.779
IE00B99FL386,134813166,SYBK,EUR,2019-01-18,40.93,40.93,40.93,40.93,0,0,40.93
IE00B99FL386,134813166,SYBK,EUR,2019-01-21,40.742,40.88,40.742,40.88,50,1,40.742
IE00B99FL386,134813166,SYBK,EUR,2019-01-22,40.832,40.87,40.832,40.87,57,1,40.832
IE00B99FL386,134813166,SYBK,EUR,2019-01-23,40.685,40.685,40.685,40.685,0,0,40.685
IE00B99FL386,134813166,SYBK,EUR,2019-01-24,41.017,41.108,40.885,40.885,200,2,41.0625
IE00B99FL386,134813166,SYBK,EUR,2019-01-25,40.852,40.852,40.725,40.725,42,2,40.8
IE00B99FL386,134813166,SYBK,EUR,2019-01-28,40.938,40.938,40.434,40.585,189,3,40.8696
