ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-02,36.976,37.57,36.9,37.57,1352,14,36.9972
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-03,37.34,37.34,37.1,37.1,13655,11,37.1898
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-04,37.76,38.366,37.76,38.3,1618,5,37.8156
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-07,38.54,38.54,38.094,38.19,2489,10,38.1978
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-08,38.216,38.56,38.214,38.36,813,7,38.464
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-09,38.606,38.67,38.45,38.46,563,7,38.5852
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-10,38.296,38.524,38.294,38.524,271,2,38.4694
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-11,38.54,38.596,38.31,38.554,1199,6,38.392
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-14,38.52,38.52,38.426,38.426,864,5,38.4908
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-15,38.786,38.96,38.784,38.9,656,5,38.9054
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-16,39.14,39.256,39.04,39.234,1449,7,39.194
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-17,38.844,39.0,38.824,39.0,1510,5,38.92
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-18,39.216,39.63,39.204,39.594,1080,6,39.2846
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-21,39.54,39.54,39.31,39.326,1094,16,39.3456
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-22,39.34,39.37,39.274,39.274,563,4,39.3634
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-23,39.19,39.43,39.1,39.126,3655,10,39.3016
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-24,39.426,39.43,39.31,39.426,1858,6,39.4044
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-25,39.796,39.866,39.794,39.796,1146,7,39.8508
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-28,39.594,39.596,39.23,39.31,1534,13,39.3946
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-29,39.52,39.72,39.52,39.594,330,5,39.6338
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-30,39.686,39.776,39.684,39.77,453,7,39.7292
IE00B9KNR336,127707442,ZPRA,EUR,2019-01-31,39.89,40.09,39.89,40.09,637,6,39.9268
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-01,39.476,39.506,39.384,39.396,2192,11,39.4712
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-04,39.68,39.87,39.65,39.87,2569,8,39.681
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-05,40.05,40.116,40.044,40.116,5261,15,40.0706
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-06,40.0,40.15,39.96,39.99,5030,12,40.0722
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-07,39.91,40.01,39.67,39.67,2423,15,39.902
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-08,39.766,39.77,39.674,39.77,341,5,39.732
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-11,39.92,40.1,39.92,40.04,5944,15,39.9654
IE00B9KNR336,127707442,ZPRA,EUR,2019-02-12,40.2,40.38,40.2,40.24,1279,9,40.2938
