ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-02,98.71,98.94,98.27,98.79,3073,19,98.7765
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-03,98.75,98.9,98.75,98.855,997,5,98.882
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-04,98.9,98.9,98.65,98.76,1935,4,98.6645
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-07,98.84,98.92,98.79,98.87,9220,15,98.848
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-08,98.63,98.81,98.61,98.81,8127,13,98.77
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-09,98.75,99.02,98.65,98.915,6591,12,98.7735
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-10,98.92,99.12,98.83,99.0,1714,8,98.987
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-11,99.0,99.1,98.85,98.975,3905,13,98.9885
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-14,99.05,99.07,98.89,98.925,585,9,98.9785
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-15,98.97,99.07,98.6,98.925,29863,128,98.8505
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-16,98.94,99.11,98.8,99.01,1519,12,99.051
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-17,99.07,99.13,99.005,99.005,23785,26,99.112
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-18,98.98,99.27,98.98,99.21,19064,21,99.178
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-21,99.18,99.34,99.16,99.205,4429,16,99.2045
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-22,99.5,99.5,99.29,99.315,3003,13,99.3495
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-23,99.46,99.51,99.17,99.435,21328,18,99.4065
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-24,99.5,99.75,99.5,99.655,1078,3,99.656
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-25,99.75,99.75,99.58,99.64,797,6,99.684
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-28,99.61,99.675,99.55,99.675,4287,10,99.63
IE00B9M6SJ31,130339622,IBCQ,EUR,2019-01-29,99.74,99.88,99.63,99.825,2358,17,99.753
