ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BBQ2W338,135536490,HMAD,USD,2019-01-02,40.22,40.555,40.22,40.555,2000,1,40.22
IE00BBQ2W338,135536490,HMAD,USD,2019-01-03,39.96,39.96,39.68,39.82,8701,9,39.8075
IE00BBQ2W338,135536490,HMAD,USD,2019-01-04,40.47,40.93,40.45,40.93,4000,5,40.472
IE00BBQ2W338,135536490,HMAD,USD,2019-01-07,40.95,41.135,40.95,41.135,600,2,40.95
IE00BBQ2W338,135536490,HMAD,USD,2019-01-08,41.1,41.35,41.1,41.205,3351,6,41.249
IE00BBQ2W338,135536490,HMAD,USD,2019-01-09,41.97,42.17,41.97,42.17,48,1,41.97
IE00BBQ2W338,135536490,HMAD,USD,2019-01-10,42.14,42.27,42.14,42.27,300,1,42.14
IE00BBQ2W338,135536490,HMAD,USD,2019-01-11,42.46,42.5,42.36,42.36,4700,3,42.4645
IE00BBQ2W338,135536490,HMAD,USD,2019-01-14,41.73,41.92,41.73,41.92,59,1,41.73
IE00BBQ2W338,135536490,HMAD,USD,2019-01-15,42.37,42.435,42.37,42.435,300,1,42.37
IE00BBQ2W338,135536490,HMAD,USD,2019-01-16,42.975,42.975,42.975,42.975,0,0,42.975
IE00BBQ2W338,135536490,HMAD,USD,2019-01-17,42.71,42.805,42.71,42.805,3500,2,42.719
IE00BBQ2W338,135536490,HMAD,USD,2019-01-18,43.17,43.495,43.17,43.495,200,1,43.17
IE00BBQ2W338,135536490,HMAD,USD,2019-01-21,43.14,43.215,43.1,43.215,5400,7,43.1095
IE00BBQ2W338,135536490,HMAD,USD,2019-01-22,42.86,42.86,42.72,42.765,4266,8,42.8055
IE00BBQ2W338,135536490,HMAD,USD,2019-01-23,42.94,42.97,42.835,42.835,3160,10,42.964
IE00BBQ2W338,135536490,HMAD,USD,2019-01-24,43.14,43.25,42.98,43.25,3200,4,43.0485
IE00BBQ2W338,135536490,HMAD,USD,2019-01-25,44.2,44.2,44.2,44.2,0,0,44.2
IE00BBQ2W338,135536490,HMAD,USD,2019-01-28,43.82,43.83,43.55,43.64,11400,11,43.745
IE00BBQ2W338,135536490,HMAD,USD,2019-01-29,43.82,43.82,43.69,43.69,541,2,43.82
IE00BBQ2W338,135536490,HMAD,USD,2019-01-30,44.06,44.07,44.01,44.01,1274,3,44.0655
IE00BBQ2W338,135536490,HMAD,USD,2019-01-31,44.71,44.79,44.64,44.79,1770,5,44.692
IE00BBQ2W338,135536490,HMAD,USD,2019-02-01,44.94,44.94,44.39,44.605,11470,7,44.451
IE00BBQ2W338,135536490,HMAD,USD,2019-02-04,44.63,44.87,44.62,44.87,4000,5,44.7255
IE00BBQ2W338,135536490,HMAD,USD,2019-02-05,44.89,45.375,44.88,45.375,6150,4,45.1285
