ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BCRY6227,136370301,ERNU,GBP,2019-01-02,78.86,79.295,78.86,79.295,1210,2,79.238
IE00BCRY6227,136370301,ERNU,GBP,2019-01-03,79.46,79.46,79.13,79.165,582,5,79.398
IE00BCRY6227,136370301,ERNU,GBP,2019-01-04,78.93,78.93,78.57,78.57,2168,6,78.7295
IE00BCRY6227,136370301,ERNU,GBP,2019-01-07,78.3,78.3,78.25,78.295,430,4,78.2735
IE00BCRY6227,136370301,ERNU,GBP,2019-01-08,78.37,78.45,78.37,78.45,200,2,78.405
IE00BCRY6227,136370301,ERNU,GBP,2019-01-09,78.5,78.5,78.335,78.335,5000,7,78.5
IE00BCRY6227,136370301,ERNU,GBP,2019-01-10,78.27,78.35,78.27,78.275,915,6,78.3305
IE00BCRY6227,136370301,ERNU,GBP,2019-01-11,78.05,78.05,77.925,77.925,21,1,78.05
IE00BCRY6227,136370301,ERNU,GBP,2019-01-14,77.79,77.79,77.515,77.515,154,4,77.688
IE00BCRY6227,136370301,ERNU,GBP,2019-01-15,78.345,78.345,78.345,78.345,0,0,78.345
IE00BCRY6227,136370301,ERNU,GBP,2019-01-16,77.75,77.78,77.745,77.745,800,3,77.774
IE00BCRY6227,136370301,ERNU,GBP,2019-01-17,77.67,77.67,77.375,77.375,1154,4,77.455
IE00BCRY6227,136370301,ERNU,GBP,2019-01-18,77.32,77.565,77.32,77.565,200,2,77.405
IE00BCRY6227,136370301,ERNU,GBP,2019-01-21,77.8,77.8,77.585,77.585,2604,4,77.7985
IE00BCRY6227,136370301,ERNU,GBP,2019-01-22,77.4,77.4,77.24,77.27,255,3,77.3105
IE00BCRY6227,136370301,ERNU,GBP,2019-01-23,76.71,76.71,76.61,76.61,1,1,76.71
IE00BCRY6227,136370301,ERNU,GBP,2019-01-24,76.8,76.83,76.8,76.83,3,1,76.8
IE00BCRY6227,136370301,ERNU,GBP,2019-01-25,76.5,76.5,76.07,76.07,29,1,76.5
IE00BCRY6227,136370301,ERNU,GBP,2019-01-28,76.12,76.15,76.12,76.15,8,1,76.12
IE00BCRY6227,136370301,ERNU,GBP,2019-01-29,76.18,76.225,76.18,76.225,327,2,76.18
IE00BCRY6227,136370301,ERNU,GBP,2019-01-30,76.74,76.74,76.71,76.71,20,1,76.74
IE00BCRY6227,136370301,ERNU,GBP,2019-01-31,76.39,76.46,76.34,76.385,410,5,76.3985
IE00BCRY6227,136370301,ERNU,GBP,2019-02-01,76.64,76.74,76.62,76.62,1341,3,76.649
IE00BCRY6227,136370301,ERNU,GBP,2019-02-04,76.78,76.855,76.78,76.855,1065,3,76.7895
IE00BCRY6227,136370301,ERNU,GBP,2019-02-05,77.59,77.59,77.57,77.57,4,1,77.59
IE00BCRY6227,136370301,ERNU,GBP,2019-02-06,77.35,77.485,77.35,77.485,3,1,77.35
IE00BCRY6227,136370301,ERNU,GBP,2019-02-07,77.61,77.61,77.37,77.37,127,2,77.6085
IE00BCRY6227,136370301,ERNU,GBP,2019-02-08,77.63,77.63,77.615,77.615,3,1,77.63
IE00BCRY6227,136370301,ERNU,GBP,2019-02-11,77.94,78.06,77.94,78.06,4,1,77.94
IE00BCRY6227,136370301,ERNU,GBP,2019-02-12,78.0,78.0,77.895,77.895,1006,3,78.0
IE00BCRY6227,136370301,ERNU,GBP,2019-02-13,78.0,78.0,78.0,78.0,9,1,78.0
IE00BCRY6227,136370301,ERNU,GBP,2019-02-14,78.56,78.635,78.56,78.635,132,3,78.578
IE00BCRY6227,136370301,ERNU,GBP,2019-02-15,78.47,78.47,78.185,78.185,1089,2,78.43
IE00BCRY6227,136370301,ERNU,GBP,2019-02-18,77.77,77.77,77.73,77.73,131,2,77.7685
IE00BCRY6227,136370301,ERNU,GBP,2019-02-19,77.8,77.82,77.09,77.09,305,3,77.8135
IE00BCRY6227,136370301,ERNU,GBP,2019-02-20,76.88,76.88,76.88,76.88,76,1,76.88
IE00BCRY6227,136370301,ERNU,GBP,2019-02-21,77.02,77.035,77.02,77.035,41,1,77.02
IE00BCRY6227,136370301,ERNU,GBP,2019-02-22,77.005,77.005,77.005,77.005,0,0,77.005
IE00BCRY6227,136370301,ERNU,GBP,2019-02-25,76.92,76.935,76.92,76.935,39,1,76.92
IE00BCRY6227,136370301,ERNU,GBP,2019-02-26,75.86,75.86,75.845,75.845,1,1,75.86
IE00BCRY6227,136370301,ERNU,GBP,2019-02-27,75.43,75.585,75.43,75.585,1000,1,75.43
IE00BCRY6227,136370301,ERNU,GBP,2019-02-28,75.68,75.7,75.675,75.675,677,2,75.683
IE00BCRY6227,136370301,ERNU,GBP,2019-03-01,76.11,76.11,76.11,76.11,0,0,76.11
IE00BCRY6227,136370301,ERNU,GBP,2019-03-04,76.375,76.375,76.375,76.375,0,0,76.375
IE00BCRY6227,136370301,ERNU,GBP,2019-03-05,76.53,76.59,76.51,76.59,272,3,76.5175
IE00BCRY6227,136370301,ERNU,GBP,2019-03-06,76.55,76.645,76.55,76.645,67,1,76.55
IE00BCRY6227,136370301,ERNU,GBP,2019-03-07,76.42,76.835,76.42,76.835,11001,3,76.42
IE00BCRY6227,136370301,ERNU,GBP,2019-03-08,77.06,77.25,77.06,77.24,282,3,77.142
IE00BCRY6227,136370301,ERNU,GBP,2019-03-11,77.03,77.03,76.78,76.8,1000,4,76.818
IE00BCRY6227,136370301,ERNU,GBP,2019-03-12,76.36,76.94,76.36,76.94,10002,2,76.36
IE00BCRY6227,136370301,ERNU,GBP,2019-03-13,76.185,76.185,76.185,76.185,0,0,76.185
IE00BCRY6227,136370301,ERNU,GBP,2019-03-14,75.83,75.97,75.83,75.865,115,3,75.8465
IE00BCRY6227,136370301,ERNU,GBP,2019-03-15,75.86,75.89,75.78,75.78,186,3,75.8605
IE00BCRY6227,136370301,ERNU,GBP,2019-03-18,76.15,76.16,76.15,76.16,1,1,76.15
IE00BCRY6227,136370301,ERNU,GBP,2019-03-19,75.92,75.92,75.92,75.92,0,0,75.92
IE00BCRY6227,136370301,ERNU,GBP,2019-03-20,76.28,76.28,76.28,76.28,0,0,76.28
IE00BCRY6227,136370301,ERNU,GBP,2019-03-21,77.1,77.445,77.1,77.445,1,1,77.1
IE00BCRY6227,136370301,ERNU,GBP,2019-03-22,76.29,76.33,76.29,76.33,2,1,76.29
IE00BCRY6227,136370301,ERNU,GBP,2019-03-25,76.5,76.51,76.5,76.51,34,1,76.5
IE00BCRY6227,136370301,ERNU,GBP,2019-03-26,76.35,76.35,76.315,76.315,3,1,76.35
IE00BCRY6227,136370301,ERNU,GBP,2019-03-27,76.255,76.255,76.255,76.255,0,0,76.255
IE00BCRY6227,136370301,ERNU,GBP,2019-03-28,77.13,77.13,77.13,77.13,0,0,77.13
IE00BCRY6227,136370301,ERNU,GBP,2019-03-29,77.44,77.44,77.44,77.44,5,1,77.44
IE00BCRY6227,136370301,ERNU,GBP,2019-04-01,76.9,76.9,76.87,76.87,1217,3,76.9
IE00BCRY6227,136370301,ERNU,GBP,2019-04-02,77.42,77.42,77.4,77.4,3,1,77.42
IE00BCRY6227,136370301,ERNU,GBP,2019-04-03,76.72,76.72,76.72,76.72,0,0,76.72
IE00BCRY6227,136370301,ERNU,GBP,2019-04-04,76.96,77.2,76.96,77.185,587,3,76.99
IE00BCRY6227,136370301,ERNU,GBP,2019-04-05,77.49,77.62,77.46,77.545,334,4,77.5605
IE00BCRY6227,136370301,ERNU,GBP,2019-04-08,77.37,77.39,77.37,77.39,89,2,77.37
IE00BCRY6227,136370301,ERNU,GBP,2019-04-09,77.36,77.38,77.345,77.345,162,3,77.3605
IE00BCRY6227,136370301,ERNU,GBP,2019-04-10,77.07,77.17,77.07,77.13,153,2,77.1045
IE00BCRY6227,136370301,ERNU,GBP,2019-04-11,77.23,77.25,77.23,77.25,1,1,77.23
IE00BCRY6227,136370301,ERNU,GBP,2019-04-12,76.94,77.09,76.94,77.02,103,3,76.944
IE00BCRY6227,136370301,ERNU,GBP,2019-04-15,77.02,77.095,77.02,77.095,127,2,77.02
IE00BCRY6227,136370301,ERNU,GBP,2019-04-16,77.09,77.405,77.09,77.405,11000,2,77.09
IE00BCRY6227,136370301,ERNU,GBP,2019-04-17,77.43,77.43,77.43,77.43,0,0,77.43
IE00BCRY6227,136370301,ERNU,GBP,2019-04-18,77.64,77.76,77.64,77.72,375,4,77.7065
