ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-02,27.71,27.71,27.71,27.71,0,0,27.71
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-03,27.586,27.586,27.566,27.566,30,1,27.585
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-04,27.74,27.81,27.74,27.81,8309,5,27.7756
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-07,27.776,27.996,27.774,27.926,2424,2,27.9464
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-08,28.06,28.06,28.054,28.054,10323,8,28.0588
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-09,28.186,28.186,28.184,28.186,0,0,28.186
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-10,28.19,28.22,28.04,28.21,53721,14,28.105
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-11,28.21,28.21,28.21,28.21,0,0,28.21
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-14,28.276,28.29,28.26,28.29,5896,3,28.2604
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-15,28.296,28.42,28.274,28.42,19456,6,28.317
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-16,28.486,28.486,28.47,28.47,31000,2,28.485
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-17,28.304,28.45,28.304,28.45,232,1,28.305
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-18,28.48,28.636,28.48,28.636,5046,5,28.6148
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-21,28.66,28.66,28.554,28.554,7436,4,28.6492
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-22,28.464,28.466,28.464,28.464,0,0,28.464
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-23,28.276,28.496,28.274,28.41,2342,3,28.466
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-24,28.49,28.49,28.43,28.43,615,1,28.49
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-25,28.606,28.676,28.604,28.676,1618,2,28.6056
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-28,28.66,28.666,28.63,28.63,7033,3,28.661
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-29,28.61,28.646,28.58,28.58,1400,3,28.6038
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-30,28.69,28.7,28.69,28.7,3,1,28.69
IE00BDT6FP91,319355752,SPF1,EUR,2019-01-31,28.916,28.916,28.914,28.916,0,0,28.916
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-01,28.916,28.916,28.914,28.916,0,0,28.916
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-04,28.926,28.946,28.906,28.906,21900,7,28.9352
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-05,29.016,29.02,29.014,29.02,1551,2,29.015
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-06,29.106,29.126,29.104,29.126,863,1,29.105
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-07,29.13,29.13,28.936,28.936,100,1,29.13
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-08,28.926,28.926,28.83,28.83,1940,1,28.925
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-11,29.046,29.07,29.01,29.054,5362,3,29.042
IE00BDT6FP91,319355752,SPF1,EUR,2019-02-12,29.166,29.166,29.164,29.166,0,0,29.166
