ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-02,21.605,21.605,21.605,21.605,0,0,21.605
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-03,21.29,21.29,21.29,21.29,0,0,21.29
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-04,21.36,21.36,21.36,21.36,1486,1,21.36
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-07,21.695,21.695,21.695,21.695,0,0,21.695
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-08,21.79,21.79,21.79,21.79,0,0,21.79
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-09,22.025,22.025,22.025,22.025,0,0,22.025
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-10,21.955,21.955,21.955,21.955,0,0,21.955
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-11,21.935,21.935,21.935,21.935,0,0,21.935
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-14,21.735,21.735,21.735,21.735,0,0,21.735
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-15,22.085,22.085,22.085,22.085,0,0,22.085
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-16,21.955,21.955,21.955,21.955,0,0,21.955
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-17,21.895,21.895,21.895,21.895,0,0,21.895
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-18,22.345,22.345,22.345,22.345,0,0,22.345
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-21,22.305,22.305,22.305,22.305,0,0,22.305
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-22,22.11,22.11,22.11,22.11,0,0,22.11
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-23,21.855,21.855,21.855,21.855,0,0,21.855
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-24,22.0,22.0,22.0,22.0,0,0,22.0
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-25,21.91,21.91,21.91,21.91,0,0,21.91
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-28,21.765,21.765,21.765,21.765,0,0,21.765
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-29,21.8,21.8,21.8,21.8,0,0,21.8
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-30,22.095,22.095,22.095,22.095,0,0,22.095
IE00BF2B0P08,288530506,FLXU,GBP,2019-01-31,22.22,22.22,22.22,22.22,0,0,22.22
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-01,22.37,22.37,22.37,22.37,0,0,22.37
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-04,22.455,22.455,22.455,22.455,0,0,22.455
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-05,22.885,22.885,22.885,22.885,0,0,22.885
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-06,22.895,22.895,22.895,22.895,0,0,22.895
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-07,22.65,22.65,22.65,22.65,0,0,22.65
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-08,22.695,22.695,22.695,22.695,0,0,22.695
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-11,23.005,23.005,23.005,23.005,0,0,23.005
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-12,23.18,23.18,23.18,23.18,0,0,23.18
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-13,23.27,23.27,23.27,23.27,0,0,23.27
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-14,23.435,23.435,23.435,23.435,0,0,23.435
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-15,23.5,23.5,23.5,23.5,0,0,23.5
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-18,23.42,23.42,23.42,23.42,0,0,23.42
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-19,23.21,23.21,23.21,23.21,0,0,23.21
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-20,23.185,23.185,23.185,23.185,0,0,23.185
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-21,23.205,23.205,23.205,23.205,0,0,23.205
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-22,23.375,23.375,23.375,23.375,0,0,23.375
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-25,23.45,23.45,23.45,23.45,0,0,23.45
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-26,23.05,23.05,23.05,23.05,0,0,23.05
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-27,22.87,22.87,22.87,22.87,0,0,22.87
IE00BF2B0P08,288530506,FLXU,GBP,2019-02-28,22.925,22.925,22.925,22.925,0,0,22.925
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-01,23.05,23.05,23.05,23.05,0,0,23.05
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-04,23.08,23.08,23.08,23.08,0,0,23.08
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-05,23.155,23.155,23.155,23.155,0,0,23.155
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-06,23.03,23.03,23.03,23.03,0,0,23.03
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-07,22.93,22.93,22.93,22.93,0,0,22.93
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-08,22.895,22.895,22.895,22.895,0,0,22.895
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-11,23.065,23.065,23.065,23.065,0,0,23.065
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-12,23.26,23.26,23.26,23.26,0,0,23.26
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-13,23.165,23.165,23.165,23.165,0,0,23.165
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-14,23.0,23.0,23.0,23.0,0,0,23.0
IE00BF2B0P08,288530506,FLXU,GBP,2019-03-15,23.11,23.11,23.11,23.11,0,0,23.11
