ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BF4G6Y48,337480276,JREG,USD,2019-01-02,22.01,22.01,22.01,22.01,0,0,22.01
IE00BF4G6Y48,337480276,JREG,USD,2019-01-03,21.77,21.796,21.77,21.796,1500,1,21.77
IE00BF4G6Y48,337480276,JREG,USD,2019-01-04,22.284,22.284,22.284,22.284,0,0,22.284
IE00BF4G6Y48,337480276,JREG,USD,2019-01-07,22.528,22.528,22.528,22.528,0,0,22.528
IE00BF4G6Y48,337480276,JREG,USD,2019-01-08,22.64,22.64,22.64,22.64,0,0,22.64
IE00BF4G6Y48,337480276,JREG,USD,2019-01-09,22.886,22.886,22.886,22.886,0,0,22.886
IE00BF4G6Y48,337480276,JREG,USD,2019-01-10,22.894,22.894,22.894,22.894,0,0,22.894
IE00BF4G6Y48,337480276,JREG,USD,2019-01-11,22.898,22.898,22.898,22.898,0,0,22.898
IE00BF4G6Y48,337480276,JREG,USD,2019-01-14,22.846,22.846,22.846,22.846,0,0,22.846
IE00BF4G6Y48,337480276,JREG,USD,2019-01-15,22.984,22.984,22.984,22.984,0,0,22.984
IE00BF4G6Y48,337480276,JREG,USD,2019-01-16,23.144,23.144,23.144,23.144,0,0,23.144
IE00BF4G6Y48,337480276,JREG,USD,2019-01-17,23.14,23.14,23.14,23.14,0,0,23.14
IE00BF4G6Y48,337480276,JREG,USD,2019-01-18,23.43,23.522,23.43,23.522,1500,1,23.43
IE00BF4G6Y48,337480276,JREG,USD,2019-01-21,23.44,23.44,23.44,23.44,0,0,23.44
IE00BF4G6Y48,337480276,JREG,USD,2019-01-22,23.29,23.29,23.29,23.29,0,0,23.29
IE00BF4G6Y48,337480276,JREG,USD,2019-01-23,23.186,23.186,23.186,23.186,0,0,23.186
IE00BF4G6Y48,337480276,JREG,USD,2019-01-24,23.246,23.246,23.246,23.246,0,0,23.246
IE00BF4G6Y48,337480276,JREG,USD,2019-01-25,23.516,23.516,23.516,23.516,0,0,23.516
IE00BF4G6Y48,337480276,JREG,USD,2019-01-28,23.296,23.296,23.296,23.296,0,0,23.296
IE00BF4G6Y48,337480276,JREG,USD,2019-01-29,23.326,23.326,23.326,23.326,0,0,23.326
IE00BF4G6Y48,337480276,JREG,USD,2019-01-30,23.488,23.488,23.488,23.488,0,0,23.488
IE00BF4G6Y48,337480276,JREG,USD,2019-01-31,23.766,23.766,23.766,23.766,0,0,23.766
IE00BF4G6Y48,337480276,JREG,USD,2019-02-01,23.85,23.85,23.85,23.85,0,0,23.85
IE00BF4G6Y48,337480276,JREG,USD,2019-02-04,23.83,23.83,23.83,23.83,0,0,23.83
