ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BFNM3G45,338706024,SASU,USD,2019-01-02,4.5416,4.5416,4.5414,4.5416,0,0,4.5414
IE00BFNM3G45,338706024,SASU,USD,2019-01-03,4.477,4.477,4.477,4.477,0,0,4.477
IE00BFNM3G45,338706024,SASU,USD,2019-01-04,4.5645,4.5645,4.5645,4.5645,0,0,4.5645
IE00BFNM3G45,338706024,SASU,USD,2019-01-07,4.629,4.629,4.629,4.629,0,0,4.629
IE00BFNM3G45,338706024,SASU,USD,2019-01-08,4.6445,4.6445,4.6445,4.6445,0,0,4.6445
IE00BFNM3G45,338706024,SASU,USD,2019-01-09,4.69,4.697,4.69,4.697,25582,3,4.69045
IE00BFNM3G45,338706024,SASU,USD,2019-01-10,4.6935,4.6935,4.6935,4.6935,0,0,4.6935
IE00BFNM3G45,338706024,SASU,USD,2019-01-11,4.692,4.699,4.692,4.699,14100,1,4.692
IE00BFNM3G45,338706024,SASU,USD,2019-01-14,4.6845,4.6845,4.6845,4.6845,0,0,4.6845
IE00BFNM3G45,338706024,SASU,USD,2019-01-15,4.72,4.72,4.72,4.72,0,0,4.72
IE00BFNM3G45,338706024,SASU,USD,2019-01-16,4.762,4.762,4.762,4.762,0,0,4.762
IE00BFNM3G45,338706024,SASU,USD,2019-01-17,4.762,4.762,4.762,4.762,0,0,4.762
IE00BFNM3G45,338706024,SASU,USD,2019-01-18,4.8475,4.8475,4.8475,4.8475,0,0,4.8475
IE00BFNM3G45,338706024,SASU,USD,2019-01-21,4.832,4.832,4.832,4.832,0,0,4.832
IE00BFNM3G45,338706024,SASU,USD,2019-01-22,4.806,4.806,4.806,4.806,0,0,4.806
IE00BFNM3G45,338706024,SASU,USD,2019-01-23,4.7745,4.7745,4.7745,4.7745,0,0,4.7745
IE00BFNM3G45,338706024,SASU,USD,2019-01-24,4.791,4.791,4.791,4.791,0,0,4.791
IE00BFNM3G45,338706024,SASU,USD,2019-01-25,4.8425,4.8425,4.8425,4.8425,0,0,4.8425
IE00BFNM3G45,338706024,SASU,USD,2019-01-28,4.7945,4.7945,4.7945,4.7945,0,0,4.7945
IE00BFNM3G45,338706024,SASU,USD,2019-01-29,4.786,4.786,4.786,4.786,0,0,4.786
IE00BFNM3G45,338706024,SASU,USD,2019-01-30,4.8315,4.8315,4.8315,4.8315,0,0,4.8315
IE00BFNM3G45,338706024,SASU,USD,2019-01-31,4.904,4.904,4.904,4.904,0,0,4.904
IE00BFNM3G45,338706024,SASU,USD,2019-02-01,4.927,4.927,4.927,4.927,0,0,4.927
IE00BFNM3G45,338706024,SASU,USD,2019-02-04,4.9295,4.9295,4.9295,4.9295,0,0,4.9295
IE00BFNM3G45,338706024,SASU,USD,2019-02-05,4.978,4.978,4.9635,4.9635,710,1,4.978
IE00BFNM3G45,338706024,SASU,USD,2019-02-06,4.9645,4.9645,4.9645,4.9645,0,0,4.9645
IE00BFNM3G45,338706024,SASU,USD,2019-02-07,4.899,4.899,4.899,4.899,0,0,4.899
IE00BFNM3G45,338706024,SASU,USD,2019-02-08,4.8825,4.8825,4.8825,4.8825,0,0,4.8825
IE00BFNM3G45,338706024,SASU,USD,2019-02-11,4.9235,4.9235,4.9235,4.9235,0,0,4.9235
IE00BFNM3G45,338706024,SASU,USD,2019-02-12,4.985,4.985,4.985,4.985,0,0,4.985
IE00BFNM3G45,338706024,SASU,USD,2019-02-13,5.0045,5.0045,5.0045,5.0045,0,0,5.0045
IE00BFNM3G45,338706024,SASU,USD,2019-02-14,4.981,4.981,4.981,4.981,0,0,4.981
IE00BFNM3G45,338706024,SASU,USD,2019-02-15,5.0345,5.0345,5.0345,5.0345,0,0,5.0345
IE00BFNM3G45,338706024,SASU,USD,2019-02-18,5.051,5.051,5.051,5.051,0,0,5.051
IE00BFNM3G45,338706024,SASU,USD,2019-02-19,5.05,5.053,5.0455,5.0455,2597,2,5.05175
IE00BFNM3G45,338706024,SASU,USD,2019-02-20,5.0585,5.0585,5.0585,5.0585,0,0,5.0585
IE00BFNM3G45,338706024,SASU,USD,2019-02-21,5.0415,5.0415,5.0415,5.0415,0,0,5.0415
IE00BFNM3G45,338706024,SASU,USD,2019-02-22,5.0735,5.0735,5.0735,5.0735,0,0,5.0735
IE00BFNM3G45,338706024,SASU,USD,2019-02-25,5.1075,5.1075,5.1075,5.1075,0,0,5.1075
