ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BFNM3K80,338706038,SDWD,USD,2019-01-02,4.452,4.501,4.452,4.501,2965,1,4.452
IE00BFNM3K80,338706038,SDWD,USD,2019-01-03,4.4535,4.4535,4.4535,4.4535,0,0,4.4535
IE00BFNM3K80,338706038,SDWD,USD,2019-01-04,4.5555,4.5555,4.5555,4.5555,0,0,4.5555
IE00BFNM3K80,338706038,SDWD,USD,2019-01-07,4.585,4.5985,4.585,4.5985,26055,2,4.585
IE00BFNM3K80,338706038,SDWD,USD,2019-01-08,4.6205,4.6205,4.6205,4.6205,0,0,4.6205
IE00BFNM3K80,338706038,SDWD,USD,2019-01-09,4.656,4.674,4.656,4.674,2836,1,4.656
IE00BFNM3K80,338706038,SDWD,USD,2019-01-10,4.6725,4.6725,4.6725,4.6725,0,0,4.6725
IE00BFNM3K80,338706038,SDWD,USD,2019-01-11,4.6715,4.6715,4.6715,4.6715,0,0,4.6715
IE00BFNM3K80,338706038,SDWD,USD,2019-01-14,4.6615,4.6615,4.6615,4.6615,0,0,4.6615
IE00BFNM3K80,338706038,SDWD,USD,2019-01-15,4.689,4.689,4.689,4.689,0,0,4.689
IE00BFNM3K80,338706038,SDWD,USD,2019-01-16,4.7255,4.7255,4.7255,4.7255,0,0,4.7255
IE00BFNM3K80,338706038,SDWD,USD,2019-01-17,4.717,4.717,4.717,4.717,0,0,4.717
IE00BFNM3K80,338706038,SDWD,USD,2019-01-18,4.797,4.797,4.797,4.797,0,0,4.797
IE00BFNM3K80,338706038,SDWD,USD,2019-01-21,4.785,4.785,4.785,4.785,0,0,4.785
IE00BFNM3K80,338706038,SDWD,USD,2019-01-22,4.758,4.758,4.758,4.758,0,0,4.758
IE00BFNM3K80,338706038,SDWD,USD,2019-01-23,4.7395,4.7395,4.7395,4.7395,0,0,4.7395
IE00BFNM3K80,338706038,SDWD,USD,2019-01-24,4.751,4.751,4.751,4.751,0,0,4.751
IE00BFNM3K80,338706038,SDWD,USD,2019-01-25,4.805,4.805,4.805,4.805,0,0,4.805
IE00BFNM3K80,338706038,SDWD,USD,2019-01-28,4.757,4.757,4.757,4.757,0,0,4.757
IE00BFNM3K80,338706038,SDWD,USD,2019-01-29,4.768,4.768,4.768,4.768,0,0,4.768
IE00BFNM3K80,338706038,SDWD,USD,2019-01-30,4.7945,4.7945,4.7945,4.7945,0,0,4.7945
IE00BFNM3K80,338706038,SDWD,USD,2019-01-31,4.852,4.852,4.852,4.852,0,0,4.852
IE00BFNM3K80,338706038,SDWD,USD,2019-02-01,4.862,4.8755,4.862,4.8755,35167,1,4.862
IE00BFNM3K80,338706038,SDWD,USD,2019-02-04,4.862,4.8655,4.862,4.8655,12357,2,4.862
IE00BFNM3K80,338706038,SDWD,USD,2019-02-05,4.9125,4.9125,4.9125,4.9125,0,0,4.9125
IE00BFNM3K80,338706038,SDWD,USD,2019-02-06,4.9055,4.9055,4.9055,4.9055,0,0,4.9055
IE00BFNM3K80,338706038,SDWD,USD,2019-02-07,4.837,4.837,4.837,4.837,0,0,4.837
IE00BFNM3K80,338706038,SDWD,USD,2019-02-08,4.8135,4.8135,4.8135,4.8135,0,0,4.8135
IE00BFNM3K80,338706038,SDWD,USD,2019-02-11,4.847,4.847,4.847,4.847,0,0,4.847
IE00BFNM3K80,338706038,SDWD,USD,2019-02-12,4.901,4.901,4.901,4.901,0,0,4.901
IE00BFNM3K80,338706038,SDWD,USD,2019-02-13,4.9165,4.9165,4.9165,4.9165,0,0,4.9165
IE00BFNM3K80,338706038,SDWD,USD,2019-02-14,4.8925,4.8925,4.8925,4.8925,0,0,4.8925
IE00BFNM3K80,338706038,SDWD,USD,2019-02-15,4.92,4.9535,4.92,4.9535,2236,2,4.921
IE00BFNM3K80,338706038,SDWD,USD,2019-02-18,4.9705,4.9705,4.9705,4.9705,0,0,4.9705
IE00BFNM3K80,338706038,SDWD,USD,2019-02-19,4.9685,4.9685,4.9685,4.9685,0,0,4.9685
IE00BFNM3K80,338706038,SDWD,USD,2019-02-20,4.993,4.993,4.993,4.993,0,0,4.993
IE00BFNM3K80,338706038,SDWD,USD,2019-02-21,4.973,4.973,4.973,4.973,0,0,4.973
IE00BFNM3K80,338706038,SDWD,USD,2019-02-22,5.0045,5.0045,5.0045,5.0045,0,0,5.0045
IE00BFNM3K80,338706038,SDWD,USD,2019-02-25,5.0315,5.0315,5.0315,5.0315,0,0,5.0315
IE00BFNM3K80,338706038,SDWD,USD,2019-02-26,5.0255,5.0255,5.0255,5.0255,0,0,5.0255
IE00BFNM3K80,338706038,SDWD,USD,2019-02-27,5.0035,5.0035,5.0035,5.0035,0,0,5.0035
IE00BFNM3K80,338706038,SDWD,USD,2019-02-28,5.0075,5.0075,5.0075,5.0075,0,0,5.0075
IE00BFNM3K80,338706038,SDWD,USD,2019-03-01,5.0135,5.0135,5.0135,5.0135,0,0,5.0135
IE00BFNM3K80,338706038,SDWD,USD,2019-03-04,5.0085,5.0085,5.0085,5.0085,0,0,5.0085
IE00BFNM3K80,338706038,SDWD,USD,2019-03-05,5.013,5.014,5.007,5.007,1981,2,5.01345
IE00BFNM3K80,338706038,SDWD,USD,2019-03-06,4.992,4.992,4.992,4.992,0,0,4.992
IE00BFNM3K80,338706038,SDWD,USD,2019-03-07,4.9395,4.9395,4.9395,4.9395,0,0,4.9395
IE00BFNM3K80,338706038,SDWD,USD,2019-03-08,4.908,4.908,4.908,4.908,0,0,4.908
IE00BFNM3K80,338706038,SDWD,USD,2019-03-11,4.9695,4.9695,4.9695,4.9695,0,0,4.9695
IE00BFNM3K80,338706038,SDWD,USD,2019-03-12,5.0055,5.0055,5.0055,5.0055,0,0,5.0055
IE00BFNM3K80,338706038,SDWD,USD,2019-03-13,5.034,5.034,5.034,5.034,0,0,5.034
IE00BFNM3K80,338706038,SDWD,USD,2019-03-14,5.0375,5.0375,5.0375,5.0375,0,0,5.0375
IE00BFNM3K80,338706038,SDWD,USD,2019-03-15,5.0745,5.0745,5.0745,5.0745,0,0,5.0745
IE00BFNM3K80,338706038,SDWD,USD,2019-03-18,5.0795,5.0795,5.0795,5.0795,0,0,5.0795
IE00BFNM3K80,338706038,SDWD,USD,2019-03-19,5.1135,5.1135,5.1135,5.1135,0,0,5.1135
IE00BFNM3K80,338706038,SDWD,USD,2019-03-20,5.0695,5.0695,5.0695,5.0695,0,0,5.0695
IE00BFNM3K80,338706038,SDWD,USD,2019-03-21,5.0965,5.0965,5.0965,5.0965,0,0,5.0965
IE00BFNM3K80,338706038,SDWD,USD,2019-03-22,5.0255,5.0255,5.0255,5.0255,0,0,5.0255
IE00BFNM3K80,338706038,SDWD,USD,2019-03-25,5.0155,5.0155,5.0155,5.0155,0,0,5.0155
IE00BFNM3K80,338706038,SDWD,USD,2019-03-26,5.0495,5.0495,5.0495,5.0495,0,0,5.0495
IE00BFNM3K80,338706038,SDWD,USD,2019-03-27,5.0175,5.0175,5.0175,5.0175,0,0,5.0175
IE00BFNM3K80,338706038,SDWD,USD,2019-03-28,5.0245,5.0245,5.0245,5.0245,0,0,5.0245
IE00BFNM3K80,338706038,SDWD,USD,2019-03-29,5.0605,5.0605,5.0605,5.0605,0,0,5.0605
IE00BFNM3K80,338706038,SDWD,USD,2019-04-01,5.11,5.1205,5.11,5.1205,1077,1,5.11
IE00BFNM3K80,338706038,SDWD,USD,2019-04-02,5.126,5.127,5.118,5.118,23450,3,5.12575
IE00BFNM3K80,338706038,SDWD,USD,2019-04-03,5.1725,5.1725,5.1725,5.1725,0,0,5.1725
IE00BFNM3K80,338706038,SDWD,USD,2019-04-04,5.1585,5.1585,5.1585,5.1585,0,0,5.1585
IE00BFNM3K80,338706038,SDWD,USD,2019-04-05,5.168,5.1795,5.167,5.1795,2130,2,5.1675
IE00BFNM3K80,338706038,SDWD,USD,2019-04-08,5.172,5.1745,5.171,5.1745,3192,3,5.17135
IE00BFNM3K80,338706038,SDWD,USD,2019-04-09,5.1645,5.1645,5.1645,5.1645,0,0,5.1645
IE00BFNM3K80,338706038,SDWD,USD,2019-04-10,5.1725,5.1725,5.1725,5.1725,0,0,5.1725
IE00BFNM3K80,338706038,SDWD,USD,2019-04-11,5.186,5.186,5.186,5.186,0,0,5.186
IE00BFNM3K80,338706038,SDWD,USD,2019-04-12,5.2055,5.2055,5.2055,5.2055,0,0,5.2055
IE00BFNM3K80,338706038,SDWD,USD,2019-04-15,5.2055,5.2055,5.2055,5.2055,0,0,5.2055
IE00BFNM3K80,338706038,SDWD,USD,2019-04-16,5.2225,5.2225,5.2225,5.2225,0,0,5.2225
IE00BFNM3K80,338706038,SDWD,USD,2019-04-17,5.2135,5.2135,5.2135,5.2135,0,0,5.2135
IE00BFNM3K80,338706038,SDWD,USD,2019-04-18,5.2045,5.2045,5.2045,5.2045,0,0,5.2045
IE00BFNM3K80,338706038,SDWD,USD,2019-04-23,5.2415,5.2415,5.2415,5.2415,0,0,5.2415
IE00BFNM3K80,338706038,SDWD,USD,2019-04-24,5.2445,5.2445,5.2445,5.2445,0,0,5.2445
IE00BFNM3K80,338706038,SDWD,USD,2019-04-25,5.2275,5.2275,5.2275,5.2275,0,0,5.2275
IE00BFNM3K80,338706038,SDWD,USD,2019-04-26,5.2455,5.2455,5.2455,5.2455,0,0,5.2455
IE00BFNM3K80,338706038,SDWD,USD,2019-04-29,5.2615,5.2615,5.2615,5.2615,0,0,5.2615
IE00BFNM3K80,338706038,SDWD,USD,2019-04-30,5.2465,5.2465,5.2465,5.2465,0,0,5.2465
IE00BFNM3K80,338706038,SDWD,USD,2019-05-01,5.275,5.275,5.275,5.275,0,0,5.275
IE00BFNM3K80,338706038,SDWD,USD,2019-05-02,5.2135,5.2135,5.2135,5.2135,0,0,5.2135
IE00BFNM3K80,338706038,SDWD,USD,2019-05-03,5.2625,5.2625,5.2625,5.2625,0,0,5.2625
IE00BFNM3K80,338706038,SDWD,USD,2019-05-07,5.224,5.224,5.1665,5.1665,25973,3,5.2056
IE00BFNM3K80,338706038,SDWD,USD,2019-05-08,5.165,5.1695,5.165,5.1695,10000,2,5.1659
IE00BFNM3K80,338706038,SDWD,USD,2019-05-09,5.077,5.077,5.077,5.077,0,0,5.077
IE00BFNM3K80,338706038,SDWD,USD,2019-05-10,5.0815,5.0815,5.0815,5.0815,0,0,5.0815
IE00BFNM3K80,338706038,SDWD,USD,2019-05-13,5.036,5.036,5.036,5.036,0,0,5.036
IE00BFNM3K80,338706038,SDWD,USD,2019-05-14,5.0865,5.0865,5.0865,5.0865,0,0,5.0865
IE00BFNM3K80,338706038,SDWD,USD,2019-05-15,5.064,5.107,5.064,5.107,23097,2,5.064
IE00BFNM3K80,338706038,SDWD,USD,2019-05-16,5.1655,5.1655,5.1655,5.1655,0,0,5.1655
IE00BFNM3K80,338706038,SDWD,USD,2019-05-17,5.132,5.1515,5.132,5.1515,1072,1,5.132
IE00BFNM3K80,338706038,SDWD,USD,2019-05-20,5.0955,5.0955,5.0955,5.0955,0,0,5.0955
IE00BFNM3K80,338706038,SDWD,USD,2019-05-21,5.1255,5.1255,5.1255,5.1255,0,0,5.1255
IE00BFNM3K80,338706038,SDWD,USD,2019-05-22,5.1165,5.1165,5.1165,5.1165,0,0,5.1165
IE00BFNM3K80,338706038,SDWD,USD,2019-05-23,5.0475,5.0475,5.0475,5.0475,0,0,5.0475
IE00BFNM3K80,338706038,SDWD,USD,2019-05-24,5.0665,5.0665,5.0665,5.0665,0,0,5.0665
IE00BFNM3K80,338706038,SDWD,USD,2019-05-28,5.0695,5.0695,5.0695,5.0695,0,0,5.0695
IE00BFNM3K80,338706038,SDWD,USD,2019-05-29,4.988,4.988,4.988,4.988,0,0,4.988
IE00BFNM3K80,338706038,SDWD,USD,2019-05-30,5.0095,5.0095,5.0095,5.0095,0,0,5.0095
IE00BFNM3K80,338706038,SDWD,USD,2019-05-31,4.973,4.973,4.973,4.973,0,0,4.973
IE00BFNM3K80,338706038,SDWD,USD,2019-06-03,4.9685,4.9685,4.9685,4.9685,0,0,4.9685
IE00BFNM3K80,338706038,SDWD,USD,2019-06-04,5.0205,5.0205,5.0205,5.0205,0,0,5.0205
IE00BFNM3K80,338706038,SDWD,USD,2019-06-05,5.0585,5.0585,5.0585,5.0585,0,0,5.0585
IE00BFNM3K80,338706038,SDWD,USD,2019-06-06,5.0875,5.0875,5.0875,5.0875,0,0,5.0875
IE00BFNM3K80,338706038,SDWD,USD,2019-06-07,5.1585,5.1585,5.1585,5.1585,0,0,5.1585
IE00BFNM3K80,338706038,SDWD,USD,2019-06-10,5.1985,5.1985,5.1985,5.1985,0,0,5.1985
IE00BFNM3K80,338706038,SDWD,USD,2019-06-11,5.204,5.204,5.1955,5.1955,12634,4,5.2035
IE00BFNM3K80,338706038,SDWD,USD,2019-06-12,5.181,5.181,5.1715,5.1715,300,1,5.181
IE00BFNM3K80,338706038,SDWD,USD,2019-06-13,5.1195,5.1195,5.1195,5.1195,0,0,5.1195
IE00BFNM3K80,338706038,SDWD,USD,2019-06-14,5.106,5.106,5.106,5.106,0,0,5.106
IE00BFNM3K80,338706038,SDWD,USD,2019-06-17,5.1205,5.1205,5.1205,5.1205,0,0,5.1205
IE00BFNM3K80,338706038,SDWD,USD,2019-06-18,5.1785,5.1785,5.1785,5.1785,0,0,5.1785
IE00BFNM3K80,338706038,SDWD,USD,2019-06-19,5.1775,5.1775,5.1775,5.1775,0,0,5.1775
IE00BFNM3K80,338706038,SDWD,USD,2019-06-20,5.2175,5.2175,5.2175,5.2175,0,0,5.2175
IE00BFNM3K80,338706038,SDWD,USD,2019-06-21,5.23,5.2355,5.23,5.2355,20604,2,5.23
IE00BFNM3K80,338706038,SDWD,USD,2019-06-24,5.2345,5.2345,5.2345,5.2345,0,0,5.2345
IE00BFNM3K80,338706038,SDWD,USD,2019-06-25,5.212,5.212,5.212,5.212,0,0,5.212
IE00BFNM3K80,338706038,SDWD,USD,2019-06-26,5.1875,5.1875,5.1875,5.1875,0,0,5.1875
IE00BFNM3K80,338706038,SDWD,USD,2019-06-27,5.187,5.187,5.187,5.187,0,0,5.187
IE00BFNM3K80,338706038,SDWD,USD,2019-06-28,5.2145,5.2145,5.2145,5.2145,0,0,5.2145
IE00BFNM3K80,338706038,SDWD,USD,2019-07-01,5.2585,5.2585,5.2585,5.2585,0,0,5.2585
IE00BFNM3K80,338706038,SDWD,USD,2019-07-02,5.267,5.267,5.2665,5.2665,475,1,5.267
IE00BFNM3K80,338706038,SDWD,USD,2019-07-03,5.3035,5.304,5.3035,5.3035,0,0,5.3035
IE00BFNM3K80,338706038,SDWD,USD,2019-07-04,5.325,5.325,5.3215,5.3215,702,1,5.325
IE00BFNM3K80,338706038,SDWD,USD,2019-07-05,5.2745,5.275,5.2745,5.2745,0,0,5.2745
IE00BFNM3K80,338706038,SDWD,USD,2019-07-08,5.2745,5.275,5.2745,5.2745,0,0,5.2745
IE00BFNM3K80,338706038,SDWD,USD,2019-07-09,5.24,5.2635,5.24,5.2635,1050,1,5.24
IE00BFNM3K80,338706038,SDWD,USD,2019-07-10,5.2825,5.283,5.2825,5.2825,0,0,5.2825
IE00BFNM3K80,338706038,SDWD,USD,2019-07-11,5.2975,5.298,5.2975,5.2975,0,0,5.2975
IE00BFNM3K80,338706038,SDWD,USD,2019-07-12,5.3055,5.306,5.3055,5.3055,0,0,5.3055
IE00BFNM3K80,338706038,SDWD,USD,2019-07-15,5.3185,5.319,5.3185,5.3185,0,0,5.3185
IE00BFNM3K80,338706038,SDWD,USD,2019-07-16,5.3075,5.308,5.3075,5.3075,0,0,5.3075
IE00BFNM3K80,338706038,SDWD,USD,2019-07-17,5.2855,5.2855,5.285,5.2855,0,0,5.2855
IE00BFNM3K80,338706038,SDWD,USD,2019-07-18,5.2575,5.258,5.2575,5.2575,0,0,5.2575
IE00BFNM3K80,338706038,SDWD,USD,2019-07-19,5.2865,5.287,5.2865,5.2865,0,0,5.2865
IE00BFNM3K80,338706038,SDWD,USD,2019-07-22,5.266,5.266,5.2645,5.2645,1045,1,5.266
IE00BFNM3K80,338706038,SDWD,USD,2019-07-23,5.2915,5.292,5.2915,5.2915,0,0,5.2915
IE00BFNM3K80,338706038,SDWD,USD,2019-07-24,5.3045,5.3045,5.304,5.3045,0,0,5.3045
IE00BFNM3K80,338706038,SDWD,USD,2019-07-25,5.311,5.311,5.311,5.311,0,0,5.311
IE00BFNM3K80,338706038,SDWD,USD,2019-07-26,5.318,5.3185,5.318,5.3185,12622,2,5.318
IE00BFNM3K80,338706038,SDWD,USD,2019-07-29,5.3195,5.32,5.3195,5.3195,0,0,5.3195
IE00BFNM3K80,338706038,SDWD,USD,2019-07-30,5.2915,5.292,5.2915,5.2915,0,0,5.2915
IE00BFNM3K80,338706038,SDWD,USD,2019-07-31,5.2985,5.299,5.2985,5.2985,0,0,5.2985
IE00BFNM3K80,338706038,SDWD,USD,2019-08-01,5.296,5.296,5.296,5.296,0,0,5.296
IE00BFNM3K80,338706038,SDWD,USD,2019-08-02,5.152,5.152,5.152,5.152,0,0,5.152
IE00BFNM3K80,338706038,SDWD,USD,2019-08-05,5.058,5.058,5.058,5.058,0,0,5.058
IE00BFNM3K80,338706038,SDWD,USD,2019-08-06,5.027,5.054,5.027,5.029,9555,4,5.03565
IE00BFNM3K80,338706038,SDWD,USD,2019-08-07,5.078,5.083,5.047,5.047,2084,2,5.0804
IE00BFNM3K80,338706038,SDWD,USD,2019-08-08,5.141,5.141,5.141,5.141,0,0,5.141
IE00BFNM3K80,338706038,SDWD,USD,2019-08-09,5.113,5.113,5.113,5.113,0,0,5.113
IE00BFNM3K80,338706038,SDWD,USD,2019-08-12,5.0945,5.095,5.0945,5.0945,0,0,5.0945
IE00BFNM3K80,338706038,SDWD,USD,2019-08-13,5.1335,5.134,5.1335,5.1335,0,0,5.1335
IE00BFNM3K80,338706038,SDWD,USD,2019-08-14,5.0255,5.026,5.0255,5.0255,0,0,5.0255
IE00BFNM3K80,338706038,SDWD,USD,2019-08-15,5.017,5.017,5.0005,5.0005,110,2,5.0165
IE00BFNM3K80,338706038,SDWD,USD,2019-08-16,5.052,5.072,5.052,5.072,110,2,5.052
IE00BFNM3K80,338706038,SDWD,USD,2019-08-19,5.11,5.135,5.11,5.129,162,3,5.12365
IE00BFNM3K80,338706038,SDWD,USD,2019-08-20,5.1135,5.114,5.1135,5.1135,0,0,5.1135
IE00BFNM3K80,338706038,SDWD,USD,2019-08-21,5.144,5.144,5.144,5.144,0,0,5.144
IE00BFNM3K80,338706038,SDWD,USD,2019-08-22,5.148,5.148,5.1175,5.1175,2313,9,5.14545
IE00BFNM3K80,338706038,SDWD,USD,2019-08-23,5.0735,5.074,5.0735,5.0735,0,0,5.0735
IE00BFNM3K80,338706038,SDWD,USD,2019-08-27,5.0745,5.075,5.0745,5.0745,0,0,5.0745
IE00BFNM3K80,338706038,SDWD,USD,2019-08-28,5.056,5.0815,5.056,5.0815,262,1,5.056
IE00BFNM3K80,338706038,SDWD,USD,2019-08-29,5.1385,5.139,5.1385,5.1385,0,0,5.1385
