ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-02,34.746,34.896,34.48,34.8,2527,14,34.66
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-03,34.716,34.79,34.56,34.6,5989,13,34.7008
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-04,34.97,35.43,34.874,35.43,17881,20,35.1026
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-07,35.46,35.46,35.13,35.3,14161,49,35.26
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-08,35.304,35.676,35.304,35.61,22915,21,35.6448
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-09,35.664,35.756,35.544,35.56,33803,15,35.6794
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-10,35.516,35.84,35.424,35.84,2750,21,35.5934
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-11,35.876,35.986,35.694,35.78,1883,18,35.8334
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-14,35.68,35.72,35.464,35.616,19675,32,35.6174
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-15,35.914,35.916,35.6,35.786,4123,13,35.7836
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-16,35.82,35.986,35.73,35.896,2863,14,35.838
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-17,35.726,36.05,35.724,36.016,1704,18,35.877
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-18,36.23,36.45,36.134,36.45,8006,24,36.2958
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-21,36.466,36.496,36.33,36.43,4945,25,36.3922
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-22,36.27,36.47,36.06,36.06,1535,9,36.3964
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-23,36.21,36.48,36.21,36.32,3274,17,36.3546
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-24,36.376,36.546,36.334,36.476,2885,18,36.4528
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-25,36.696,36.81,36.53,36.53,2837,12,36.6256
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-28,36.576,36.62,36.44,36.576,6378,27,36.5278
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-29,36.53,36.76,36.53,36.6,5091,21,36.6268
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-30,36.756,36.936,36.664,36.936,1193,10,36.7576
IE00BFTWP510,146559525,ZPRL,EUR,2019-01-31,36.85,36.9,36.61,36.796,6166,18,36.7308
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-01,36.71,36.836,36.67,36.76,3177,16,36.755
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-04,36.816,36.846,36.664,36.83,5552,24,36.744
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-05,36.89,37.226,36.89,37.156,2304,19,37.0338
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-06,37.094,37.266,37.094,37.1,1359,9,37.1766
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-07,37.26,37.266,36.734,36.734,4702,20,36.983
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-08,36.72,36.75,36.42,36.566,7074,23,36.5876
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-11,36.756,36.79,36.64,36.64,5668,25,36.722
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-12,37.036,37.036,36.874,36.906,2537,16,36.9342
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-13,36.95,37.146,36.95,37.086,4456,24,37.0752
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-14,37.246,37.246,36.94,36.94,9154,18,37.1862
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-15,36.97,37.33,36.914,37.33,11760,17,37.134
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-18,37.496,37.496,37.324,37.49,4016,20,37.4294
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-19,37.52,37.52,37.254,37.446,2645,15,37.3554
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-20,37.5,37.606,37.414,37.57,3467,22,37.5176
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-21,37.64,37.71,37.504,37.506,3211,23,37.5998
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-22,37.506,37.746,37.504,37.566,6738,24,37.6326
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-25,37.81,37.81,37.54,37.54,10028,28,37.7046
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-26,37.506,37.79,37.48,37.726,15154,28,37.5858
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-27,37.516,37.526,37.45,37.51,3453,9,37.5202
IE00BFTWP510,146559525,ZPRL,EUR,2019-02-28,37.506,37.8,37.48,37.734,4162,18,37.6652
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-01,37.926,38.076,37.784,37.99,6778,31,37.9672
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-04,38.1,38.1,37.69,37.83,65684,35,37.8006
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-05,37.79,37.926,37.7,37.9,4244,19,37.8236
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-06,37.886,38.01,37.784,37.83,7739,53,37.8664
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-07,37.816,37.93,37.704,37.76,5179,24,37.771
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-08,37.65,37.776,37.6,37.77,3964,18,37.7096
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-11,37.836,37.95,37.67,37.95,5353,17,37.7672
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-12,38.006,38.006,37.82,37.836,2556,10,37.876
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-13,37.774,38.164,37.774,38.164,15560,19,37.8492
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-14,38.27,38.43,38.204,38.33,16705,23,38.3004
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-15,38.5,38.586,38.384,38.576,4377,25,38.4768
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-18,38.664,38.716,38.574,38.716,1738,13,38.6042
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-19,38.914,38.916,38.686,38.686,6359,22,38.836
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-20,38.73,38.75,38.496,38.496,2497,12,38.6988
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-21,38.57,38.73,38.344,38.73,3289,19,38.4896
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-22,38.53,38.556,38.186,38.186,5517,43,38.4334
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-25,38.2,38.296,38.144,38.186,26553,18,38.193
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-26,38.3,38.436,38.14,38.37,5369,20,38.39
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-27,38.28,38.566,38.204,38.566,6909,20,38.3778
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-28,38.414,38.5,38.264,38.45,2057,16,38.397
IE00BFTWP510,146559525,ZPRL,EUR,2019-03-29,38.414,38.546,38.29,38.546,3880,24,38.3686
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-01,38.65,38.78,38.534,38.78,2547,15,38.6072
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-02,38.826,38.99,38.7,38.99,2234,17,38.755
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-03,39.0,39.11,38.854,39.094,5415,23,39.0484
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-04,39.086,39.15,38.98,39.116,1726,15,39.0364
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-05,39.06,39.086,38.95,39.086,4226,22,39.012
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-08,38.99,38.99,38.84,38.876,2802,15,38.9114
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-09,38.8,38.98,38.656,38.656,3551,30,38.854
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-10,38.77,38.896,38.77,38.896,2848,21,38.8376
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-11,38.876,38.93,38.85,38.91,2319,11,38.8954
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-12,38.87,38.94,38.76,38.94,9122,31,38.8214
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-15,38.92,38.956,38.81,38.906,3830,22,38.8848
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-16,38.94,39.026,38.864,38.93,3635,20,38.9054
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-17,38.79,39.04,38.79,39.04,1447,10,38.8646
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-18,38.966,39.09,38.88,39.09,1742,15,38.9646
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-23,39.14,39.186,38.96,39.186,3486,31,39.0702
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-24,39.1,39.18,39.024,39.094,5043,25,39.0834
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-25,39.304,39.306,39.01,39.16,6332,29,39.0762
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-26,39.156,39.22,39.05,39.17,1256,15,39.1288
IE00BFTWP510,146559525,ZPRL,EUR,2019-04-29,39.256,39.256,39.024,39.23,7140,21,39.1646
