ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BG370F43,387860645,XZEM,EUR,2019-10-21,40.856,40.856,40.854,40.856,0,0,40.856
IE00BG370F43,387860645,XZEM,EUR,2019-10-22,40.976,41.12,40.974,41.12,5864,2,40.9774
IE00BG370F43,387860645,XZEM,EUR,2019-10-23,40.99,41.04,40.95,40.98,5934,4,40.9508
IE00BG370F43,387860645,XZEM,EUR,2019-10-24,41.266,41.266,41.264,41.266,0,0,41.264
IE00BG370F43,387860645,XZEM,EUR,2019-10-25,41.146,41.4,41.144,41.4,3087,1,41.145
IE00BG370F43,387860645,XZEM,EUR,2019-10-28,41.836,41.84,41.796,41.796,7170,2,41.8358
IE00BG370F43,387860645,XZEM,EUR,2019-10-29,41.6,41.6,41.456,41.456,340,1,41.6
IE00BG370F43,387860645,XZEM,EUR,2019-10-30,41.46,41.46,41.344,41.344,13064,4,41.414
IE00BG370F43,387860645,XZEM,EUR,2019-10-31,41.156,41.156,41.154,41.156,0,0,41.156
IE00BG370F43,387860645,XZEM,EUR,2019-11-01,41.57,41.57,41.55,41.55,150,1,41.57
IE00BG370F43,387860645,XZEM,EUR,2019-11-04,42.094,42.096,42.094,42.094,0,0,42.094
IE00BG370F43,387860645,XZEM,EUR,2019-11-05,42.38,42.86,42.38,42.66,70180,9,42.7218
IE00BG370F43,387860645,XZEM,EUR,2019-11-06,42.57,42.776,42.57,42.746,6696,6,42.5976
IE00BG370F43,387860645,XZEM,EUR,2019-11-07,43.01,43.01,42.92,43.006,11589,7,42.964
IE00BG370F43,387860645,XZEM,EUR,2019-11-08,42.626,42.716,42.624,42.716,2954,1,42.625
IE00BG370F43,387860645,XZEM,EUR,2019-11-11,42.136,42.29,42.134,42.226,12152,7,42.1878
IE00BG370F43,387860645,XZEM,EUR,2019-11-12,42.554,42.556,42.286,42.286,827,2,42.438
IE00BG370F43,387860645,XZEM,EUR,2019-11-13,42.12,42.15,41.69,41.786,10773,9,41.8518
IE00BG370F43,387860645,XZEM,EUR,2019-11-14,41.804,41.806,41.804,41.804,0,0,41.804
IE00BG370F43,387860645,XZEM,EUR,2019-11-15,42.1,42.17,42.1,42.17,3582,5,42.122
IE00BG370F43,387860645,XZEM,EUR,2019-11-18,42.06,42.07,42.06,42.07,500,1,42.06
IE00BG370F43,387860645,XZEM,EUR,2019-11-19,42.524,42.526,42.13,42.13,500,2,42.37
IE00BG370F43,387860645,XZEM,EUR,2019-11-20,42.25,42.33,42.216,42.216,700,2,42.29
IE00BG370F43,387860645,XZEM,EUR,2019-11-21,41.906,42.01,41.904,41.92,7263,4,42.0008
IE00BG370F43,387860645,XZEM,EUR,2019-11-22,42.22,42.3,42.136,42.136,5845,2,42.2958
IE00BG370F43,387860645,XZEM,EUR,2019-11-25,42.664,42.76,42.66,42.686,5040,3,42.6638
IE00BG370F43,387860645,XZEM,EUR,2019-11-26,42.436,42.5,42.304,42.304,6230,4,42.4508
IE00BG370F43,387860645,XZEM,EUR,2019-11-27,42.774,42.776,42.64,42.646,17955,8,42.6464
IE00BG370F43,387860645,XZEM,EUR,2019-11-28,42.914,42.916,42.8,42.8,10000,2,42.9126
IE00BG370F43,387860645,XZEM,EUR,2019-11-29,42.446,42.446,42.24,42.24,5649,4,42.368
IE00BG370F43,387860645,XZEM,EUR,2019-12-02,42.246,42.25,41.81,41.81,15919,6,42.0982
IE00BG370F43,387860645,XZEM,EUR,2019-12-03,42.186,42.186,41.5,41.5,18962,12,41.7526
IE00BG370F43,387860645,XZEM,EUR,2019-12-04,42.046,42.06,42.044,42.06,5000,2,42.047
