ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-02,161.72,166.0,160.6,165.04,3998,47,161.791
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-03,163.7,164.62,161.2,162.2,38948,282,163.191
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-04,163.6,168.24,163.04,167.82,7854,109,164.244
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-07,168.18,169.88,166.8,169.88,7339,58,167.315
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-08,170.96,172.78,170.26,172.78,2944,63,171.199
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-09,172.78,173.64,172.34,172.5,7401,73,172.886
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-10,171.72,174.26,171.56,174.26,2841,56,172.195
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-11,173.72,175.0,173.3,175.0,2397,42,173.919
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-14,173.88,174.3,173.42,173.42,3355,62,173.917
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-15,174.48,175.42,173.68,175.42,1574,52,174.373
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-16,175.94,177.8,175.46,176.98,2133,46,176.297
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-17,176.2,178.2,176.0,178.2,2072,58,176.782
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-18,179.24,181.02,178.9,180.68,13485,81,179.906
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-21,180.66,180.66,179.72,180.04,8433,92,180.047
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-22,179.78,180.32,177.64,177.64,1986,59,179.724
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-23,178.36,179.42,176.94,176.94,2416,61,178.81
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-24,177.18,179.44,177.18,179.44,3424,74,178.068
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-25,179.88,180.72,179.64,180.06,2338,51,180.061
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-28,179.56,179.66,178.08,178.46,3117,69,179.122
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-29,178.3,179.4,178.14,178.64,7676,82,178.99
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-30,178.74,179.78,178.44,179.22,2215,45,179.137
IE00BJZ2DD79,187655594,XRS2,EUR,2019-01-31,180.0,181.54,179.24,181.54,14196,113,179.7
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-01,182.06,182.28,181.04,181.7,5167,107,181.734
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-04,181.9,183.62,181.9,183.62,3235,45,182.705
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-05,184.18,185.58,184.18,184.68,3640,71,184.874
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-06,184.78,185.58,184.24,185.02,4647,88,184.942
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-07,185.18,185.52,182.2,184.06,42941,142,184.397
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-08,183.6,184.36,183.04,184.36,8413,82,183.475
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-11,184.7,186.74,184.7,186.74,7223,93,185.515
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-12,188.0,189.0,187.74,188.08,4056,61,188.269
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-13,189.22,190.12,188.6,190.12,7782,108,189.373
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-14,190.44,190.76,188.64,190.02,2287,60,189.93
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-15,189.36,193.14,189.34,192.42,2157,59,190.756
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-18,193.06,193.06,191.98,192.52,1857,55,192.423
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-19,192.38,192.84,191.84,192.76,2323,46,192.336
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-20,192.58,193.34,192.3,193.34,5890,73,192.651
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-21,194.24,194.24,192.46,192.82,4109,86,193.228
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-22,193.2,194.62,193.2,194.52,5179,90,193.717
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-25,195.14,196.14,194.24,194.24,2227,54,195.467
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-26,194.14,194.3,192.54,192.54,3624,76,193.993
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-27,191.82,192.78,191.48,192.78,9973,94,191.753
IE00BJZ2DD79,187655594,XRS2,EUR,2019-02-28,192.4,192.72,191.78,192.4,2379,50,192.19
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-01,193.22,194.18,192.4,194.18,3007,80,193.197
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-04,195.02,195.6,192.0,192.8,3523,82,194.625
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-05,193.46,193.68,192.36,192.74,5483,74,193.028
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-06,192.6,192.74,188.72,188.72,6779,117,191.936
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-07,188.48,190.26,188.14,189.24,4912,99,188.862
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-08,188.38,188.76,187.34,188.34,6533,101,188.294
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-11,188.48,191.38,188.34,191.38,2628,58,189.015
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-12,191.4,191.48,190.28,190.72,3375,72,190.958
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-13,190.5,192.12,190.48,191.06,10505,132,191.384
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-14,191.2,191.74,190.26,190.26,8643,67,191.086
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-15,190.3,191.74,190.3,190.7,4962,107,190.735
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-18,191.02,192.1,190.22,191.8,3189,68,191.052
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-19,191.84,192.4,190.22,190.22,4513,72,191.373
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-20,190.58,190.58,187.38,187.38,3359,115,189.927
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-21,187.7,192.06,187.22,190.78,3183,71,189.313
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-22,191.08,191.36,185.12,185.12,2118,126,190.256
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-25,185.02,186.74,183.68,186.26,1601,64,184.789
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-26,186.78,188.98,186.6,188.56,2213,67,187.539
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-27,189.24,189.24,185.82,187.96,3119,129,187.741
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-28,188.14,190.52,188.0,190.28,12535,93,188.382
IE00BJZ2DD79,187655594,XRS2,EUR,2019-03-29,190.98,191.64,190.22,190.92,3475,72,191.012
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-01,191.94,193.24,191.56,192.86,1735,60,191.934
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-02,193.34,193.34,192.16,192.76,1581,90,192.987
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-03,192.96,194.36,192.58,193.0,5707,163,193.187
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-04,192.86,194.48,192.86,193.76,3601,105,193.513
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-05,194.58,196.1,194.2,196.04,3557,63,195.171
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-08,195.48,195.54,193.84,194.9,2370,88,195.184
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-09,194.64,194.94,192.42,192.42,3463,120,193.897
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-10,193.04,194.88,192.8,194.88,5320,117,193.835
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-11,194.64,195.82,194.58,194.98,4064,86,195.172
IE00BJZ2DD79,187655594,XRS2,EUR,2019-04-12,194.68,195.42,194.34,195.04,2502,85,194.992
