ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BK5BQW10,375855599,VNRA,USD,2019-07-25,70.105,70.105,70.105,70.105,0,0,70.105
IE00BK5BQW10,375855599,VNRA,USD,2019-07-26,70.335,70.335,70.335,70.335,0,0,70.335
IE00BK5BQW10,375855599,VNRA,USD,2019-07-29,70.315,70.315,70.315,70.315,0,0,70.315
IE00BK5BQW10,375855599,VNRA,USD,2019-07-30,70.13,70.13,70.13,70.13,0,0,70.13
IE00BK5BQW10,375855599,VNRA,USD,2019-07-31,70.215,70.215,70.215,70.215,0,0,70.215
IE00BK5BQW10,375855599,VNRA,USD,2019-08-01,70.155,70.155,70.155,70.155,0,0,70.155
IE00BK5BQW10,375855599,VNRA,USD,2019-08-02,68.09,68.09,68.09,68.09,0,0,68.09
IE00BK5BQW10,375855599,VNRA,USD,2019-08-05,66.875,66.875,66.875,66.875,0,0,66.875
IE00BK5BQW10,375855599,VNRA,USD,2019-08-06,66.515,66.515,66.515,66.515,0,0,66.515
IE00BK5BQW10,375855599,VNRA,USD,2019-08-07,66.63,66.63,66.63,66.63,0,0,66.63
IE00BK5BQW10,375855599,VNRA,USD,2019-08-08,68.03,68.03,68.03,68.03,0,0,68.03
IE00BK5BQW10,375855599,VNRA,USD,2019-08-09,67.69,67.69,67.69,67.69,0,0,67.69
IE00BK5BQW10,375855599,VNRA,USD,2019-08-12,67.495,67.495,67.495,67.495,0,0,67.495
IE00BK5BQW10,375855599,VNRA,USD,2019-08-13,68.08,68.08,68.08,68.08,0,0,68.08
IE00BK5BQW10,375855599,VNRA,USD,2019-08-14,66.73,66.73,66.73,66.73,0,0,66.73
IE00BK5BQW10,375855599,VNRA,USD,2019-08-15,66.335,66.335,66.335,66.335,0,0,66.335
IE00BK5BQW10,375855599,VNRA,USD,2019-08-16,67.295,67.295,67.295,67.295,0,0,67.295
IE00BK5BQW10,375855599,VNRA,USD,2019-08-19,68.19,68.19,68.19,68.19,0,0,68.19
IE00BK5BQW10,375855599,VNRA,USD,2019-08-20,68.035,68.035,68.035,68.035,0,0,68.035
IE00BK5BQW10,375855599,VNRA,USD,2019-08-21,68.215,68.215,68.215,68.215,0,0,68.215
IE00BK5BQW10,375855599,VNRA,USD,2019-08-22,67.94,67.94,67.94,67.94,0,0,67.94
IE00BK5BQW10,375855599,VNRA,USD,2019-08-23,67.21,67.21,67.21,67.21,0,0,67.21
IE00BK5BQW10,375855599,VNRA,USD,2019-08-27,67.05,67.05,67.05,67.05,0,0,67.05
IE00BK5BQW10,375855599,VNRA,USD,2019-08-28,67.275,67.275,67.275,67.275,0,0,67.275
IE00BK5BQW10,375855599,VNRA,USD,2019-08-29,68.12,68.12,68.12,68.12,0,0,68.12
IE00BK5BQW10,375855599,VNRA,USD,2019-08-30,68.02,68.02,68.02,68.02,0,0,68.02
IE00BK5BQW10,375855599,VNRA,USD,2019-09-02,67.97,67.97,67.97,67.97,0,0,67.97
IE00BK5BQW10,375855599,VNRA,USD,2019-09-03,67.69,67.69,67.69,67.69,0,0,67.69
IE00BK5BQW10,375855599,VNRA,USD,2019-09-04,68.365,68.365,68.365,68.365,0,0,68.365
IE00BK5BQW10,375855599,VNRA,USD,2019-09-05,69.445,69.445,69.445,69.445,0,0,69.445
IE00BK5BQW10,375855599,VNRA,USD,2019-09-06,69.61,69.61,69.52,69.52,145,1,69.61
IE00BK5BQW10,375855599,VNRA,USD,2019-09-09,69.59,69.59,69.59,69.59,0,0,69.59
IE00BK5BQW10,375855599,VNRA,USD,2019-09-10,69.055,69.055,69.055,69.055,0,0,69.055
