ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BK5BQX27,375855580,VEUA,GBP,2019-07-25,26.71,26.71,26.71,26.71,0,0,26.71
IE00BK5BQX27,375855580,VEUA,GBP,2019-07-26,26.908,26.908,26.906,26.908,0,0,26.908
IE00BK5BQX27,375855580,VEUA,GBP,2019-07-29,27.312,27.314,27.312,27.312,0,0,27.312
IE00BK5BQX27,375855580,VEUA,GBP,2019-07-30,27.1,27.1,27.1,27.1,0,0,27.1
IE00BK5BQX27,375855580,VEUA,GBP,2019-07-31,26.94,26.94,26.94,26.94,0,0,26.94
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-01,27.092,27.094,27.092,27.092,0,0,27.092
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-02,26.578,26.578,26.576,26.578,0,0,26.578
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-05,26.082,26.084,26.082,26.082,0,0,26.082
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-06,25.97,25.97,25.97,25.97,0,0,25.97
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-07,26.054,26.056,26.054,26.054,0,0,26.054
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-08,26.48,26.48,26.48,26.48,0,0,26.48
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-09,26.41,26.41,26.41,26.41,0,0,26.41
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-12,26.422,26.424,26.422,26.422,0,0,26.422
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-13,26.518,26.518,26.516,26.518,0,0,26.518
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-14,26.48,26.486,25.99,25.99,25000,5,26.383
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-15,25.726,25.78,25.718,25.718,5149,2,25.7266
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-16,25.952,25.954,25.952,25.952,0,0,25.952
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-19,26.268,26.268,26.266,26.268,0,0,26.268
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-20,26.06,26.06,26.06,26.06,0,0,26.06
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-21,26.41,26.41,26.41,26.41,0,0,26.41
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-22,26.04,26.04,26.04,26.04,0,0,26.04
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-23,25.926,25.926,25.924,25.926,0,0,25.926
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-27,25.94,25.95,25.934,25.95,1075,2,25.9376
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-28,26.006,26.006,26.004,26.006,0,0,26.006
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-29,26.282,26.284,26.282,26.282,0,0,26.282
IE00BK5BQX27,375855580,VEUA,GBP,2019-08-30,26.326,26.326,26.324,26.326,0,0,26.326
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-02,26.63,26.63,26.63,26.63,0,0,26.63
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-03,26.51,26.51,26.51,26.51,0,0,26.51
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-04,26.696,26.696,26.694,26.696,0,0,26.694
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-05,26.598,26.598,26.596,26.598,0,0,26.598
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-06,26.728,26.728,26.726,26.728,0,0,26.728
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-09,26.58,26.58,26.58,26.58,0,0,26.58
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-10,26.612,26.614,26.612,26.612,0,0,26.612
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-11,26.74,26.74,26.74,26.74,0,0,26.74
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-12,26.916,26.916,26.914,26.916,0,0,26.916
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-13,26.828,26.828,26.826,26.828,0,0,26.828
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-16,26.6,26.6,26.6,26.6,0,0,26.6
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-17,26.548,26.548,26.546,26.548,0,0,26.548
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-18,26.578,26.578,26.576,26.578,0,0,26.578
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-19,26.692,26.694,26.692,26.692,0,0,26.692
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-20,26.63,26.63,26.63,26.63,0,0,26.63
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-23,26.55,26.55,26.55,26.55,0,0,26.55
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-24,26.476,26.476,26.474,26.476,0,0,26.476
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-25,26.386,26.386,26.384,26.386,0,0,26.386
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-26,26.582,26.584,26.582,26.582,0,0,26.582
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-27,26.81,26.81,26.81,26.81,0,0,26.81
IE00BK5BQX27,375855580,VEUA,GBP,2019-09-30,26.83,26.83,26.83,26.83,0,0,26.83
