ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BKWQ0L68,173940928,STP,EUR,2019-01-02,165.7,166.46,165.06,166.46,29,3,165.741
IE00BKWQ0L68,173940928,STP,EUR,2019-01-03,164.72,164.72,163.76,163.76,56,1,164.72
IE00BKWQ0L68,173940928,STP,EUR,2019-01-04,171.4,171.4,171.4,171.4,0,0,171.4
IE00BKWQ0L68,173940928,STP,EUR,2019-01-07,171.64,171.64,171.64,171.64,0,0,171.64
IE00BKWQ0L68,173940928,STP,EUR,2019-01-08,172.88,172.96,172.88,172.96,12,1,172.88
IE00BKWQ0L68,173940928,STP,EUR,2019-01-09,175.06,175.06,175.06,175.06,0,0,175.06
IE00BKWQ0L68,173940928,STP,EUR,2019-01-10,175.14,175.14,175.14,175.14,0,0,175.14
IE00BKWQ0L68,173940928,STP,EUR,2019-01-11,174.94,174.94,174.94,174.94,0,0,174.94
IE00BKWQ0L68,173940928,STP,EUR,2019-01-14,173.54,174.22,173.54,174.22,29,1,173.54
IE00BKWQ0L68,173940928,STP,EUR,2019-01-15,175.72,175.72,175.34,175.34,2,1,175.72
IE00BKWQ0L68,173940928,STP,EUR,2019-01-16,175.22,176.24,175.22,176.24,34,1,175.22
IE00BKWQ0L68,173940928,STP,EUR,2019-01-17,177.22,177.22,177.22,177.22,0,0,177.22
IE00BKWQ0L68,173940928,STP,EUR,2019-01-18,181.22,181.22,181.22,181.22,0,0,181.22
IE00BKWQ0L68,173940928,STP,EUR,2019-01-21,180.88,180.88,180.2,180.2,65,2,180.345
IE00BKWQ0L68,173940928,STP,EUR,2019-01-22,179.24,179.24,178.62,178.62,13,1,179.24
IE00BKWQ0L68,173940928,STP,EUR,2019-01-23,177.12,177.12,177.12,177.12,0,0,177.12
IE00BKWQ0L68,173940928,STP,EUR,2019-01-24,177.48,177.48,177.48,177.48,0,0,177.48
IE00BKWQ0L68,173940928,STP,EUR,2019-01-25,181.4,181.4,181.14,181.14,5,1,181.4
IE00BKWQ0L68,173940928,STP,EUR,2019-01-28,179.76,179.9,179.0,179.9,160,2,179.142
IE00BKWQ0L68,173940928,STP,EUR,2019-01-29,180.76,181.56,180.76,181.56,5,1,180.76
IE00BKWQ0L68,173940928,STP,EUR,2019-01-30,183.56,183.56,183.56,183.56,0,0,183.56
IE00BKWQ0L68,173940928,STP,EUR,2019-01-31,183.18,183.18,183.18,183.18,0,0,183.18
IE00BKWQ0L68,173940928,STP,EUR,2019-02-01,183.94,184.26,183.48,184.26,32,2,183.854
IE00BKWQ0L68,173940928,STP,EUR,2019-02-04,184.52,184.52,184.52,184.52,0,0,184.52
IE00BKWQ0L68,173940928,STP,EUR,2019-02-05,186.56,187.52,186.46,186.88,1748,6,186.626
IE00BKWQ0L68,173940928,STP,EUR,2019-02-06,186.9,187.04,186.9,187.04,75,2,186.916
IE00BKWQ0L68,173940928,STP,EUR,2019-02-07,185.4,185.4,183.08,183.08,10,1,185.4
IE00BKWQ0L68,173940928,STP,EUR,2019-02-08,181.08,181.08,181.08,181.08,16,1,181.08
IE00BKWQ0L68,173940928,STP,EUR,2019-02-11,183.28,183.3,182.16,182.16,165,2,183.298
IE00BKWQ0L68,173940928,STP,EUR,2019-02-12,183.66,183.66,183.66,183.66,0,0,183.66
IE00BKWQ0L68,173940928,STP,EUR,2019-02-13,185.0,185.84,185.0,185.84,545,2,185.108
IE00BKWQ0L68,173940928,STP,EUR,2019-02-14,185.3,185.3,185.3,185.3,0,0,185.3
IE00BKWQ0L68,173940928,STP,EUR,2019-02-15,186.94,188.72,186.94,188.44,827,4,188.112
IE00BKWQ0L68,173940928,STP,EUR,2019-02-18,189.18,189.18,189.18,189.18,0,0,189.18
IE00BKWQ0L68,173940928,STP,EUR,2019-02-19,188.0,189.12,188.0,189.12,62,1,188.0
IE00BKWQ0L68,173940928,STP,EUR,2019-02-20,191.48,191.48,191.48,191.48,0,0,191.48
IE00BKWQ0L68,173940928,STP,EUR,2019-02-21,189.8,189.8,189.8,189.8,0,0,189.8
IE00BKWQ0L68,173940928,STP,EUR,2019-02-22,191.9,191.9,191.9,191.9,0,0,191.9
IE00BKWQ0L68,173940928,STP,EUR,2019-02-25,192.78,192.78,191.24,191.48,116,3,191.408
IE00BKWQ0L68,173940928,STP,EUR,2019-02-26,193.16,193.74,193.16,193.74,90,1,193.16
IE00BKWQ0L68,173940928,STP,EUR,2019-02-27,193.02,193.02,193.02,193.02,0,0,193.02
IE00BKWQ0L68,173940928,STP,EUR,2019-02-28,191.2,191.2,191.2,191.2,0,0,191.2
IE00BKWQ0L68,173940928,STP,EUR,2019-03-01,192.7,193.44,192.38,192.38,40,3,192.811
IE00BKWQ0L68,173940928,STP,EUR,2019-03-04,193.28,193.28,193.2,193.2,53,1,193.28
IE00BKWQ0L68,173940928,STP,EUR,2019-03-05,193.36,193.36,193.36,193.36,0,0,193.36
IE00BKWQ0L68,173940928,STP,EUR,2019-03-06,193.74,193.74,193.74,193.74,0,0,193.74
IE00BKWQ0L68,173940928,STP,EUR,2019-03-07,191.78,191.78,191.58,191.58,1127,3,191.769
IE00BKWQ0L68,173940928,STP,EUR,2019-03-08,189.32,189.32,189.32,189.32,0,0,189.32
IE00BKWQ0L68,173940928,STP,EUR,2019-03-11,189.94,191.72,189.94,191.72,300,1,189.94
IE00BKWQ0L68,173940928,STP,EUR,2019-03-12,191.54,191.54,191.54,191.54,0,0,191.54
IE00BKWQ0L68,173940928,STP,EUR,2019-03-13,191.58,193.62,191.58,193.62,26,2,191.593
IE00BKWQ0L68,173940928,STP,EUR,2019-03-14,193.2,193.72,193.2,193.72,60,1,193.2
IE00BKWQ0L68,173940928,STP,EUR,2019-03-15,195.04,195.04,194.14,194.74,72,2,194.165
IE00BKWQ0L68,173940928,STP,EUR,2019-03-18,195.42,195.42,195.42,195.42,0,0,195.42
IE00BKWQ0L68,173940928,STP,EUR,2019-03-19,197.46,197.46,197.38,197.38,90,1,197.46
IE00BKWQ0L68,173940928,STP,EUR,2019-03-20,195.58,195.58,195.58,195.58,0,0,195.58
IE00BKWQ0L68,173940928,STP,EUR,2019-03-21,196.44,196.44,195.4,195.4,195,1,196.44
IE00BKWQ0L68,173940928,STP,EUR,2019-03-22,192.28,192.28,192.28,192.28,0,0,192.28
IE00BKWQ0L68,173940928,STP,EUR,2019-03-25,190.18,192.08,190.18,192.08,10,1,190.18
IE00BKWQ0L68,173940928,STP,EUR,2019-03-26,192.72,192.72,192.72,192.72,0,0,192.72
IE00BKWQ0L68,173940928,STP,EUR,2019-03-27,192.88,192.88,192.88,192.88,0,0,192.88
IE00BKWQ0L68,173940928,STP,EUR,2019-03-28,193.38,193.38,193.14,193.14,119,3,193.271
IE00BKWQ0L68,173940928,STP,EUR,2019-03-29,195.14,195.14,195.14,195.14,0,0,195.14
IE00BKWQ0L68,173940928,STP,EUR,2019-04-01,199.5,199.82,199.5,199.82,6,1,199.5
IE00BKWQ0L68,173940928,STP,EUR,2019-04-02,200.6,200.6,200.6,200.6,0,0,200.6
IE00BKWQ0L68,173940928,STP,EUR,2019-04-03,203.75,204.45,203.65,204.0,1407,9,204.213
IE00BKWQ0L68,173940928,STP,EUR,2019-04-04,202.85,202.85,202.45,202.45,10,1,202.85
IE00BKWQ0L68,173940928,STP,EUR,2019-04-05,203.35,204.55,203.35,204.55,75,1,203.35
IE00BKWQ0L68,173940928,STP,EUR,2019-04-08,204.25,204.25,204.25,204.25,0,0,204.25
IE00BKWQ0L68,173940928,STP,EUR,2019-04-09,203.25,203.25,203.25,203.25,0,0,203.25
IE00BKWQ0L68,173940928,STP,EUR,2019-04-10,204.55,204.55,204.55,204.55,0,0,204.55
IE00BKWQ0L68,173940928,STP,EUR,2019-04-11,203.75,204.1,203.75,204.1,4,1,203.75
IE00BKWQ0L68,173940928,STP,EUR,2019-04-12,206.15,206.15,206.15,206.15,0,0,206.15
IE00BKWQ0L68,173940928,STP,EUR,2019-04-15,205.9,206.25,205.7,205.7,57,2,205.912
IE00BKWQ0L68,173940928,STP,EUR,2019-04-16,207.1,207.1,206.15,206.4,58,2,206.559
IE00BKWQ0L68,173940928,STP,EUR,2019-04-17,206.2,206.2,206.2,206.2,0,0,206.2
IE00BKWQ0L68,173940928,STP,EUR,2019-04-18,207.25,207.25,207.25,207.25,0,0,207.25
IE00BKWQ0L68,173940928,STP,EUR,2019-04-23,206.3,206.3,206.3,206.3,0,0,206.3
IE00BKWQ0L68,173940928,STP,EUR,2019-04-24,204.05,204.05,204.05,204.05,0,0,204.05
IE00BKWQ0L68,173940928,STP,EUR,2019-04-25,202.8,202.9,202.8,202.9,10,1,202.8
IE00BKWQ0L68,173940928,STP,EUR,2019-04-26,202.7,202.7,202.7,202.7,0,0,202.7
IE00BKWQ0L68,173940928,STP,EUR,2019-04-29,202.65,202.65,202.65,202.65,190,3,202.65
IE00BKWQ0L68,173940928,STP,EUR,2019-04-30,201.6,201.6,201.6,201.6,0,0,201.6
IE00BKWQ0L68,173940928,STP,EUR,2019-05-02,200.5,200.5,199.48,199.48,6,1,200.5
IE00BKWQ0L68,173940928,STP,EUR,2019-05-03,200.25,201.25,200.25,201.25,81,2,200.344
IE00BKWQ0L68,173940928,STP,EUR,2019-05-06,198.5,198.5,198.5,198.5,0,0,198.5
IE00BKWQ0L68,173940928,STP,EUR,2019-05-07,196.16,196.16,195.58,195.58,357,2,196.137
IE00BKWQ0L68,173940928,STP,EUR,2019-05-08,194.82,195.22,194.34,195.22,32,2,194.46
IE00BKWQ0L68,173940928,STP,EUR,2019-05-09,191.02,191.44,190.94,191.42,522,5,191.243
IE00BKWQ0L68,173940928,STP,EUR,2019-05-10,193.58,193.58,192.9,192.9,240,2,193.17
IE00BKWQ0L68,173940928,STP,EUR,2019-05-13,188.78,188.78,188.78,188.78,0,0,188.78
IE00BKWQ0L68,173940928,STP,EUR,2019-05-14,191.72,191.72,191.72,191.72,0,0,191.72
IE00BKWQ0L68,173940928,STP,EUR,2019-05-15,190.42,192.22,190.42,192.22,2,1,190.42
IE00BKWQ0L68,173940928,STP,EUR,2019-05-16,193.8,195.6,193.8,195.6,12,1,193.8
IE00BKWQ0L68,173940928,STP,EUR,2019-05-17,194.56,194.56,194.56,194.56,0,0,194.56
IE00BKWQ0L68,173940928,STP,EUR,2019-05-20,191.88,191.88,191.88,191.88,0,0,191.88
IE00BKWQ0L68,173940928,STP,EUR,2019-05-21,193.24,193.24,193.24,193.24,0,0,193.24
IE00BKWQ0L68,173940928,STP,EUR,2019-05-22,192.08,192.76,192.08,192.76,169,1,192.08
IE00BKWQ0L68,173940928,STP,EUR,2019-05-23,188.92,188.92,188.56,188.56,43,1,188.92
IE00BKWQ0L68,173940928,STP,EUR,2019-05-24,190.68,190.7,190.06,190.06,37,2,190.688
IE00BKWQ0L68,173940928,STP,EUR,2019-05-27,191.26,191.26,191.26,191.26,0,0,191.26
IE00BKWQ0L68,173940928,STP,EUR,2019-05-28,191.08,191.08,190.38,190.38,779,1,191.08
IE00BKWQ0L68,173940928,STP,EUR,2019-05-29,187.58,187.58,187.12,187.34,272,2,187.402
IE00BKWQ0L68,173940928,STP,EUR,2019-05-30,188.3,188.3,188.3,188.3,0,0,188.3
IE00BKWQ0L68,173940928,STP,EUR,2019-05-31,186.04,186.04,186.04,186.04,0,0,186.04
IE00BKWQ0L68,173940928,STP,EUR,2019-06-03,185.84,187.76,185.84,187.76,6,1,185.84
IE00BKWQ0L68,173940928,STP,EUR,2019-06-04,190.22,190.26,190.12,190.12,46,2,190.234
IE00BKWQ0L68,173940928,STP,EUR,2019-06-05,190.54,191.78,189.46,190.02,36398,274,190.663
IE00BKWQ0L68,173940928,STP,EUR,2019-06-06,191.36,191.54,189.74,189.74,1245,3,191.512
IE00BKWQ0L68,173940928,STP,EUR,2019-06-07,191.2,192.52,190.88,191.26,3800,8,191.982
IE00BKWQ0L68,173940928,STP,EUR,2019-06-10,192.58,193.0,192.36,192.36,6175,27,192.743
IE00BKWQ0L68,173940928,STP,EUR,2019-06-11,196.3,196.32,196.04,196.04,2482,5,196.309
IE00BKWQ0L68,173940928,STP,EUR,2019-06-12,195.52,195.76,194.12,195.22,9482,125,195.392
IE00BKWQ0L68,173940928,STP,EUR,2019-06-13,196.7,196.9,196.7,196.9,2500,3,196.732
IE00BKWQ0L68,173940928,STP,EUR,2019-06-14,195.6,195.6,195.6,195.6,0,0,195.6
IE00BKWQ0L68,173940928,STP,EUR,2019-06-17,194.88,195.06,194.62,194.62,2881,4,195.039
IE00BKWQ0L68,173940928,STP,EUR,2019-06-18,195.64,199.2,195.64,199.2,7,1,195.64
IE00BKWQ0L68,173940928,STP,EUR,2019-06-19,198.1,198.12,198.1,198.12,982,2,198.1
IE00BKWQ0L68,173940928,STP,EUR,2019-06-20,199.52,200.95,199.52,199.68,13781,168,200.291
IE00BKWQ0L68,173940928,STP,EUR,2019-06-21,199.06,199.06,199.06,199.06,0,0,199.06
IE00BKWQ0L68,173940928,STP,EUR,2019-06-24,198.72,198.72,198.6,198.6,55,1,198.72
IE00BKWQ0L68,173940928,STP,EUR,2019-06-25,199.18,199.18,199.18,199.18,0,0,199.18
IE00BKWQ0L68,173940928,STP,EUR,2019-06-26,199.68,199.68,199.3,199.3,1017,1,199.68
IE00BKWQ0L68,173940928,STP,EUR,2019-06-27,199.9,199.9,198.66,198.66,19,1,199.9
IE00BKWQ0L68,173940928,STP,EUR,2019-06-28,198.26,200.8,198.26,200.8,16,1,198.26
IE00BKWQ0L68,173940928,STP,EUR,2019-07-01,203.85,203.85,202.25,202.25,250,2,203.84
IE00BKWQ0L68,173940928,STP,EUR,2019-07-02,201.35,201.45,201.35,201.45,16,1,201.35
IE00BKWQ0L68,173940928,STP,EUR,2019-07-03,202.0,202.0,202.0,202.0,0,0,202.0
IE00BKWQ0L68,173940928,STP,EUR,2019-07-04,201.35,201.35,201.35,201.35,0,0,201.35
IE00BKWQ0L68,173940928,STP,EUR,2019-07-05,198.08,198.08,198.08,198.08,0,0,198.08
IE00BKWQ0L68,173940928,STP,EUR,2019-07-08,198.06,198.96,197.06,198.12,31048,135,197.702
IE00BKWQ0L68,173940928,STP,EUR,2019-07-09,194.98,195.02,193.38,194.84,10014,38,194.385
IE00BKWQ0L68,173940928,STP,EUR,2019-07-10,195.44,195.44,195.44,195.44,0,0,195.44
IE00BKWQ0L68,173940928,STP,EUR,2019-07-11,194.32,194.32,194.32,194.32,0,0,194.32
IE00BKWQ0L68,173940928,STP,EUR,2019-07-12,196.1,196.1,196.1,196.1,0,0,196.1
IE00BKWQ0L68,173940928,STP,EUR,2019-07-15,196.72,197.42,196.72,197.34,563,4,196.894
IE00BKWQ0L68,173940928,STP,EUR,2019-07-16,197.94,198.76,197.14,198.76,12970,92,197.926
IE00BKWQ0L68,173940928,STP,EUR,2019-07-17,197.32,197.32,197.32,197.32,0,0,197.32
IE00BKWQ0L68,173940928,STP,EUR,2019-07-18,195.52,195.52,195.52,195.52,0,0,195.52
IE00BKWQ0L68,173940928,STP,EUR,2019-07-19,196.74,196.94,196.74,196.94,19,1,196.74
IE00BKWQ0L68,173940928,STP,EUR,2019-07-22,197.94,197.94,197.46,197.46,20,1,197.94
IE00BKWQ0L68,173940928,STP,EUR,2019-07-23,201.0,201.0,201.0,201.0,0,0,201.0
IE00BKWQ0L68,173940928,STP,EUR,2019-07-24,200.45,200.45,200.45,200.45,0,0,200.45
IE00BKWQ0L68,173940928,STP,EUR,2019-07-25,198.46,198.46,198.46,198.46,0,0,198.46
IE00BKWQ0L68,173940928,STP,EUR,2019-07-26,197.44,197.44,197.36,197.36,13,1,197.44
IE00BKWQ0L68,173940928,STP,EUR,2019-07-29,197.26,197.26,197.26,197.26,0,0,197.26
IE00BKWQ0L68,173940928,STP,EUR,2019-07-30,194.72,194.72,194.72,194.72,0,0,194.72
IE00BKWQ0L68,173940928,STP,EUR,2019-07-31,194.7,194.7,194.7,194.7,0,0,194.7
IE00BKWQ0L68,173940928,STP,EUR,2019-08-01,192.54,192.78,192.54,192.74,23,2,192.603
IE00BKWQ0L68,173940928,STP,EUR,2019-08-02,186.24,186.24,185.68,185.68,43,1,186.24
IE00BKWQ0L68,173940928,STP,EUR,2019-08-05,180.56,181.14,180.56,181.14,2139,2,180.57
IE00BKWQ0L68,173940928,STP,EUR,2019-08-06,182.2,182.2,179.42,179.42,522,2,182.008
IE00BKWQ0L68,173940928,STP,EUR,2019-08-07,179.18,179.18,179.18,179.18,0,0,179.18
IE00BKWQ0L68,173940928,STP,EUR,2019-08-08,182.46,184.52,182.46,184.52,34,1,182.46
IE00BKWQ0L68,173940928,STP,EUR,2019-08-09,181.52,181.52,181.52,181.52,0,0,181.52
IE00BKWQ0L68,173940928,STP,EUR,2019-08-12,181.28,181.28,180.64,180.64,23,1,181.28
IE00BKWQ0L68,173940928,STP,EUR,2019-08-13,178.86,183.0,178.86,183.0,1221,4,179.034
IE00BKWQ0L68,173940928,STP,EUR,2019-08-14,178.84,179.1,178.54,178.88,4281,8,178.605
IE00BKWQ0L68,173940928,STP,EUR,2019-08-15,177.16,177.16,177.16,177.16,0,0,177.16
IE00BKWQ0L68,173940928,STP,EUR,2019-08-16,178.66,179.3,178.36,179.12,995,6,178.673
IE00BKWQ0L68,173940928,STP,EUR,2019-08-19,181.58,181.74,181.58,181.74,7,1,181.58
IE00BKWQ0L68,173940928,STP,EUR,2019-08-20,181.36,181.36,179.88,179.88,130,1,181.36
IE00BKWQ0L68,173940928,STP,EUR,2019-08-21,181.8,181.8,181.8,181.8,0,0,181.8
IE00BKWQ0L68,173940928,STP,EUR,2019-08-22,181.34,181.34,181.34,181.34,0,0,181.34
IE00BKWQ0L68,173940928,STP,EUR,2019-08-23,179.18,179.18,179.18,179.18,0,0,179.18
IE00BKWQ0L68,173940928,STP,EUR,2019-08-26,179.94,179.94,179.62,179.62,8,1,179.94
IE00BKWQ0L68,173940928,STP,EUR,2019-08-27,180.54,180.54,180.54,180.54,0,0,180.54
IE00BKWQ0L68,173940928,STP,EUR,2019-08-28,179.0,180.78,179.0,180.78,592,2,179.585
