ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-02,20.22,20.33,20.1,20.176,1472,11,20.201
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-03,20.17,20.266,20.12,20.136,648,4,20.13
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-04,20.3,20.536,20.3,20.506,522,5,20.3372
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-07,20.696,20.696,20.304,20.304,2640,10,20.4174
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-08,20.426,20.536,20.424,20.46,6676,15,20.4516
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-09,20.63,20.63,20.33,20.33,15030,21,20.533
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-10,20.39,20.636,20.39,20.636,26439,11,20.4212
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-11,20.73,20.73,20.58,20.62,516,5,20.7164
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-14,20.756,20.756,20.37,20.37,12780,15,20.5504
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-15,20.41,20.71,20.4,20.66,5285,14,20.4146
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-16,20.77,20.77,20.66,20.666,1471,8,20.7016
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-17,20.73,20.81,20.73,20.804,1804,4,20.7322
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-18,20.79,20.996,20.79,20.9,6134,24,20.9066
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-21,21.016,21.016,20.836,20.836,3258,10,20.9638
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-22,20.906,21.05,20.81,20.81,1181,4,20.933
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-23,20.91,21.046,20.91,21.0,466,3,20.948
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-24,21.136,21.22,21.0,21.22,3000,6,21.1564
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-25,21.29,21.306,20.96,20.96,3953,11,21.2546
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-28,20.906,20.906,20.81,20.81,784,3,20.9006
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-29,20.946,21.056,20.87,20.946,9863,12,20.9128
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-30,20.916,21.1,20.914,21.016,4155,7,21.073
IE00BM67HQ30,227264026,XDWU,EUR,2019-01-31,21.01,21.24,21.004,21.24,1612,12,21.0176
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-01,21.38,21.38,21.126,21.126,4044,6,21.2834
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-04,21.256,21.256,21.2,21.226,2122,8,21.2306
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-05,21.39,21.446,21.33,21.39,1337,8,21.3734
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-06,21.496,21.496,21.38,21.386,1589,11,21.4154
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-07,21.45,21.5,21.4,21.496,1806,3,21.477
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-08,21.62,21.676,21.524,21.61,8309,33,21.5788
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-11,21.84,21.84,21.654,21.676,1791,10,21.686
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-12,21.84,21.84,21.68,21.68,747,8,21.7982
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-13,21.74,21.746,21.664,21.714,605,4,21.679
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-14,21.79,21.806,21.68,21.68,3890,8,21.794
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-15,21.69,21.816,21.69,21.756,504,5,21.7574
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-18,21.79,21.79,21.69,21.714,579,5,21.7192
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-19,21.79,21.91,21.72,21.91,713,4,21.7744
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-20,21.824,21.906,21.804,21.87,5708,7,21.8866
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-21,21.9,21.956,21.774,21.956,2364,7,21.8888
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-22,22.054,22.056,21.994,22.03,827,3,22.0414
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-25,22.256,22.256,21.916,21.916,1958,14,22.0466
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-26,21.98,22.02,21.92,21.92,1278,5,21.9804
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-27,22.006,22.006,21.884,21.956,1926,8,21.9556
IE00BM67HQ30,227264026,XDWU,EUR,2019-02-28,22.046,22.046,21.84,21.97,24978,12,21.8578
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-01,22.036,22.036,21.934,22.02,1340,9,21.998
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-04,22.08,22.08,21.956,21.956,102,3,22.0524
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-05,22.06,22.186,22.04,22.08,243,5,22.0912
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-06,22.06,22.15,22.04,22.04,3190,8,22.0968
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-07,22.16,22.36,22.16,22.36,1013,3,22.1814
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-08,22.36,22.456,22.326,22.326,1979,7,22.3692
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-11,22.58,22.58,22.39,22.51,6461,13,22.4542
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-12,22.67,22.67,22.48,22.536,11578,15,22.5616
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-13,22.52,22.6,22.516,22.516,5499,11,22.5734
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-14,22.57,22.596,22.506,22.506,925,3,22.5932
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-15,22.6,22.746,22.57,22.616,3210,11,22.59
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-18,22.67,22.67,22.58,22.58,1129,14,22.6154
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-19,22.62,22.62,22.346,22.346,1484,10,22.5464
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-20,22.47,22.48,22.256,22.256,4165,6,22.4744
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-21,22.386,22.58,22.344,22.58,9780,12,22.3886
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-22,22.776,22.91,22.74,22.74,5475,6,22.8002
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-25,22.81,22.86,22.734,22.796,18238,11,22.8016
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-26,22.98,22.98,22.82,22.98,6549,13,22.8428
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-27,23.08,23.08,22.88,22.88,1310,6,23.0086
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-28,22.916,22.936,22.726,22.726,1140,4,22.8902
IE00BM67HQ30,227264026,XDWU,EUR,2019-03-29,22.766,22.77,22.64,22.77,13150,15,22.6858
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-01,22.85,22.85,22.634,22.676,3418,8,22.7982
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-02,22.776,22.79,22.696,22.696,1358,4,22.7674
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-03,22.76,22.77,22.6,22.644,3051,7,22.6718
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-04,22.726,22.76,22.61,22.61,1833,10,22.7254
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-05,22.676,22.714,22.654,22.714,4458,10,22.6606
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-08,22.766,22.766,22.54,22.54,6018,11,22.724
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-09,22.616,22.616,22.43,22.496,6651,11,22.5228
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-10,22.62,22.78,22.484,22.484,8149,12,22.66
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-11,22.526,22.58,22.46,22.52,1687,6,22.516
IE00BM67HQ30,227264026,XDWU,EUR,2019-04-12,22.596,22.596,22.394,22.52,19150,14,22.4468
