ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-06,3251.2,3251.2,3251.2,3251.2,0,0,3251.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-09,3282.2,3282.2,3282.2,3282.2,0,0,3282.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-10,3302.6,3302.6,3302.6,3302.6,0,0,3302.6
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-11,3203.0,3203.0,3203.0,3203.0,0,0,3203.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-12,3224.0,3226.0,3224.0,3226.0,80,1,3224.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-13,3186.4,3186.4,3186.4,3186.4,0,0,3186.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-16,3074.6,3074.6,3074.6,3074.6,0,0,3074.6
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-17,2980.2,2980.2,2980.2,2980.2,0,0,2980.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-18,3056.8,3056.8,3056.8,3056.8,0,0,3056.8
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-19,3011.8,3011.8,3011.8,3011.8,0,0,3011.8
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-20,3085.4,3085.4,3085.4,3085.4,0,0,3085.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-23,3125.0,3125.0,3125.0,3125.0,0,0,3125.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-24,3172.2,3172.2,3172.2,3172.2,0,0,3172.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-25,3211.0,3211.0,3211.0,3211.0,0,0,3211.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-26,3219.0,3219.0,3219.0,3219.0,0,0,3219.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-27,3230.6,3230.6,3230.6,3230.6,0,0,3230.6
IE00BM8QRZ79,506611074,RAYS,GBP,2021-08-31,3281.4,3281.4,3281.4,3281.4,0,0,3281.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-01,3301.4,3301.4,3301.4,3301.4,0,0,3301.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-02,3354.0,3354.0,3354.0,3354.0,0,0,3354.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-03,3282.6,3282.6,3282.6,3282.6,0,0,3282.6
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-06,3296.0,3296.0,3289.0,3289.0,44,1,3296.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-07,3290.0,3290.0,3267.0,3267.0,200,1,3290.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-08,3234.0,3234.0,3234.0,3234.0,0,0,3234.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-09,3221.0,3221.0,3221.0,3221.0,0,0,3221.0
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-10,3231.2,3231.2,3231.2,3231.2,0,0,3231.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-13,3196.4,3196.4,3196.4,3196.4,0,0,3196.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-14,3222.4,3222.4,3222.4,3222.4,0,0,3222.4
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-15,3173.6,3173.6,3173.6,3173.6,0,0,3173.6
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-16,3162.2,3162.2,3162.2,3162.2,0,0,3162.2
IE00BM8QRZ79,506611074,RAYS,GBP,2021-09-17,3180.0,3180.0,3180.0,3180.0,0,0,3180.0
