ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BMX0B631,474500129,VDTE,EUR,2021-03-02,28.802,28.805,28.76,28.805,325,5,28.77075
IE00BMX0B631,474500129,VDTE,EUR,2021-03-03,28.77,28.77,28.696,28.72,448,4,28.73725
IE00BMX0B631,474500129,VDTE,EUR,2021-03-04,28.732,28.755,28.725,28.728,31683,22,28.7363
IE00BMX0B631,474500129,VDTE,EUR,2021-03-05,28.625,28.639,28.58,28.636,6565,7,28.62945
IE00BMX0B631,474500129,VDTE,EUR,2021-03-08,28.566,28.595,28.565,28.578,2539,8,28.58875
IE00BMX0B631,474500129,VDTE,EUR,2021-03-09,28.67,28.67,28.618,28.618,821,3,28.65585
IE00BMX0B631,474500129,VDTE,EUR,2021-03-10,28.63,28.648,28.61,28.648,14209,16,28.6303
IE00BMX0B631,474500129,VDTE,EUR,2021-03-11,28.71,28.725,28.655,28.655,5896,8,28.72095
IE00BMX0B631,474500129,VDTE,EUR,2021-03-12,28.55,28.55,28.484,28.484,4991,4,28.54865
IE00BMX0B631,474500129,VDTE,EUR,2021-03-15,28.485,28.54,28.485,28.523,5524,17,28.50265
IE00BMX0B631,474500129,VDTE,EUR,2021-03-16,28.54,28.54,28.493,28.493,3104,10,28.5312
IE00BMX0B631,474500129,VDTE,EUR,2021-03-17,28.47,28.47,28.41,28.418,7983,26,28.43385
IE00BMX0B631,474500129,VDTE,EUR,2021-03-18,28.315,28.343,28.315,28.343,144,2,28.32695
IE00BMX0B631,474500129,VDTE,EUR,2021-03-19,28.41,28.43,28.375,28.39,4484,5,28.41225
IE00BMX0B631,474500129,VDTE,EUR,2021-03-22,28.42,28.463,28.42,28.463,2201,5,28.4526
IE00BMX0B631,474500129,VDTE,EUR,2021-03-23,28.505,28.518,28.48,28.518,383,3,28.5004
IE00BMX0B631,474500129,VDTE,EUR,2021-03-24,28.525,28.558,28.505,28.547,24107,18,28.5458
IE00BMX0B631,474500129,VDTE,EUR,2021-03-25,28.589,28.619,28.57,28.578,3021,20,28.58385
IE00BMX0B631,474500129,VDTE,EUR,2021-03-26,28.474,28.53,28.456,28.515,1298,6,28.51355
IE00BMX0B631,474500129,VDTE,EUR,2021-03-29,28.529,28.529,28.435,28.455,88,3,28.49185
IE00BMX0B631,474500129,VDTE,EUR,2021-03-30,28.36,28.415,28.345,28.403,1175,12,28.41175
IE00BMX0B631,474500129,VDTE,EUR,2021-03-31,28.43,28.45,28.43,28.435,4759,16,28.44115
IE00BMX0B631,474500129,VDTE,EUR,2021-04-01,28.45,28.483,28.436,28.483,2352,14,28.45965
IE00BMX0B631,474500129,VDTE,EUR,2021-04-06,28.47,28.528,28.446,28.528,26714,19,28.49845
IE00BMX0B631,474500129,VDTE,EUR,2021-04-07,28.524,28.56,28.501,28.549,3475,15,28.53315
IE00BMX0B631,474500129,VDTE,EUR,2021-04-08,28.539,28.574,28.516,28.54,14125,17,28.542
IE00BMX0B631,474500129,VDTE,EUR,2021-04-09,28.514,28.545,28.496,28.533,192,3,28.5226
IE00BMX0B631,474500129,VDTE,EUR,2021-04-12,28.535,28.535,28.48,28.505,264,3,28.5034
IE00BMX0B631,474500129,VDTE,EUR,2021-04-13,28.471,28.521,28.471,28.52,5061,6,28.5098
IE00BMX0B631,474500129,VDTE,EUR,2021-04-14,28.564,28.564,28.535,28.535,1270,4,28.54755
IE00BMX0B631,474500129,VDTE,EUR,2021-04-15,28.594,28.705,28.571,28.69,6318,41,28.65315
IE00BMX0B631,474500129,VDTE,EUR,2021-04-16,28.656,28.674,28.615,28.62,1316,23,28.62365
IE00BMX0B631,474500129,VDTE,EUR,2021-04-19,28.626,28.644,28.615,28.615,2935,6,28.62995
IE00BMX0B631,474500129,VDTE,EUR,2021-04-20,28.588,28.658,28.588,28.658,1010,5,28.62525
IE00BMX0B631,474500129,VDTE,EUR,2021-04-21,28.631,28.655,28.631,28.635,1337,6,28.64955
IE00BMX0B631,474500129,VDTE,EUR,2021-04-22,28.669,28.694,28.633,28.633,5371,20,28.6661
IE00BMX0B631,474500129,VDTE,EUR,2021-04-23,28.688,28.714,28.63,28.653,1617,11,28.6814
IE00BMX0B631,474500129,VDTE,EUR,2021-04-26,28.619,28.665,28.596,28.655,2965,4,28.6239
IE00BMX0B631,474500129,VDTE,EUR,2021-04-27,28.639,28.64,28.614,28.614,2299,6,28.6368
