ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BWBXM831,199482931,SXLB,USD,2019-01-02,21.956,22.474,21.87,22.388,29079,51,21.927
IE00BWBXM831,199482931,SXLB,USD,2019-01-03,22.17,22.258,21.9,21.908,35878,54,22.154
IE00BWBXM831,199482931,SXLB,USD,2019-01-04,22.29,22.43,22.29,22.43,1500,1,22.29
IE00BWBXM831,199482931,SXLB,USD,2019-01-07,22.592,22.86,22.59,22.822,202,2,22.726
IE00BWBXM831,199482931,SXLB,USD,2019-01-08,22.87,22.87,22.764,22.764,220,2,22.831
IE00BWBXM831,199482931,SXLB,USD,2019-01-09,22.876,22.876,22.876,22.876,0,0,22.876
IE00BWBXM831,199482931,SXLB,USD,2019-01-10,22.91,22.998,22.84,22.998,9818,21,22.8492
IE00BWBXM831,199482931,SXLB,USD,2019-01-11,22.978,22.978,22.978,22.978,0,0,22.978
IE00BWBXM831,199482931,SXLB,USD,2019-01-14,22.878,22.878,22.878,22.878,0,0,22.878
IE00BWBXM831,199482931,SXLB,USD,2019-01-15,22.738,22.738,22.634,22.654,220,2,22.686
IE00BWBXM831,199482931,SXLB,USD,2019-01-16,22.712,22.918,22.71,22.918,252,2,22.801
IE00BWBXM831,199482931,SXLB,USD,2019-01-17,23.02,23.048,23.02,23.048,5800,2,23.02
IE00BWBXM831,199482931,SXLB,USD,2019-01-18,23.342,23.612,23.332,23.612,742,6,23.3696
IE00BWBXM831,199482931,SXLB,USD,2019-01-21,23.472,23.472,23.472,23.472,0,0,23.472
IE00BWBXM831,199482931,SXLB,USD,2019-01-22,23.336,23.336,23.336,23.336,0,0,23.336
IE00BWBXM831,199482931,SXLB,USD,2019-01-23,23.054,23.054,23.054,23.054,0,0,23.054
IE00BWBXM831,199482931,SXLB,USD,2019-01-24,23.02,23.056,23.012,23.052,2940,4,23.021
IE00BWBXM831,199482931,SXLB,USD,2019-01-25,23.108,23.518,23.106,23.518,5140,2,23.109
IE00BWBXM831,199482931,SXLB,USD,2019-01-28,23.39,23.39,23.39,23.39,0,0,23.39
IE00BWBXM831,199482931,SXLB,USD,2019-01-29,23.37,23.532,23.364,23.532,464,3,23.4412
IE00BWBXM831,199482931,SXLB,USD,2019-01-30,23.672,23.77,23.67,23.77,5362,7,23.6864
IE00BWBXM831,199482931,SXLB,USD,2019-01-31,23.844,23.846,23.362,23.522,53931,76,23.5902
IE00BWBXM831,199482931,SXLB,USD,2019-02-01,23.578,23.632,23.54,23.632,12291,11,23.5784
IE00BWBXM831,199482931,SXLB,USD,2019-02-04,23.502,23.544,23.502,23.508,4,2,23.5226
IE00BWBXM831,199482931,SXLB,USD,2019-02-05,23.73,23.73,23.73,23.73,0,0,23.73
IE00BWBXM831,199482931,SXLB,USD,2019-02-06,23.636,23.686,23.614,23.65,7421,7,23.6348
IE00BWBXM831,199482931,SXLB,USD,2019-02-07,23.484,23.486,23.182,23.182,9132,7,23.4188
IE00BWBXM831,199482931,SXLB,USD,2019-02-08,23.184,23.186,22.95,22.996,466,3,23.031
IE00BWBXM831,199482931,SXLB,USD,2019-02-11,23.35,23.35,23.246,23.256,108,2,23.299
IE00BWBXM831,199482931,SXLB,USD,2019-02-12,23.59,23.688,23.584,23.688,601,4,23.5964
IE00BWBXM831,199482931,SXLB,USD,2019-02-13,23.948,24.0,23.876,23.876,310,3,23.939
IE00BWBXM831,199482931,SXLB,USD,2019-02-14,23.714,23.876,23.706,23.726,8882,10,23.7926
IE00BWBXM831,199482931,SXLB,USD,2019-02-15,23.996,24.036,23.89,23.938,7367,37,23.9836
IE00BWBXM831,199482931,SXLB,USD,2019-02-18,24.06,24.06,24.06,24.06,0,0,24.06
IE00BWBXM831,199482931,SXLB,USD,2019-02-19,23.96,24.146,23.96,24.122,259,3,23.999
IE00BWBXM831,199482931,SXLB,USD,2019-02-20,24.508,24.508,24.508,24.508,0,0,24.508
IE00BWBXM831,199482931,SXLB,USD,2019-02-21,24.54,24.54,24.474,24.474,2700,3,24.54
IE00BWBXM831,199482931,SXLB,USD,2019-02-22,24.696,24.696,24.612,24.644,364,2,24.654
IE00BWBXM831,199482931,SXLB,USD,2019-02-25,24.772,24.772,24.772,24.772,0,0,24.772
IE00BWBXM831,199482931,SXLB,USD,2019-02-26,24.75,24.75,24.75,24.75,0,0,24.75
IE00BWBXM831,199482931,SXLB,USD,2019-02-27,24.546,24.588,24.484,24.526,2994,5,24.576
