ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BYYXBF44,235327356,EMHD,USD,2019-01-02,28.25,28.61,28.25,28.61,8439,2,28.3355
IE00BYYXBF44,235327356,EMHD,USD,2019-01-03,28.425,28.425,28.425,28.425,0,0,28.425
IE00BYYXBF44,235327356,EMHD,USD,2019-01-04,28.94,28.94,28.94,28.94,0,0,28.94
IE00BYYXBF44,235327356,EMHD,USD,2019-01-07,29.15,29.15,29.09,29.09,173,1,29.15
IE00BYYXBF44,235327356,EMHD,USD,2019-01-08,29.15,29.15,29.15,29.15,0,0,29.15
IE00BYYXBF44,235327356,EMHD,USD,2019-01-09,29.575,29.575,29.575,29.575,0,0,29.575
IE00BYYXBF44,235327356,EMHD,USD,2019-01-10,29.46,29.49,29.37,29.48,15320,6,29.408
IE00BYYXBF44,235327356,EMHD,USD,2019-01-11,29.47,29.47,29.415,29.415,1019,4,29.466
IE00BYYXBF44,235327356,EMHD,USD,2019-01-14,29.43,29.43,29.43,29.43,0,0,29.43
IE00BYYXBF44,235327356,EMHD,USD,2019-01-15,29.47,29.47,29.47,29.47,0,0,29.47
IE00BYYXBF44,235327356,EMHD,USD,2019-01-16,29.53,29.62,29.53,29.61,401,3,29.5575
IE00BYYXBF44,235327356,EMHD,USD,2019-01-17,29.63,29.63,29.63,29.63,0,0,29.63
IE00BYYXBF44,235327356,EMHD,USD,2019-01-18,29.985,29.985,29.985,29.985,0,0,29.985
IE00BYYXBF44,235327356,EMHD,USD,2019-01-21,29.76,29.76,29.76,29.76,0,0,29.76
IE00BYYXBF44,235327356,EMHD,USD,2019-01-22,29.69,29.69,29.69,29.69,0,0,29.69
IE00BYYXBF44,235327356,EMHD,USD,2019-01-23,29.85,29.85,29.85,29.85,0,0,29.85
IE00BYYXBF44,235327356,EMHD,USD,2019-01-24,29.98,30.095,29.98,30.095,363,4,30.0025
IE00BYYXBF44,235327356,EMHD,USD,2019-01-25,30.385,30.385,30.385,30.385,0,0,30.385
IE00BYYXBF44,235327356,EMHD,USD,2019-01-28,30.13,30.13,30.13,30.13,0,0,30.13
IE00BYYXBF44,235327356,EMHD,USD,2019-01-29,30.295,30.295,30.295,30.295,0,0,30.295
