ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BZ036J45,224857972,XDGE,EUR,2019-01-02,13.408,13.475,13.406,13.406,24001,12,13.4493
IE00BZ036J45,224857972,XDGE,EUR,2019-01-03,13.47,13.476,13.427,13.427,5260,7,13.46282
IE00BZ036J45,224857972,XDGE,EUR,2019-01-04,13.482,13.482,13.375,13.375,1066,3,13.47944
IE00BZ036J45,224857972,XDGE,EUR,2019-01-07,13.47,13.505,13.436,13.436,6256,11,13.4887
IE00BZ036J45,224857972,XDGE,EUR,2019-01-08,13.472,13.499,13.46,13.48,3946,8,13.48904
IE00BZ036J45,224857972,XDGE,EUR,2019-01-09,13.509,13.509,13.485,13.485,18641,4,13.50066
IE00BZ036J45,224857972,XDGE,EUR,2019-01-10,13.561,13.582,13.471,13.471,8675,7,13.56138
IE00BZ036J45,224857972,XDGE,EUR,2019-01-11,13.53,13.549,13.478,13.478,4320,7,13.53674
IE00BZ036J45,224857972,XDGE,EUR,2019-01-14,13.561,13.561,13.452,13.452,5120,12,13.54056
IE00BZ036J45,224857972,XDGE,EUR,2019-01-15,13.535,13.535,13.461,13.461,4715,10,13.52014
IE00BZ036J45,224857972,XDGE,EUR,2019-01-16,13.495,13.527,13.478,13.478,1659,4,13.51104
IE00BZ036J45,224857972,XDGE,EUR,2019-01-17,13.534,13.55,13.49,13.49,3808,3,13.54406
IE00BZ036J45,224857972,XDGE,EUR,2019-01-18,13.534,13.593,13.529,13.529,13801,17,13.55572
IE00BZ036J45,224857972,XDGE,EUR,2019-01-21,13.578,13.595,13.52,13.52,6516,7,13.57948
IE00BZ036J45,224857972,XDGE,EUR,2019-01-22,13.603,13.611,13.547,13.547,9222,8,13.59632
IE00BZ036J45,224857972,XDGE,EUR,2019-01-23,13.603,13.626,13.592,13.592,258,3,13.60756
IE00BZ036J45,224857972,XDGE,EUR,2019-01-24,13.65,13.7,13.621,13.621,13522,13,13.6904
IE00BZ036J45,224857972,XDGE,EUR,2019-01-25,13.671,13.693,13.638,13.638,5824,5,13.67014
IE00BZ036J45,224857972,XDGE,EUR,2019-01-28,13.67,13.685,13.624,13.624,2317,10,13.6736
IE00BZ036J45,224857972,XDGE,EUR,2019-01-29,13.693,13.712,13.646,13.646,87935,15,13.69138
IE00BZ036J45,224857972,XDGE,EUR,2019-01-30,13.701,13.724,13.663,13.663,9129,14,13.70874
IE00BZ036J45,224857972,XDGE,EUR,2019-01-31,13.773,13.802,13.773,13.802,1315,2,13.77898
IE00BZ036J45,224857972,XDGE,EUR,2019-02-01,13.872,13.877,13.763,13.763,25768,26,13.84052
IE00BZ036J45,224857972,XDGE,EUR,2019-02-04,13.83,13.835,13.739,13.739,267567,14,13.8205
IE00BZ036J45,224857972,XDGE,EUR,2019-02-05,13.788,13.887,13.788,13.824,7638,12,13.82578
IE00BZ036J45,224857972,XDGE,EUR,2019-02-06,13.88,13.887,13.797,13.797,87968,10,13.88306
IE00BZ036J45,224857972,XDGE,EUR,2019-02-07,13.842,13.873,13.764,13.764,4962,11,13.84168
IE00BZ036J45,224857972,XDGE,EUR,2019-02-08,13.844,13.854,13.789,13.789,3874,7,13.84846
IE00BZ036J45,224857972,XDGE,EUR,2019-02-11,13.869,13.869,13.789,13.789,9156,6,13.82832
IE00BZ036J45,224857972,XDGE,EUR,2019-02-12,13.826,13.844,13.783,13.783,1477,7,13.82638
IE00BZ036J45,224857972,XDGE,EUR,2019-02-13,13.836,13.842,13.775,13.775,976,3,13.84072
IE00BZ036J45,224857972,XDGE,EUR,2019-02-14,13.823,13.836,13.775,13.775,3358,2,13.83074
IE00BZ036J45,224857972,XDGE,EUR,2019-02-15,13.823,13.845,13.799,13.824,10200,14,13.82196
IE00BZ036J45,224857972,XDGE,EUR,2019-02-18,13.832,13.834,13.816,13.816,3205,5,13.82684
IE00BZ036J45,224857972,XDGE,EUR,2019-02-19,13.845,13.849,13.832,13.832,5125,6,13.84018
