ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IE00BZ048462,282012633,FLOT,USD,2019-01-02,4.98,4.986,4.973,4.986,42184,7,4.98186
IE00BZ048462,282012633,FLOT,USD,2019-01-03,4.984,4.986,4.976,4.986,284828,56,4.9844
IE00BZ048462,282012633,FLOT,USD,2019-01-04,4.969,4.982,4.969,4.982,67227,9,4.9803
IE00BZ048462,282012633,FLOT,USD,2019-01-07,4.984,4.985,4.977,4.982,9287,6,4.9825
IE00BZ048462,282012633,FLOT,USD,2019-01-08,4.974,4.997,4.974,4.997,55314,14,4.9822
IE00BZ048462,282012633,FLOT,USD,2019-01-09,4.991,4.9925,4.983,4.9925,89166,14,4.98805
IE00BZ048462,282012633,FLOT,USD,2019-01-10,4.986,4.994,4.986,4.9895,10613,6,4.9867
IE00BZ048462,282012633,FLOT,USD,2019-01-11,4.982,4.995,4.982,4.9865,789681,22,4.99165
IE00BZ048462,282012633,FLOT,USD,2019-01-14,4.994,4.999,4.993,4.999,91373,13,4.99665
IE00BZ048462,282012633,FLOT,USD,2019-01-15,5.0,5.0,4.993,4.9995,161448,18,4.99555
IE00BZ048462,282012633,FLOT,USD,2019-01-16,5.004,5.004,4.997,4.997,311757,24,4.9972
IE00BZ048462,282012633,FLOT,USD,2019-01-17,4.998,5.006,4.998,5.003,191070,21,5.00045
IE00BZ048462,282012633,FLOT,USD,2019-01-18,5.002,5.01,5.0,5.01,414006,27,5.0027
IE00BZ048462,282012633,FLOT,USD,2019-01-21,5.011,5.012,5.005,5.0095,36245,12,5.0113
IE00BZ048462,282012633,FLOT,USD,2019-01-22,5.036,5.036,5.007,5.014,195122,15,5.01295
IE00BZ048462,282012633,FLOT,USD,2019-01-23,5.007,5.015,5.007,5.01,526804,16,5.01245
IE00BZ048462,282012633,FLOT,USD,2019-01-24,5.017,5.017,5.007,5.011,166945,93,5.01075
IE00BZ048462,282012633,FLOT,USD,2019-01-25,5.012,5.029,5.012,5.021,384364,149,5.01825
IE00BZ048462,282012633,FLOT,USD,2019-01-28,5.014,5.02,5.014,5.0175,93314,10,5.0185
IE00BZ048462,282012633,FLOT,USD,2019-01-29,5.016,5.022,5.013,5.019,321133,36,5.01855
IE00BZ048462,282012633,FLOT,USD,2019-01-30,5.016,5.024,5.016,5.024,90716,7,5.02155
IE00BZ048462,282012633,FLOT,USD,2019-01-31,4.951,5.026,4.951,5.022,245852,27,5.02115
IE00BZ048462,282012633,FLOT,USD,2019-02-01,5.021,5.033,5.019,5.033,322259,32,5.0259
IE00BZ048462,282012633,FLOT,USD,2019-02-04,5.026,5.03,5.026,5.029,22092,8,5.02835
IE00BZ048462,282012633,FLOT,USD,2019-02-05,5.02,5.031,5.02,5.0275,301334,19,5.02465
IE00BZ048462,282012633,FLOT,USD,2019-02-06,5.025,5.032,5.025,5.0285,113711,14,5.0302
IE00BZ048462,282012633,FLOT,USD,2019-02-07,5.033,5.033,5.025,5.028,495080,33,5.0275
IE00BZ048462,282012633,FLOT,USD,2019-02-08,5.025,5.033,5.025,5.026,316738,20,5.03155
IE00BZ048462,282012633,FLOT,USD,2019-02-11,5.025,5.033,5.025,5.026,334247,69,5.02685
