ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IL0011319527,603481822,1BT,EUR,2022-12-16,55.9495,55.9495,55.9495,55.9495,0,0,55.94972025
IL0011319527,603481822,1BT,EUR,2022-12-19,55.3495,55.3495,55.3495,55.3495,0,0,55.34972325
IL0011319527,603481822,1BT,EUR,2022-12-20,53.2495,53.2495,53.2495,53.2495,0,0,53.24973375
IL0011319527,603481822,1BT,EUR,2022-12-21,56.8495,56.8495,56.8495,56.8495,0,0,56.84971575
IL0011319527,603481822,1BT,EUR,2022-12-22,58.7995,58.7995,58.7995,58.7995,0,0,58.799706
IL0011319527,603481822,1BT,EUR,2022-12-23,55.7995,55.7995,55.7995,55.7995,0,0,55.799721
IL0011319527,603481822,1BT,EUR,2022-12-27,53.6995,53.6995,53.6995,53.6995,0,0,53.6997315
IL0011319527,603481822,1BT,EUR,2022-12-28,52.7995,52.7995,52.7995,52.7995,0,0,52.799736
IL0011319527,603481822,1BT,EUR,2022-12-29,51.7495,51.7495,51.7495,51.7495,0,0,51.74974125
IL0011319527,603481822,1BT,EUR,2022-12-30,55.9495,55.9495,55.9495,55.9495,0,0,55.94972025
IL0011319527,603481822,1BT,EUR,2023-01-02,54.2995,54.2995,53.9995,54.2995,0,1,54.2997285
IL0011319527,603481822,1BT,EUR,2023-01-03,54.5995,54.5995,54.5995,54.5995,0,0,54.599727
IL0011319527,603481822,1BT,EUR,2023-01-04,57.1495,57.1495,57.1495,57.1495,0,0,57.14971425
IL0011319527,603481822,1BT,EUR,2023-01-05,56.5495,56.5495,56.5495,56.5495,0,0,56.54971725
IL0011319527,603481822,1BT,EUR,2023-01-06,58.1995,58.1995,58.1995,58.1995,0,0,58.199709
IL0011319527,603481822,1BT,EUR,2023-01-09,62.9995,62.9995,62.9995,62.9995,666,1,62.999685
IL0011319527,603481822,1BT,EUR,2023-01-10,57.8995,57.8995,57.8995,57.8995,0,0,57.8997105
IL0011319527,603481822,1BT,EUR,2023-01-11,58.6495,58.6495,58.6495,58.6495,0,0,58.64970675
IL0011319527,603481822,1BT,EUR,2023-01-12,59.3995,59.3995,59.3995,59.3995,0,0,59.399703
IL0011319527,603481822,1BT,EUR,2023-01-13,58.3495,58.3495,58.3495,58.3495,0,0,58.34970825
IL0011319527,603481822,1BT,EUR,2023-01-16,59.2495,59.2495,59.2495,59.2495,0,0,59.24970375
IL0011319527,603481822,1BT,EUR,2023-01-17,59.2495,59.2495,59.2495,59.2495,0,0,59.24970375
IL0011319527,603481822,1BT,EUR,2023-01-18,58.3495,58.3495,58.3495,58.3495,0,0,58.34970825
IL0011319527,603481822,1BT,EUR,2023-01-19,58.3495,58.3495,58.3495,58.3495,0,0,58.34970825
IL0011319527,603481822,1BT,EUR,2023-01-20,54.7495,54.7495,54.7495,54.7495,0,0,54.74972625
IL0011319527,603481822,1BT,EUR,2023-01-23,55.9495,55.9495,55.9495,55.9495,0,0,55.94972025
IL0011319527,603481822,1BT,EUR,2023-01-24,56.6995,56.6995,56.6995,56.6995,0,0,56.6997165
IL0011319527,603481822,1BT,EUR,2023-01-25,57.8995,57.8995,57.8995,57.8995,0,0,57.8997105
IL0011319527,603481822,1BT,EUR,2023-01-26,59.8495,59.8495,59.8495,59.8495,0,0,59.84970075
IL0011319527,603481822,1BT,EUR,2023-01-27,58.0495,58.0495,58.0495,58.0495,0,0,58.04970975
IL0011319527,603481822,1BT,EUR,2023-01-30,59.5495,59.5495,59.5495,59.5495,0,0,59.54970225
IL0011319527,603481822,1BT,EUR,2023-01-31,59.9995,59.9995,59.9995,59.9995,0,0,59.9997
IL0011319527,603481822,1BT,EUR,2023-02-01,59.0995,59.0995,59.0995,59.0995,0,0,59.0997045
IL0011319527,603481822,1BT,EUR,2023-02-02,58.1995,58.1995,58.1995,58.1995,0,0,58.199709
IL0011319527,603481822,1BT,EUR,2023-02-03,58.7995,58.7995,58.7995,58.7995,0,0,58.799706
IL0011319527,603481822,1BT,EUR,2023-02-06,59.6995,59.6995,59.6995,59.6995,0,0,59.6997015
IL0011319527,603481822,1BT,EUR,2023-02-07,61.3495,61.3495,61.3495,61.3495,0,0,61.34969325
IL0011319527,603481822,1BT,EUR,2023-02-08,62.2495,62.2495,62.2495,62.2495,0,0,62.24968875
IL0011319527,603481822,1BT,EUR,2023-02-09,62.0995,62.0995,62.0995,62.0995,0,0,62.0996895
IL0011319527,603481822,1BT,EUR,2023-02-10,60.2995,60.2995,60.2995,60.2995,0,0,60.2996985
IL0011319527,603481822,1BT,EUR,2023-02-13,59.8495,59.8495,59.8495,59.8495,0,0,59.84970075
IL0011319527,603481822,1BT,EUR,2023-02-14,58.7995,58.7995,58.7995,58.7995,0,0,58.799706
IL0011319527,603481822,1BT,EUR,2023-02-15,55.7995,55.7995,55.7995,55.7995,0,0,55.799721
IL0011319527,603481822,1BT,EUR,2023-02-16,57.2995,57.2995,57.2995,57.2995,0,0,57.2997135
IL0011319527,603481822,1BT,EUR,2023-02-17,56.6995,56.6995,56.6995,56.6995,0,0,56.6997165
IL0011319527,603481822,1BT,EUR,2023-02-20,56.2495,56.2495,56.2495,56.2495,0,0,56.24971875
IL0011319527,603481822,1BT,EUR,2023-02-21,56.2495,56.2495,56.2495,56.2495,0,0,56.24971875
IL0011319527,603481822,1BT,EUR,2023-02-22,53.2495,53.2495,53.2495,53.2495,0,0,53.24973375
IL0011319527,603481822,1BT,EUR,2023-02-23,53.5495,53.5495,53.5495,53.5495,0,0,53.54973225
IL0011319527,603481822,1BT,EUR,2023-02-24,53.9995,53.9995,53.9995,53.9995,0,0,53.99973
IL0011319527,603481822,1BT,EUR,2023-02-27,53.5495,53.5495,53.5495,53.5495,0,0,53.54973225
IL0011319527,603481822,1BT,EUR,2023-02-28,53.6995,53.6995,53.6995,53.6995,0,0,53.6997315
IL0011319527,603481822,1BT,EUR,2023-03-01,55.4995,55.4995,55.4995,55.4995,0,0,55.4997225
IL0011319527,603481822,1BT,EUR,2023-03-02,54.5995,54.5995,54.5995,54.5995,0,0,54.599727
IL0011319527,603481822,1BT,EUR,2023-03-03,54.1495,54.1495,54.1495,54.1495,0,0,54.14972925
IL0011319527,603481822,1BT,EUR,2023-03-06,54.4495,54.4495,54.4495,54.4495,0,0,54.44972775
IL0011319527,603481822,1BT,EUR,2023-03-07,53.5495,53.5495,53.5495,53.5495,0,0,53.54973225
IL0011319527,603481822,1BT,EUR,2023-03-08,53.9995,54.5995,53.9995,54.2995,90,2,54.10472948
IL0011319527,603481822,1BT,EUR,2023-03-09,53.3995,53.3995,53.3995,53.3995,0,0,53.399733
IL0011319527,603481822,1BT,EUR,2023-03-10,51.8995,51.8995,51.8995,51.8995,0,0,51.8997405
IL0011319527,603481822,1BT,EUR,2023-03-13,50.8495,50.8495,50.8495,50.8495,0,0,50.84974575
IL0011319527,603481822,1BT,EUR,2023-03-14,48.9,48.9,48.9,48.9,0,0,48.8997555
IL0011319527,603481822,1BT,EUR,2023-03-15,48.6,48.6,48.6,48.6,0,0,48.599757
IL0011319527,603481822,1BT,EUR,2023-03-16,48.9,48.9,48.9,48.9,0,0,48.8997555
IL0011319527,603481822,1BT,EUR,2023-03-17,49.65,49.65,49.65,49.65,0,0,49.64975175
IL0011319527,603481822,1BT,EUR,2023-03-20,48.15,48.15,48.15,48.15,0,0,48.14975925
IL0011319527,603481822,1BT,EUR,2023-03-21,49.8,49.8,49.8,49.8,0,0,49.799751
IL0011319527,603481822,1BT,EUR,2023-03-22,49.2,49.2,49.2,49.2,0,0,49.199754
IL0011319527,603481822,1BT,EUR,2023-03-23,48.75,48.75,48.75,48.75,0,0,48.74975625
IL0011319527,603481822,1BT,EUR,2023-03-24,49.5,49.5,49.5,49.5,0,0,49.4997525
IL0011319527,603481822,1BT,EUR,2023-03-27,48.9,48.9,48.9,48.9,0,0,48.8997555
IL0011319527,603481822,1BT,EUR,2023-03-28,47.4,47.7,47.4,47.55,13,1,47.60976195
IL0011319527,603481822,1BT,EUR,2023-03-29,47.1,47.1,47.1,47.1,0,0,47.0997645
IL0011319527,603481822,1BT,EUR,2023-03-30,46.35,46.35,46.35,46.35,0,0,46.34976825
IL0011319527,603481822,1BT,EUR,2023-03-31,47.25,47.25,47.25,47.25,0,0,47.24976375
IL0011319527,603481822,1BT,EUR,2023-04-03,49.8,49.8,49.8,49.8,0,0,49.799751
IL0011319527,603481822,1BT,EUR,2023-04-04,42.9,42.9,42.9,42.9,2133,1,42.8997855
IL0011319527,603481822,1BT,EUR,2023-04-05,34.5,34.5,34.5,34.5,0,0,34.4998275
IL0011319527,603481822,1BT,EUR,2023-04-06,35.4,35.4,35.4,35.4,0,0,35.399823
IL0011319527,603481822,1BT,EUR,2023-04-11,41.1,41.1,41.1,41.1,0,0,41.0997945
IL0011319527,603481822,1BT,EUR,2023-04-12,37.8,37.8,37.8,37.8,0,0,37.799811
