ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
IT0005245508,276452932,INDB,EUR,2019-01-02,23.9,23.9,23.5,23.9,278,7,23.58
IT0005245508,276452932,INDB,EUR,2019-01-03,23.9,24.0,23.6,23.6,858,9,23.87
IT0005245508,276452932,INDB,EUR,2019-01-04,23.6,24.1,23.6,23.7,2965,20,23.885
IT0005245508,276452932,INDB,EUR,2019-01-07,23.4,24.2,23.1,23.1,2956,21,23.63
IT0005245508,276452932,INDB,EUR,2019-01-08,23.1,23.4,22.7,22.7,1957,24,23.055
IT0005245508,276452932,INDB,EUR,2019-01-09,22.2,22.3,21.8,22.0,15218,52,22.02
IT0005245508,276452932,INDB,EUR,2019-01-10,21.9,22.0,21.7,21.7,2600,21,21.88
IT0005245508,276452932,INDB,EUR,2019-01-11,21.7,22.0,21.6,21.7,1449,14,21.69
IT0005245508,276452932,INDB,EUR,2019-01-14,21.9,21.9,20.4,20.4,9265,83,21.15
IT0005245508,276452932,INDB,EUR,2019-01-15,20.4,20.4,19.75,19.8,3214,44,20.105
IT0005245508,276452932,INDB,EUR,2019-01-16,19.8,20.6,19.55,20.2,16401,61,20.065
IT0005245508,276452932,INDB,EUR,2019-01-17,20.5,21.5,20.5,20.9,5234,46,21.15
IT0005245508,276452932,INDB,EUR,2019-01-18,20.7,21.2,20.6,20.6,1326,14,20.84
IT0005245508,276452932,INDB,EUR,2019-01-21,21.0,21.0,20.1,20.8,7865,52,20.822
IT0005245508,276452932,INDB,EUR,2019-01-22,20.9,20.9,19.94,20.0,3491,31,20.248
IT0005245508,276452932,INDB,EUR,2019-01-23,20.2,20.2,19.8,20.0,14751,25,20.058
IT0005245508,276452932,INDB,EUR,2019-01-24,20.2,20.4,20.0,20.0,2023,15,20.228
IT0005245508,276452932,INDB,EUR,2019-01-25,20.3,21.0,19.94,20.8,43623,160,20.35
IT0005245508,276452932,INDB,EUR,2019-01-28,21.3,21.8,20.5,20.8,30940,212,21.012
IT0005245508,276452932,INDB,EUR,2019-01-29,21.0,21.4,20.6,21.0,6889,64,21.004
IT0005245508,276452932,INDB,EUR,2019-01-30,21.0,21.2,20.8,21.2,1727,21,20.982
IT0005245508,276452932,INDB,EUR,2019-01-31,21.1,21.1,20.4,20.4,11592,58,20.65
IT0005245508,276452932,INDB,EUR,2019-02-01,20.3,20.5,20.3,20.5,2700,24,20.46
IT0005245508,276452932,INDB,EUR,2019-02-04,20.5,20.7,20.2,20.5,25675,53,20.516
IT0005245508,276452932,INDB,EUR,2019-02-05,20.3,21.2,20.3,21.0,8481,67,20.952
IT0005245508,276452932,INDB,EUR,2019-02-06,21.0,21.5,21.0,21.4,3709,29,21.284
IT0005245508,276452932,INDB,EUR,2019-02-07,21.5,21.5,20.7,20.9,15823,61,21.028
IT0005245508,276452932,INDB,EUR,2019-02-08,20.8,20.8,20.3,20.4,4994,27,20.506
IT0005245508,276452932,INDB,EUR,2019-02-11,20.3,20.9,20.3,20.8,5429,34,20.67
IT0005245508,276452932,INDB,EUR,2019-02-12,20.8,20.8,20.8,20.8,211,3,20.8
IT0005245508,276452932,INDB,EUR,2019-02-13,20.8,20.8,20.5,20.8,1810,19,20.724
IT0005245508,276452932,INDB,EUR,2019-02-14,20.8,21.4,20.8,21.2,7348,48,21.128
IT0005245508,276452932,INDB,EUR,2019-02-15,21.2,22.3,21.0,22.2,5879,87,21.798
IT0005245508,276452932,INDB,EUR,2019-02-18,22.5,22.8,22.0,22.7,3119,44,22.52
IT0005245508,276452932,INDB,EUR,2019-02-19,22.8,23.3,22.5,23.0,7021,65,23.046
IT0005245508,276452932,INDB,EUR,2019-02-20,22.9,23.0,22.7,23.0,855,14,22.844
IT0005245508,276452932,INDB,EUR,2019-02-21,23.2,23.5,23.0,23.0,1832,19,23.15
IT0005245508,276452932,INDB,EUR,2019-02-22,23.1,24.3,23.1,23.8,7489,49,23.96
IT0005245508,276452932,INDB,EUR,2019-02-25,24.1,24.5,23.4,23.8,4593,43,24.02
IT0005245508,276452932,INDB,EUR,2019-02-26,23.4,23.7,23.3,23.3,4699,45,23.462
IT0005245508,276452932,INDB,EUR,2019-02-27,23.5,23.7,23.2,23.3,3686,25,23.346
IT0005245508,276452932,INDB,EUR,2019-02-28,23.5,23.7,23.0,23.3,5130,48,23.258
IT0005245508,276452932,INDB,EUR,2019-03-01,23.6,23.7,23.3,23.3,740,10,23.616
IT0005245508,276452932,INDB,EUR,2019-03-04,23.3,23.7,23.2,23.7,1707,25,23.572
IT0005245508,276452932,INDB,EUR,2019-03-05,23.7,23.7,23.3,23.4,775,11,23.472
IT0005245508,276452932,INDB,EUR,2019-03-06,23.8,24.5,23.5,23.9,6286,82,23.874
IT0005245508,276452932,INDB,EUR,2019-03-07,23.7,24.5,23.4,23.4,3677,43,23.864
IT0005245508,276452932,INDB,EUR,2019-03-08,23.6,23.6,23.1,23.2,1927,27,23.27
IT0005245508,276452932,INDB,EUR,2019-03-11,23.2,23.2,22.7,23.0,1735,17,23.016
IT0005245508,276452932,INDB,EUR,2019-03-12,22.9,23.0,22.7,22.9,743,10,22.912
IT0005245508,276452932,INDB,EUR,2019-03-13,22.9,22.9,22.7,22.8,1349,17,22.862
IT0005245508,276452932,INDB,EUR,2019-03-14,22.7,23.1,22.2,22.8,5390,49,22.596
