ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
JE00BS44BN30,658821477,BIRK,USD,2023-10-11,41.0,42.51,39.5,39.74,135368,56708,40.867
JE00BS44BN30,658821477,BIRK,USD,2023-10-12,40.02,40.75,37.3,37.8,70153,28212,38.778
JE00BS44BN30,658821477,BIRK,USD,2023-10-13,37.75,38.0,36.0,36.36,26916,11208,36.624
JE00BS44BN30,658821477,BIRK,USD,2023-10-16,36.28,38.34,35.83,37.35,22671,12422,37.37
JE00BS44BN30,658821477,BIRK,USD,2023-10-17,38.15,40.02,37.2,39.28,15169,8247,39.266
JE00BS44BN30,658821477,BIRK,USD,2023-10-18,39.28,39.7,38.25,38.91,18787,7378,38.827
JE00BS44BN30,658821477,BIRK,USD,2023-10-19,38.6,38.98,36.75,36.76,7908,3806,37.805
JE00BS44BN30,658821477,BIRK,USD,2023-10-20,37.3,39.0,36.5,38.38,9136,3907,38.075
JE00BS44BN30,658821477,BIRK,USD,2023-10-23,38.7,39.87,38.1,38.82,6365,3081,39.134
JE00BS44BN30,658821477,BIRK,USD,2023-10-24,38.82,39.15,38.25,38.82,4782,2962,38.625
JE00BS44BN30,658821477,BIRK,USD,2023-10-25,39.24,39.9,38.5,38.52,4769,2563,39.013
JE00BS44BN30,658821477,BIRK,USD,2023-10-26,39.51,39.9,38.38,38.6,3638,1160,38.676
JE00BS44BN30,658821477,BIRK,USD,2023-10-27,39.0,39.0,37.6,38.07,5322,1900,38.147
JE00BS44BN30,658821477,BIRK,USD,2023-10-30,38.59,38.93,38.0,38.54,5185,2582,38.448
JE00BS44BN30,658821477,BIRK,USD,2023-10-31,38.5,39.59,38.5,39.07,5595,2656,39.01
JE00BS44BN30,658821477,BIRK,USD,2023-11-01,39.0,39.34,37.6,37.6,5278,2361,38.427
JE00BS44BN30,658821477,BIRK,USD,2023-11-02,38.3,40.61,38.0,40.2,10213,3036,39.935
JE00BS44BN30,658821477,BIRK,USD,2023-11-03,40.57,41.63,40.04,41.04,8059,3489,40.911
JE00BS44BN30,658821477,BIRK,USD,2023-11-06,41.64,42.42,40.43,41.56,10206,5448,41.513
JE00BS44BN30,658821477,BIRK,USD,2023-11-07,41.4,42.33,41.0,42.2,3279,1875,41.729
JE00BS44BN30,658821477,BIRK,USD,2023-11-08,42.5,42.96,41.71,42.21,4638,2780,42.276
JE00BS44BN30,658821477,BIRK,USD,2023-11-09,42.2,42.22,39.0,39.9,11038,4555,39.96
