ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
JP3551200003,31916064,9513,JPY,2019-01-07,2698.0,2717.0,2657.9,2707.0,403800,1853,2694.46
JP3551200003,31916064,9513,JPY,2019-01-08,2688.0,2710.0,2629.9,2636.0,793500,3542,2665.3
JP3551200003,31916064,9513,JPY,2019-01-09,2660.0,2709.0,2645.0,2685.0,340200,1583,2685.35
JP3551200003,31916064,9513,JPY,2019-01-10,2650.0,2701.0,2628.0,2674.0,373300,1600,2674.96
JP3551200003,31916064,9513,JPY,2019-01-11,2714.0,2753.0,2701.2,2740.0,417900,1857,2727.91
JP3551200003,31916064,9513,JPY,2019-01-15,2728.0,2750.0,2701.0,2709.0,451700,2361,2720.61
JP3551200003,31916064,9513,JPY,2019-01-16,2758.9,2761.0,2705.1,2720.0,338500,1656,2725.11
JP3551200003,31916064,9513,JPY,2019-01-17,2763.0,2763.0,2730.0,2758.0,386900,1927,2748.15
JP3551200003,31916064,9513,JPY,2019-01-18,2776.0,2802.0,2766.0,2766.0,367700,1630,2778.04
JP3551200003,31916064,9513,JPY,2019-01-21,2790.0,2805.0,2772.0,2774.0,307300,1475,2785.79
JP3551200003,31916064,9513,JPY,2019-01-22,2805.0,2814.0,2744.0,2754.0,274600,1352,2764.18
JP3551200003,31916064,9513,JPY,2019-01-23,2760.0,2782.0,2739.0,2761.0,320300,1599,2758.1
JP3551200003,31916064,9513,JPY,2019-01-24,2761.0,2800.0,2733.0,2796.0,273200,1354,2779.77
JP3551200003,31916064,9513,JPY,2019-01-25,2784.0,2822.0,2774.0,2808.0,489100,2195,2803.78
JP3551200003,31916064,9513,JPY,2019-01-28,2793.0,2812.0,2777.0,2778.0,287500,1541,2792.8
JP3551200003,31916064,9513,JPY,2019-01-29,2766.0,2787.0,2753.0,2761.0,517300,2123,2765.0
JP3551200003,31916064,9513,JPY,2019-01-30,2747.0,2754.0,2710.0,2715.0,385100,1625,2723.41
JP3551200003,31916064,9513,JPY,2019-01-31,2765.0,2780.0,2713.0,2717.0,487500,2441,2734.35
JP3551200003,31916064,9513,JPY,2019-02-01,2745.0,2773.0,2719.0,2736.0,718700,3436,2736.08
JP3551200003,31916064,9513,JPY,2019-02-04,2751.0,2774.0,2741.0,2749.0,413400,1967,2752.27
