ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG0146B1032,603482822,4RY,EUR,2022-12-16,4.94,4.94,4.94,4.94,0,0,4.94
KYG0146B1032,603482822,4RY,EUR,2022-12-19,4.86,4.86,4.86,4.86,0,0,4.86
KYG0146B1032,603482822,4RY,EUR,2022-12-20,4.8,4.8,4.8,4.8,0,0,4.8
KYG0146B1032,603482822,4RY,EUR,2022-12-21,4.88,4.88,4.88,4.88,0,0,4.88
KYG0146B1032,603482822,4RY,EUR,2022-12-22,5.0,5.0,5.0,5.0,0,0,5.0
KYG0146B1032,603482822,4RY,EUR,2022-12-23,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2022-12-27,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2022-12-28,5.16,5.16,5.1,5.1,300,1,5.15
KYG0146B1032,603482822,4RY,EUR,2022-12-29,4.96,5.04,4.96,5.04,1609,1,4.96
KYG0146B1032,603482822,4RY,EUR,2022-12-30,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2023-01-02,4.92,4.92,4.92,4.92,0,0,4.92
KYG0146B1032,603482822,4RY,EUR,2023-01-03,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-01-04,5.46,5.46,5.46,5.46,0,0,5.46
KYG0146B1032,603482822,4RY,EUR,2023-01-05,5.36,5.4,5.24,5.4,3300,2,5.27425
KYG0146B1032,603482822,4RY,EUR,2023-01-06,5.3,5.3,5.3,5.3,0,0,5.3
KYG0146B1032,603482822,4RY,EUR,2023-01-09,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-01-10,5.3,5.3,5.3,5.3,0,0,5.3
KYG0146B1032,603482822,4RY,EUR,2023-01-11,5.36,5.36,5.36,5.36,0,0,5.36
KYG0146B1032,603482822,4RY,EUR,2023-01-12,5.2,5.2,5.2,5.2,0,0,5.2
KYG0146B1032,603482822,4RY,EUR,2023-01-13,6.0,6.0,5.26,5.26,1000,1,6.0
KYG0146B1032,603482822,4RY,EUR,2023-01-16,5.46,5.46,5.46,5.46,0,0,5.46
KYG0146B1032,603482822,4RY,EUR,2023-01-17,5.04,5.1,5.04,5.1,4000,1,5.05
KYG0146B1032,603482822,4RY,EUR,2023-01-18,5.0,5.0,5.0,5.0,0,0,5.0
KYG0146B1032,603482822,4RY,EUR,2023-01-19,5.26,5.26,5.26,5.26,0,0,5.26
KYG0146B1032,603482822,4RY,EUR,2023-01-20,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-01-23,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-01-24,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-01-25,5.36,5.36,5.36,5.36,0,0,5.36
KYG0146B1032,603482822,4RY,EUR,2023-01-26,5.6,5.6,5.6,5.6,0,0,5.6
KYG0146B1032,603482822,4RY,EUR,2023-01-27,5.76,5.76,5.76,5.76,0,0,5.76
KYG0146B1032,603482822,4RY,EUR,2023-01-30,5.46,5.46,5.46,5.46,0,0,5.46
KYG0146B1032,603482822,4RY,EUR,2023-01-31,5.36,5.36,5.36,5.36,0,0,5.36
KYG0146B1032,603482822,4RY,EUR,2023-02-01,5.46,5.46,5.46,5.46,0,0,5.46
KYG0146B1032,603482822,4RY,EUR,2023-02-02,5.6,5.7,5.6,5.7,1500,1,5.6
KYG0146B1032,603482822,4RY,EUR,2023-02-03,5.4,5.4,5.4,5.4,0,0,5.4
KYG0146B1032,603482822,4RY,EUR,2023-02-06,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2023-02-07,5.16,5.16,5.16,5.16,0,0,5.16
KYG0146B1032,603482822,4RY,EUR,2023-02-08,5.3,5.3,5.3,5.3,0,0,5.3
KYG0146B1032,603482822,4RY,EUR,2023-02-09,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2023-02-10,5.0,5.0,5.0,5.0,0,0,5.0
KYG0146B1032,603482822,4RY,EUR,2023-02-13,5.26,5.26,5.26,5.26,0,0,5.26
KYG0146B1032,603482822,4RY,EUR,2023-02-14,4.92,4.92,4.92,4.92,0,0,4.92
KYG0146B1032,603482822,4RY,EUR,2023-02-15,4.94,4.94,4.94,4.94,0,0,4.94
KYG0146B1032,603482822,4RY,EUR,2023-02-16,4.76,4.76,4.76,4.76,0,0,4.76
KYG0146B1032,603482822,4RY,EUR,2023-02-17,4.74,4.74,4.74,4.74,0,0,4.74
KYG0146B1032,603482822,4RY,EUR,2023-02-20,5.0,5.0,5.0,5.0,0,0,5.0
KYG0146B1032,603482822,4RY,EUR,2023-02-21,4.8,4.8,4.8,4.8,0,0,4.8
KYG0146B1032,603482822,4RY,EUR,2023-02-22,4.94,4.94,4.94,4.94,0,0,4.94
KYG0146B1032,603482822,4RY,EUR,2023-02-23,4.78,4.78,4.78,4.78,0,0,4.78
KYG0146B1032,603482822,4RY,EUR,2023-02-24,4.72,4.72,4.72,4.72,0,0,4.72
KYG0146B1032,603482822,4RY,EUR,2023-02-27,4.34,4.34,4.34,4.34,0,0,4.34
KYG0146B1032,603482822,4RY,EUR,2023-02-28,4.46,4.46,4.46,4.46,0,0,4.46
KYG0146B1032,603482822,4RY,EUR,2023-03-01,4.72,4.72,4.72,4.72,0,0,4.72
KYG0146B1032,603482822,4RY,EUR,2023-03-02,4.98,4.98,4.98,4.98,0,0,4.98
KYG0146B1032,603482822,4RY,EUR,2023-03-03,5.04,5.04,5.04,5.04,0,0,5.04
KYG0146B1032,603482822,4RY,EUR,2023-03-06,5.2,5.2,5.2,5.2,0,0,5.2
KYG0146B1032,603482822,4RY,EUR,2023-03-07,5.04,5.04,5.04,5.04,0,0,5.04
KYG0146B1032,603482822,4RY,EUR,2023-03-08,4.84,4.84,4.84,4.84,0,0,4.84
KYG0146B1032,603482822,4RY,EUR,2023-03-09,4.82,4.82,4.82,4.82,0,0,4.82
KYG0146B1032,603482822,4RY,EUR,2023-03-10,4.52,4.7,4.52,4.7,400,1,4.52
KYG0146B1032,603482822,4RY,EUR,2023-03-13,4.44,4.44,4.44,4.44,0,0,4.44
KYG0146B1032,603482822,4RY,EUR,2023-03-14,4.7,4.7,4.7,4.7,0,0,4.7
KYG0146B1032,603482822,4RY,EUR,2023-03-15,4.9,4.9,4.9,4.9,0,0,4.9
KYG0146B1032,603482822,4RY,EUR,2023-03-16,5.5,5.5,5.26,5.26,10,1,5.5
KYG0146B1032,603482822,4RY,EUR,2023-03-17,5.2,5.2,5.2,5.2,0,0,5.2
KYG0146B1032,603482822,4RY,EUR,2023-03-20,5.0,5.0,5.0,5.0,0,0,5.0
KYG0146B1032,603482822,4RY,EUR,2023-03-21,5.04,5.04,5.04,5.04,0,0,5.04
KYG0146B1032,603482822,4RY,EUR,2023-03-22,4.74,4.74,4.74,4.74,0,0,4.74
KYG0146B1032,603482822,4RY,EUR,2023-03-23,5.1,5.1,4.72,4.72,32,1,5.1
KYG0146B1032,603482822,4RY,EUR,2023-03-24,4.58,4.58,4.58,4.58,0,0,4.58
KYG0146B1032,603482822,4RY,EUR,2023-03-27,4.72,4.72,4.72,4.72,0,0,4.72
KYG0146B1032,603482822,4RY,EUR,2023-03-28,4.56,4.56,4.56,4.56,0,0,4.56
KYG0146B1032,603482822,4RY,EUR,2023-03-29,4.64,4.64,4.64,4.64,0,0,4.64
KYG0146B1032,603482822,4RY,EUR,2023-03-30,4.62,4.62,4.62,4.62,0,0,4.62
KYG0146B1032,603482822,4RY,EUR,2023-03-31,4.58,4.58,4.58,4.58,0,0,4.58
KYG0146B1032,603482822,4RY,EUR,2023-04-03,4.44,4.44,4.44,4.44,0,0,4.44
KYG0146B1032,603482822,4RY,EUR,2023-04-04,4.98,4.98,4.7,4.7,28,1,4.98
KYG0146B1032,603482822,4RY,EUR,2023-04-05,4.84,4.84,4.84,4.84,0,0,4.84
KYG0146B1032,603482822,4RY,EUR,2023-04-06,4.92,4.92,4.92,4.92,0,0,4.92
KYG0146B1032,603482822,4RY,EUR,2023-04-11,5.1,5.1,5.1,5.1,0,0,5.1
KYG0146B1032,603482822,4RY,EUR,2023-04-12,4.98,4.98,4.98,4.98,0,0,4.98
