ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG2072S1003,603531118,1RQ,EUR,2022-12-16,0.152,0.152,0.152,0.152,0,0,0.152
KYG2072S1003,603531118,1RQ,EUR,2022-12-19,0.15,0.15,0.15,0.15,0,0,0.15
KYG2072S1003,603531118,1RQ,EUR,2022-12-20,0.142,0.142,0.142,0.142,0,0,0.142
KYG2072S1003,603531118,1RQ,EUR,2022-12-21,0.149,0.149,0.149,0.149,0,0,0.149
KYG2072S1003,603531118,1RQ,EUR,2022-12-22,0.15,0.15,0.15,0.15,0,0,0.15
KYG2072S1003,603531118,1RQ,EUR,2022-12-23,0.149,0.149,0.149,0.149,0,0,0.149
KYG2072S1003,603531118,1RQ,EUR,2022-12-27,0.152,0.152,0.152,0.152,0,0,0.152
KYG2072S1003,603531118,1RQ,EUR,2022-12-28,0.149,0.149,0.149,0.149,0,0,0.149
KYG2072S1003,603531118,1RQ,EUR,2022-12-29,0.15,0.15,0.15,0.15,0,0,0.15
KYG2072S1003,603531118,1RQ,EUR,2022-12-30,0.152,0.152,0.152,0.152,0,0,0.152
KYG2072S1003,603531118,1RQ,EUR,2023-01-02,0.158,0.158,0.158,0.158,0,0,0.158
KYG2072S1003,603531118,1RQ,EUR,2023-01-03,0.156,0.156,0.156,0.156,0,0,0.156
KYG2072S1003,603531118,1RQ,EUR,2023-01-04,0.154,0.154,0.154,0.154,0,0,0.154
KYG2072S1003,603531118,1RQ,EUR,2023-01-05,0.154,0.154,0.154,0.154,0,0,0.154
KYG2072S1003,603531118,1RQ,EUR,2023-01-06,0.189,0.189,0.189,0.189,0,0,0.189
KYG2072S1003,603531118,1RQ,EUR,2023-01-09,0.208,0.208,0.208,0.208,0,0,0.208
KYG2072S1003,603531118,1RQ,EUR,2023-01-10,0.21,0.21,0.21,0.21,0,0,0.21
KYG2072S1003,603531118,1RQ,EUR,2023-01-11,0.206,0.206,0.206,0.206,0,0,0.206
KYG2072S1003,603531118,1RQ,EUR,2023-01-12,0.204,0.204,0.204,0.204,0,0,0.204
