ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG2112Y1098,603509790,4C1,EUR,2022-12-16,0.034,0.034,0.034,0.034,0,0,0.034
KYG2112Y1098,603509790,4C1,EUR,2022-12-19,0.034,0.034,0.034,0.034,0,0,0.034
KYG2112Y1098,603509790,4C1,EUR,2022-12-20,0.032,0.032,0.032,0.032,0,0,0.032
KYG2112Y1098,603509790,4C1,EUR,2022-12-21,0.033,0.033,0.033,0.033,0,0,0.033
KYG2112Y1098,603509790,4C1,EUR,2022-12-22,0.033,0.033,0.033,0.033,0,0,0.033
KYG2112Y1098,603509790,4C1,EUR,2022-12-23,0.033,0.033,0.033,0.033,0,0,0.033
KYG2112Y1098,603509790,4C1,EUR,2022-12-27,0.033,0.033,0.033,0.033,0,0,0.033
KYG2112Y1098,603509790,4C1,EUR,2022-12-28,0.034,0.034,0.034,0.034,0,0,0.034
KYG2112Y1098,603509790,4C1,EUR,2022-12-29,0.0335,0.034,0.0335,0.034,1000,1,0.0335
KYG2112Y1098,603509790,4C1,EUR,2022-12-30,0.034,0.034,0.032,0.032,183090,2,0.03365
KYG2112Y1098,603509790,4C1,EUR,2023-01-02,0.031,0.031,0.031,0.031,0,0,0.031
KYG2112Y1098,603509790,4C1,EUR,2023-01-03,0.0395,0.04,0.0395,0.04,208,1,0.0395
KYG2112Y1098,603509790,4C1,EUR,2023-01-04,0.038,0.038,0.038,0.038,0,0,0.038
KYG2112Y1098,603509790,4C1,EUR,2023-01-05,0.039,0.039,0.039,0.039,0,0,0.039
KYG2112Y1098,603509790,4C1,EUR,2023-01-06,0.039,0.039,0.039,0.039,0,0,0.039
KYG2112Y1098,603509790,4C1,EUR,2023-01-09,0.0545,0.0545,0.044,0.044,100,1,0.0545
KYG2112Y1098,603509790,4C1,EUR,2023-01-10,0.042,0.042,0.042,0.042,0,0,0.042
KYG2112Y1098,603509790,4C1,EUR,2023-01-11,0.042,0.042,0.042,0.042,0,0,0.042
KYG2112Y1098,603509790,4C1,EUR,2023-01-12,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-01-13,0.04,0.04,0.04,0.04,0,0,0.04
KYG2112Y1098,603509790,4C1,EUR,2023-01-16,0.042,0.042,0.042,0.042,0,0,0.042
KYG2112Y1098,603509790,4C1,EUR,2023-01-17,0.042,0.042,0.042,0.042,0,0,0.042
KYG2112Y1098,603509790,4C1,EUR,2023-01-18,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-01-19,0.05,0.05,0.042,0.042,1000,1,0.05
KYG2112Y1098,603509790,4C1,EUR,2023-01-20,0.043,0.043,0.043,0.043,0,0,0.043
KYG2112Y1098,603509790,4C1,EUR,2023-01-23,0.043,0.043,0.043,0.043,0,0,0.043
KYG2112Y1098,603509790,4C1,EUR,2023-01-24,0.043,0.043,0.043,0.043,0,0,0.043
KYG2112Y1098,603509790,4C1,EUR,2023-01-25,0.043,0.043,0.043,0.043,0,0,0.043
KYG2112Y1098,603509790,4C1,EUR,2023-01-26,0.043,0.043,0.043,0.043,0,0,0.043
KYG2112Y1098,603509790,4C1,EUR,2023-01-27,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-01-30,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-01-31,0.042,0.042,0.042,0.042,0,0,0.042
KYG2112Y1098,603509790,4C1,EUR,2023-02-01,0.041,0.041,0.041,0.041,5088,1,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-02-02,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-02-03,0.041,0.041,0.041,0.041,0,0,0.041
KYG2112Y1098,603509790,4C1,EUR,2023-02-06,0.039,0.039,0.039,0.039,0,0,0.039
KYG2112Y1098,603509790,4C1,EUR,2023-02-07,0.039,0.039,0.039,0.039,0,0,0.039
