ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG3774X1088,96136835,3GY,EUR,2019-01-02,0.0407,0.0407,0.0407,0.0407,0,0,0.040672
KYG3774X1088,96136835,3GY,EUR,2019-01-03,0.0417,0.0417,0.0417,0.0417,0,0,0.041664
KYG3774X1088,96136835,3GY,EUR,2019-01-04,0.0387,0.0387,0.0387,0.0387,0,0,0.038688
KYG3774X1088,96136835,3GY,EUR,2019-01-07,0.0397,0.0397,0.0397,0.0397,0,0,0.03968
KYG3774X1088,96136835,3GY,EUR,2019-01-08,0.0397,0.0397,0.0397,0.0397,0,0,0.03968
KYG3774X1088,96136835,3GY,EUR,2019-01-09,0.0407,0.0407,0.0407,0.0407,0,0,0.040672
KYG3774X1088,96136835,3GY,EUR,2019-01-10,0.0427,0.0427,0.0427,0.0427,0,0,0.042656
KYG3774X1088,96136835,3GY,EUR,2019-01-11,0.0417,0.0417,0.0417,0.0417,0,0,0.041664
KYG3774X1088,96136835,3GY,EUR,2019-01-14,0.0417,0.0417,0.0417,0.0417,0,0,0.041664
KYG3774X1088,96136835,3GY,EUR,2019-01-15,0.0436,0.0436,0.0436,0.0436,0,0,0.043648
KYG3774X1088,96136835,3GY,EUR,2019-01-16,0.0436,0.0436,0.0436,0.0436,0,0,0.043648
KYG3774X1088,96136835,3GY,EUR,2019-01-17,0.0456,0.0456,0.0456,0.0456,0,0,0.045632
KYG3774X1088,96136835,3GY,EUR,2019-01-18,0.0446,0.0446,0.0446,0.0446,0,0,0.04464
KYG3774X1088,96136835,3GY,EUR,2019-01-21,0.0446,0.0446,0.0446,0.0446,0,0,0.04464
KYG3774X1088,96136835,3GY,EUR,2019-01-22,0.0446,0.0446,0.0446,0.0446,0,0,0.04464
KYG3774X1088,96136835,3GY,EUR,2019-01-23,0.0446,0.0446,0.0446,0.0446,0,0,0.04464
KYG3774X1088,96136835,3GY,EUR,2019-01-24,0.0456,0.0456,0.0456,0.0456,0,0,0.045632
KYG3774X1088,96136835,3GY,EUR,2019-01-25,0.0476,0.0476,0.0476,0.0476,0,0,0.047616
KYG3774X1088,96136835,3GY,EUR,2019-01-28,0.0486,0.0486,0.0486,0.0486,0,0,0.048608
KYG3774X1088,96136835,3GY,EUR,2019-01-29,0.0456,0.0456,0.0456,0.0456,0,0,0.045632
KYG3774X1088,96136835,3GY,EUR,2019-01-30,0.0476,0.0476,0.0476,0.0476,0,0,0.047616
KYG3774X1088,96136835,3GY,EUR,2019-01-31,0.0804,0.0804,0.0804,0.0804,967,1,0.080352
KYG3774X1088,96136835,3GY,EUR,2019-02-01,0.0595,0.0595,0.0595,0.0595,0,0,0.05952
KYG3774X1088,96136835,3GY,EUR,2019-02-04,0.0615,0.0615,0.0615,0.0615,0,0,0.061504
KYG3774X1088,96136835,3GY,EUR,2019-02-05,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-02-06,0.0516,0.0516,0.0516,0.0516,0,0,0.051584
KYG3774X1088,96136835,3GY,EUR,2019-02-07,0.0516,0.0516,0.0516,0.0516,0,0,0.051584
KYG3774X1088,96136835,3GY,EUR,2019-02-08,0.0565,0.0565,0.0565,0.0565,0,0,0.056544
KYG3774X1088,96136835,3GY,EUR,2019-02-11,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-02-12,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-02-13,0.0615,0.0615,0.0615,0.0615,0,0,0.061504
KYG3774X1088,96136835,3GY,EUR,2019-02-14,0.0635,0.0635,0.0635,0.0635,0,0,0.063488
KYG3774X1088,96136835,3GY,EUR,2019-02-15,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-02-18,0.0684,0.0684,0.0684,0.0684,0,0,0.068448
KYG3774X1088,96136835,3GY,EUR,2019-02-19,0.0665,0.0665,0.0665,0.0665,0,0,0.066464
KYG3774X1088,96136835,3GY,EUR,2019-02-20,0.0684,0.0684,0.0684,0.0684,201,1,0.068448
KYG3774X1088,96136835,3GY,EUR,2019-02-21,0.0794,0.0794,0.0794,0.0794,0,0,0.07936
KYG3774X1088,96136835,3GY,EUR,2019-02-22,0.0754,0.0754,0.0754,0.0754,0,0,0.075392
KYG3774X1088,96136835,3GY,EUR,2019-02-25,0.0794,0.0794,0.0794,0.0794,0,0,0.07936
KYG3774X1088,96136835,3GY,EUR,2019-02-26,0.0754,0.0754,0.0754,0.0754,0,0,0.075392
KYG3774X1088,96136835,3GY,EUR,2019-02-27,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-02-28,0.0823,0.0823,0.0823,0.0823,0,0,0.082336
KYG3774X1088,96136835,3GY,EUR,2019-03-01,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-03-04,0.0794,0.0794,0.0794,0.0794,4536,1,0.07936
KYG3774X1088,96136835,3GY,EUR,2019-03-05,0.0744,0.0744,0.0744,0.0744,0,0,0.0744
KYG3774X1088,96136835,3GY,EUR,2019-03-06,0.0744,0.0744,0.0744,0.0744,0,0,0.0744
KYG3774X1088,96136835,3GY,EUR,2019-03-07,0.0675,0.0675,0.0675,0.0675,0,0,0.067456
KYG3774X1088,96136835,3GY,EUR,2019-03-08,0.0595,0.0595,0.0595,0.0595,0,0,0.05952
KYG3774X1088,96136835,3GY,EUR,2019-03-11,0.0585,0.0585,0.0585,0.0585,0,0,0.058528
KYG3774X1088,96136835,3GY,EUR,2019-03-12,0.0595,0.0595,0.0595,0.0595,0,0,0.05952
KYG3774X1088,96136835,3GY,EUR,2019-03-13,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-03-14,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-03-15,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-03-18,0.0645,0.0645,0.0645,0.0645,0,0,0.06448
KYG3774X1088,96136835,3GY,EUR,2019-03-19,0.0635,0.0635,0.0635,0.0635,0,0,0.063488
KYG3774X1088,96136835,3GY,EUR,2019-03-20,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-03-21,0.0565,0.0565,0.0565,0.0565,0,0,0.056544
KYG3774X1088,96136835,3GY,EUR,2019-03-22,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-03-25,0.0744,0.0744,0.0744,0.0744,0,0,0.0744
KYG3774X1088,96136835,3GY,EUR,2019-03-26,0.0595,0.0595,0.0595,0.0595,0,0,0.05952
KYG3774X1088,96136835,3GY,EUR,2019-03-27,0.0536,0.0536,0.0536,0.0536,0,0,0.053568
KYG3774X1088,96136835,3GY,EUR,2019-03-28,0.0536,0.0536,0.0536,0.0536,0,0,0.053568
KYG3774X1088,96136835,3GY,EUR,2019-03-29,0.0476,0.0476,0.0476,0.0476,0,0,0.047616
KYG3774X1088,96136835,3GY,EUR,2019-04-01,0.0714,0.0714,0.0714,0.0714,0,0,0.071424
KYG3774X1088,96136835,3GY,EUR,2019-04-02,0.0526,0.0526,0.0526,0.0526,0,0,0.052576
KYG3774X1088,96136835,3GY,EUR,2019-04-03,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-04-04,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-04-05,0.0565,0.0565,0.0565,0.0565,0,0,0.056544
KYG3774X1088,96136835,3GY,EUR,2019-04-08,0.0565,0.0565,0.0565,0.0565,0,0,0.056544
KYG3774X1088,96136835,3GY,EUR,2019-04-09,0.0556,0.0556,0.0556,0.0556,0,0,0.055552
KYG3774X1088,96136835,3GY,EUR,2019-04-10,0.0556,0.0556,0.0556,0.0556,0,0,0.055552
KYG3774X1088,96136835,3GY,EUR,2019-04-11,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-12,0.0536,0.0536,0.0536,0.0536,0,0,0.053568
KYG3774X1088,96136835,3GY,EUR,2019-04-15,0.0615,0.0615,0.0615,0.0615,0,0,0.061504
KYG3774X1088,96136835,3GY,EUR,2019-04-16,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-17,0.0615,0.0615,0.0615,0.0615,0,0,0.061504
KYG3774X1088,96136835,3GY,EUR,2019-04-18,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-23,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-04-24,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-25,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-26,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-29,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-04-30,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-02,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-03,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-06,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-07,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-08,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-09,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-10,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-13,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-14,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-05-15,0.0565,0.0565,0.0565,0.0565,0,0,0.056544
KYG3774X1088,96136835,3GY,EUR,2019-05-16,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-17,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-05-20,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-21,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-05-22,0.0546,0.0546,0.0546,0.0546,0,0,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-23,0.0546,0.0546,0.0476,0.0476,18407,1,0.05456
KYG3774X1088,96136835,3GY,EUR,2019-05-24,0.0417,0.0417,0.0417,0.0417,0,0,0.041664
KYG3774X1088,96136835,3GY,EUR,2019-05-27,0.0476,0.0476,0.0476,0.0476,0,0,0.047616
KYG3774X1088,96136835,3GY,EUR,2019-05-28,0.0496,0.0496,0.0496,0.0496,0,0,0.0496
KYG3774X1088,96136835,3GY,EUR,2019-05-29,0.0536,0.0536,0.0536,0.0536,0,0,0.053568
KYG3774X1088,96136835,3GY,EUR,2019-05-30,0.0496,0.0496,0.0496,0.0496,0,0,0.0496
KYG3774X1088,96136835,3GY,EUR,2019-05-31,0.0496,0.0496,0.0496,0.0496,0,0,0.0496
KYG3774X1088,96136835,3GY,EUR,2019-06-03,0.0496,0.0496,0.0496,0.0496,0,0,0.0496
KYG3774X1088,96136835,3GY,EUR,2019-06-04,0.0496,0.0496,0.0496,0.0496,0,0,0.0496
KYG3774X1088,96136835,3GY,EUR,2019-06-05,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-06-06,0.0625,0.0625,0.0625,0.0625,0,0,0.062496
KYG3774X1088,96136835,3GY,EUR,2019-06-07,0.0436,0.0625,0.0436,0.0625,2016,1,0.043648
KYG3774X1088,96136835,3GY,EUR,2019-06-11,0.0615,0.0615,0.0615,0.0615,0,0,0.061504
KYG3774X1088,96136835,3GY,EUR,2019-06-12,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-06-13,0.0466,0.0466,0.0466,0.0466,0,0,0.046624
KYG3774X1088,96136835,3GY,EUR,2019-06-14,0.0605,0.0605,0.0605,0.0605,0,0,0.060512
KYG3774X1088,96136835,3GY,EUR,2019-06-17,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-18,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-19,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-20,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-21,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-24,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
KYG3774X1088,96136835,3GY,EUR,2019-06-25,0.0575,0.0575,0.0575,0.0575,0,0,0.057536
