ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG3R33A2053,599226320,EBON,USD,2020-06-26,138.0014,156.9016,114.3011,141.6014,211,2139,136.45516455
KYG3R33A2053,599226320,EBON,USD,2020-06-29,141.6014,141.6014,120.6012,126.6013,63,501,129.54309543
KYG3R33A2053,599226320,EBON,USD,2020-06-30,121.8012,150.0015,121.8012,141.0014,64,625,133.70233702
KYG3R33A2053,599226320,EBON,USD,2020-07-01,141.9014,143.1014,114.0011,124.8012,46,526,128.68298683
KYG3R33A2053,599226320,EBON,USD,2020-07-02,122.7012,156.0016,122.7012,131.1013,232,1787,138.05808058
KYG3R33A2053,599226320,EBON,USD,2020-07-06,131.1013,133.5013,121.8012,124.8012,68,688,127.11877119
KYG3R33A2053,599226320,EBON,USD,2020-07-07,122.4012,127.5013,120.6012,121.8012,39,563,123.69903699
KYG3R33A2053,599226320,EBON,USD,2020-07-08,123.3012,129.0013,120.3012,126.3013,46,558,125.08805088
KYG3R33A2053,599226320,EBON,USD,2020-07-09,124.5012,126.0013,120.3012,120.9012,29,395,122.85842858
KYG3R33A2053,599226320,EBON,USD,2020-07-10,121.5012,127.2013,121.5012,125.4013,27,383,125.04665047
KYG3R33A2053,599226320,EBON,USD,2020-07-13,120.0012,137.7014,120.0012,136.2014,77,594,132.7798278
KYG3R33A2053,599226320,EBON,USD,2020-07-14,129.0013,240.0024,129.0013,142.2014,1963,19528,190.13830138
KYG3R33A2053,599226320,EBON,USD,2020-07-15,138.0014,175.8018,138.0014,163.5016,718,5004,159.05679057
KYG3R33A2053,599226320,EBON,USD,2020-07-16,163.5016,219.0022,144.9014,150.0015,1104,9043,179.4596946
KYG3R33A2053,599226320,EBON,USD,2020-07-17,150.0015,157.5016,138.0014,147.3015,106,933,146.5295653
KYG3R33A2053,599226320,EBON,USD,2020-07-20,147.3015,147.3015,130.8013,133.2013,52,476,137.24807248
KYG3R33A2053,599226320,EBON,USD,2020-07-21,142.8014,145.8015,134.7013,135.0014,63,439,140.58380584
KYG3R33A2053,599226320,EBON,USD,2020-07-22,135.3014,136.5014,129.0013,132.3013,48,353,132.21702217
KYG3R33A2053,599226320,EBON,USD,2020-07-23,130.5013,138.9014,129.6013,133.5013,84,669,133.68913689
KYG3R33A2053,599226320,EBON,USD,2020-07-24,128.7013,132.9013,124.5012,128.1013,86,855,127.7799778
KYG3R33A2053,599226320,EBON,USD,2020-07-27,129.0013,146.4015,129.0013,144.3014,98,837,138.79608796
KYG3R33A2053,599226320,EBON,USD,2020-07-28,140.7014,150.0015,138.0014,140.4014,92,871,144.80694807
KYG3R33A2053,599226320,EBON,USD,2020-07-29,139.5014,149.4015,138.3014,142.8014,39,295,144.08724087
KYG3R33A2053,599226320,EBON,USD,2020-07-30,141.3014,142.5014,132.6013,138.0014,35,263,136.71256713
KYG3R33A2053,599226320,EBON,USD,2020-07-31,138.3014,141.9014,135.0014,141.0014,34,289,137.96657967
KYG3R33A2053,599226320,EBON,USD,2020-08-03,144.0014,160.5016,141.0014,149.7015,154,1101,150.29820298
KYG3R33A2053,599226320,EBON,USD,2020-08-04,146.7015,148.5015,135.3014,135.3014,45,226,142.31512315
KYG3R33A2053,599226320,EBON,USD,2020-08-05,151.5015,151.5015,139.8014,146.4015,66,553,143.91233912
KYG3R33A2053,599226320,EBON,USD,2020-08-06,146.4015,149.4015,138.0014,144.9014,127,1043,143.05223052
KYG3R33A2053,599226320,EBON,USD,2020-08-07,144.9014,146.7015,138.6014,144.6014,72,645,143.06693067
KYG3R33A2053,599226320,EBON,USD,2020-08-10,144.6014,148.5015,141.0014,141.9014,34,459,143.3801338
KYG3R33A2053,599226320,EBON,USD,2020-08-11,141.9014,146.7015,135.9014,141.3014,46,677,141.19701197
KYG3R33A2053,599226320,EBON,USD,2020-08-12,144.9014,144.9014,135.6014,138.6014,22,235,138.21708217
KYG3R33A2053,599226320,EBON,USD,2020-08-13,138.0014,144.0014,137.1014,143.4014,36,474,140.64410644
KYG3R33A2053,599226320,EBON,USD,2020-08-14,142.5014,214.2021,142.5014,194.7019,6246,59264,190.02700027
KYG3R33A2053,599226320,EBON,USD,2020-08-17,186.3019,227.4023,186.0019,190.5019,1528,10965,204.90114901
KYG3R33A2053,599226320,EBON,USD,2020-08-18,190.5019,203.102,175.5018,177.3018,282,1778,187.18657187
KYG3R33A2053,599226320,EBON,USD,2020-08-19,177.3018,183.6018,166.8017,173.1017,95,822,175.44895449
KYG3R33A2053,599226320,EBON,USD,2020-08-20,174.0017,187.5019,150.9015,174.0017,143,1425,170.86490865
KYG3R33A2053,599226320,EBON,USD,2020-08-21,173.7017,182.1018,172.5017,174.0017,26,395,175.42735427
KYG3R33A2053,599226320,EBON,USD,2020-08-24,179.7018,183.0018,172.5017,174.9017,67,749,177.800378
KYG3R33A2053,599226320,EBON,USD,2020-08-25,180.0018,187.2019,171.9017,179.4018,55,650,178.50418504
KYG3R33A2053,599226320,EBON,USD,2020-08-26,177.0018,190.5019,176.4018,183.3018,139,787,182.65802658
KYG3R33A2053,599226320,EBON,USD,2020-08-27,190.5019,194.7019,180.6018,184.5018,106,636,188.11058111
KYG3R33A2053,599226320,EBON,USD,2020-08-28,180.0018,196.502,180.0018,192.9019,50,464,192.44292443
KYG3R33A2053,599226320,EBON,USD,2020-08-31,189.0019,195.002,180.6018,183.0018,46,488,187.03117031
KYG3R33A2053,599226320,EBON,USD,2020-09-01,183.6018,187.8019,169.2017,182.7018,64,386,176.64656647
KYG3R33A2053,599226320,EBON,USD,2020-09-02,179.7018,188.7019,166.8017,181.5018,171,577,182.98262983
KYG3R33A2053,599226320,EBON,USD,2020-09-03,180.3018,228.0023,177.6018,210.0021,679,4865,211.91761918
KYG3R33A2053,599226320,EBON,USD,2020-09-04,209.1021,258.0026,208.5021,219.6022,1218,9863,241.1199112
KYG3R33A2053,599226320,EBON,USD,2020-09-08,216.6022,222.0022,192.9019,210.0021,291,2448,208.90378904
KYG3R33A2053,599226320,EBON,USD,2020-09-09,205.5021,229.5023,201.302,222.0022,79,916,221.45561456
KYG3R33A2053,599226320,EBON,USD,2020-09-10,222.0022,244.5024,218.1022,235.8024,166,1899,234.02334023
KYG3R33A2053,599226320,EBON,USD,2020-09-11,240.0024,244.2024,228.3023,236.7024,63,615,237.45567456
KYG3R33A2053,599226320,EBON,USD,2020-09-14,225.3023,243.0024,222.0022,237.0024,109,1247,236.51216512
KYG3R33A2053,599226320,EBON,USD,2020-09-15,237.0024,246.6025,222.6022,235.8024,206,2271,237.44787448
KYG3R33A2053,599226320,EBON,USD,2020-09-16,234.0023,240.6024,228.3023,239.1024,87,880,234.50154502
KYG3R33A2053,599226320,EBON,USD,2020-09-17,239.7024,448.5045,234.3023,312.3031,2422,23624,331.49851499
KYG3R33A2053,599226320,EBON,USD,2020-09-18,387.9039,387.9039,291.0029,315.9032,179,1876,307.38157382
KYG3R33A2053,599226320,EBON,USD,2020-09-21,270.0027,306.3031,270.0027,296.103,161,1455,294.61764618
KYG3R33A2053,599226320,EBON,USD,2020-09-22,303.003,309.6031,285.0029,286.5029,109,679,299.45579456
