ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG4387E1070,603492652,8BI,EUR,2022-12-16,1.98,1.98,1.98,1.98,0,0,1.98
KYG4387E1070,603492652,8BI,EUR,2022-12-19,1.89,1.89,1.89,1.89,0,0,1.89
KYG4387E1070,603492652,8BI,EUR,2022-12-20,1.93,1.93,1.93,1.93,0,0,1.93
KYG4387E1070,603492652,8BI,EUR,2022-12-21,2.02,2.02,2.02,2.02,0,0,2.02
KYG4387E1070,603492652,8BI,EUR,2022-12-22,2.06,2.06,2.06,2.06,0,0,2.06
KYG4387E1070,603492652,8BI,EUR,2022-12-23,2.12,2.12,2.12,2.12,0,0,2.12
KYG4387E1070,603492652,8BI,EUR,2022-12-27,2.24,2.28,2.12,2.12,4106,5,2.241
KYG4387E1070,603492652,8BI,EUR,2022-12-28,1.99,1.99,1.9,1.9,5050,2,1.9895
KYG4387E1070,603492652,8BI,EUR,2022-12-29,1.86,2.02,1.86,2.02,2775,2,1.861
KYG4387E1070,603492652,8BI,EUR,2022-12-30,1.95,1.95,1.95,1.95,0,0,1.95
KYG4387E1070,603492652,8BI,EUR,2023-01-02,2.12,2.12,2.02,2.02,15,1,2.12
KYG4387E1070,603492652,8BI,EUR,2023-01-03,2.04,2.1,1.9,1.9,59,2,2.053
KYG4387E1070,603492652,8BI,EUR,2023-01-04,1.91,1.91,1.91,1.91,0,0,1.91
KYG4387E1070,603492652,8BI,EUR,2023-01-05,1.99,1.99,1.99,1.99,0,0,1.99
KYG4387E1070,603492652,8BI,EUR,2023-01-06,1.97,1.97,1.97,1.97,0,0,1.97
KYG4387E1070,603492652,8BI,EUR,2023-01-09,1.97,1.97,1.97,1.97,0,0,1.97
KYG4387E1070,603492652,8BI,EUR,2023-01-10,1.87,1.87,1.87,1.87,0,0,1.87
KYG4387E1070,603492652,8BI,EUR,2023-01-11,1.75,1.75,1.75,1.75,0,0,1.75
KYG4387E1070,603492652,8BI,EUR,2023-01-12,1.65,1.65,1.62,1.62,800,1,1.65
KYG4387E1070,603492652,8BI,EUR,2023-01-13,1.93,1.93,1.73,1.73,100,1,1.93
KYG4387E1070,603492652,8BI,EUR,2023-01-16,1.83,1.83,1.83,1.83,0,0,1.83
KYG4387E1070,603492652,8BI,EUR,2023-01-17,1.83,1.83,1.83,1.83,0,0,1.83
KYG4387E1070,603492652,8BI,EUR,2023-01-18,1.82,1.82,1.82,1.82,0,0,1.82
KYG4387E1070,603492652,8BI,EUR,2023-01-19,1.8,1.8,1.8,1.8,0,0,1.8
KYG4387E1070,603492652,8BI,EUR,2023-01-20,1.81,1.81,1.81,1.81,0,0,1.81
KYG4387E1070,603492652,8BI,EUR,2023-01-23,1.8,1.8,1.8,1.8,0,0,1.8
KYG4387E1070,603492652,8BI,EUR,2023-01-24,1.82,1.82,1.82,1.82,0,0,1.82
KYG4387E1070,603492652,8BI,EUR,2023-01-25,1.8,1.8,1.8,1.8,0,0,1.8
KYG4387E1070,603492652,8BI,EUR,2023-01-26,1.92,1.92,1.92,1.92,0,0,1.92
