ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG4584R1092,603531482,4HB,EUR,2023-04-19,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-04-20,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-04-21,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-04-24,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-04-25,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-04-26,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-04-27,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-04-28,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-02,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-03,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-04,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-05,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-08,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-09,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-10,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-11,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-12,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-15,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-16,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-17,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-18,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-19,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-22,0.019,0.019,0.019,0.019,0,0,0.019
KYG4584R1092,603531482,4HB,EUR,2023-05-23,0.018,0.018,0.018,0.018,0,0,0.018
KYG4584R1092,603531482,4HB,EUR,2023-05-24,0.018,0.018,0.018,0.018,0,0,0.018
