ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG4701H1092,520181563,IHS,USD,2021-10-14,17.65,18.48,16.83,17.05,102425,38910,17.323
KYG4701H1092,520181563,IHS,USD,2021-10-15,17.06,17.79,16.47,16.69,29280,10560,17.075
KYG4701H1092,520181563,IHS,USD,2021-10-18,16.75,17.68,16.48,17.43,14993,7057,17.388
KYG4701H1092,520181563,IHS,USD,2021-10-19,17.5,17.63,16.84,17.0,7451,2717,17.145
KYG4701H1092,520181563,IHS,USD,2021-10-20,17.1,17.48,16.82,17.2,3778,1540,17.104
KYG4701H1092,520181563,IHS,USD,2021-10-21,17.14,17.3,17.01,17.08,2341,1275,17.113
KYG4701H1092,520181563,IHS,USD,2021-10-22,17.22,17.36,17.02,17.17,2618,1264,17.155
KYG4701H1092,520181563,IHS,USD,2021-10-25,17.2,17.27,17.0,17.03,3485,1564,17.075
KYG4701H1092,520181563,IHS,USD,2021-10-26,17.01,17.15,16.5,16.75,4976,2142,16.763
KYG4701H1092,520181563,IHS,USD,2021-10-27,16.66,16.84,16.4,16.55,4215,1031,16.618
KYG4701H1092,520181563,IHS,USD,2021-10-28,16.56,16.67,16.41,16.52,2017,804,16.507
KYG4701H1092,520181563,IHS,USD,2021-10-29,16.42,16.92,16.42,16.82,763,472,16.703
KYG4701H1092,520181563,IHS,USD,2021-11-01,16.96,17.2,16.52,16.66,1434,799,16.75
KYG4701H1092,520181563,IHS,USD,2021-11-02,16.53,16.8,16.25,16.4,1630,989,16.352
KYG4701H1092,520181563,IHS,USD,2021-11-03,16.56,16.75,16.04,16.43,2818,1329,16.388
KYG4701H1092,520181563,IHS,USD,2021-11-04,16.43,16.53,16.03,16.36,838,505,16.295
KYG4701H1092,520181563,IHS,USD,2021-11-05,16.35,16.48,16.23,16.32,2072,561,16.343
KYG4701H1092,520181563,IHS,USD,2021-11-08,16.85,17.09,16.13,16.3,4938,1996,16.561
KYG4701H1092,520181563,IHS,USD,2021-11-09,16.51,16.52,16.25,16.52,2744,1072,16.383
KYG4701H1092,520181563,IHS,USD,2021-11-10,16.5,16.61,15.5,15.5,5111,1937,15.979
KYG4701H1092,520181563,IHS,USD,2021-11-11,15.75,16.0,15.11,16.0,4918,2297,15.507
KYG4701H1092,520181563,IHS,USD,2021-11-12,15.91,16.25,15.79,16.25,1703,978,16.074
KYG4701H1092,520181563,IHS,USD,2021-11-15,16.42,16.42,15.5,15.68,3145,1719,15.774
KYG4701H1092,520181563,IHS,USD,2021-11-16,15.35,16.13,15.1,15.5,4508,1493,15.779
KYG4701H1092,520181563,IHS,USD,2021-11-17,15.74,16.17,15.41,15.5,2075,1217,15.763
KYG4701H1092,520181563,IHS,USD,2021-11-18,16.38,16.38,15.6,15.61,1819,902,15.825
KYG4701H1092,520181563,IHS,USD,2021-11-19,15.6,15.63,15.0,15.01,3139,1188,15.072
KYG4701H1092,520181563,IHS,USD,2021-11-22,15.01,15.24,14.5,14.91,1675,597,14.742
KYG4701H1092,520181563,IHS,USD,2021-11-23,14.82,15.68,14.5,15.54,3575,1530,15.003
KYG4701H1092,520181563,IHS,USD,2021-11-24,15.54,15.78,14.7,14.93,2837,1231,14.982
KYG4701H1092,520181563,IHS,USD,2021-11-26,14.57,14.82,14.04,14.42,2143,758,14.35
KYG4701H1092,520181563,IHS,USD,2021-11-29,14.4,14.55,13.76,14.04,4066,1546,14.056
KYG4701H1092,520181563,IHS,USD,2021-11-30,13.7,14.06,13.18,13.49,4607,1915,13.407
KYG4701H1092,520181563,IHS,USD,2021-12-01,13.6,13.95,13.22,13.31,4212,1498,13.598
KYG4701H1092,520181563,IHS,USD,2021-12-02,13.32,13.55,13.1,13.43,2662,1163,13.334
KYG4701H1092,520181563,IHS,USD,2021-12-03,13.41,13.48,12.82,13.14,4106,1615,12.997
KYG4701H1092,520181563,IHS,USD,2021-12-06,13.2,13.99,13.0,13.42,1938,828,13.548
KYG4701H1092,520181563,IHS,USD,2021-12-07,13.66,14.5,13.3,13.73,3908,2037,13.514
KYG4701H1092,520181563,IHS,USD,2021-12-08,14.41,15.0,13.27,13.4,2624,899,13.527
KYG4701H1092,520181563,IHS,USD,2021-12-09,13.44,13.55,13.03,13.13,1363,749,13.197
KYG4701H1092,520181563,IHS,USD,2021-12-10,13.0,13.4,12.72,12.98,1560,677,12.957
KYG4701H1092,520181563,IHS,USD,2021-12-13,12.98,13.28,12.9,12.98,2287,1140,13.059
KYG4701H1092,520181563,IHS,USD,2021-12-14,13.0,13.04,12.34,12.8,2286,769,12.719
KYG4701H1092,520181563,IHS,USD,2021-12-15,12.69,13.01,12.61,12.9,2806,1111,12.886
KYG4701H1092,520181563,IHS,USD,2021-12-16,12.87,13.1,12.81,13.02,1759,911,12.957
KYG4701H1092,520181563,IHS,USD,2021-12-17,13.09,13.09,12.56,12.93,8813,1593,12.918
KYG4701H1092,520181563,IHS,USD,2021-12-20,12.71,12.86,12.34,12.86,2046,1089,12.652
KYG4701H1092,520181563,IHS,USD,2021-12-21,12.85,13.16,12.85,13.14,1134,720,13.042
KYG4701H1092,520181563,IHS,USD,2021-12-22,13.24,14.07,13.1,14.05,2150,1080,13.716
KYG4701H1092,520181563,IHS,USD,2021-12-23,13.98,14.43,13.92,14.32,1756,1304,14.27
KYG4701H1092,520181563,IHS,USD,2021-12-27,14.29,14.54,14.19,14.33,891,588,14.323
KYG4701H1092,520181563,IHS,USD,2021-12-28,14.25,14.35,14.06,14.19,846,417,14.2
KYG4701H1092,520181563,IHS,USD,2021-12-29,14.18,14.32,13.96,14.01,966,574,14.035
KYG4701H1092,520181563,IHS,USD,2021-12-30,13.97,14.25,13.86,14.06,1272,778,14.049
KYG4701H1092,520181563,IHS,USD,2021-12-31,14.02,14.36,13.94,14.1,586,405,14.089
KYG4701H1092,520181563,IHS,USD,2022-01-03,14.16,14.23,13.66,13.76,560,373,13.82
KYG4701H1092,520181563,IHS,USD,2022-01-04,13.74,13.87,13.36,13.51,1454,669,13.511
KYG4701H1092,520181563,IHS,USD,2022-01-05,13.51,13.83,13.4,13.44,1787,903,13.596
KYG4701H1092,520181563,IHS,USD,2022-01-06,13.43,13.74,13.1,13.17,885,570,13.24
KYG4701H1092,520181563,IHS,USD,2022-01-07,13.07,13.23,12.68,12.88,930,492,12.941
KYG4701H1092,520181563,IHS,USD,2022-01-10,12.87,12.87,12.25,12.49,1921,886,12.507
KYG4701H1092,520181563,IHS,USD,2022-01-11,12.5,12.79,12.33,12.48,1623,921,12.578
KYG4701H1092,520181563,IHS,USD,2022-01-12,12.54,12.79,12.33,12.51,1786,946,12.534
KYG4701H1092,520181563,IHS,USD,2022-01-13,12.42,12.6,12.3,12.38,2139,1314,12.469
KYG4701H1092,520181563,IHS,USD,2022-01-14,12.39,12.45,11.81,11.95,1529,765,11.996
KYG4701H1092,520181563,IHS,USD,2022-01-18,11.92,11.99,11.57,11.72,1415,888,11.747
KYG4701H1092,520181563,IHS,USD,2022-01-19,11.65,11.85,11.59,11.75,1076,728,11.729
KYG4701H1092,520181563,IHS,USD,2022-01-20,11.72,12.16,11.57,11.82,1584,937,11.946
KYG4701H1092,520181563,IHS,USD,2022-01-21,11.81,11.88,11.5,11.5,752,489,11.635
KYG4701H1092,520181563,IHS,USD,2022-01-24,11.43,11.63,11.03,11.63,1710,835,11.315
KYG4701H1092,520181563,IHS,USD,2022-01-25,11.44,11.75,11.24,11.34,1125,755,11.387
KYG4701H1092,520181563,IHS,USD,2022-01-26,11.6,11.88,11.32,11.35,1152,660,11.592
KYG4701H1092,520181563,IHS,USD,2022-01-27,11.48,11.69,10.99,11.0,812,456,11.143
KYG4701H1092,520181563,IHS,USD,2022-01-28,11.0,11.33,10.89,11.31,1023,587,11.139
KYG4701H1092,520181563,IHS,USD,2022-01-31,11.32,12.03,11.25,11.96,1312,825,11.803
KYG4701H1092,520181563,IHS,USD,2022-02-01,12.0,12.19,11.81,12.04,1507,960,12.012
KYG4701H1092,520181563,IHS,USD,2022-02-02,12.13,12.34,11.88,12.0,2392,1236,12.142
KYG4701H1092,520181563,IHS,USD,2022-02-03,11.78,12.07,11.6,11.66,1810,1051,11.827
KYG4701H1092,520181563,IHS,USD,2022-02-04,11.65,11.81,11.24,11.47,2122,1208,11.558
KYG4701H1092,520181563,IHS,USD,2022-02-07,11.52,11.85,11.41,11.55,870,534,11.598
KYG4701H1092,520181563,IHS,USD,2022-02-08,11.54,12.17,11.51,12.05,980,679,11.941
KYG4701H1092,520181563,IHS,USD,2022-02-09,12.2,13.04,12.18,12.9,2116,1506,12.764
KYG4701H1092,520181563,IHS,USD,2022-02-10,12.63,13.03,12.39,12.53,872,640,12.666
KYG4701H1092,520181563,IHS,USD,2022-02-11,12.57,12.74,12.0,12.22,405,249,12.235
KYG4701H1092,520181563,IHS,USD,2022-02-14,12.1,12.58,11.76,12.2,813,553,12.081
KYG4701H1092,520181563,IHS,USD,2022-02-15,12.38,12.58,12.17,12.25,471,373,12.33
KYG4701H1092,520181563,IHS,USD,2022-02-16,12.21,12.21,11.63,11.68,695,386,11.767
KYG4701H1092,520181563,IHS,USD,2022-02-17,11.61,11.68,11.4,11.45,709,364,11.547
KYG4701H1092,520181563,IHS,USD,2022-02-18,11.47,11.55,11.25,11.44,298,203,11.393
KYG4701H1092,520181563,IHS,USD,2022-02-22,11.46,11.53,11.03,11.25,803,411,11.301
KYG4701H1092,520181563,IHS,USD,2022-02-23,11.3,11.4,11.01,11.11,1178,811,11.239
KYG4701H1092,520181563,IHS,USD,2022-02-24,10.89,11.37,10.76,11.25,405,273,11.047
KYG4701H1092,520181563,IHS,USD,2022-02-25,11.43,11.7,11.12,11.47,706,459,11.471
KYG4701H1092,520181563,IHS,USD,2022-02-28,11.4,11.49,11.1,11.2,710,379,11.235
KYG4701H1092,520181563,IHS,USD,2022-03-01,11.3,11.37,11.15,11.16,1043,519,11.225
KYG4701H1092,520181563,IHS,USD,2022-03-02,11.2,11.32,10.8,10.92,2902,1415,11.025
KYG4701H1092,520181563,IHS,USD,2022-03-03,11.0,11.01,10.58,10.68,935,476,10.801
