ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG5496K1242,425525338,LNLB,EUR,2023-07-04,5.15,5.15,5.15,5.15,0,0,5.15
KYG5496K1242,425525338,LNLB,EUR,2023-07-05,4.88,4.88,4.88,4.88,0,0,4.88
KYG5496K1242,425525338,LNLB,EUR,2023-07-06,4.76,4.76,4.76,4.76,0,0,4.76
KYG5496K1242,425525338,LNLB,EUR,2023-07-07,4.56,4.56,4.56,4.56,0,0,4.56
KYG5496K1242,425525338,LNLB,EUR,2023-07-10,4.64,4.64,4.64,4.64,0,0,4.64
KYG5496K1242,425525338,LNLB,EUR,2023-07-11,4.76,4.76,4.76,4.76,0,0,4.76
KYG5496K1242,425525338,LNLB,EUR,2023-07-12,4.72,4.72,4.72,4.72,0,0,4.72
KYG5496K1242,425525338,LNLB,EUR,2023-07-13,4.72,4.72,4.72,4.72,0,0,4.72
KYG5496K1242,425525338,LNLB,EUR,2023-07-14,4.8,4.8,4.8,4.8,0,0,4.8
KYG5496K1242,425525338,LNLB,EUR,2023-07-17,4.64,4.64,4.64,4.64,0,0,4.64
KYG5496K1242,425525338,LNLB,EUR,2023-07-18,4.64,4.64,4.64,4.64,0,0,4.64
KYG5496K1242,425525338,LNLB,EUR,2023-07-19,4.64,4.64,4.64,4.64,0,0,4.64
KYG5496K1242,425525338,LNLB,EUR,2023-07-20,4.6,4.6,4.6,4.6,0,0,4.6
KYG5496K1242,425525338,LNLB,EUR,2023-07-21,4.6,4.6,4.6,4.6,0,0,4.6
KYG5496K1242,425525338,LNLB,EUR,2023-07-24,4.5,4.5,4.5,4.5,0,0,4.5
KYG5496K1242,425525338,LNLB,EUR,2023-07-25,4.78,4.78,4.78,4.78,0,0,4.78
KYG5496K1242,425525338,LNLB,EUR,2023-07-26,4.74,4.74,4.74,4.74,0,0,4.74
KYG5496K1242,425525338,LNLB,EUR,2023-07-27,5.0,5.0,5.0,5.0,1000,1,5.0
KYG5496K1242,425525338,LNLB,EUR,2023-07-28,5.4,5.4,5.4,5.4,0,0,5.4
KYG5496K1242,425525338,LNLB,EUR,2023-07-31,5.45,5.45,5.45,5.45,0,0,5.45
KYG5496K1242,425525338,LNLB,EUR,2023-08-01,5.25,5.25,5.25,5.25,0,0,5.25
KYG5496K1242,425525338,LNLB,EUR,2023-08-02,5.2,5.2,5.2,5.2,0,0,5.2
KYG5496K1242,425525338,LNLB,EUR,2023-08-03,5.15,5.15,5.15,5.15,0,0,5.15
KYG5496K1242,425525338,LNLB,EUR,2023-08-04,5.15,5.15,5.15,5.15,0,0,5.15
KYG5496K1242,425525338,LNLB,EUR,2023-08-07,5.0,5.0,5.0,5.0,0,0,5.0
KYG5496K1242,425525338,LNLB,EUR,2023-08-08,4.92,4.92,4.92,4.92,0,0,4.92
KYG5496K1242,425525338,LNLB,EUR,2023-08-09,4.98,4.98,4.98,4.98,0,0,4.98
KYG5496K1242,425525338,LNLB,EUR,2023-08-10,5.05,5.05,5.05,5.05,0,0,5.05
KYG5496K1242,425525338,LNLB,EUR,2023-08-11,5.1,5.1,5.1,5.1,0,0,5.1
KYG5496K1242,425525338,LNLB,EUR,2023-08-14,4.86,4.86,4.86,4.86,0,0,4.86
KYG5496K1242,425525338,LNLB,EUR,2023-08-15,4.86,4.86,4.86,4.86,0,0,4.86
