ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG8918W1069,603523459,TEM,EUR,2022-12-16,1.99,1.99,1.99,1.99,0,0,1.99
KYG8918W1069,603523459,TEM,EUR,2022-12-19,2.06,2.06,2.06,2.06,0,0,2.06
KYG8918W1069,603523459,TEM,EUR,2022-12-20,2.08,2.08,2.08,2.08,0,0,2.08
KYG8918W1069,603523459,TEM,EUR,2022-12-21,2.14,2.14,2.14,2.14,0,0,2.14
KYG8918W1069,603523459,TEM,EUR,2022-12-22,2.12,2.12,2.12,2.12,0,0,2.12
KYG8918W1069,603523459,TEM,EUR,2022-12-23,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2022-12-27,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2022-12-28,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2022-12-29,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2022-12-30,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2023-01-02,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2023-01-03,2.2,2.2,2.2,2.2,0,0,2.2
KYG8918W1069,603523459,TEM,EUR,2023-01-04,2.28,2.28,2.28,2.28,0,0,2.28
KYG8918W1069,603523459,TEM,EUR,2023-01-05,2.3,2.3,2.3,2.3,0,0,2.3
KYG8918W1069,603523459,TEM,EUR,2023-01-06,2.24,2.24,2.24,2.24,0,0,2.24
KYG8918W1069,603523459,TEM,EUR,2023-01-09,2.16,2.16,2.16,2.16,0,0,2.16
KYG8918W1069,603523459,TEM,EUR,2023-01-10,2.2,2.2,2.2,2.2,0,0,2.2
KYG8918W1069,603523459,TEM,EUR,2023-01-11,2.08,2.08,2.08,2.08,0,0,2.08
KYG8918W1069,603523459,TEM,EUR,2023-01-12,2.06,2.06,2.06,2.06,0,0,2.06
KYG8918W1069,603523459,TEM,EUR,2023-01-13,2.3,2.3,2.14,2.14,369,1,2.3
KYG8918W1069,603523459,TEM,EUR,2023-01-16,2.08,2.08,2.08,2.08,0,0,2.08
KYG8918W1069,603523459,TEM,EUR,2023-01-17,2.14,2.14,2.14,2.14,0,0,2.14
KYG8918W1069,603523459,TEM,EUR,2023-01-18,2.08,2.08,2.08,2.08,0,0,2.08
KYG8918W1069,603523459,TEM,EUR,2023-01-19,2.14,2.14,2.14,2.14,0,0,2.14
KYG8918W1069,603523459,TEM,EUR,2023-01-20,2.2,2.2,2.2,2.2,0,0,2.2
KYG8918W1069,603523459,TEM,EUR,2023-01-23,2.22,2.22,2.22,2.22,0,0,2.22
KYG8918W1069,603523459,TEM,EUR,2023-01-24,2.22,2.22,2.22,2.22,0,0,2.22
KYG8918W1069,603523459,TEM,EUR,2023-01-25,2.18,2.18,2.18,2.18,0,0,2.18
KYG8918W1069,603523459,TEM,EUR,2023-01-26,2.18,2.18,2.18,2.18,0,0,2.18
KYG8918W1069,603523459,TEM,EUR,2023-01-27,2.2,2.2,2.2,2.2,0,0,2.2
KYG8918W1069,603523459,TEM,EUR,2023-01-30,2.04,2.04,2.04,2.04,0,0,2.04
KYG8918W1069,603523459,TEM,EUR,2023-01-31,1.99,1.99,1.99,1.99,0,0,1.99
KYG8918W1069,603523459,TEM,EUR,2023-02-01,1.92,1.92,1.92,1.92,0,0,1.92
KYG8918W1069,603523459,TEM,EUR,2023-02-02,2.02,2.02,2.02,2.02,0,0,2.02
KYG8918W1069,603523459,TEM,EUR,2023-02-03,1.97,1.97,1.97,1.97,0,0,1.97
KYG8918W1069,603523459,TEM,EUR,2023-02-06,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-07,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-08,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-09,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-10,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-13,2.04,2.04,2.04,2.04,0,0,2.04
KYG8918W1069,603523459,TEM,EUR,2023-02-14,2.0,2.0,2.0,2.0,0,0,2.0
KYG8918W1069,603523459,TEM,EUR,2023-02-15,2.0,2.0,2.0,2.0,0,0,2.0
