ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
KYG9898N1161,603520057,35Z,EUR,2022-12-16,0.0235,0.024,0.023,0.024,15480,1,0.0234
KYG9898N1161,603520057,35Z,EUR,2022-12-19,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-20,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-21,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-22,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-23,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-27,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-28,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2022-12-29,0.023,0.023,0.023,0.023,0,0,0.023
KYG9898N1161,603520057,35Z,EUR,2022-12-30,0.027,0.027,0.027,0.027,142174,1,0.027
KYG9898N1161,603520057,35Z,EUR,2023-01-02,0.023,0.023,0.023,0.023,0,0,0.023
KYG9898N1161,603520057,35Z,EUR,2023-01-03,0.023,0.023,0.023,0.023,0,0,0.023
KYG9898N1161,603520057,35Z,EUR,2023-01-04,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-05,0.025,0.025,0.025,0.025,0,0,0.025
KYG9898N1161,603520057,35Z,EUR,2023-01-06,0.025,0.025,0.025,0.025,0,0,0.025
KYG9898N1161,603520057,35Z,EUR,2023-01-09,0.026,0.026,0.026,0.026,0,0,0.026
KYG9898N1161,603520057,35Z,EUR,2023-01-10,0.025,0.025,0.025,0.025,0,0,0.025
KYG9898N1161,603520057,35Z,EUR,2023-01-11,0.025,0.025,0.025,0.025,0,0,0.025
KYG9898N1161,603520057,35Z,EUR,2023-01-12,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-13,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-16,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-17,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-18,0.023,0.023,0.023,0.023,0,0,0.023
KYG9898N1161,603520057,35Z,EUR,2023-01-19,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-20,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-23,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-24,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-25,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-26,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-27,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-30,0.024,0.024,0.024,0.024,0,0,0.024
KYG9898N1161,603520057,35Z,EUR,2023-01-31,0.023,0.023,0.023,0.023,0,0,0.023
KYG9898N1161,603520057,35Z,EUR,2023-02-01,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-02,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-03,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-06,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-07,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-08,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-09,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-10,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-13,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-14,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-15,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-16,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-17,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-20,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-21,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-22,0.022,0.022,0.022,0.022,0,0,0.022
KYG9898N1161,603520057,35Z,EUR,2023-02-23,0.022,0.022,0.022,0.022,0,0,0.022
