ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
LT0000102253,517611016,ZH5,EUR,2021-09-29,0.715,0.715,0.715,0.715,0,0,0.715
LT0000102253,517611016,ZH5,EUR,2021-09-30,0.708,0.708,0.708,0.708,0,0,0.708
LT0000102253,517611016,ZH5,EUR,2021-10-01,0.721,0.721,0.721,0.721,0,0,0.721
LT0000102253,517611016,ZH5,EUR,2021-10-04,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-10-05,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-10-06,0.721,0.721,0.721,0.721,0,0,0.721
LT0000102253,517611016,ZH5,EUR,2021-10-07,0.71,0.71,0.71,0.71,0,0,0.71
LT0000102253,517611016,ZH5,EUR,2021-10-08,0.714,0.714,0.714,0.714,0,0,0.714
LT0000102253,517611016,ZH5,EUR,2021-10-11,0.712,0.712,0.712,0.712,0,0,0.712
LT0000102253,517611016,ZH5,EUR,2021-10-12,0.695,0.695,0.695,0.695,0,0,0.695
LT0000102253,517611016,ZH5,EUR,2021-10-13,0.704,0.704,0.704,0.704,0,0,0.704
LT0000102253,517611016,ZH5,EUR,2021-10-14,0.712,0.712,0.712,0.712,0,0,0.712
LT0000102253,517611016,ZH5,EUR,2021-10-15,0.707,0.707,0.707,0.707,0,0,0.707
LT0000102253,517611016,ZH5,EUR,2021-10-18,0.708,0.708,0.708,0.708,0,0,0.708
LT0000102253,517611016,ZH5,EUR,2021-10-19,0.715,0.715,0.715,0.715,0,0,0.715
LT0000102253,517611016,ZH5,EUR,2021-10-20,0.728,0.728,0.728,0.728,0,0,0.728
LT0000102253,517611016,ZH5,EUR,2021-10-21,0.73,0.73,0.73,0.73,0,0,0.73
LT0000102253,517611016,ZH5,EUR,2021-10-22,0.72,0.72,0.72,0.72,0,0,0.72
LT0000102253,517611016,ZH5,EUR,2021-10-25,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-10-26,0.731,0.731,0.731,0.731,0,0,0.731
LT0000102253,517611016,ZH5,EUR,2021-10-27,0.743,0.743,0.743,0.743,0,0,0.743
LT0000102253,517611016,ZH5,EUR,2021-10-28,0.742,0.742,0.742,0.742,0,0,0.742
LT0000102253,517611016,ZH5,EUR,2021-10-29,0.76,0.76,0.76,0.76,0,0,0.76
LT0000102253,517611016,ZH5,EUR,2021-11-01,0.76,0.76,0.76,0.76,0,0,0.76
LT0000102253,517611016,ZH5,EUR,2021-11-02,0.76,0.76,0.76,0.76,0,0,0.76
LT0000102253,517611016,ZH5,EUR,2021-11-03,0.742,0.742,0.742,0.742,0,0,0.742
LT0000102253,517611016,ZH5,EUR,2021-11-04,0.796,0.796,0.796,0.796,1900,1,0.796
LT0000102253,517611016,ZH5,EUR,2021-11-05,0.735,0.735,0.735,0.735,0,0,0.735
LT0000102253,517611016,ZH5,EUR,2021-11-08,0.737,0.737,0.737,0.737,0,0,0.737
LT0000102253,517611016,ZH5,EUR,2021-11-09,0.73,0.73,0.73,0.73,0,0,0.73
LT0000102253,517611016,ZH5,EUR,2021-11-10,0.728,0.728,0.728,0.728,0,0,0.728
LT0000102253,517611016,ZH5,EUR,2021-11-11,0.72,0.72,0.72,0.72,0,0,0.72
LT0000102253,517611016,ZH5,EUR,2021-11-12,0.727,0.727,0.727,0.727,0,0,0.727
LT0000102253,517611016,ZH5,EUR,2021-11-15,0.725,0.725,0.725,0.725,0,0,0.725
LT0000102253,517611016,ZH5,EUR,2021-11-16,0.727,0.727,0.727,0.727,0,0,0.727
LT0000102253,517611016,ZH5,EUR,2021-11-17,0.724,0.724,0.724,0.724,0,0,0.724
LT0000102253,517611016,ZH5,EUR,2021-11-18,0.724,0.724,0.724,0.724,0,0,0.724
LT0000102253,517611016,ZH5,EUR,2021-11-19,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-11-22,0.72,0.72,0.72,0.72,0,0,0.72
LT0000102253,517611016,ZH5,EUR,2021-11-23,0.721,0.721,0.721,0.721,0,0,0.721
LT0000102253,517611016,ZH5,EUR,2021-11-24,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-11-25,0.721,0.721,0.721,0.721,0,0,0.721
LT0000102253,517611016,ZH5,EUR,2021-11-26,0.723,0.723,0.723,0.723,0,0,0.723
LT0000102253,517611016,ZH5,EUR,2021-11-29,0.714,0.714,0.714,0.714,0,0,0.714
LT0000102253,517611016,ZH5,EUR,2021-11-30,0.725,0.725,0.725,0.725,10000,1,0.725
LT0000102253,517611016,ZH5,EUR,2021-12-01,0.728,0.728,0.728,0.728,0,0,0.728
LT0000102253,517611016,ZH5,EUR,2021-12-02,0.722,0.722,0.722,0.722,0,0,0.722
LT0000102253,517611016,ZH5,EUR,2021-12-03,0.772,0.772,0.772,0.772,250,1,0.772
LT0000102253,517611016,ZH5,EUR,2021-12-06,0.717,0.717,0.717,0.717,0,0,0.717
LT0000102253,517611016,ZH5,EUR,2021-12-07,0.713,0.713,0.713,0.713,0,0,0.713
LT0000102253,517611016,ZH5,EUR,2021-12-08,0.716,0.716,0.716,0.716,0,0,0.716
LT0000102253,517611016,ZH5,EUR,2021-12-09,0.718,0.718,0.718,0.718,30,1,0.718
LT0000102253,517611016,ZH5,EUR,2021-12-10,0.796,0.796,0.796,0.796,5000,1,0.796
LT0000102253,517611016,ZH5,EUR,2021-12-13,0.75,0.75,0.75,0.75,0,0,0.75
LT0000102253,517611016,ZH5,EUR,2021-12-14,0.74,0.74,0.74,0.74,5000,1,0.74
LT0000102253,517611016,ZH5,EUR,2021-12-15,0.743,0.743,0.743,0.743,5000,1,0.743
LT0000102253,517611016,ZH5,EUR,2021-12-16,0.733,0.733,0.733,0.733,0,0,0.733
LT0000102253,517611016,ZH5,EUR,2021-12-17,0.747,0.747,0.747,0.747,0,0,0.747
LT0000102253,517611016,ZH5,EUR,2021-12-20,0.735,0.735,0.735,0.735,0,0,0.735
