ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
LU1547516291,290556337,EMEH,EUR,2019-01-02,8.0,8.11,7.946,8.04,9152,14,7.96345
LU1547516291,290556337,EMEH,EUR,2019-01-03,7.9424,7.9424,7.9424,7.9424,0,0,7.9424
LU1547516291,290556337,EMEH,EUR,2019-01-04,8.142,8.195,8.095,8.1001,559,4,8.11756
LU1547516291,290556337,EMEH,EUR,2019-01-07,8.25,8.25,8.1949,8.1949,300,1,8.25
LU1547516291,290556337,EMEH,EUR,2019-01-08,8.209,8.209,8.1832,8.1832,3522,8,8.18794
LU1547516291,290556337,EMEH,EUR,2019-01-09,8.28,8.2837,8.279,8.2837,3103,2,8.27919
LU1547516291,290556337,EMEH,EUR,2019-01-10,8.2839,8.2839,8.2839,8.2839,0,0,8.2839
LU1547516291,290556337,EMEH,EUR,2019-01-11,8.311,8.39,8.277,8.3142,7439,12,8.30089
LU1547516291,290556337,EMEH,EUR,2019-01-14,8.273,8.292,8.2674,8.2674,25854,9,8.2847
LU1547516291,290556337,EMEH,EUR,2019-01-15,8.248,8.273,8.2426,8.2426,186,4,8.26459
LU1547516291,290556337,EMEH,EUR,2019-01-16,8.2981,8.2981,8.2981,8.2981,0,0,8.2981
LU1547516291,290556337,EMEH,EUR,2019-01-17,8.2729,8.2729,8.2729,8.2729,0,0,8.2729
LU1547516291,290556337,EMEH,EUR,2019-01-18,8.334,8.334,8.309,8.309,604,2,8.325
LU1547516291,290556337,EMEH,EUR,2019-01-21,8.323,8.323,8.2982,8.2982,4837,1,8.323
LU1547516291,290556337,EMEH,EUR,2019-01-22,8.255,8.272,8.255,8.2604,976,2,8.27155
LU1547516291,290556337,EMEH,EUR,2019-01-23,8.2933,8.2933,8.2933,8.2933,0,0,8.2933
LU1547516291,290556337,EMEH,EUR,2019-01-24,8.2862,8.2862,8.2862,8.2862,0,0,8.2862
LU1547516291,290556337,EMEH,EUR,2019-01-25,8.373,8.374,8.351,8.3685,1562,5,8.36765
LU1547516291,290556337,EMEH,EUR,2019-01-28,8.2829,8.2829,8.2829,8.2829,0,0,8.2829
LU1547516291,290556337,EMEH,EUR,2019-01-29,8.357,8.383,8.357,8.383,1319,1,8.357
LU1547516291,290556337,EMEH,EUR,2019-01-30,8.453,8.453,8.4361,8.4361,663,1,8.453
