ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
MA0000011488,39550427,IAM,EUR,2019-01-02,13.0,13.0,12.9,12.96,332,3,12.928
MA0000011488,39550427,IAM,EUR,2019-01-03,13.0,13.0,12.9,12.9,70,3,12.972
MA0000011488,39550427,IAM,EUR,2019-01-04,13.0,13.0,12.94,13.0,1812,5,12.998
MA0000011488,39550427,IAM,EUR,2019-01-07,13.0,13.0,12.84,12.9,1949,11,12.962
MA0000011488,39550427,IAM,EUR,2019-01-08,12.96,12.96,12.94,12.96,429,5,12.95
MA0000011488,39550427,IAM,EUR,2019-01-09,12.96,13.0,12.84,13.0,1511,8,12.94
MA0000011488,39550427,IAM,EUR,2019-01-10,13.1,13.1,13.04,13.06,560,5,13.094
MA0000011488,39550427,IAM,EUR,2019-01-11,13.06,13.06,13.0,13.0,618,4,13.05
MA0000011488,39550427,IAM,EUR,2019-01-14,12.96,12.96,12.84,12.96,1740,8,12.928
MA0000011488,39550427,IAM,EUR,2019-01-15,13.0,13.0,12.84,12.96,1551,9,12.914
MA0000011488,39550427,IAM,EUR,2019-01-16,13.16,13.26,13.14,13.26,427,5,13.244
MA0000011488,39550427,IAM,EUR,2019-01-17,13.2,13.6,13.2,13.6,274,6,13.338
MA0000011488,39550427,IAM,EUR,2019-01-18,13.66,13.66,13.4,13.46,1785,11,13.482
MA0000011488,39550427,IAM,EUR,2019-01-21,13.4,13.46,13.34,13.4,3002,15,13.392
MA0000011488,39550427,IAM,EUR,2019-01-22,13.3,13.8,13.3,13.5,1664,15,13.526
MA0000011488,39550427,IAM,EUR,2019-01-23,13.5,13.6,13.0,13.46,2376,16,13.416
MA0000011488,39550427,IAM,EUR,2019-01-24,13.46,13.46,13.0,13.4,588,10,13.188
MA0000011488,39550427,IAM,EUR,2019-01-25,13.66,13.66,13.6,13.6,656,5,13.6
MA0000011488,39550427,IAM,EUR,2019-01-28,13.6,13.6,13.54,13.56,751,6,13.55
MA0000011488,39550427,IAM,EUR,2019-01-29,13.56,13.56,13.54,13.56,447,2,13.55
MA0000011488,39550427,IAM,EUR,2019-01-30,13.8,13.8,13.8,13.8,1053,7,13.8
MA0000011488,39550427,IAM,EUR,2019-01-31,14.06,14.06,13.7,13.7,485,6,13.792
MA0000011488,39550427,IAM,EUR,2019-02-01,13.8,13.8,13.64,13.66,584,5,13.666
MA0000011488,39550427,IAM,EUR,2019-02-04,13.66,13.66,13.6,13.66,1087,7,13.622
MA0000011488,39550427,IAM,EUR,2019-02-05,13.86,13.86,13.7,13.7,190,3,13.722
MA0000011488,39550427,IAM,EUR,2019-02-06,13.9,13.9,13.8,13.8,619,6,13.86
MA0000011488,39550427,IAM,EUR,2019-02-07,13.76,13.86,13.74,13.86,828,6,13.8
MA0000011488,39550427,IAM,EUR,2019-02-08,13.76,13.8,13.74,13.8,882,5,13.776
MA0000011488,39550427,IAM,EUR,2019-02-11,13.7,13.96,13.7,13.96,528,3,13.716
MA0000011488,39550427,IAM,EUR,2019-02-12,13.96,14.0,13.94,14.0,849,5,13.964
MA0000011488,39550427,IAM,EUR,2019-02-13,14.0,14.0,13.94,13.96,385,6,13.988
MA0000011488,39550427,IAM,EUR,2019-02-14,14.1,14.1,13.84,14.1,1584,10,14.022
MA0000011488,39550427,IAM,EUR,2019-02-15,14.1,14.1,14.04,14.06,274,2,14.082
MA0000011488,39550427,IAM,EUR,2019-02-18,14.0,14.0,14.0,14.0,400,2,14.0
MA0000011488,39550427,IAM,EUR,2019-02-19,14.16,14.16,14.1,14.1,618,8,14.146
MA0000011488,39550427,IAM,EUR,2019-02-20,14.26,14.26,14.24,14.26,164,4,14.25
MA0000011488,39550427,IAM,EUR,2019-02-21,14.16,14.16,14.04,14.1,909,6,14.102
MA0000011488,39550427,IAM,EUR,2019-02-22,14.2,14.2,13.6,13.9,361,11,14.0
MA0000011488,39550427,IAM,EUR,2019-02-25,13.96,13.96,13.94,13.96,661,5,13.95
MA0000011488,39550427,IAM,EUR,2019-02-26,14.0,14.0,13.8,13.9,1031,10,13.856
MA0000011488,39550427,IAM,EUR,2019-02-27,13.9,13.9,13.7,13.76,1238,4,13.722
MA0000011488,39550427,IAM,EUR,2019-02-28,13.76,13.76,13.34,13.6,552,9,13.612
MA0000011488,39550427,IAM,EUR,2019-03-01,13.6,13.66,13.6,13.6,591,6,13.61
MA0000011488,39550427,IAM,EUR,2019-03-04,13.66,14.0,13.64,13.7,227,6,13.816
MA0000011488,39550427,IAM,EUR,2019-03-05,13.76,13.96,13.74,13.76,289,4,13.77
MA0000011488,39550427,IAM,EUR,2019-03-06,13.8,14.1,13.6,13.6,354,5,13.654
MA0000011488,39550427,IAM,EUR,2019-03-07,13.56,14.7,13.5,13.6,911,19,14.186
MA0000011488,39550427,IAM,EUR,2019-03-08,13.66,13.66,13.34,13.6,459,8,13.602
MA0000011488,39550427,IAM,EUR,2019-03-11,13.56,14.16,13.54,13.6,242,6,13.686
MA0000011488,39550427,IAM,EUR,2019-03-12,13.6,13.66,13.6,13.66,249,4,13.624
MA0000011488,39550427,IAM,EUR,2019-03-13,13.66,13.66,13.54,13.56,153,4,13.562
MA0000011488,39550427,IAM,EUR,2019-03-14,13.6,13.6,13.5,13.5,520,5,13.53
MA0000011488,39550427,IAM,EUR,2019-03-15,13.6,13.6,13.2,13.2,519,4,13.49
MA0000011488,39550427,IAM,EUR,2019-03-18,13.5,13.76,13.34,13.36,292,4,13.462
MA0000011488,39550427,IAM,EUR,2019-03-19,13.4,13.4,13.4,13.4,204,2,13.4
MA0000011488,39550427,IAM,EUR,2019-03-20,13.4,13.4,13.4,13.4,289,3,13.4
MA0000011488,39550427,IAM,EUR,2019-03-21,13.46,13.46,13.44,13.46,768,3,13.45
MA0000011488,39550427,IAM,EUR,2019-03-22,13.46,13.46,13.44,13.46,276,2,13.45
MA0000011488,39550427,IAM,EUR,2019-03-25,13.4,13.4,13.4,13.4,108,1,13.4
MA0000011488,39550427,IAM,EUR,2019-03-26,13.4,13.86,13.4,13.46,845,10,13.55
MA0000011488,39550427,IAM,EUR,2019-03-27,13.46,13.46,13.4,13.4,1030,6,13.414
MA0000011488,39550427,IAM,EUR,2019-03-28,13.46,13.46,13.4,13.4,755,3,13.428
MA0000011488,39550427,IAM,EUR,2019-03-29,13.3,13.8,13.3,13.4,743,10,13.424
MA0000011488,39550427,IAM,EUR,2019-04-01,13.4,13.4,13.4,13.4,268,2,13.4
