ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
MHY8162K2046,236994457,SBLK,USD,2019-01-02,9.0,9.5,8.78,9.45,3611,2157,9.323
MHY8162K2046,236994457,SBLK,USD,2019-01-03,9.45,9.61,9.28,9.35,1975,1179,9.439
MHY8162K2046,236994457,SBLK,USD,2019-01-04,9.69,10.21,9.55,10.14,5398,2719,10.067
MHY8162K2046,236994457,SBLK,USD,2019-01-07,10.19,10.57,10.14,10.41,4162,2121,10.435
MHY8162K2046,236994457,SBLK,USD,2019-01-08,10.56,10.67,10.34,10.54,4102,2260,10.504
MHY8162K2046,236994457,SBLK,USD,2019-01-09,10.55,10.64,10.2,10.48,4595,2235,10.446
MHY8162K2046,236994457,SBLK,USD,2019-01-10,10.4,10.4,9.92,10.1,6233,3456,10.115
MHY8162K2046,236994457,SBLK,USD,2019-01-11,10.05,10.06,9.68,9.91,3449,1745,9.835
MHY8162K2046,236994457,SBLK,USD,2019-01-14,9.73,9.79,9.45,9.65,3365,1673,9.629
MHY8162K2046,236994457,SBLK,USD,2019-01-15,9.65,9.65,9.14,9.26,5177,2577,9.28
MHY8162K2046,236994457,SBLK,USD,2019-01-16,9.2,9.52,8.93,9.4,5050,2316,9.239
MHY8162K2046,236994457,SBLK,USD,2019-01-17,8.86,9.82,8.86,9.67,1734,919,9.613
MHY8162K2046,236994457,SBLK,USD,2019-01-18,9.82,10.57,9.82,10.44,10183,4117,10.206
MHY8162K2046,236994457,SBLK,USD,2019-01-22,10.2,10.2,8.93,9.14,9577,4848,9.231
MHY8162K2046,236994457,SBLK,USD,2019-01-23,9.13,9.15,8.72,8.97,5887,3026,8.887
MHY8162K2046,236994457,SBLK,USD,2019-01-24,8.96,9.19,8.81,9.09,2483,1175,9.025
MHY8162K2046,236994457,SBLK,USD,2019-01-25,9.15,9.2,8.67,8.77,9062,3414,8.809
MHY8162K2046,236994457,SBLK,USD,2019-01-28,8.48,8.48,7.87,8.09,11778,4327,7.994
MHY8162K2046,236994457,SBLK,USD,2019-01-29,7.97,8.0,7.55,7.97,10396,4848,7.651
MHY8162K2046,236994457,SBLK,USD,2019-01-30,7.49,7.69,6.9,7.63,16891,7687,7.345
MHY8162K2046,236994457,SBLK,USD,2019-01-31,7.64,7.73,7.25,7.41,5954,3096,7.442
MHY8162K2046,236994457,SBLK,USD,2019-02-01,7.52,7.97,7.42,7.92,6502,2768,7.712
MHY8162K2046,236994457,SBLK,USD,2019-02-04,7.91,7.91,7.37,7.68,3221,1637,7.624
MHY8162K2046,236994457,SBLK,USD,2019-02-05,7.68,8.12,7.58,7.94,4972,2810,7.938
MHY8162K2046,236994457,SBLK,USD,2019-02-06,7.87,8.2,7.76,8.02,6007,2594,7.984
MHY8162K2046,236994457,SBLK,USD,2019-02-07,7.95,8.1,7.6,7.84,5924,2541,7.888
