ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
MU0295S00016,77879741,MMYT,USD,2019-01-02,23.94,24.12,23.49,23.49,2414,1540,23.859
MU0295S00016,77879741,MMYT,USD,2019-01-03,23.7,23.7,23.0,23.15,2348,1525,23.214
MU0295S00016,77879741,MMYT,USD,2019-01-04,23.5,24.77,23.25,24.54,1125,737,24.407
MU0295S00016,77879741,MMYT,USD,2019-01-07,24.71,25.55,24.54,25.33,1947,1269,25.202
MU0295S00016,77879741,MMYT,USD,2019-01-08,25.81,26.15,24.96,25.89,3433,1797,25.645
MU0295S00016,77879741,MMYT,USD,2019-01-09,25.91,25.91,25.2,25.23,1271,819,25.419
MU0295S00016,77879741,MMYT,USD,2019-01-10,25.05,25.51,24.49,24.76,1365,1019,24.711
MU0295S00016,77879741,MMYT,USD,2019-01-11,24.69,25.07,24.43,24.88,1729,1007,24.911
MU0295S00016,77879741,MMYT,USD,2019-01-14,24.72,25.24,24.32,25.02,1202,838,25.022
MU0295S00016,77879741,MMYT,USD,2019-01-15,25.01,25.51,24.79,25.45,1216,802,25.172
MU0295S00016,77879741,MMYT,USD,2019-01-16,25.46,25.79,24.96,25.35,1448,973,25.29
MU0295S00016,77879741,MMYT,USD,2019-01-17,25.23,25.68,24.92,25.66,2519,1767,25.243
MU0295S00016,77879741,MMYT,USD,2019-01-18,25.8,26.14,24.8,26.02,2618,1803,25.703
MU0295S00016,77879741,MMYT,USD,2019-01-22,26.12,26.15,24.32,24.4,4360,2604,24.995
MU0295S00016,77879741,MMYT,USD,2019-01-23,24.63,25.01,24.2,24.39,4056,2802,24.567
MU0295S00016,77879741,MMYT,USD,2019-01-24,25.8,27.75,24.8,27.25,16368,8348,26.757
MU0295S00016,77879741,MMYT,USD,2019-01-25,27.8,27.91,25.23,27.65,8673,4697,26.556
MU0295S00016,77879741,MMYT,USD,2019-01-28,27.28,27.54,25.41,25.59,5880,3410,26.411
MU0295S00016,77879741,MMYT,USD,2019-01-29,25.52,25.61,24.54,25.14,3444,1867,25.001
MU0295S00016,77879741,MMYT,USD,2019-01-30,25.44,26.55,24.77,26.44,5263,3438,25.857
MU0295S00016,77879741,MMYT,USD,2019-01-31,26.56,26.88,25.98,26.62,6413,2289,26.344
MU0295S00016,77879741,MMYT,USD,2019-02-01,26.61,27.99,26.39,27.7,5437,3306,27.527
MU0295S00016,77879741,MMYT,USD,2019-02-04,27.42,27.87,26.17,26.3,2154,1386,26.849
MU0295S00016,77879741,MMYT,USD,2019-02-05,26.32,27.02,26.14,26.98,1991,1326,26.814
MU0295S00016,77879741,MMYT,USD,2019-02-06,27.05,27.5,26.35,27.5,1435,1079,27.113
MU0295S00016,77879741,MMYT,USD,2019-02-07,26.61,27.49,26.27,27.04,1963,1091,26.932
MU0295S00016,77879741,MMYT,USD,2019-02-08,27.0,27.69,26.8,27.42,1289,1008,27.414
MU0295S00016,77879741,MMYT,USD,2019-02-11,27.43,27.84,27.28,27.64,1014,727,27.655
MU0295S00016,77879741,MMYT,USD,2019-02-12,27.74,28.69,27.57,28.4,5191,3663,28.354
MU0295S00016,77879741,MMYT,USD,2019-02-13,28.23,28.5,27.87,28.06,5004,3086,28.071
MU0295S00016,77879741,MMYT,USD,2019-02-14,27.69,28.51,27.54,28.39,1764,1371,28.17
MU0295S00016,77879741,MMYT,USD,2019-02-15,28.44,28.7,27.35,27.43,1584,1122,27.639
MU0295S00016,77879741,MMYT,USD,2019-02-19,27.36,28.73,27.17,28.22,2947,2344,28.329
MU0295S00016,77879741,MMYT,USD,2019-02-20,28.46,28.7,28.1,28.6,1759,1051,28.483
MU0295S00016,77879741,MMYT,USD,2019-02-21,28.53,28.6,27.41,27.59,1138,698,27.861
MU0295S00016,77879741,MMYT,USD,2019-02-22,27.75,28.16,27.65,27.94,1103,606,27.916
MU0295S00016,77879741,MMYT,USD,2019-02-25,28.25,28.58,28.07,28.39,1150,930,28.36
MU0295S00016,77879741,MMYT,USD,2019-02-26,28.29,28.75,28.15,28.64,1520,1186,28.562
MU0295S00016,77879741,MMYT,USD,2019-02-27,28.39,28.99,28.34,28.54,1466,930,28.562
MU0295S00016,77879741,MMYT,USD,2019-02-28,28.55,28.64,28.1,28.23,1149,807,28.249
MU0295S00016,77879741,MMYT,USD,2019-03-01,28.25,29.05,28.25,28.96,1600,1104,28.878
MU0295S00016,77879741,MMYT,USD,2019-03-04,28.99,29.45,28.87,29.09,3866,2438,29.157
MU0295S00016,77879741,MMYT,USD,2019-03-05,29.22,31.23,29.22,30.8,3606,1850,30.546
MU0295S00016,77879741,MMYT,USD,2019-03-06,30.82,32.3,30.8,31.97,6174,3539,31.964
MU0295S00016,77879741,MMYT,USD,2019-03-07,31.94,31.94,30.75,31.1,3094,1838,31.106
MU0295S00016,77879741,MMYT,USD,2019-03-08,30.8,30.93,30.18,30.86,1623,915,30.659
MU0295S00016,77879741,MMYT,USD,2019-03-11,31.04,31.67,31.0,31.61,1322,898,31.431
MU0295S00016,77879741,MMYT,USD,2019-03-12,31.84,31.87,29.81,30.18,6046,3006,30.45
MU0295S00016,77879741,MMYT,USD,2019-03-13,30.18,30.74,29.34,29.84,3192,1424,29.664
MU0295S00016,77879741,MMYT,USD,2019-03-14,29.84,30.15,29.32,29.4,2077,1338,29.58
MU0295S00016,77879741,MMYT,USD,2019-03-15,29.53,29.8,28.81,28.95,2546,1404,29.039
MU0295S00016,77879741,MMYT,USD,2019-03-18,28.97,29.27,28.43,28.48,1827,1229,28.659
MU0295S00016,77879741,MMYT,USD,2019-03-19,28.49,28.62,27.92,28.08,1471,998,28.09
MU0295S00016,77879741,MMYT,USD,2019-03-20,28.0,28.07,26.82,27.28,2290,1309,27.425
MU0295S00016,77879741,MMYT,USD,2019-03-21,27.08,27.75,26.9,27.15,3418,1542,27.242
MU0295S00016,77879741,MMYT,USD,2019-03-22,27.05,27.26,25.27,25.36,2655,1570,25.936
MU0295S00016,77879741,MMYT,USD,2019-03-25,25.16,25.34,24.46,25.14,4712,2496,25.015
MU0295S00016,77879741,MMYT,USD,2019-03-26,25.47,26.08,25.33,25.95,2113,1269,25.766
MU0295S00016,77879741,MMYT,USD,2019-03-27,25.95,26.88,25.95,26.55,2306,1699,26.587
MU0295S00016,77879741,MMYT,USD,2019-03-28,26.56,27.07,26.46,26.75,998,603,26.701
MU0295S00016,77879741,MMYT,USD,2019-03-29,26.92,27.73,26.89,27.6,1726,1230,27.48
MU0295S00016,77879741,MMYT,USD,2019-04-01,27.6,27.83,27.37,27.57,2366,1423,27.565
MU0295S00016,77879741,MMYT,USD,2019-04-02,27.61,28.12,27.61,27.9,3398,1301,27.975
MU0295S00016,77879741,MMYT,USD,2019-04-03,28.5,28.5,26.98,27.38,2100,735,27.611
MU0295S00016,77879741,MMYT,USD,2019-04-04,27.37,27.66,26.39,26.77,1277,939,26.754
MU0295S00016,77879741,MMYT,USD,2019-04-05,26.76,26.78,26.32,26.62,858,607,26.546
MU0295S00016,77879741,MMYT,USD,2019-04-08,26.34,26.83,26.04,26.37,1379,1037,26.39
MU0295S00016,77879741,MMYT,USD,2019-04-09,26.06,26.39,25.45,26.02,1862,1412,26.085
MU0295S00016,77879741,MMYT,USD,2019-04-10,26.09,26.98,26.09,26.28,1433,715,26.555
MU0295S00016,77879741,MMYT,USD,2019-04-11,26.38,26.64,26.09,26.14,770,465,26.337
MU0295S00016,77879741,MMYT,USD,2019-04-12,26.56,26.78,26.0,26.13,1605,868,26.32
MU0295S00016,77879741,MMYT,USD,2019-04-15,26.01,26.5,25.91,26.07,1770,815,26.12
MU0295S00016,77879741,MMYT,USD,2019-04-16,26.17,27.16,26.17,27.0,4310,1276,26.623
MU0295S00016,77879741,MMYT,USD,2019-04-17,27.26,27.26,26.11,26.65,3173,928,26.657
MU0295S00016,77879741,MMYT,USD,2019-04-18,26.59,26.59,25.79,26.0,2412,795,26.159
MU0295S00016,77879741,MMYT,USD,2019-04-22,25.93,26.21,25.16,25.95,2131,1215,25.724
MU0295S00016,77879741,MMYT,USD,2019-04-23,25.79,25.97,25.41,25.96,1484,870,25.759
MU0295S00016,77879741,MMYT,USD,2019-04-24,25.69,26.13,25.56,25.85,2112,1139,25.886
MU0295S00016,77879741,MMYT,USD,2019-04-25,25.74,26.48,25.68,26.36,1201,845,26.211
MU0295S00016,77879741,MMYT,USD,2019-04-26,27.25,28.99,25.9,28.47,5968,3539,27.969
MU0295S00016,77879741,MMYT,USD,2019-04-29,28.56,29.12,28.35,28.91,1899,1359,28.865
MU0295S00016,77879741,MMYT,USD,2019-04-30,27.0,27.0,24.74,25.21,10619,4744,26.145
MU0295S00016,77879741,MMYT,USD,2019-05-01,25.19,27.25,25.11,25.94,2877,2182,26.328
MU0295S00016,77879741,MMYT,USD,2019-05-02,25.97,26.13,25.01,25.71,2060,1333,25.595
MU0295S00016,77879741,MMYT,USD,2019-05-03,26.01,26.23,25.85,26.05,679,486,26.054
MU0295S00016,77879741,MMYT,USD,2019-05-06,25.31,25.7,24.79,25.43,1200,879,25.257
MU0295S00016,77879741,MMYT,USD,2019-05-07,25.01,25.27,24.5,24.81,1277,1015,24.755
MU0295S00016,77879741,MMYT,USD,2019-05-08,24.58,24.76,24.31,24.36,1553,789,24.503
MU0295S00016,77879741,MMYT,USD,2019-05-09,24.25,24.4,23.75,23.9,1872,1297,24.006
MU0295S00016,77879741,MMYT,USD,2019-05-10,23.83,24.05,23.45,23.5,2027,1495,23.72
MU0295S00016,77879741,MMYT,USD,2019-05-13,22.91,23.18,22.6,22.66,2338,1775,22.78
MU0295S00016,77879741,MMYT,USD,2019-05-14,22.85,23.3,22.63,23.18,1485,1157,23.07
MU0295S00016,77879741,MMYT,USD,2019-05-15,23.18,24.0,22.73,23.51,2069,1364,23.605
MU0295S00016,77879741,MMYT,USD,2019-05-16,25.19,25.4,23.9,23.9,3252,1758,24.471
MU0295S00016,77879741,MMYT,USD,2019-05-17,24.0,24.38,23.08,23.4,2168,1501,23.487
MU0295S00016,77879741,MMYT,USD,2019-05-20,23.3,23.86,23.15,23.5,5557,2218,23.491
MU0295S00016,77879741,MMYT,USD,2019-05-21,23.88,24.8,23.83,24.33,1709,962,24.422
MU0295S00016,77879741,MMYT,USD,2019-05-22,24.12,24.4,23.79,23.85,3434,1004,24.125
