ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
MX00BW020002,409841962,BWMX,USD,2020-03-16,8.0,9.08,8.0,9.08,200,6,8.094
MX00BW020002,409841962,BWMX,USD,2020-03-18,7.38,8.85,7.38,8.85,19,3,8.775
MX00BW020002,409841962,BWMX,USD,2020-03-19,8.5,8.5,8.5,8.5,4,2,8.5
MX00BW020002,409841962,BWMX,USD,2020-03-20,6.55,6.95,6.2,6.2,21,14,6.444
MX00BW020002,409841962,BWMX,USD,2020-03-23,5.98,8.18,5.98,7.68,141,18,6.027
MX00BW020002,409841962,BWMX,USD,2020-03-25,8.0,8.8,8.0,8.8,3,2,8.457
MX00BW020002,409841962,BWMX,USD,2020-03-26,5.8,8.35,5.8,8.0,7,7,7.521
MX00BW020002,409841962,BWMX,USD,2020-03-30,7.4,8.0,7.4,8.0,15,8,7.879
MX00BW020002,409841962,BWMX,USD,2020-03-31,7.0,9.34,7.0,9.34,75,18,8.361
MX00BW020002,409841962,BWMX,USD,2020-04-01,9.66,10.04,9.66,10.04,4,2,9.755
MX00BW020002,409841962,BWMX,USD,2020-04-02,9.22,9.22,7.57,8.33,3,3,8.37
MX00BW020002,409841962,BWMX,USD,2020-04-08,7.84,7.84,7.84,7.84,1,1,7.84
MX00BW020002,409841962,BWMX,USD,2020-04-14,6.37,7.43,5.67,7.43,21,16,6.479
MX00BW020002,409841962,BWMX,USD,2020-04-17,8.5,9.53,8.5,9.52,17,11,9.284
MX00BW020002,409841962,BWMX,USD,2020-04-20,9.57,9.57,9.5,9.5,27,5,9.505
MX00BW020002,409841962,BWMX,USD,2020-04-23,9.25,9.25,9.24,9.24,32,3,9.241
MX00BW020002,409841962,BWMX,USD,2020-04-30,9.26,9.28,9.24,9.24,36,6,9.26
MX00BW020002,409841962,BWMX,USD,2020-05-01,9.2,9.2,9.19,9.19,2,2,9.195
MX00BW020002,409841962,BWMX,USD,2020-05-05,9.05,9.05,9.05,9.05,1,1,9.05
MX00BW020002,409841962,BWMX,USD,2020-05-06,9.0,9.0,9.0,9.0,1,1,9.0
MX00BW020002,409841962,BWMX,USD,2020-05-07,8.9,8.95,7.66,7.66,4,4,8.341
MX00BW020002,409841962,BWMX,USD,2020-05-08,9.76,9.76,9.75,9.76,1,1,9.76
MX00BW020002,409841962,BWMX,USD,2020-05-11,8.5,8.5,8.5,8.5,1,1,8.5
MX00BW020002,409841962,BWMX,USD,2020-05-12,9.37,9.37,8.5,8.5,2,2,8.935
MX00BW020002,409841962,BWMX,USD,2020-05-14,7.88,7.88,7.81,7.81,2,2,7.845
MX00BW020002,409841962,BWMX,USD,2020-05-18,8.6,8.6,7.74,7.74,2,2,8.18
MX00BW020002,409841962,BWMX,USD,2020-05-21,6.7,8.35,6.7,7.84,7,3,7.754
MX00BW020002,409841962,BWMX,USD,2020-05-26,8.6,8.61,8.6,8.6,1,1,8.601
MX00BW020002,409841962,BWMX,USD,2020-05-27,8.2,8.3,8.18,8.18,10,9,8.237
MX00BW020002,409841962,BWMX,USD,2020-05-29,8.85,8.85,8.85,8.85,1,1,8.85
MX00BW020002,409841962,BWMX,USD,2020-06-04,8.95,8.95,8.91,8.91,7,3,8.944
MX00BW020002,409841962,BWMX,USD,2020-06-05,8.06,8.84,8.06,8.44,13,5,8.178
MX00BW020002,409841962,BWMX,USD,2020-06-09,8.44,8.44,8.44,8.44,1,1,8.44
MX00BW020002,409841962,BWMX,USD,2020-06-10,8.73,9.2,8.73,9.2,18,4,8.907
MX00BW020002,409841962,BWMX,USD,2020-06-15,8.8,8.8,8.8,8.8,1,1,8.8
MX00BW020002,409841962,BWMX,USD,2020-06-16,9.0,10.07,9.0,10.0,117,14,9.889
MX00BW020002,409841962,BWMX,USD,2020-06-18,9.19,9.19,8.47,8.92,10,6,8.909
MX00BW020002,409841962,BWMX,USD,2020-06-19,8.35,10.09,8.35,9.0,39,19,9.428
MX00BW020002,409841962,BWMX,USD,2020-06-22,8.57,8.57,8.5,8.5,4,2,8.552
MX00BW020002,409841962,BWMX,USD,2020-06-23,8.62,9.0,8.5,8.95,22,8,8.909
MX00BW020002,409841962,BWMX,USD,2020-06-24,8.95,9.0,8.95,8.95,90,7,8.951
MX00BW020002,409841962,BWMX,USD,2020-06-25,8.68,8.98,8.68,8.96,13,8,8.934
MX00BW020002,409841962,BWMX,USD,2020-06-26,8.95,8.96,8.95,8.95,1,1,8.95
MX00BW020002,409841962,BWMX,USD,2020-06-29,8.95,8.95,8.95,8.95,19,3,8.95
MX00BW020002,409841962,BWMX,USD,2020-06-30,9.0,10.0,9.0,9.8,128,39,9.66
MX00BW020002,409841962,BWMX,USD,2020-07-01,9.1,9.1,9.1,9.1,4,1,9.1
MX00BW020002,409841962,BWMX,USD,2020-07-02,9.32,9.32,9.2,9.25,39,6,9.266
MX00BW020002,409841962,BWMX,USD,2020-07-09,9.0,9.0,9.0,9.0,1,1,9.0
MX00BW020002,409841962,BWMX,USD,2020-07-13,9.35,9.35,8.0,8.0,11,3,8.651
MX00BW020002,409841962,BWMX,USD,2020-07-20,9.35,9.38,9.2,9.2,8,4,9.269
MX00BW020002,409841962,BWMX,USD,2020-07-21,9.0,9.0,9.0,9.0,3,1,9.0
MX00BW020002,409841962,BWMX,USD,2020-07-29,8.32,8.32,8.31,8.32,1,1,8.319
MX00BW020002,409841962,BWMX,USD,2020-07-31,9.26,37.82,9.25,12.1,5587,1943,15.866
MX00BW020002,409841962,BWMX,USD,2020-08-03,12.99,16.0,10.12,12.0,3042,1509,13.494
MX00BW020002,409841962,BWMX,USD,2020-08-04,11.65,13.5,11.5,12.6,768,295,12.338
MX00BW020002,409841962,BWMX,USD,2020-08-05,12.6,14.99,12.11,14.09,1861,631,13.891
MX00BW020002,409841962,BWMX,USD,2020-08-06,13.42,14.95,13.25,13.44,330,164,13.885
MX00BW020002,409841962,BWMX,USD,2020-08-07,13.31,14.98,13.01,14.48,294,121,13.789
MX00BW020002,409841962,BWMX,USD,2020-08-10,14.26,14.78,13.4,14.0,336,146,14.122
MX00BW020002,409841962,BWMX,USD,2020-08-11,13.75,15.15,13.75,14.96,460,237,14.816
MX00BW020002,409841962,BWMX,USD,2020-08-12,14.82,15.72,14.63,15.0,498,299,15.056
MX00BW020002,409841962,BWMX,USD,2020-08-13,15.0,15.1,14.75,14.75,224,88,14.947
MX00BW020002,409841962,BWMX,USD,2020-08-14,14.75,15.1,14.6,14.84,734,499,14.893
MX00BW020002,409841962,BWMX,USD,2020-08-17,14.79,15.0,14.62,14.98,336,203,14.928
