ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NL0006237562,51218291,ARCAD,EUR,2019-01-02,10.59,10.865,10.44,10.63,229475,1129,10.706
NL0006237562,51218291,ARCAD,EUR,2019-01-03,10.5,10.67,10.4,10.4,160606,936,10.5315
NL0006237562,51218291,ARCAD,EUR,2019-01-04,10.46,10.6,10.44,10.55,245931,1247,10.5285
NL0006237562,51218291,ARCAD,EUR,2019-01-07,10.35,10.83,10.35,10.77,176537,1072,10.7385
NL0006237562,51218291,ARCAD,EUR,2019-01-08,10.8,11.09,10.8,11.04,260663,1206,10.9965
NL0006237562,51218291,ARCAD,EUR,2019-01-09,11.13,11.39,11.06,11.38,247098,1207,11.288
NL0006237562,51218291,ARCAD,EUR,2019-01-10,11.31,11.61,11.01,11.58,289352,1431,11.4655
NL0006237562,51218291,ARCAD,EUR,2019-01-11,11.61,11.63,11.35,11.42,157036,844,11.4555
NL0006237562,51218291,ARCAD,EUR,2019-01-14,11.42,11.42,11.03,11.06,189785,1006,11.127
NL0006237562,51218291,ARCAD,EUR,2019-01-15,11.2,11.4,11.12,11.15,189102,923,11.216
NL0006237562,51218291,ARCAD,EUR,2019-01-16,11.15,11.26,11.07,11.13,125084,696,11.131
NL0006237562,51218291,ARCAD,EUR,2019-01-17,11.01,11.25,10.97,11.08,188175,929,11.101
NL0006237562,51218291,ARCAD,EUR,2019-01-18,11.11,11.44,11.04,11.39,223129,1164,11.2275
NL0006237562,51218291,ARCAD,EUR,2019-01-21,11.38,11.57,11.15,11.55,159215,775,11.4585
NL0006237562,51218291,ARCAD,EUR,2019-01-22,11.45,11.85,11.45,11.59,204401,851,11.574
NL0006237562,51218291,ARCAD,EUR,2019-01-23,11.48,11.73,11.41,11.45,157643,736,11.572
NL0006237562,51218291,ARCAD,EUR,2019-01-24,11.51,11.58,11.27,11.5,225673,1158,11.463
NL0006237562,51218291,ARCAD,EUR,2019-01-25,11.72,11.97,11.46,11.62,222824,1023,11.5945
NL0006237562,51218291,ARCAD,EUR,2019-01-28,11.58,11.7,11.44,11.49,147191,800,11.5465
NL0006237562,51218291,ARCAD,EUR,2019-01-29,11.5,11.5,11.22,11.23,166702,843,11.2855
NL0006237562,51218291,ARCAD,EUR,2019-01-30,11.31,11.32,11.07,11.24,209304,978,11.2
NL0006237562,51218291,ARCAD,EUR,2019-01-31,11.3,11.57,11.22,11.32,194560,958,11.3795
NL0006237562,51218291,ARCAD,EUR,2019-02-01,11.37,11.4,11.19,11.28,151816,919,11.274
NL0006237562,51218291,ARCAD,EUR,2019-02-04,11.38,11.39,11.2,11.26,112446,589,11.264
NL0006237562,51218291,ARCAD,EUR,2019-02-05,11.32,11.45,11.25,11.29,164779,978,11.3115
NL0006237562,51218291,ARCAD,EUR,2019-02-06,11.3,11.63,11.29,11.5,276358,1486,11.444
NL0006237562,51218291,ARCAD,EUR,2019-02-07,11.54,11.93,11.54,11.56,298327,1425,11.656
NL0006237562,51218291,ARCAD,EUR,2019-02-08,11.69,11.69,10.875,10.9,349198,1644,11.082
NL0006237562,51218291,ARCAD,EUR,2019-02-11,10.9,10.96,10.75,10.91,350636,1406,10.869
