ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NL00150005Y4,469692630,PHVS,USD,2021-02-08,28.1,30.44,27.14,30.35,4849,2964,28.34646
NL00150005Y4,469692630,PHVS,USD,2021-02-09,28.7,30.49,27.67,30.19,2052,953,29.1445
NL00150005Y4,469692630,PHVS,USD,2021-02-10,30.89,32.19,27.78,30.0,2651,1791,30.32169
NL00150005Y4,469692630,PHVS,USD,2021-02-11,29.99,30.0,27.11,27.5,2299,1035,28.30161
NL00150005Y4,469692630,PHVS,USD,2021-02-12,27.5,29.67,25.58,29.67,1314,817,26.78754
NL00150005Y4,469692630,PHVS,USD,2021-02-16,27.18,28.33,24.26,25.25,2041,852,25.96084
NL00150005Y4,469692630,PHVS,USD,2021-02-17,25.25,28.21,25.25,26.52,2117,827,26.3568
NL00150005Y4,469692630,PHVS,USD,2021-02-18,26.82,33.0,26.1,33.0,1456,887,30.25902
NL00150005Y4,469692630,PHVS,USD,2021-02-19,31.19,37.11,30.78,35.91,1116,703,34.49765
NL00150005Y4,469692630,PHVS,USD,2021-02-22,34.83,42.86,33.2,37.0,1200,769,36.9282
NL00150005Y4,469692630,PHVS,USD,2021-02-23,32.94,36.23,27.63,31.53,555,428,32.59516
NL00150005Y4,469692630,PHVS,USD,2021-02-24,31.88,38.42,31.4,37.0,1188,573,35.90266
NL00150005Y4,469692630,PHVS,USD,2021-02-25,37.2,41.4,37.2,40.11,1673,1104,39.84335
NL00150005Y4,469692630,PHVS,USD,2021-02-26,38.94,40.43,35.69,37.99,1019,594,38.82361
NL00150005Y4,469692630,PHVS,USD,2021-03-01,38.44,41.6,38.44,39.24,961,535,39.64572
NL00150005Y4,469692630,PHVS,USD,2021-03-02,38.48,40.83,37.08,38.75,607,321,39.07171
NL00150005Y4,469692630,PHVS,USD,2021-03-03,38.7,39.85,36.3,38.5,1047,543,38.26439
NL00150005Y4,469692630,PHVS,USD,2021-03-04,38.25,39.2,32.2,33.61,1847,1084,35.90749
NL00150005Y4,469692630,PHVS,USD,2021-03-05,34.06,34.62,28.14,28.75,1229,801,30.34666
NL00150005Y4,469692630,PHVS,USD,2021-03-08,29.07,31.5,26.05,27.06,680,387,28.04894
NL00150005Y4,469692630,PHVS,USD,2021-03-09,27.41,29.0,24.37,27.39,1677,841,26.12276
NL00150005Y4,469692630,PHVS,USD,2021-03-10,27.65,32.2,25.53,29.39,388,278,29.67633
NL00150005Y4,469692630,PHVS,USD,2021-03-11,30.99,31.85,29.06,29.99,285,121,30.39176
NL00150005Y4,469692630,PHVS,USD,2021-03-12,28.34,31.44,28.34,30.9,216,102,29.92924
NL00150005Y4,469692630,PHVS,USD,2021-03-15,28.92,36.82,28.92,34.39,301,184,32.81303
