ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NL00150006R6,478774149,CTPNV,EUR,2021-03-25,14.05,14.5,13.95,14.0,5374315,6222,14.008
NL00150006R6,478774149,CTPNV,EUR,2021-03-26,14.05,14.15,14.0,14.0,299099,778,14.065
NL00150006R6,478774149,CTPNV,EUR,2021-03-29,14.15,14.45,14.15,14.4,267286,460,14.341
NL00150006R6,478774149,CTPNV,EUR,2021-03-30,14.45,15.0,14.45,15.0,285931,550,14.808
NL00150006R6,478774149,CTPNV,EUR,2021-03-31,15.05,15.2,14.8,15.1,190207,461,15.025
NL00150006R6,478774149,CTPNV,EUR,2021-04-01,15.2,15.7,15.1,15.56,156965,474,15.402
NL00150006R6,478774149,CTPNV,EUR,2021-04-06,15.9,16.25,15.1,15.36,468618,1461,15.645
NL00150006R6,478774149,CTPNV,EUR,2021-04-07,15.1,15.36,14.75,15.36,83639,310,15.095
NL00150006R6,478774149,CTPNV,EUR,2021-04-08,15.45,15.5,15.0,15.1,47919,214,15.128
NL00150006R6,478774149,CTPNV,EUR,2021-04-09,15.2,15.45,14.95,15.3,54987,199,15.235
NL00150006R6,478774149,CTPNV,EUR,2021-04-12,15.45,15.45,14.8,15.16,36657,313,15.158
NL00150006R6,478774149,CTPNV,EUR,2021-04-13,15.0,15.16,14.95,15.16,19646,95,15.091
NL00150006R6,478774149,CTPNV,EUR,2021-04-14,15.1,15.5,15.0,15.5,19696,133,15.306
NL00150006R6,478774149,CTPNV,EUR,2021-04-15,15.5,15.5,15.0,15.1,65728,247,15.202
NL00150006R6,478774149,CTPNV,EUR,2021-04-16,15.1,15.15,14.9,15.1,136496,223,15.023
NL00150006R6,478774149,CTPNV,EUR,2021-04-19,15.15,15.15,14.8,14.8,13949,107,14.938
NL00150006R6,478774149,CTPNV,EUR,2021-04-20,14.8,14.95,14.3,14.5,68356,287,14.56
NL00150006R6,478774149,CTPNV,EUR,2021-04-21,14.45,14.8,14.45,14.76,114632,377,14.718
NL00150006R6,478774149,CTPNV,EUR,2021-04-22,14.75,14.75,14.45,14.46,81484,260,14.641
NL00150006R6,478774149,CTPNV,EUR,2021-04-23,14.35,14.6,14.35,14.5,32159,103,14.49
NL00150006R6,478774149,CTPNV,EUR,2021-04-26,14.5,14.55,14.1,14.3,68170,302,14.311
NL00150006R6,478774149,CTPNV,EUR,2021-04-27,14.3,14.4,14.05,14.1,78526,422,14.232
NL00150006R6,478774149,CTPNV,EUR,2021-04-28,14.1,14.3,14.1,14.2,57786,275,14.201
NL00150006R6,478774149,CTPNV,EUR,2021-04-29,14.3,14.3,14.05,14.1,73549,225,14.161
NL00150006R6,478774149,CTPNV,EUR,2021-04-30,14.15,14.15,13.85,14.06,126560,372,13.963
NL00150006R6,478774149,CTPNV,EUR,2021-05-03,14.15,14.25,14.05,14.2,23840,176,14.195
NL00150006R6,478774149,CTPNV,EUR,2021-05-04,14.25,14.25,13.95,13.96,135023,172,14.014
NL00150006R6,478774149,CTPNV,EUR,2021-05-05,14.0,14.8,14.0,14.36,109977,539,14.386
NL00150006R6,478774149,CTPNV,EUR,2021-05-06,14.55,14.65,14.2,14.26,113721,492,14.371
NL00150006R6,478774149,CTPNV,EUR,2021-05-07,14.3,14.5,14.15,14.36,214855,617,14.379
NL00150006R6,478774149,CTPNV,EUR,2021-05-10,14.4,14.6,14.25,14.5,237035,668,14.487
NL00150006R6,478774149,CTPNV,EUR,2021-05-11,14.45,14.7,14.05,14.1,83483,297,14.338
NL00150006R6,478774149,CTPNV,EUR,2021-05-12,14.1,14.55,14.1,14.2,127539,393,14.349
NL00150006R6,478774149,CTPNV,EUR,2021-05-13,14.15,14.25,13.95,14.1,172586,639,14.075
NL00150006R6,478774149,CTPNV,EUR,2021-05-14,14.2,14.3,14.1,14.2,62959,191,14.175
NL00150006R6,478774149,CTPNV,EUR,2021-05-17,14.3,14.35,14.15,14.3,111987,333,14.244
NL00150006R6,478774149,CTPNV,EUR,2021-05-18,14.35,14.46,14.2,14.46,118273,373,14.391
NL00150006R6,478774149,CTPNV,EUR,2021-05-19,14.25,14.45,14.15,14.36,81957,309,14.34
NL00150006R6,478774149,CTPNV,EUR,2021-05-20,14.35,14.55,14.3,14.5,105382,393,14.444
NL00150006R6,478774149,CTPNV,EUR,2021-05-21,14.55,14.8,14.5,14.7,78473,312,14.716
NL00150006R6,478774149,CTPNV,EUR,2021-05-24,14.9,15.1,14.8,15.06,29769,286,15.002
NL00150006R6,478774149,CTPNV,EUR,2021-05-25,15.15,15.46,14.95,15.46,114394,469,15.136
NL00150006R6,478774149,CTPNV,EUR,2021-05-26,15.3,15.4,15.15,15.3,71977,481,15.295
NL00150006R6,478774149,CTPNV,EUR,2021-05-27,15.3,15.4,15.05,15.3,143096,430,15.201
NL00150006R6,478774149,CTPNV,EUR,2021-05-28,15.25,15.4,15.2,15.26,135521,399,15.247
NL00150006R6,478774149,CTPNV,EUR,2021-05-31,15.2,15.4,15.2,15.3,34623,139,15.309
NL00150006R6,478774149,CTPNV,EUR,2021-06-01,15.35,15.55,15.3,15.5,142626,187,15.407
NL00150006R6,478774149,CTPNV,EUR,2021-06-02,15.4,15.85,15.4,15.7,52583,228,15.661
NL00150006R6,478774149,CTPNV,EUR,2021-06-03,15.95,15.95,15.65,15.66,45391,177,15.693
NL00150006R6,478774149,CTPNV,EUR,2021-06-04,15.7,15.7,15.4,15.6,50455,221,15.575
NL00150006R6,478774149,CTPNV,EUR,2021-06-07,15.5,15.76,15.35,15.76,162824,378,15.539
NL00150006R6,478774149,CTPNV,EUR,2021-06-08,15.75,15.95,15.35,15.5,111243,480,15.621
NL00150006R6,478774149,CTPNV,EUR,2021-06-09,15.55,15.8,15.45,15.66,21262,187,15.653
NL00150006R6,478774149,CTPNV,EUR,2021-06-10,15.7,16.2,15.7,15.96,72730,350,15.943
NL00150006R6,478774149,CTPNV,EUR,2021-06-11,16.1,16.3,15.8,16.26,117580,505,16.088
NL00150006R6,478774149,CTPNV,EUR,2021-06-14,16.3,16.36,16.0,16.36,77293,490,16.207
NL00150006R6,478774149,CTPNV,EUR,2021-06-15,16.2,16.3,16.0,16.0,59375,386,16.101
NL00150006R6,478774149,CTPNV,EUR,2021-06-16,16.05,16.35,16.05,16.16,66973,263,16.212
NL00150006R6,478774149,CTPNV,EUR,2021-06-17,16.15,16.65,16.15,16.6,56578,262,16.428
NL00150006R6,478774149,CTPNV,EUR,2021-06-18,16.6,17.25,16.45,17.06,154100,913,16.853
NL00150006R6,478774149,CTPNV,EUR,2021-06-21,16.95,17.4,16.8,16.86,71726,591,17.014
NL00150006R6,478774149,CTPNV,EUR,2021-06-22,16.85,17.0,16.55,16.6,60225,419,16.727
