ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NO0010863285,389049452,SATS,NOK,2019-10-25,22.48,22.48,22.24,22.3,522085,311,22.302
NO0010863285,389049452,SATS,NOK,2019-10-28,22.36,22.48,22.3,22.4,446391,516,22.398
NO0010863285,389049452,SATS,NOK,2019-10-29,22.42,23.0,22.4,22.82,287364,530,22.744
NO0010863285,389049452,SATS,NOK,2019-10-30,22.9,23.14,22.74,22.76,348024,482,22.96
NO0010863285,389049452,SATS,NOK,2019-10-31,22.84,22.96,22.54,22.54,302865,344,22.722
NO0010863285,389049452,SATS,NOK,2019-11-01,22.54,22.82,22.5,22.7,43130,66,22.628
NO0010863285,389049452,SATS,NOK,2019-11-04,22.72,22.96,22.6,22.7,130930,350,22.752
NO0010863285,389049452,SATS,NOK,2019-11-05,22.9,22.9,22.6,22.7,226140,440,22.698
NO0010863285,389049452,SATS,NOK,2019-11-06,22.7,22.7,22.6,22.68,171161,180,22.644
NO0010863285,389049452,SATS,NOK,2019-11-07,22.64,22.88,22.5,22.56,197149,209,22.566
NO0010863285,389049452,SATS,NOK,2019-11-08,22.86,22.98,22.2,22.4,223799,354,22.436
NO0010863285,389049452,SATS,NOK,2019-11-11,22.4,22.42,20.8,20.92,580456,756,21.428
NO0010863285,389049452,SATS,NOK,2019-11-12,21.0,21.0,20.7,20.9,159057,375,20.848
NO0010863285,389049452,SATS,NOK,2019-11-13,20.7,20.92,20.7,20.8,57650,134,20.85
NO0010863285,389049452,SATS,NOK,2019-11-14,21.0,21.02,20.4,20.72,210164,295,20.604
NO0010863285,389049452,SATS,NOK,2019-11-15,20.92,21.8,20.8,21.8,170935,266,21.208
NO0010863285,389049452,SATS,NOK,2019-11-18,21.6,22.0,21.2,21.8,75527,153,21.504
NO0010863285,389049452,SATS,NOK,2019-11-19,21.8,21.9,21.6,21.82,65397,128,21.812
NO0010863285,389049452,SATS,NOK,2019-11-20,21.9,21.9,21.4,21.66,92300,160,21.79
NO0010863285,389049452,SATS,NOK,2019-11-21,21.7,21.98,21.38,21.5,31727,62,21.69
