ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NZFBUE0001S0,14063399,FBU,AUD,2019-01-02,4.4869,4.5548,4.3803,4.3803,412594,1539,4.43411705
NZFBUE0001S0,14063399,FBU,AUD,2019-01-03,4.516,4.6129,4.4966,4.5548,668032,3091,4.5605846
NZFBUE0001S0,14063399,FBU,AUD,2019-01-04,4.4869,4.5257,4.4094,4.516,578554,2624,4.48160295
NZFBUE0001S0,14063399,FBU,AUD,2019-01-07,4.516,4.6032,4.4579,4.516,592657,2173,4.5218206
NZFBUE0001S0,14063399,FBU,AUD,2019-01-08,4.4869,4.5742,4.4676,4.5548,842234,3058,4.52811975
NZFBUE0001S0,14063399,FBU,AUD,2019-01-09,4.5645,4.6323,4.5063,4.5063,1243174,3605,4.53393435
NZFBUE0001S0,14063399,FBU,AUD,2019-01-10,4.5645,4.5935,4.4579,4.5742,795803,2452,4.53199615
NZFBUE0001S0,14063399,FBU,AUD,2019-01-11,4.5742,4.5838,4.5063,4.5063,499536,2072,4.5412026
NZFBUE0001S0,14063399,FBU,AUD,2019-01-14,4.5838,4.5935,4.5257,4.5645,448765,2015,4.5702756
NZFBUE0001S0,14063399,FBU,AUD,2019-01-15,4.5645,4.6032,4.5548,4.5838,713486,1445,4.5848121
NZFBUE0001S0,14063399,FBU,AUD,2019-01-16,4.5548,4.5742,4.4627,4.516,965531,2506,4.5150369
NZFBUE0001S0,14063399,FBU,AUD,2019-01-17,4.5354,4.5935,4.516,4.5354,553897,1715,4.54943995
NZFBUE0001S0,14063399,FBU,AUD,2019-01-18,4.5257,4.6032,4.516,4.5838,558179,1379,4.5586464
NZFBUE0001S0,14063399,FBU,AUD,2019-01-21,4.6129,4.6614,4.6129,4.6226,524181,1982,4.6313289
NZFBUE0001S0,14063399,FBU,AUD,2019-01-22,4.6032,4.6614,4.5935,4.6323,711363,1693,4.62599885
NZFBUE0001S0,14063399,FBU,AUD,2019-01-23,4.6323,4.642,4.5838,4.6032,387241,1616,4.60758595
NZFBUE0001S0,14063399,FBU,AUD,2019-01-24,4.6226,4.6517,4.5935,4.642,422018,1267,4.6245452
NZFBUE0001S0,14063399,FBU,AUD,2019-01-25,4.6614,4.6808,4.6323,4.6323,366733,1500,4.6429581
NZFBUE0001S0,14063399,FBU,AUD,2019-01-29,4.642,4.6614,4.5935,4.5935,276154,1078,4.6303598
NZFBUE0001S0,14063399,FBU,AUD,2019-01-30,4.6517,4.6614,4.5838,4.5935,545247,1790,4.61727695
NZFBUE0001S0,14063399,FBU,AUD,2019-01-31,4.642,4.642,4.5935,4.5935,430631,1826,4.61243145
NZFBUE0001S0,14063399,FBU,AUD,2019-02-01,4.6032,4.6226,4.5742,4.5935,436564,1568,4.59208035
NZFBUE0001S0,14063399,FBU,AUD,2019-02-04,4.5548,4.6226,4.5063,4.6032,884498,1895,4.57851295
NZFBUE0001S0,14063399,FBU,AUD,2019-02-05,4.5935,4.6711,4.5838,4.6614,1022228,2506,4.6439272
NZFBUE0001S0,14063399,FBU,AUD,2019-02-06,4.7001,4.797,4.6711,4.7583,502500,1783,4.75779645
NZFBUE0001S0,14063399,FBU,AUD,2019-02-07,4.7292,4.7486,4.6371,4.6517,669632,2362,4.68705215
NZFBUE0001S0,14063399,FBU,AUD,2019-02-08,4.6226,4.6904,4.5935,4.6711,461432,2057,4.65894825
NZFBUE0001S0,14063399,FBU,AUD,2019-02-11,4.6711,4.7001,4.6517,4.6904,467189,1677,4.6788148
NZFBUE0001S0,14063399,FBU,AUD,2019-02-12,4.7292,4.7874,4.6904,4.7874,769540,2037,4.7553737
NZFBUE0001S0,14063399,FBU,AUD,2019-02-13,4.7874,4.9521,4.7777,4.9036,1243690,2595,4.87699575
NZFBUE0001S0,14063399,FBU,AUD,2019-02-14,4.894,4.9036,4.8552,4.8746,731243,2585,4.87602665
NZFBUE0001S0,14063399,FBU,AUD,2019-02-15,4.8843,4.9521,4.8649,4.9327,894933,1652,4.89540865
NZFBUE0001S0,14063399,FBU,AUD,2019-02-18,4.923,4.9715,4.8649,4.8746,534726,2778,4.9104297
NZFBUE0001S0,14063399,FBU,AUD,2019-02-19,4.8746,4.923,4.8455,4.8746,935771,1929,4.8871713
NZFBUE0001S0,14063399,FBU,AUD,2019-02-20,4.7389,4.7583,4.5935,4.6226,1356405,3767,4.6623401
NZFBUE0001S0,14063399,FBU,AUD,2019-02-21,4.6226,4.6517,4.5354,4.5451,1271650,3473,4.57851295
NZFBUE0001S0,14063399,FBU,AUD,2019-02-22,4.5451,4.6323,4.5451,4.6323,760511,3033,4.6041941
NZFBUE0001S0,14063399,FBU,AUD,2019-02-25,4.6032,4.6904,4.5935,4.6711,739510,2711,4.661371
NZFBUE0001S0,14063399,FBU,AUD,2019-02-26,4.6614,4.7292,4.5838,4.6032,1434896,2828,4.6206688
NZFBUE0001S0,14063399,FBU,AUD,2019-02-27,4.6032,4.6032,4.5402,4.5645,1591970,3215,4.55525455
NZFBUE0001S0,14063399,FBU,AUD,2019-02-28,4.5838,4.6032,4.5451,4.5838,1261340,3459,4.56882195
NZFBUE0001S0,14063399,FBU,AUD,2019-03-01,4.5838,4.7292,4.5838,4.6226,899205,3574,4.6536182
NZFBUE0001S0,14063399,FBU,AUD,2019-03-04,4.6808,4.7195,4.6517,4.6711,780498,3067,4.68414485
NZFBUE0001S0,14063399,FBU,AUD,2019-03-05,4.6711,4.7292,4.5354,4.5548,1290142,3736,4.59401855
NZFBUE0001S0,14063399,FBU,AUD,2019-03-06,4.5645,4.6614,4.4966,4.5257,1458936,3746,4.5412026
NZFBUE0001S0,14063399,FBU,AUD,2019-03-07,4.5742,4.5838,4.5257,4.5257,1153924,2740,4.545079
NZFBUE0001S0,14063399,FBU,AUD,2019-03-08,4.5354,4.5935,4.4385,4.4482,1178306,2804,4.49420125
NZFBUE0001S0,14063399,FBU,AUD,2019-03-11,4.4772,4.4966,4.3513,4.39,1388561,3472,4.3948685
NZFBUE0001S0,14063399,FBU,AUD,2019-03-12,4.4094,4.4869,4.3706,4.4385,1153248,3905,4.44380805
NZFBUE0001S0,14063399,FBU,AUD,2019-03-13,4.4482,4.4579,4.2883,4.2931,1361254,4713,4.34205255
NZFBUE0001S0,14063399,FBU,AUD,2019-03-14,4.3416,4.4191,4.2931,4.3706,1392828,3034,4.34592895
NZFBUE0001S0,14063399,FBU,AUD,2019-03-15,4.3997,4.4482,4.361,4.4191,2795210,4028,4.40892045
NZFBUE0001S0,14063399,FBU,AUD,2019-03-18,4.361,4.516,4.361,4.5063,1144708,3813,4.49710855
NZFBUE0001S0,14063399,FBU,AUD,2019-03-19,4.4772,4.5063,4.4094,4.4288,1048820,3570,4.4413853
NZFBUE0001S0,14063399,FBU,AUD,2019-03-20,4.4094,4.4627,4.3997,4.4191,1505185,5009,4.4258797
NZFBUE0001S0,14063399,FBU,AUD,2019-03-21,4.39,4.4094,4.3561,4.3706,1344731,2783,4.380332
NZFBUE0001S0,14063399,FBU,AUD,2019-03-22,4.4094,4.4772,4.3658,4.3803,874122,2937,4.3958376
NZFBUE0001S0,14063399,FBU,AUD,2019-03-25,4.3997,4.3997,4.3319,4.39,722996,2371,4.3677337
NZFBUE0001S0,14063399,FBU,AUD,2019-03-26,4.3997,4.5354,4.39,4.5063,799482,3331,4.47578835
NZFBUE0001S0,14063399,FBU,AUD,2019-03-27,4.5257,4.5451,4.4482,4.4676,827242,2683,4.47869565
NZFBUE0001S0,14063399,FBU,AUD,2019-03-28,4.4966,4.5935,4.4676,4.5548,893442,3012,4.52521245
NZFBUE0001S0,14063399,FBU,AUD,2019-03-29,4.5548,4.5935,4.5354,4.5451,723110,3063,4.5615537
NZFBUE0001S0,14063399,FBU,AUD,2019-04-01,4.5742,4.6808,4.5548,4.6614,660790,2951,4.63472075
NZFBUE0001S0,14063399,FBU,AUD,2019-04-02,4.6323,4.6517,4.5742,4.5838,1370078,4117,4.6061323
NZFBUE0001S0,14063399,FBU,AUD,2019-04-03,4.6032,4.6517,4.5742,4.6129,782390,2836,4.6119469
NZFBUE0001S0,14063399,FBU,AUD,2019-04-04,4.6032,4.6614,4.5984,4.6517,570630,2125,4.6342362
NZFBUE0001S0,14063399,FBU,AUD,2019-04-05,4.5838,4.642,4.5548,4.5838,761824,3063,4.5886885
NZFBUE0001S0,14063399,FBU,AUD,2019-04-08,4.5548,4.6226,4.5451,4.6129,535064,2605,4.59595675
NZFBUE0001S0,14063399,FBU,AUD,2019-04-09,4.5645,4.6129,4.5645,4.6032,437132,2184,4.5906267
NZFBUE0001S0,14063399,FBU,AUD,2019-04-10,4.5838,4.6129,4.5305,4.5354,480132,1780,4.5673683
NZFBUE0001S0,14063399,FBU,AUD,2019-04-11,4.6129,4.6275,4.5548,4.5935,604662,2311,4.5925649
NZFBUE0001S0,14063399,FBU,AUD,2019-04-12,4.6323,4.6323,4.5548,4.5742,920017,2895,4.5770593
NZFBUE0001S0,14063399,FBU,AUD,2019-04-15,4.5548,4.5887,4.5354,4.5645,807075,2301,4.56010005
NZFBUE0001S0,14063399,FBU,AUD,2019-04-16,4.5451,4.6226,4.5451,4.6032,817607,3514,4.5974104
NZFBUE0001S0,14063399,FBU,AUD,2019-04-17,4.6032,4.6614,4.5838,4.6129,425239,1960,4.6206688
NZFBUE0001S0,14063399,FBU,AUD,2019-04-18,4.642,4.7098,4.6032,4.7098,660395,3044,4.67833025
NZFBUE0001S0,14063399,FBU,AUD,2019-04-23,4.6904,4.7486,4.6711,4.7292,809647,2557,4.719517
NZFBUE0001S0,14063399,FBU,AUD,2019-04-24,4.7389,4.8164,4.7195,4.8067,641288,2774,4.79268405
NZFBUE0001S0,14063399,FBU,AUD,2019-04-26,4.8455,4.8552,4.7341,4.768,769545,2781,4.7805703
NZFBUE0001S0,14063399,FBU,AUD,2019-04-29,4.7292,4.8649,4.7292,4.8649,557474,2978,4.82660255
NZFBUE0001S0,14063399,FBU,AUD,2019-04-30,4.8649,4.9036,4.7389,4.7583,1177387,4492,4.81497335
NZFBUE0001S0,14063399,FBU,AUD,2019-05-01,4.7874,4.797,4.7583,4.768,1071328,3399,4.77233295
NZFBUE0001S0,14063399,FBU,AUD,2019-05-02,4.797,4.8746,4.768,4.8746,564504,2573,4.8338708
NZFBUE0001S0,14063399,FBU,AUD,2019-05-03,4.8261,4.894,4.8261,4.8746,549662,2249,4.874573
NZFBUE0001S0,14063399,FBU,AUD,2019-05-06,4.7874,4.8358,4.7874,4.8261,550138,1935,4.8135197
NZFBUE0001S0,14063399,FBU,AUD,2019-05-07,4.797,4.8019,4.7583,4.7777,301636,1948,4.7737866
NZFBUE0001S0,14063399,FBU,AUD,2019-05-08,4.7001,4.8164,4.6904,4.8067,545739,2949,4.75682735
NZFBUE0001S0,14063399,FBU,AUD,2019-05-09,4.7195,4.7292,4.6226,4.6517,869033,3454,4.65701005
NZFBUE0001S0,14063399,FBU,AUD,2019-05-10,4.7001,4.7583,4.6614,4.6904,495945,2610,4.70061955
NZFBUE0001S0,14063399,FBU,AUD,2019-05-13,4.6517,4.6904,4.6032,4.642,414805,2323,4.6507109
NZFBUE0001S0,14063399,FBU,AUD,2019-05-14,4.5742,4.5935,4.5257,4.5451,706905,2627,4.5586464
NZFBUE0001S0,14063399,FBU,AUD,2019-05-15,4.5935,4.7001,4.5935,4.6517,480640,2198,4.65119545
NZFBUE0001S0,14063399,FBU,AUD,2019-05-16,4.6517,4.7001,4.6517,4.6711,546035,2037,4.67445385
NZFBUE0001S0,14063399,FBU,AUD,2019-05-17,4.7195,4.7195,4.6808,4.6904,502739,1971,4.69383585
NZFBUE0001S0,14063399,FBU,AUD,2019-05-20,4.6711,4.7825,4.6711,4.768,602601,2447,4.72387795
NZFBUE0001S0,14063399,FBU,AUD,2019-05-21,4.6904,4.7777,4.6904,4.7777,430779,2153,4.72097065
NZFBUE0001S0,14063399,FBU,AUD,2019-05-22,4.7777,4.9036,4.768,4.8843,947297,2257,4.85083005
NZFBUE0001S0,14063399,FBU,AUD,2019-05-23,4.8358,5.0006,4.8358,4.9909,595166,2764,4.95452375
NZFBUE0001S0,14063399,FBU,AUD,2019-05-24,4.9618,5.049,4.9327,5.0393,747944,2714,5.019938
NZFBUE0001S0,14063399,FBU,AUD,2019-05-27,5.0296,5.0393,4.9327,4.9327,388935,1840,4.97584395
NZFBUE0001S0,14063399,FBU,AUD,2019-05-28,4.9521,5.0006,4.9036,4.9715,562326,2443,4.9453173
NZFBUE0001S0,14063399,FBU,AUD,2019-05-29,4.8746,4.894,4.797,4.8164,535485,2055,4.8522837
NZFBUE0001S0,14063399,FBU,AUD,2019-05-30,4.7874,4.8261,4.7486,4.797,546262,3383,4.79559135
NZFBUE0001S0,14063399,FBU,AUD,2019-05-31,4.8067,4.8261,4.7486,4.7777,562868,2776,4.78105485
NZFBUE0001S0,14063399,FBU,AUD,2019-06-03,4.8067,4.86,4.7098,4.7098,427346,2692,4.7321153
NZFBUE0001S0,14063399,FBU,AUD,2019-06-04,4.6808,4.8746,4.6711,4.8261,897559,4161,4.8028596
NZFBUE0001S0,14063399,FBU,AUD,2019-06-05,4.8455,4.9036,4.7389,4.7583,689431,3769,4.7989832
NZFBUE0001S0,14063399,FBU,AUD,2019-06-06,4.7486,4.7777,4.7001,4.7486,648402,2396,4.738899
NZFBUE0001S0,14063399,FBU,AUD,2019-06-07,4.7583,4.8746,4.7389,4.8649,654228,2893,4.8416236
NZFBUE0001S0,14063399,FBU,AUD,2019-06-11,4.8358,4.9521,4.8261,4.9521,881477,2509,4.9113988
NZFBUE0001S0,14063399,FBU,AUD,2019-06-12,4.9521,4.9618,4.923,4.9424,903969,3331,4.93998725
NZFBUE0001S0,14063399,FBU,AUD,2019-06-13,4.9715,5.0102,4.9618,4.9715,341757,2170,4.9840813
NZFBUE0001S0,14063399,FBU,AUD,2019-06-14,4.9715,5.0054,4.9521,4.9909,687484,1923,4.97972035
NZFBUE0001S0,14063399,FBU,AUD,2019-06-17,4.9812,5.0587,4.9763,5.0199,480476,1938,5.01654615
NZFBUE0001S0,14063399,FBU,AUD,2019-06-18,5.0199,5.0442,4.9909,5.0102,602356,2734,5.01557705
NZFBUE0001S0,14063399,FBU,AUD,2019-06-19,5.0393,5.1072,4.9715,5.0006,745426,2922,5.0335054
NZFBUE0001S0,14063399,FBU,AUD,2019-06-20,4.9909,5.0102,4.9133,4.9812,1814591,4166,4.9685757
NZFBUE0001S0,14063399,FBU,AUD,2019-06-21,4.9715,5.0199,4.923,4.9812,1155696,3458,4.97293665
NZFBUE0001S0,14063399,FBU,AUD,2019-06-24,4.9812,5.0296,4.9424,5.0006,1236649,2829,5.01363885
NZFBUE0001S0,14063399,FBU,AUD,2019-06-25,5.0006,5.0296,4.923,4.9327,1224320,3126,4.9705139
NZFBUE0001S0,14063399,FBU,AUD,2019-06-26,4.9133,5.0006,4.768,4.768,2130800,5618,4.855191
NZFBUE0001S0,14063399,FBU,AUD,2019-06-27,4.6614,4.6808,4.5257,4.5257,1594552,4634,4.5809357
NZFBUE0001S0,14063399,FBU,AUD,2019-06-28,4.6226,4.642,4.4482,4.516,1549463,5241,4.5315116
NZFBUE0001S0,14063399,FBU,AUD,2019-07-01,4.5935,4.6032,4.516,4.516,820953,4073,4.56106915
NZFBUE0001S0,14063399,FBU,AUD,2019-07-02,4.5838,4.6808,4.5742,4.6614,960910,3745,4.63762805
NZFBUE0001S0,14063399,FBU,AUD,2019-07-03,4.642,4.7147,4.642,4.7001,839728,3303,4.6894749
NZFBUE0001S0,14063399,FBU,AUD,2019-07-04,4.7098,4.7583,4.6711,4.7001,771651,3577,4.71903245
NZFBUE0001S0,14063399,FBU,AUD,2019-07-05,4.7001,4.7534,4.6614,4.7098,982575,2969,4.6991659
NZFBUE0001S0,14063399,FBU,AUD,2019-07-08,4.6711,4.7583,4.6614,4.7292,616072,3682,4.7282389
NZFBUE0001S0,14063399,FBU,AUD,2019-07-09,4.7195,4.7777,4.6565,4.6614,1134229,4336,4.6933513
NZFBUE0001S0,14063399,FBU,AUD,2019-07-10,4.7195,4.768,4.6517,4.7195,634967,2320,4.71418695
NZFBUE0001S0,14063399,FBU,AUD,2019-07-11,4.7098,4.768,4.6904,4.7292,744098,3156,4.7253316
NZFBUE0001S0,14063399,FBU,AUD,2019-07-12,4.6711,4.7292,4.642,4.7098,472485,2272,4.68802125
NZFBUE0001S0,14063399,FBU,AUD,2019-07-15,4.6711,4.7825,4.6614,4.7389,561425,3294,4.73163075
NZFBUE0001S0,14063399,FBU,AUD,2019-07-16,4.7389,4.8164,4.7292,4.7874,592156,3512,4.7728175
NZFBUE0001S0,14063399,FBU,AUD,2019-07-17,4.7292,4.7292,4.6129,4.642,824235,2893,4.64634995
NZFBUE0001S0,14063399,FBU,AUD,2019-07-18,4.6129,4.6323,4.4869,4.5451,1431084,3965,4.5470172
NZFBUE0001S0,14063399,FBU,AUD,2019-07-19,4.5742,4.6032,4.5257,4.5548,981262,3866,4.56010005
NZFBUE0001S0,14063399,FBU,AUD,2019-07-22,4.5354,4.6226,4.516,4.5645,746468,3550,4.574152
NZFBUE0001S0,14063399,FBU,AUD,2019-07-23,4.5645,4.5742,4.4966,4.5354,1125041,3433,4.53199615
NZFBUE0001S0,14063399,FBU,AUD,2019-07-24,4.5838,4.642,4.5499,4.5548,1100439,3307,4.59111125
NZFBUE0001S0,14063399,FBU,AUD,2019-07-25,4.5548,4.6371,4.5354,4.6226,857813,3278,4.5867503
NZFBUE0001S0,14063399,FBU,AUD,2019-07-26,4.5645,4.6904,4.5548,4.642,633883,2990,4.62696795
NZFBUE0001S0,14063399,FBU,AUD,2019-07-29,4.642,4.7486,4.6032,4.7292,573063,2333,4.70061955
NZFBUE0001S0,14063399,FBU,AUD,2019-07-30,4.7777,4.7874,4.7001,4.7292,509799,2366,4.7311462
NZFBUE0001S0,14063399,FBU,AUD,2019-07-31,4.6711,4.6711,4.5838,4.5838,721306,2723,4.6022559
NZFBUE0001S0,14063399,FBU,AUD,2019-08-01,4.5451,4.5935,4.5063,4.5645,870759,3157,4.55622365
