ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NZHELE0001S9,600776405,THL,AUD,2022-12-02,3.46,3.55,3.46,3.52,122814,64,3.4815
NZHELE0001S9,600776405,THL,AUD,2022-12-05,3.5,3.5,3.45,3.5,55126,76,3.485
NZHELE0001S9,600776405,THL,AUD,2022-12-06,3.4,3.44,3.4,3.41,4709,7,3.4305
NZHELE0001S9,600776405,THL,AUD,2022-12-07,3.3,3.4,3.29,3.32,112168,70,3.323
NZHELE0001S9,600776405,THL,AUD,2022-12-08,3.31,3.32,3.2,3.24,73835,44,3.276
NZHELE0001S9,600776405,THL,AUD,2022-12-09,3.24,3.26,3.2,3.26,40090,45,3.2245
NZHELE0001S9,600776405,THL,AUD,2022-12-12,3.23,3.3,3.18,3.27,60514,48,3.2465
NZHELE0001S9,600776405,THL,AUD,2022-12-13,3.3,3.35,3.28,3.35,192599,48,3.302
NZHELE0001S9,600776405,THL,AUD,2022-12-14,3.39,3.39,3.31,3.32,47088,26,3.352
NZHELE0001S9,600776405,THL,AUD,2022-12-15,3.3,3.4,3.3,3.39,58426,55,3.3755
NZHELE0001S9,600776405,THL,AUD,2022-12-16,3.38,3.45,3.355,3.45,97033,63,3.408
NZHELE0001S9,600776405,THL,AUD,2022-12-19,3.42,3.52,3.42,3.45,72039,33,3.5015
NZHELE0001S9,600776405,THL,AUD,2022-12-20,3.46,3.51,3.4,3.4,18983,49,3.424
NZHELE0001S9,600776405,THL,AUD,2022-12-21,3.43,3.43,3.28,3.28,16185,36,3.349
NZHELE0001S9,600776405,THL,AUD,2022-12-22,3.33,3.35,3.205,3.35,21166,44,3.2985
NZHELE0001S9,600776405,THL,AUD,2022-12-23,3.24,3.25,3.15,3.25,7651,21,3.238
NZHELE0001S9,600776405,THL,AUD,2022-12-28,3.22,3.25,3.22,3.25,12577,37,3.247
NZHELE0001S9,600776405,THL,AUD,2022-12-29,3.27,3.5,3.24,3.32,33261,92,3.282
NZHELE0001S9,600776405,THL,AUD,2022-12-30,3.3,3.49,3.25,3.4,60431,116,3.334
NZHELE0001S9,600776405,THL,AUD,2023-01-03,3.4,3.4,3.3,3.3,10685,24,3.343
NZHELE0001S9,600776405,THL,AUD,2023-01-04,3.25,3.3,3.23,3.3,144348,306,3.252
NZHELE0001S9,600776405,THL,AUD,2023-01-05,3.25,3.25,3.24,3.25,27225,14,3.25
NZHELE0001S9,600776405,THL,AUD,2023-01-06,3.2,3.27,3.2,3.27,8055,19,3.242
NZHELE0001S9,600776405,THL,AUD,2023-01-09,3.3,3.35,3.28,3.35,24338,92,3.329
NZHELE0001S9,600776405,THL,AUD,2023-01-10,3.33,3.34,3.3,3.33,4340,30,3.3265
NZHELE0001S9,600776405,THL,AUD,2023-01-11,3.36,3.38,3.26,3.37,72705,120,3.358
NZHELE0001S9,600776405,THL,AUD,2023-01-12,3.37,3.37,3.32,3.35,3457,19,3.336
NZHELE0001S9,600776405,THL,AUD,2023-01-13,3.35,3.35,3.35,3.35,8909,13,3.35
NZHELE0001S9,600776405,THL,AUD,2023-01-16,3.35,3.37,3.35,3.36,91216,290,3.352
NZHELE0001S9,600776405,THL,AUD,2023-01-17,3.35,3.36,3.29,3.35,65171,60,3.342
NZHELE0001S9,600776405,THL,AUD,2023-01-18,3.39,3.45,3.38,3.4,33305,75,3.409
NZHELE0001S9,600776405,THL,AUD,2023-01-19,3.36,3.44,3.36,3.44,33300,95,3.418
NZHELE0001S9,600776405,THL,AUD,2023-01-20,3.45,3.47,3.39,3.47,71408,228,3.4265
NZHELE0001S9,600776405,THL,AUD,2023-01-23,3.47,3.47,3.4,3.4,63608,33,3.437
NZHELE0001S9,600776405,THL,AUD,2023-01-24,3.39,3.45,3.39,3.45,9537,5,3.4345
NZHELE0001S9,600776405,THL,AUD,2023-01-25,3.46,3.48,3.425,3.48,43153,81,3.452
NZHELE0001S9,600776405,THL,AUD,2023-01-27,3.49,3.57,3.49,3.55,106263,88,3.5435
NZHELE0001S9,600776405,THL,AUD,2023-01-30,3.58,3.6,3.52,3.58,70612,69,3.576
NZHELE0001S9,600776405,THL,AUD,2023-01-31,3.53,3.61,3.53,3.61,26060,34,3.583
NZHELE0001S9,600776405,THL,AUD,2023-02-01,3.58,3.62,3.57,3.57,38299,41,3.5795
NZHELE0001S9,600776405,THL,AUD,2023-02-02,3.57,3.6,3.51,3.58,34778,59,3.578
NZHELE0001S9,600776405,THL,AUD,2023-02-03,3.58,3.58,3.51,3.54,145697,119,3.551
NZHELE0001S9,600776405,THL,AUD,2023-02-06,3.5,3.5,3.435,3.46,9492,11,3.4525
NZHELE0001S9,600776405,THL,AUD,2023-02-07,3.52,3.57,3.5,3.5,65577,125,3.544
NZHELE0001S9,600776405,THL,AUD,2023-02-08,3.55,3.55,3.51,3.51,13,5,3.52
NZHELE0001S9,600776405,THL,AUD,2023-02-09,3.5,3.53,3.46,3.51,16415,45,3.505
NZHELE0001S9,600776405,THL,AUD,2023-02-10,3.52,3.59,3.45,3.47,45278,149,3.551
NZHELE0001S9,600776405,THL,AUD,2023-02-13,3.47,3.55,3.47,3.55,2855,2,3.5495
NZHELE0001S9,600776405,THL,AUD,2023-02-14,3.57,3.64,3.55,3.56,90396,82,3.6095
NZHELE0001S9,600776405,THL,AUD,2023-02-15,3.79,3.79,3.73,3.76,242717,296,3.757
NZHELE0001S9,600776405,THL,AUD,2023-02-16,3.75,3.8,3.68,3.8,230730,149,3.746
NZHELE0001S9,600776405,THL,AUD,2023-02-17,3.81,3.81,3.75,3.8,67634,61,3.79
NZHELE0001S9,600776405,THL,AUD,2023-02-20,3.75,3.76,3.6,3.68,182869,183,3.718
NZHELE0001S9,600776405,THL,AUD,2023-02-21,3.68,3.68,3.5,3.64,50448,70,3.5775
NZHELE0001S9,600776405,THL,AUD,2023-02-22,3.53,3.61,3.49,3.61,62507,57,3.5155
NZHELE0001S9,600776405,THL,AUD,2023-02-23,3.53,3.55,3.52,3.54,14218,15,3.541
NZHELE0001S9,600776405,THL,AUD,2023-02-24,3.65,3.65,3.56,3.64,52354,55,3.6115
NZHELE0001S9,600776405,THL,AUD,2023-02-27,3.605,3.63,3.58,3.63,13213,46,3.6045
NZHELE0001S9,600776405,THL,AUD,2023-02-28,3.61,3.8,3.61,3.75,111122,149,3.7165
NZHELE0001S9,600776405,THL,AUD,2023-03-01,3.71,3.8,3.68,3.79,35169,84,3.757
NZHELE0001S9,600776405,THL,AUD,2023-03-02,3.61,3.72,3.61,3.7,196857,351,3.6745
NZHELE0001S9,600776405,THL,AUD,2023-03-03,3.74,3.74,3.7,3.7,27845,22,3.7175
NZHELE0001S9,600776405,THL,AUD,2023-03-06,3.67,3.76,3.67,3.76,17154,70,3.743
NZHELE0001S9,600776405,THL,AUD,2023-03-07,3.75,3.78,3.72,3.75,177616,206,3.7505
NZHELE0001S9,600776405,THL,AUD,2023-03-08,3.75,3.8,3.72,3.75,119659,223,3.75
NZHELE0001S9,600776405,THL,AUD,2023-03-09,3.75,3.77,3.7,3.7,45465,130,3.7475
NZHELE0001S9,600776405,THL,AUD,2023-03-10,3.7,3.75,3.69,3.72,78466,175,3.7185
NZHELE0001S9,600776405,THL,AUD,2023-03-13,3.68,3.7,3.58,3.7,49540,224,3.6665
NZHELE0001S9,600776405,THL,AUD,2023-03-14,3.62,3.74,3.62,3.7,97770,293,3.706
NZHELE0001S9,600776405,THL,AUD,2023-03-15,3.72,3.86,3.7,3.7,466056,450,3.8095
NZHELE0001S9,600776405,THL,AUD,2023-03-16,3.74,3.81,3.73,3.77,96556,117,3.7805
NZHELE0001S9,600776405,THL,AUD,2023-03-17,3.77,3.79,3.73,3.79,17875,34,3.7775
NZHELE0001S9,600776405,THL,AUD,2023-03-20,3.75,3.75,3.68,3.7,57388,170,3.712
NZHELE0001S9,600776405,THL,AUD,2023-03-21,3.67,3.72,3.6,3.6,33669,153,3.6715
NZHELE0001S9,600776405,THL,AUD,2023-03-22,3.68,3.69,3.63,3.63,24787,103,3.6465
NZHELE0001S9,600776405,THL,AUD,2023-03-23,3.63,3.65,3.59,3.65,81234,97,3.617
NZHELE0001S9,600776405,THL,AUD,2023-03-24,3.59,3.68,3.59,3.67,157266,220,3.6535
NZHELE0001S9,600776405,THL,AUD,2023-03-27,3.67,3.7,3.6,3.63,82530,160,3.6575
NZHELE0001S9,600776405,THL,AUD,2023-03-28,3.59,3.66,3.59,3.6,60399,105,3.6275
NZHELE0001S9,600776405,THL,AUD,2023-03-29,3.59,3.69,3.59,3.64,44517,137,3.6395
NZHELE0001S9,600776405,THL,AUD,2023-03-30,3.65,3.74,3.64,3.74,81196,182,3.706
NZHELE0001S9,600776405,THL,AUD,2023-03-31,3.8,3.8,3.625,3.78,42664,92,3.728
NZHELE0001S9,600776405,THL,AUD,2023-04-03,3.71,3.76,3.65,3.76,62165,101,3.6935
NZHELE0001S9,600776405,THL,AUD,2023-04-04,3.71,3.76,3.68,3.76,66787,130,3.7105
NZHELE0001S9,600776405,THL,AUD,2023-04-05,3.75,3.78,3.68,3.77,37883,117,3.7305
NZHELE0001S9,600776405,THL,AUD,2023-04-06,3.8,3.8,3.75,3.8,104825,112,3.7775
NZHELE0001S9,600776405,THL,AUD,2023-04-11,3.75,3.8,3.72,3.79,131192,251,3.7705
NZHELE0001S9,600776405,THL,AUD,2023-04-12,3.8,3.85,3.78,3.81,398005,744,3.812
NZHELE0001S9,600776405,THL,AUD,2023-04-13,3.83,3.84,3.795,3.82,45853,103,3.8035
NZHELE0001S9,600776405,THL,AUD,2023-04-14,3.83,3.99,3.83,3.99,79411,167,3.866
NZHELE0001S9,600776405,THL,AUD,2023-04-17,3.92,3.93,3.84,3.88,78137,155,3.87
NZHELE0001S9,600776405,THL,AUD,2023-04-18,3.88,3.98,3.87,3.92,314452,326,3.9
NZHELE0001S9,600776405,THL,AUD,2023-04-19,3.93,3.96,3.89,3.93,266157,216,3.9295
NZHELE0001S9,600776405,THL,AUD,2023-04-20,3.95,3.99,3.92,3.95,427527,189,3.9405
NZHELE0001S9,600776405,THL,AUD,2023-04-21,3.95,3.96,3.93,3.95,48909,100,3.9445
NZHELE0001S9,600776405,THL,AUD,2023-04-24,3.93,3.94,3.89,3.9,79461,145,3.914
NZHELE0001S9,600776405,THL,AUD,2023-04-26,3.9,3.9,3.84,3.84,89242,183,3.871
NZHELE0001S9,600776405,THL,AUD,2023-04-27,3.85,3.9,3.85,3.9,22335,66,3.877
NZHELE0001S9,600776405,THL,AUD,2023-04-28,3.92,3.92,3.87,3.89,53127,82,3.886
NZHELE0001S9,600776405,THL,AUD,2023-05-01,3.9,3.98,3.9,3.96,47796,108,3.936
NZHELE0001S9,600776405,THL,AUD,2023-05-02,3.95,4.01,3.95,3.99,61816,103,3.987
NZHELE0001S9,600776405,THL,AUD,2023-05-03,3.99,4.0,3.98,4.0,87471,95,3.994
NZHELE0001S9,600776405,THL,AUD,2023-05-04,3.97,4.01,3.97,4.0,65713,92,3.994
NZHELE0001S9,600776405,THL,AUD,2023-05-05,4.0,4.0,3.93,3.97,41554,131,3.9555
NZHELE0001S9,600776405,THL,AUD,2023-05-08,3.97,3.97,3.94,3.97,13603,31,3.9555
NZHELE0001S9,600776405,THL,AUD,2023-05-09,3.75,3.76,3.535,3.6,867059,1247,3.6225
NZHELE0001S9,600776405,THL,AUD,2023-05-10,3.6,3.72,3.54,3.68,410169,763,3.634
