ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-16,3.84,3.84,3.84,3.84,0,0,3.84
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-19,3.9,3.9,3.9,3.9,0,0,3.9
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-20,3.8,3.8,3.8,3.8,0,0,3.8
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-21,3.8,3.8,3.8,3.8,0,0,3.8
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-22,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-23,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-27,3.8,3.8,3.76,3.76,750,1,3.8
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-28,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-29,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2022-12-30,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-02,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-03,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-04,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-05,3.78,3.78,3.74,3.74,180,1,3.78
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-06,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-09,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-10,3.7,3.7,3.7,3.7,0,0,3.7
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-11,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-12,3.82,3.82,3.82,3.82,0,0,3.82
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-13,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-16,3.8,3.8,3.8,3.8,0,0,3.8
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-17,3.78,3.78,3.78,3.78,0,0,3.78
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-18,3.72,3.8,3.72,3.8,1000,1,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-19,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-20,3.78,3.78,3.78,3.78,0,0,3.78
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-23,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-24,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-25,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-26,3.78,3.78,3.78,3.78,0,0,3.78
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-27,3.76,3.76,3.76,3.76,0,0,3.76
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-30,3.82,3.82,3.78,3.78,500,1,3.82
NZPOTE0003S0,603511537,PKF1,EUR,2023-01-31,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-01,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-02,3.8,3.8,3.8,3.8,0,0,3.8
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-03,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-06,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-07,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-08,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-09,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-10,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-13,3.74,3.74,3.74,3.74,0,0,3.74
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-14,3.72,3.72,3.72,3.72,0,0,3.72
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-15,3.64,3.64,3.64,3.64,0,0,3.64
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-16,3.66,3.66,3.66,3.66,0,0,3.66
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-17,3.6,3.6,3.6,3.6,0,0,3.6
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-20,3.68,3.68,3.6,3.6,1000,1,3.68
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-21,3.64,3.64,3.6,3.6,500,1,3.64
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-22,3.62,3.62,3.62,3.62,0,0,3.62
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-23,3.64,3.64,3.64,3.64,0,0,3.64
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-24,3.68,3.68,3.68,3.68,0,0,3.68
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-27,3.64,3.64,3.64,3.64,0,0,3.64
NZPOTE0003S0,603511537,PKF1,EUR,2023-02-28,3.62,3.62,3.62,3.62,0,0,3.62
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-01,3.64,3.64,3.64,3.64,0,0,3.64
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-02,3.62,3.62,3.62,3.62,0,0,3.62
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-03,3.66,3.66,3.66,3.66,0,0,3.66
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-06,3.6,3.6,3.6,3.6,0,0,3.6
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-07,3.6,3.6,3.6,3.6,0,0,3.6
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-08,3.62,3.62,3.62,3.62,0,0,3.62
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-09,3.62,3.62,3.62,3.62,0,0,3.62
NZPOTE0003S0,603511537,PKF1,EUR,2023-03-10,3.52,3.52,3.52,3.52,0,0,3.52
