ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
NZXROE0001S2,116775084,XRO,AUD,2019-01-02,41.95,43.12,41.73,41.95,249801,8589,42.312
NZXROE0001S2,116775084,XRO,AUD,2019-01-03,41.79,42.985,41.79,42.09,265145,10223,42.3525
NZXROE0001S2,116775084,XRO,AUD,2019-01-04,42.0,42.0,40.03,40.9,306938,9531,40.7105
NZXROE0001S2,116775084,XRO,AUD,2019-01-07,41.47,42.24,41.29,41.91,286584,6543,41.7655
NZXROE0001S2,116775084,XRO,AUD,2019-01-08,42.25,43.6,42.1,43.52,327694,7803,43.06
NZXROE0001S2,116775084,XRO,AUD,2019-01-09,44.05,44.66,43.42,43.5,415307,8650,43.657
NZXROE0001S2,116775084,XRO,AUD,2019-01-10,43.57,43.69,42.42,43.0,242340,5871,42.94
NZXROE0001S2,116775084,XRO,AUD,2019-01-11,42.96,43.38,42.37,42.66,217298,6875,42.76
NZXROE0001S2,116775084,XRO,AUD,2019-01-14,42.38,42.68,41.59,42.0,224428,6410,42.0495
NZXROE0001S2,116775084,XRO,AUD,2019-01-15,41.57,42.48,41.55,42.35,250944,7630,42.189
NZXROE0001S2,116775084,XRO,AUD,2019-01-16,42.51,43.56,42.51,42.95,388220,11743,43.037
NZXROE0001S2,116775084,XRO,AUD,2019-01-17,43.46,43.65,42.32,42.45,292383,6387,42.8245
NZXROE0001S2,116775084,XRO,AUD,2019-01-18,42.82,42.82,41.72,42.13,278730,7037,42.086
NZXROE0001S2,116775084,XRO,AUD,2019-01-21,42.35,42.83,42.14,42.24,186530,4997,42.381
NZXROE0001S2,116775084,XRO,AUD,2019-01-22,42.48,42.85,42.06,42.59,188704,7038,42.5025
NZXROE0001S2,116775084,XRO,AUD,2019-01-23,42.0,43.42,41.72,42.2,180527,6965,42.7835
NZXROE0001S2,116775084,XRO,AUD,2019-01-24,42.03,42.4,41.62,42.01,295743,7260,41.985
NZXROE0001S2,116775084,XRO,AUD,2019-01-25,42.01,42.51,41.98,42.3,167568,5466,42.294
NZXROE0001S2,116775084,XRO,AUD,2019-01-29,41.97,42.2,41.7,41.82,273705,5764,41.8645
NZXROE0001S2,116775084,XRO,AUD,2019-01-30,41.67,41.79,39.86,40.02,339947,11041,40.4495
NZXROE0001S2,116775084,XRO,AUD,2019-01-31,42.02,43.6,41.45,43.53,741110,24107,43.0175
NZXROE0001S2,116775084,XRO,AUD,2019-02-01,43.49,43.85,42.85,43.3,451810,14278,43.3665
NZXROE0001S2,116775084,XRO,AUD,2019-02-04,42.9,42.9,42.06,42.16,143813,5439,42.3995
NZXROE0001S2,116775084,XRO,AUD,2019-02-05,42.21,44.1,42.21,43.79,357654,12063,43.6345
NZXROE0001S2,116775084,XRO,AUD,2019-02-06,44.53,45.7,44.3,45.0,557988,15781,45.0445
NZXROE0001S2,116775084,XRO,AUD,2019-02-07,46.0,47.24,45.12,46.22,529272,19417,46.2205
NZXROE0001S2,116775084,XRO,AUD,2019-02-08,46.2,46.24,45.33,45.9,327953,15622,45.8455
NZXROE0001S2,116775084,XRO,AUD,2019-02-11,46.2,46.5,45.42,45.98,319624,10929,45.761
NZXROE0001S2,116775084,XRO,AUD,2019-02-12,46.0,47.02,45.4,46.75,449016,14713,46.3905
NZXROE0001S2,116775084,XRO,AUD,2019-02-13,47.3,47.86,47.02,47.73,391845,13752,47.5555
NZXROE0001S2,116775084,XRO,AUD,2019-02-14,48.08,48.72,47.96,48.6,368488,16708,48.459
NZXROE0001S2,116775084,XRO,AUD,2019-02-15,48.5,48.99,48.09,48.31,254704,11603,48.398
NZXROE0001S2,116775084,XRO,AUD,2019-02-18,48.99,49.0,48.07,48.67,332030,13209,48.5475
NZXROE0001S2,116775084,XRO,AUD,2019-02-19,48.8,49.38,48.05,48.33,267062,10069,48.6965
NZXROE0001S2,116775084,XRO,AUD,2019-02-20,48.99,49.27,48.13,48.29,214725,9394,48.53
NZXROE0001S2,116775084,XRO,AUD,2019-02-21,48.0,48.2,47.44,47.82,346618,10071,47.863
NZXROE0001S2,116775084,XRO,AUD,2019-02-22,48.24,49.0,48.0,48.72,166144,6074,48.6725
NZXROE0001S2,116775084,XRO,AUD,2019-02-25,49.29,49.4,48.75,49.05,166980,6680,49.1105
NZXROE0001S2,116775084,XRO,AUD,2019-02-26,49.1,49.1,47.56,47.95,188728,8660,48.049
NZXROE0001S2,116775084,XRO,AUD,2019-02-27,47.95,48.04,47.07,47.33,308627,8657,47.462
NZXROE0001S2,116775084,XRO,AUD,2019-02-28,47.5,47.85,46.54,47.5,319545,11216,47.3845
NZXROE0001S2,116775084,XRO,AUD,2019-03-01,48.0,48.99,47.865,48.13,297741,13771,48.4325
NZXROE0001S2,116775084,XRO,AUD,2019-03-04,48.97,50.07,48.9,49.92,442705,11765,49.6575
NZXROE0001S2,116775084,XRO,AUD,2019-03-05,49.68,49.88,48.66,48.76,356083,12387,48.925
NZXROE0001S2,116775084,XRO,AUD,2019-03-06,49.0,49.35,48.72,49.06,217742,9800,49.027
NZXROE0001S2,116775084,XRO,AUD,2019-03-07,49.5,49.56,48.8,49.01,292504,10705,49.085
NZXROE0001S2,116775084,XRO,AUD,2019-03-08,48.45,49.5,48.45,48.63,185475,9880,48.9155
NZXROE0001S2,116775084,XRO,AUD,2019-03-11,48.6,48.9,48.25,48.72,129182,6182,48.615
NZXROE0001S2,116775084,XRO,AUD,2019-03-12,49.0,49.2,48.21,48.32,272866,10891,48.459
NZXROE0001S2,116775084,XRO,AUD,2019-03-13,47.99,48.16,47.35,47.53,136970,7261,47.6385
NZXROE0001S2,116775084,XRO,AUD,2019-03-14,47.51,48.69,47.4,48.51,342357,15197,48.263
NZXROE0001S2,116775084,XRO,AUD,2019-03-15,49.0,49.95,48.9,49.58,427445,10150,49.636
NZXROE0001S2,116775084,XRO,AUD,2019-03-18,49.98,50.0,49.16,49.35,224798,10485,49.457
NZXROE0001S2,116775084,XRO,AUD,2019-03-19,49.5,49.5,48.04,48.5,212879,8015,48.5215
NZXROE0001S2,116775084,XRO,AUD,2019-03-20,48.95,50.0,48.7,50.0,412342,14240,49.714
NZXROE0001S2,116775084,XRO,AUD,2019-03-21,49.5,49.65,48.8,49.35,423168,8688,49.344
NZXROE0001S2,116775084,XRO,AUD,2019-03-22,49.52,49.98,49.45,49.75,293371,13002,49.7215
NZXROE0001S2,116775084,XRO,AUD,2019-03-25,49.0,49.14,47.86,48.04,282402,10084,48.1475
NZXROE0001S2,116775084,XRO,AUD,2019-03-26,48.09,48.17,47.57,47.84,144764,6462,47.8185
NZXROE0001S2,116775084,XRO,AUD,2019-03-27,48.89,48.89,48.3,48.73,191594,10770,48.6545
NZXROE0001S2,116775084,XRO,AUD,2019-03-28,48.4,48.66,47.47,48.22,214364,6521,48.221
NZXROE0001S2,116775084,XRO,AUD,2019-03-29,48.6,49.18,48.45,48.65,221563,8940,48.8185
NZXROE0001S2,116775084,XRO,AUD,2019-04-01,48.77,49.48,48.4,48.99,385935,18835,48.95
NZXROE0001S2,116775084,XRO,AUD,2019-04-02,49.71,50.99,49.5,50.64,768024,25687,50.434
NZXROE0001S2,116775084,XRO,AUD,2019-04-03,51.4,51.5,50.53,50.7,324893,16504,50.888
NZXROE0001S2,116775084,XRO,AUD,2019-04-04,51.01,51.49,50.6,51.09,278683,13471,51.062
NZXROE0001S2,116775084,XRO,AUD,2019-04-05,50.7,50.8,49.47,49.66,343007,14482,49.7785
NZXROE0001S2,116775084,XRO,AUD,2019-04-08,49.65,50.92,49.54,50.51,209186,10512,50.5025
NZXROE0001S2,116775084,XRO,AUD,2019-04-09,50.51,51.27,50.25,50.97,299865,13095,50.889
NZXROE0001S2,116775084,XRO,AUD,2019-04-10,51.19,52.1,50.9,51.4,353596,15870,51.645
NZXROE0001S2,116775084,XRO,AUD,2019-04-11,51.45,51.97,50.81,51.26,240783,10362,51.2905
NZXROE0001S2,116775084,XRO,AUD,2019-04-12,52.0,52.28,51.5,52.09,219353,8225,51.96
NZXROE0001S2,116775084,XRO,AUD,2019-04-15,52.15,52.23,51.64,51.87,199006,8711,51.964
NZXROE0001S2,116775084,XRO,AUD,2019-04-16,51.83,52.02,51.16,51.32,310037,10470,51.549
NZXROE0001S2,116775084,XRO,AUD,2019-04-17,52.0,52.0,51.09,51.57,313256,8873,51.5245
NZXROE0001S2,116775084,XRO,AUD,2019-04-18,52.12,52.12,50.45,51.31,260507,8950,51.238
NZXROE0001S2,116775084,XRO,AUD,2019-04-23,52.0,53.31,51.61,53.29,393783,11048,52.921
NZXROE0001S2,116775084,XRO,AUD,2019-04-24,53.5,54.37,53.27,54.28,712893,20572,54.0005
NZXROE0001S2,116775084,XRO,AUD,2019-04-26,55.0,55.06,53.65,53.95,448647,13313,54.158
NZXROE0001S2,116775084,XRO,AUD,2019-04-29,54.19,54.74,53.97,54.56,244724,11435,54.3135
NZXROE0001S2,116775084,XRO,AUD,2019-04-30,54.99,55.98,54.065,54.45,462557,20227,54.6705
NZXROE0001S2,116775084,XRO,AUD,2019-05-01,54.3,55.1,54.28,55.03,357512,10848,54.7765
NZXROE0001S2,116775084,XRO,AUD,2019-05-02,54.99,55.73,54.69,55.03,367704,12365,55.235
NZXROE0001S2,116775084,XRO,AUD,2019-05-03,55.11,55.4,54.13,54.65,484604,17773,54.698
NZXROE0001S2,116775084,XRO,AUD,2019-05-06,54.36,54.36,53.03,53.52,385468,16024,53.5075
NZXROE0001S2,116775084,XRO,AUD,2019-05-07,53.37,54.39,52.2,54.05,508075,21355,53.806
NZXROE0001S2,116775084,XRO,AUD,2019-05-08,53.25,54.02,53.13,53.47,341005,15787,53.5425
NZXROE0001S2,116775084,XRO,AUD,2019-05-09,53.83,54.32,53.46,53.77,383066,18346,53.7675
NZXROE0001S2,116775084,XRO,AUD,2019-05-10,54.01,55.67,53.7,55.14,330149,23150,54.8525
NZXROE0001S2,116775084,XRO,AUD,2019-05-13,55.4,55.55,54.26,54.54,248750,14005,54.768
NZXROE0001S2,116775084,XRO,AUD,2019-05-14,53.38,53.86,52.97,53.75,337233,17988,53.571
NZXROE0001S2,116775084,XRO,AUD,2019-05-15,54.53,54.7,54.15,54.31,354090,17012,54.3935
NZXROE0001S2,116775084,XRO,AUD,2019-05-16,58.0,60.93,57.58,60.15,1294875,40938,59.4425
NZXROE0001S2,116775084,XRO,AUD,2019-05-17,59.76,62.11,59.6,61.3,919972,31129,61.2035
