ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
PG0008526520,14062397,BOC,AUD,2019-01-02,0.16,0.16,0.16,0.16,0,0,0.16
PG0008526520,14062397,BOC,AUD,2019-01-03,0.16,0.16,0.16,0.16,0,0,0.16
PG0008526520,14062397,BOC,AUD,2019-01-04,0.18,0.18,0.18,0.18,2000,1,0.18
PG0008526520,14062397,BOC,AUD,2019-01-07,0.18,0.18,0.18,0.18,0,0,0.18
PG0008526520,14062397,BOC,AUD,2019-01-08,0.18,0.18,0.18,0.18,0,0,0.18
PG0008526520,14062397,BOC,AUD,2019-01-09,0.18,0.18,0.18,0.18,0,0,0.18
PG0008526520,14062397,BOC,AUD,2019-01-10,0.16,0.16,0.16,0.16,17910,8,0.16
PG0008526520,14062397,BOC,AUD,2019-01-11,0.16,0.16,0.16,0.16,0,0,0.16
PG0008526520,14062397,BOC,AUD,2019-01-14,0.16,0.16,0.16,0.16,180,1,0.16
PG0008526520,14062397,BOC,AUD,2019-01-15,0.16,0.16,0.16,0.16,823,2,0.16
PG0008526520,14062397,BOC,AUD,2019-01-16,0.16,0.16,0.16,0.16,11554,3,0.16
PG0008526520,14062397,BOC,AUD,2019-01-17,0.16,0.16,0.16,0.16,0,0,0.16
PG0008526520,14062397,BOC,AUD,2019-01-18,0.16,0.16,0.16,0.16,4075,1,0.16
PG0008526520,14062397,BOC,AUD,2019-01-21,0.16,0.16,0.145,0.145,32142,4,0.1529
PG0008526520,14062397,BOC,AUD,2019-01-22,0.145,0.145,0.145,0.145,0,0,0.145
PG0008526520,14062397,BOC,AUD,2019-01-23,0.145,0.145,0.145,0.145,0,0,0.145
PG0008526520,14062397,BOC,AUD,2019-01-24,0.145,0.145,0.145,0.145,0,0,0.145
PG0008526520,14062397,BOC,AUD,2019-01-25,0.145,0.145,0.145,0.145,0,0,0.145
PG0008526520,14062397,BOC,AUD,2019-01-29,0.145,0.145,0.145,0.145,0,0,0.145
PG0008526520,14062397,BOC,AUD,2019-01-30,0.145,0.175,0.145,0.17,43000,6,0.1502
PG0008526520,14062397,BOC,AUD,2019-01-31,0.17,0.175,0.16,0.16,12200,4,0.1713
PG0008526520,14062397,BOC,AUD,2019-02-01,0.16,0.16,0.16,0.16,0,0,0.16
PG0008526520,14062397,BOC,AUD,2019-02-04,0.175,0.175,0.15,0.15,5400,3,0.1653
PG0008526520,14062397,BOC,AUD,2019-02-05,0.15,0.15,0.15,0.15,8000,3,0.15
PG0008526520,14062397,BOC,AUD,2019-02-06,0.15,0.15,0.15,0.15,0,0,0.15
PG0008526520,14062397,BOC,AUD,2019-02-07,0.145,0.145,0.145,0.145,20682,3,0.145
PG0008526520,14062397,BOC,AUD,2019-02-08,0.165,0.165,0.165,0.165,5035,2,0.165
PG0008526520,14062397,BOC,AUD,2019-02-11,0.16,0.16,0.16,0.16,7000,3,0.16
PG0008526520,14062397,BOC,AUD,2019-02-12,0.15,0.16,0.14,0.145,133000,10,0.1456
PG0008526520,14062397,BOC,AUD,2019-02-13,0.16,0.16,0.145,0.145,4000,1,0.16
PG0008526520,14062397,BOC,AUD,2019-02-14,0.14,0.14,0.14,0.14,7921,2,0.14
PG0008526520,14062397,BOC,AUD,2019-02-15,0.15,0.15,0.15,0.15,5000,1,0.15
PG0008526520,14062397,BOC,AUD,2019-02-18,0.15,0.15,0.14,0.15,19792,3,0.1498
PG0008526520,14062397,BOC,AUD,2019-02-19,0.17,0.17,0.17,0.17,5000,1,0.17
PG0008526520,14062397,BOC,AUD,2019-02-20,0.175,0.175,0.14,0.14,52026,8,0.1496
PG0008526520,14062397,BOC,AUD,2019-02-21,0.14,0.14,0.14,0.14,150,1,0.14
PG0008526520,14062397,BOC,AUD,2019-02-22,0.17,0.17,0.17,0.17,7764,3,0.17
